modularity_class,main_topics,higher_degree_article
0,Sports (0.47) / Europe* (0.22) / Northern_Europe (0.16) ,Michael Parkhurst (14)
1,Europe* (0.15) / Northern_Europe (0.15) / Politics_and_government (0.14) ,2017 United Kingdom general election (21)
2,Media* (0.28) / Films (0.16) / North_America (0.08) ,The Lion King (42)
3,North_America (0.31) / Politics_and_government (0.12) / Media* (0.1) ,2016 United States presidential election (48)
4,Media* (0.23) / Films (0.17) / North_America (0.11) ,The X-Files (20)
5,Asia* (0.22) / South_Asia (0.16) / Geographical (0.1) ,Andaman Islands (37)
6,Media* (0.24) / Films (0.21) / Asia* (0.11) ,Ambareesh (32)
7,STEM* (0.42) / Space (0.23) / Technology (0.08) ,Arecibo message (16)
8,North_America (0.29) / STEM* (0.19) / Earth_and_environment (0.12) ,Seward (8)
9,Sports (0.59) / North_America (0.35) / Education (0.03) ,2019 NBA draft (15)
10,Asia* (0.29) / South_Asia (0.25) / North_America (0.15) ,New York State Route 308 (13)
11,Sports (0.39) / Europe* (0.16) / Northern_Europe (0.07) ,association football (148)
12,Sports (0.46) / Europe* (0.15) / Northern_Europe (0.15) ,list of Ireland national rugby union players (27)
13,Media* (0.21) / Europe* (0.21) / Television (0.19) ,Roksana Węgiel (30)
14,Europe* (0.36) / Northern_Europe (0.35) / Geographical (0.08) ,Greater Manchester (20)
15,Europe* (0.17) / Sports (0.16) / Eastern_Europe (0.07) ,Ukraine (153)
16,North_America (0.27) / Media* (0.11) / Asia* (0.11) ,Providence (14)
17,STEM* (0.26) / Space (0.14) / Technology (0.11) ,Mars Express (36)
18,Asia* (0.25) / East_Asia (0.25) / Society (0.25) ,Su Tseng-chang (14)
19,Sports (0.53) / North_America (0.29) / List_Disambig (0.07) ,Coaches' Poll (63)
20,Sports (0.37) / South_America (0.08) / Asia* (0.08) ,Tokyo (33)
21,North_America (0.34) / Sports (0.21) / STEM* (0.07) ,list of General Motors factories (21)
22,Sports (0.79) / North_America (0.14) / Southern_Europe (0.07) ,Joel Bolomboy (3)
23,Media* (0.27) / Films (0.17) / Europe* (0.12) ,Bernardo Bertolucci (33)
24,Military_and_warfare (0.29) / Transportation (0.13) / East_Asia (0.09) ,cruiser (19)
25,Literature (0.2) / Comics_and_Anime (0.17) / Visual_arts* (0.16) ,Neon Genesis Evangelion (9)
26,Transportation (0.2) / Military_and_warfare (0.17) / South_America (0.09) ,ARA San Juan (19)
27,Europe* (0.27) / Northern_Europe (0.24) / History (0.2) ,list of monarchs of Mercia (19)
28,Media* (0.29) / Television (0.14) / North_America (0.14) ,SpongeBob SquarePants (37)
29,Oceania (0.61) / Politics_and_government (0.21) / Media* (0.04) ,Liberal Party of Australia (Victorian Division) (31)
30,Europe* (0.2) / North_America (0.19) / Philosophy_and_religion (0.17) ,Seymour Martin Lipset (20)
31,Sports (0.47) / North_America (0.39) / List_Disambig (0.14) ,Edmonton Oilers (9)
