Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
10602046,Q15628924,Culture.Sports,0.93,List_of_Atlanta_Falcons_starting_quarterbacks,enwiki,2.0,Canadian Football
9895126,Q109193,Culture.Biography.Biography*,0.99,Carmen_Twillie_(actress),enwiki,3.0,The Lion King Announcement
9895126,Q109193,Culture.Media.Media*,0.52,Carmen_Twillie_(actress),enwiki,3.0,The Lion King Announcement
10819298,Q4076739,Geography.Regions.Europe.Northern_Europe,1.0,Ballybrack,enwiki,11.0,Football
10819298,Q4076739,Geography.Regions.Europe.Europe*,1.0,Ballybrack,enwiki,11.0,Football
16326880,Q4849014,Culture.Biography.Biography*,0.99,Bakari_Sellers,enwiki,9.0,Midterm US election
16326880,Q4849014,Geography.Regions.Americas.North_America,0.84,Bakari_Sellers,enwiki,9.0,Midterm US election
177792,Q259600,Culture.Biography.Biography*,0.99,May_Robson,enwiki,3.0,The Lion King Announcement
177792,Q259600,Culture.Biography.Women,0.97,May_Robson,enwiki,3.0,The Lion King Announcement
177792,Q259600,History_and_Society.History,0.51,May_Robson,enwiki,3.0,The Lion King Announcement
3171252,Q219384,Culture.Sports,1.0,1955–56_European_Cup,enwiki,6.0,Ukraine
49588272,Q23418917,Culture.Biography.Biography*,0.99,Felix_Sater,enwiki,9.0,Midterm US election
49588272,Q23418917,History_and_Society.Society,0.7,Felix_Sater,enwiki,9.0,Midterm US election
1571042,Q4820785,Culture.Biography.Biography*,1.0,Leland_Yee,enwiki,1.0,~~News Items~~ 
1571042,Q4820785,Geography.Regions.Americas.North_America,0.92,Leland_Yee,enwiki,1.0,~~News Items~~ 
1571042,Q4820785,History_and_Society.Politics_and_government,0.52,Leland_Yee,enwiki,1.0,~~News Items~~ 
7711708,Q912357,STEM.STEM*,0.98,Mail_coach,enwiki,9.0,Midterm US election
7711708,Q912357,STEM.Engineering,0.87,Mail_coach,enwiki,9.0,Midterm US election
7711708,Q912357,History_and_Society.Transportation,0.81,Mail_coach,enwiki,9.0,Midterm US election
7711708,Q912357,STEM.Biology,0.63,Mail_coach,enwiki,9.0,Midterm US election
7711708,Q912357,Geography.Regions.Asia.South_Asia,0.59,Mail_coach,enwiki,9.0,Midterm US election
5832380,Q886190,Culture.Media.Media*,1.0,The_Day_of_the_Triffids_(film),enwiki,8.0,Space missions
5832380,Q886190,Culture.Media.Films,1.0,The_Day_of_the_Triffids_(film),enwiki,8.0,Space missions
5832380,Q886190,Culture.Media.Entertainment,0.98,The_Day_of_the_Triffids_(film),enwiki,8.0,Space missions
288544,Q755103,Geography.Regions.Americas.North_America,0.92,"Swastika,_Ontario",enwiki,12.0,Bernardo Bertolucci death
48284822,Q3077544,Culture.Sports,1.0,World_Series_Formula_V8_3.5,enwiki,6.0,Ukraine
4643016,Q3077544,Culture.Sports,1.0,World_Series_Formula_V8_3.5,enwiki,6.0,Ukraine
327200,Q15262296,Culture.Biography.Biography*,0.91,Nicholas_van_Hoogstraten,enwiki,0.0,Irish Rubgy Championship
327200,Q15262296,Geography.Regions.Europe.Northern_Europe,0.66,Nicholas_van_Hoogstraten,enwiki,0.0,Irish Rubgy Championship
327200,Q15262296,Geography.Regions.Europe.Europe*,0.64,Nicholas_van_Hoogstraten,enwiki,0.0,Irish Rubgy Championship
1372014,Q1425193,Culture.Biography.Biography*,1.0,Michael_Mann_(sociologist),enwiki,5.0,Cambodian Genocide Sentence
41403470,Q6105612,Culture.Biography.Biography*,0.97,Renzo_Saravia,enwiki,11.0,Football
41403470,Q6105612,Culture.Sports,0.86,Renzo_Saravia,enwiki,11.0,Football
2692172,Q2709101,Geography.Regions.Americas.North_America,0.93,Maple_Leaf_Foods,enwiki,6.0,Ukraine
2692172,Q2709101,History_and_Society.Business_and_economics,0.86,Maple_Leaf_Foods,enwiki,6.0,Ukraine
1425724,Q3443218,Geography.Regions.Americas.North_America,0.94,Laval_Rouge_et_Or,enwiki,2.0,Canadian Football
1425724,Q3443218,Culture.Sports,0.89,Laval_Rouge_et_Or,enwiki,2.0,Canadian Football
35651390,Q6272093,Culture.Biography.Biography*,0.99,Jonas_Gray,enwiki,0.0,Irish Rubgy Championship
35651390,Q6272093,Culture.Sports,0.97,Jonas_Gray,enwiki,0.0,Irish Rubgy Championship
46965048,Q15735939,Culture.Biography.Biography*,1.0,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
37405155,Q15735939,Culture.Biography.Biography*,1.0,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
46965048,Q15735939,Culture.Sports,0.99,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
37405155,Q15735939,Culture.Sports,0.99,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
46965048,Q15735939,Geography.Regions.Americas.North_America,0.84,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
37405155,Q15735939,Geography.Regions.Americas.North_America,0.84,Chris_Matthews_(gridiron_football),enwiki,2.0,Canadian Football
55915751,Q44010983,Culture.Media.Films,1.0,National_Board_of_Review_Awards_2017,enwiki,9.0,Midterm US election
55915751,Q44010983,Culture.Media.Media*,1.0,National_Board_of_Review_Awards_2017,enwiki,9.0,Midterm US election
55915751,Q44010983,History_and_Society.Society,0.98,National_Board_of_Review_Awards_2017,enwiki,9.0,Midterm US election
3585323,Q3898074,Culture.Biography.Biography*,1.0,Paul_Hackett_(American_football),enwiki,2.0,Canadian Football
3585323,Q3898074,Culture.Sports,0.97,Paul_Hackett_(American_football),enwiki,2.0,Canadian Football
1306231,Q3809326,Culture.Biography.Biography*,0.99,John_Henderson_(defensive_tackle),enwiki,2.0,Canadian Football
1306231,Q3809326,Culture.Sports,0.99,John_Henderson_(defensive_tackle),enwiki,2.0,Canadian Football
31019133,Q7329540,Culture.Biography.Biography*,1.0,Richard_Travis_(actor),enwiki,3.0,The Lion King Announcement
1825495,Q893308,Geography.Regions.Europe.Northern_Europe,1.0,AFC_Eskilstuna,enwiki,6.0,Ukraine
1825495,Q893308,Culture.Sports,1.0,AFC_Eskilstuna,enwiki,6.0,Ukraine
1825495,Q893308,Geography.Regions.Europe.Europe*,1.0,AFC_Eskilstuna,enwiki,6.0,Ukraine
58895905,Q60737591,Culture.Media.Films,1.0,Guava_Island,enwiki,3.0,The Lion King Announcement
61125884,Q60737591,Culture.Media.Films,1.0,Guava_Island,enwiki,3.0,The Lion King Announcement
58895905,Q60737591,Culture.Media.Media*,1.0,Guava_Island,enwiki,3.0,The Lion King Announcement
61125884,Q60737591,Culture.Media.Media*,1.0,Guava_Island,enwiki,3.0,The Lion King Announcement
2889567,Q16187118,Culture.Biography.Biography*,1.0,Steve_Hutchins,enwiki,10.0,Victoria election (Autralia)
2889567,Q16187118,Geography.Regions.Oceania,1.0,Steve_Hutchins,enwiki,10.0,Victoria election (Autralia)
31487529,Q2700164,Culture.Biography.Biography*,0.99,Banana_Yaya,enwiki,11.0,Football
31487529,Q2700164,Culture.Sports,0.95,Banana_Yaya,enwiki,11.0,Football
31487529,Q2700164,Geography.Regions.Africa.Africa*,0.64,Banana_Yaya,enwiki,11.0,Football
23514215,Q2093033,Culture.Sports,0.99,Pierre-Hugues_Herbert,enwiki,3.0,The Lion King Announcement
23514215,Q2093033,Culture.Biography.Biography*,0.9,Pierre-Hugues_Herbert,enwiki,3.0,The Lion King Announcement
21025499,Q6774744,STEM.STEM*,0.66,Martian_soil,enwiki,8.0,Space missions
43641035,Q18158701,Culture.Sports,0.99,Texas_A&M_Aggies_football_statistical_leaders,enwiki,2.0,Canadian Football
22111069,Q4899555,Culture.Visual_arts.Visual_arts*,1.0,Beverly_Hills_Housewife,enwiki,11.0,Football
766493,Q748111,STEM.Space,1.0,Hellas_Planitia,enwiki,8.0,Space missions
766493,Q748111,STEM.STEM*,1.0,Hellas_Planitia,enwiki,8.0,Space missions
39959515,Q16983371,Culture.Biography.Biography*,1.0,Danny_White_(athletic_director),enwiki,2.0,Canadian Football
39959515,Q16983371,Culture.Sports,0.96,Danny_White_(athletic_director),enwiki,2.0,Canadian Football
57881144,Q55584468,Culture.Biography.Biography*,0.99,Chad_Kanoff,enwiki,2.0,Canadian Football
57881144,Q55584468,Culture.Sports,0.96,Chad_Kanoff,enwiki,2.0,Canadian Football
57881144,Q55584468,Geography.Regions.Americas.North_America,0.8,Chad_Kanoff,enwiki,2.0,Canadian Football
339562,Q740662,Culture.Philosophy_and_religion,0.56,Camera_lucida,enwiki,11.0,Football
339562,Q740662,Geography.Regions.Europe.Europe*,0.51,Camera_lucida,enwiki,11.0,Football
35623176,Q1894,Culture.Sports,0.98,Memphis_Depay,enwiki,11.0,Football
35623176,Q1894,Culture.Biography.Biography*,0.96,Memphis_Depay,enwiki,11.0,Football
12917706,Q5318734,Culture.Biography.Biography*,1.0,Dylan_Kerr,enwiki,11.0,Football
12917706,Q5318734,Culture.Sports,1.0,Dylan_Kerr,enwiki,11.0,Football
3536552,Q274762,Geography.Regions.Europe.Europe*,0.91,FC_Vorskla_Poltava,enwiki,6.0,Ukraine
3536552,Q274762,Culture.Sports,0.87,FC_Vorskla_Poltava,enwiki,6.0,Ukraine
3536552,Q274762,Geography.Regions.Europe.Eastern_Europe,0.83,FC_Vorskla_Poltava,enwiki,6.0,Ukraine
47340644,Q20814430,Culture.Media.Films,0.96,Ambareesh_filmography,enwiki,3.0,The Lion King Announcement
47340644,Q20814430,Culture.Media.Media*,0.96,Ambareesh_filmography,enwiki,3.0,The Lion King Announcement
221544,Q170078,Culture.Biography.Biography*,0.99,Ernest_Gellner,enwiki,5.0,Cambodian Genocide Sentence
221544,Q170078,History_and_Society.Education,0.51,Ernest_Gellner,enwiki,5.0,Cambodian Genocide Sentence
1577016,Q2037657,Culture.Biography.Biography*,1.0,Tim_Hill_(director),enwiki,9.0,Midterm US election
518360,Q2575099,Geography.Regions.Europe.Northern_Europe,0.59,Audenshaw,enwiki,7.0,Killing in Andaman Islands 
1459026,Q1345138,Culture.Biography.Biography*,1.0,Ron_Hextall,enwiki,2.0,Canadian Football
1459026,Q1345138,Culture.Sports,0.84,Ron_Hextall,enwiki,2.0,Canadian Football
1459026,Q1345138,Geography.Regions.Americas.North_America,0.73,Ron_Hextall,enwiki,2.0,Canadian Football
435384,Q575934,STEM.Space,1.0,Deep_Space_2,enwiki,8.0,Space missions
435384,Q575934,STEM.Technology,1.0,Deep_Space_2,enwiki,8.0,Space missions
435384,Q575934,History_and_Society.Transportation,1.0,Deep_Space_2,enwiki,8.0,Space missions
435384,Q575934,STEM.STEM*,0.96,Deep_Space_2,enwiki,8.0,Space missions
435384,Q575934,Geography.Regions.Europe.Europe*,0.73,Deep_Space_2,enwiki,8.0,Space missions
156594,Q573399,Culture.Biography.Biography*,1.0,Louis_Calhern,enwiki,3.0,The Lion King Announcement
23777316,Q977386,Culture.Sports,1.0,Roberto_Merhi,enwiki,6.0,Ukraine
23777316,Q977386,Culture.Biography.Biography*,1.0,Roberto_Merhi,enwiki,6.0,Ukraine
5296693,Q921208,History_and_Society.Military_and_warfare,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
27346,Q921208,History_and_Society.Military_and_warfare,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
5296693,Q921208,Geography.Regions.Europe.Southern_Europe,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
27346,Q921208,Geography.Regions.Europe.Southern_Europe,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
5296693,Q921208,Geography.Regions.Europe.Europe*,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
27346,Q921208,Geography.Regions.Europe.Europe*,1.0,Slovenian_Armed_Forces,enwiki,6.0,Ukraine
554888,Q2707962,History_and_Society.Transportation,1.0,USS_Northampton_(CA-26),enwiki,6.0,Ukraine
554888,Q2707962,History_and_Society.Military_and_warfare,1.0,USS_Northampton_(CA-26),enwiki,6.0,Ukraine
57509250,Q53945928,Culture.Sports,1.0,2018–19_AFC_Ajax_season,enwiki,6.0,Ukraine
24165342,Q350976,Culture.Sports,1.0,Ciaran_Clark,enwiki,11.0,Football
24165342,Q350976,Culture.Biography.Biography*,0.99,Ciaran_Clark,enwiki,11.0,Football
24165342,Q350976,Geography.Regions.Europe.Northern_Europe,0.83,Ciaran_Clark,enwiki,11.0,Football
24165342,Q350976,Geography.Regions.Europe.Europe*,0.82,Ciaran_Clark,enwiki,11.0,Football
14732368,Q6189194,Culture.Sports,0.98,Jets–Patriots_rivalry,enwiki,2.0,Canadian Football
14732368,Q6189194,Geography.Regions.Americas.North_America,0.66,Jets–Patriots_rivalry,enwiki,2.0,Canadian Football
52576378,Q28004058,Culture.Biography.Biography*,1.0,Geoff_Collins_(American_football),enwiki,2.0,Canadian Football
52576378,Q28004058,Culture.Sports,0.96,Geoff_Collins_(American_football),enwiki,2.0,Canadian Football
40798196,Q16246593,Culture.Media.Films,1.0,Ambareesha,enwiki,3.0,The Lion King Announcement
40798196,Q16246593,Geography.Regions.Asia.South_Asia,1.0,Ambareesha,enwiki,3.0,The Lion King Announcement
40798196,Q16246593,Geography.Regions.Asia.Asia*,1.0,Ambareesha,enwiki,3.0,The Lion King Announcement
40798196,Q16246593,Culture.Media.Media*,1.0,Ambareesha,enwiki,3.0,The Lion King Announcement
57284214,Q56042822,Culture.Sports,1.0,2019_United_States_FIBA_Basketball_World_Cup_team,enwiki,3.0,The Lion King Announcement
58059365,Q56042822,Culture.Sports,1.0,2019_United_States_FIBA_Basketball_World_Cup_team,enwiki,3.0,The Lion King Announcement
61534588,Q56042822,Culture.Sports,1.0,2019_United_States_FIBA_Basketball_World_Cup_team,enwiki,3.0,The Lion King Announcement
561893,Q1970825,History_and_Society.Military_and_warfare,1.0,Type_93_torpedo,enwiki,6.0,Ukraine
34073499,Q6384872,Culture.Biography.Biography*,0.99,Keith_Patterson,enwiki,2.0,Canadian Football
34073499,Q6384872,Culture.Sports,0.79,Keith_Patterson,enwiki,2.0,Canadian Football
29142733,Q7690052,Culture.Sports,1.0,Taylor_Martinez,enwiki,2.0,Canadian Football
29142733,Q7690052,Culture.Biography.Biography*,0.99,Taylor_Martinez,enwiki,2.0,Canadian Football
28264507,Q5431806,Culture.Sports,0.98,Falcons–Saints_rivalry,enwiki,2.0,Canadian Football
28264507,Q5431806,Geography.Regions.Americas.North_America,0.66,Falcons–Saints_rivalry,enwiki,2.0,Canadian Football
208621,Q102762,History_and_Society.Society,0.98,Azov,enwiki,6.0,Ukraine
208621,Q102762,Geography.Geographical,0.96,Azov,enwiki,6.0,Ukraine
208621,Q102762,Geography.Regions.Asia.Asia*,0.53,Azov,enwiki,6.0,Ukraine
43095949,Q17305993,Culture.Biography.Biography*,1.0,Imaan_Hammam,enwiki,0.0,Irish Rubgy Championship
57726457,Q55741044,Culture.Sports,1.0,2018_Speed_Chess_Championship,enwiki,6.0,Ukraine
12254047,Q7292631,Culture.Media.Films,1.0,Ranganayaki_(1981_film),enwiki,3.0,The Lion King Announcement
12254047,Q7292631,Culture.Media.Media*,1.0,Ranganayaki_(1981_film),enwiki,3.0,The Lion King Announcement
12254047,Q7292631,Geography.Regions.Asia.South_Asia,0.99,Ranganayaki_(1981_film),enwiki,3.0,The Lion King Announcement
12254047,Q7292631,Geography.Regions.Asia.Asia*,0.99,Ranganayaki_(1981_film),enwiki,3.0,The Lion King Announcement
735501,Q1143126,Geography.Regions.Asia.East_Asia,1.0,Later_Tang,enwiki,10.0,Victoria election (Autralia)
735501,Q1143126,History_and_Society.History,1.0,Later_Tang,enwiki,10.0,Victoria election (Autralia)
735501,Q1143126,Geography.Regions.Asia.Asia*,1.0,Later_Tang,enwiki,10.0,Victoria election (Autralia)
24997913,Q7008048,Geography.Regions.Americas.North_America,0.95,Tim_Hortons_Field,enwiki,2.0,Canadian Football
24997913,Q7008048,Culture.Sports,0.8,Tim_Hortons_Field,enwiki,2.0,Canadian Football
51805433,Q25399132,Culture.Literature,1.0,Life_Foundation,enwiki,3.0,The Lion King Announcement
1561317,Q1052060,History_and_Society.Military_and_warfare,1.0,Cayuse_War,enwiki,9.0,Midterm US election
1561317,Q1052060,Geography.Regions.Americas.North_America,0.83,Cayuse_War,enwiki,9.0,Midterm US election
