,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
0,Q15628924,Culture.Sports,0.93,10602046,List_of_Atlanta_Falcons_starting_quarterbacks,enwiki,2.0
1,Q109193,Culture.Biography.Biography*,0.99,9895126,Carmen_Twillie_(actress),enwiki,3.0
2,Q109193,Culture.Media.Media*,0.52,9895126,Carmen_Twillie_(actress),enwiki,3.0
3,Q4076739,Geography.Regions.Europe.Northern_Europe,1.0,10819298,Ballybrack,enwiki,11.0
4,Q4076739,Geography.Regions.Europe.Europe*,1.0,10819298,Ballybrack,enwiki,11.0
5,Q4849014,Culture.Biography.Biography*,0.99,16326880,Bakari_Sellers,enwiki,9.0
6,Q4849014,Geography.Regions.Americas.North_America,0.84,16326880,Bakari_Sellers,enwiki,9.0
7,Q259600,Culture.Biography.Biography*,0.99,177792,May_Robson,enwiki,3.0
8,Q259600,Culture.Biography.Women,0.97,177792,May_Robson,enwiki,3.0
9,Q259600,History_and_Society.History,0.51,177792,May_Robson,enwiki,3.0
10,Q219384,Culture.Sports,1.0,3171252,1955–56_European_Cup,enwiki,6.0
11,Q23418917,Culture.Biography.Biography*,0.99,49588272,Felix_Sater,enwiki,9.0
12,Q23418917,History_and_Society.Society,0.7,49588272,Felix_Sater,enwiki,9.0
13,Q4820785,Culture.Biography.Biography*,1.0,1571042,Leland_Yee,enwiki,1.0
14,Q4820785,Geography.Regions.Americas.North_America,0.92,1571042,Leland_Yee,enwiki,1.0
15,Q4820785,History_and_Society.Politics_and_government,0.52,1571042,Leland_Yee,enwiki,1.0
16,Q912357,STEM.STEM*,0.98,7711708,Mail_coach,enwiki,9.0
17,Q912357,STEM.Engineering,0.87,7711708,Mail_coach,enwiki,9.0
18,Q912357,History_and_Society.Transportation,0.81,7711708,Mail_coach,enwiki,9.0
19,Q912357,STEM.Biology,0.63,7711708,Mail_coach,enwiki,9.0
20,Q912357,Geography.Regions.Asia.South_Asia,0.59,7711708,Mail_coach,enwiki,9.0
21,Q886190,Culture.Media.Media*,1.0,5832380,The_Day_of_the_Triffids_(film),enwiki,8.0
22,Q886190,Culture.Media.Films,1.0,5832380,The_Day_of_the_Triffids_(film),enwiki,8.0
23,Q886190,Culture.Media.Entertainment,0.98,5832380,The_Day_of_the_Triffids_(film),enwiki,8.0
24,Q755103,Geography.Regions.Americas.North_America,0.92,288544,"Swastika,_Ontario",enwiki,12.0
25,Q3077544,Culture.Sports,1.0,48284822,World_Series_Formula_V8_3.5,enwiki,6.0
26,Q3077544,Culture.Sports,1.0,4643016,World_Series_Formula_V8_3.5,enwiki,6.0
27,Q15262296,Culture.Biography.Biography*,0.91,327200,Nicholas_van_Hoogstraten,enwiki,0.0
28,Q15262296,Geography.Regions.Europe.Northern_Europe,0.66,327200,Nicholas_van_Hoogstraten,enwiki,0.0
29,Q15262296,Geography.Regions.Europe.Europe*,0.64,327200,Nicholas_van_Hoogstraten,enwiki,0.0
30,Q1425193,Culture.Biography.Biography*,1.0,1372014,Michael_Mann_(sociologist),enwiki,5.0
31,Q6105612,Culture.Biography.Biography*,0.97,41403470,Renzo_Saravia,enwiki,11.0
32,Q6105612,Culture.Sports,0.86,41403470,Renzo_Saravia,enwiki,11.0
33,Q2709101,Geography.Regions.Americas.North_America,0.93,2692172,Maple_Leaf_Foods,enwiki,6.0
34,Q2709101,History_and_Society.Business_and_economics,0.86,2692172,Maple_Leaf_Foods,enwiki,6.0
35,Q3443218,Geography.Regions.Americas.North_America,0.94,1425724,Laval_Rouge_et_Or,enwiki,2.0
36,Q3443218,Culture.Sports,0.89,1425724,Laval_Rouge_et_Or,enwiki,2.0
37,Q6272093,Culture.Biography.Biography*,0.99,35651390,Jonas_Gray,enwiki,0.0
38,Q6272093,Culture.Sports,0.97,35651390,Jonas_Gray,enwiki,0.0
39,Q15735939,Culture.Biography.Biography*,1.0,46965048,Chris_Matthews_(gridiron_football),enwiki,2.0
40,Q15735939,Culture.Biography.Biography*,1.0,37405155,Chris_Matthews_(gridiron_football),enwiki,2.0
41,Q15735939,Culture.Sports,0.99,46965048,Chris_Matthews_(gridiron_football),enwiki,2.0
42,Q15735939,Culture.Sports,0.99,37405155,Chris_Matthews_(gridiron_football),enwiki,2.0
43,Q15735939,Geography.Regions.Americas.North_America,0.84,46965048,Chris_Matthews_(gridiron_football),enwiki,2.0
44,Q15735939,Geography.Regions.Americas.North_America,0.84,37405155,Chris_Matthews_(gridiron_football),enwiki,2.0
45,Q44010983,Culture.Media.Films,1.0,55915751,National_Board_of_Review_Awards_2017,enwiki,9.0
46,Q44010983,Culture.Media.Media*,1.0,55915751,National_Board_of_Review_Awards_2017,enwiki,9.0
47,Q44010983,History_and_Society.Society,0.98,55915751,National_Board_of_Review_Awards_2017,enwiki,9.0
48,Q3898074,Culture.Biography.Biography*,1.0,3585323,Paul_Hackett_(American_football),enwiki,2.0
49,Q3898074,Culture.Sports,0.97,3585323,Paul_Hackett_(American_football),enwiki,2.0
50,Q3809326,Culture.Biography.Biography*,0.99,1306231,John_Henderson_(defensive_tackle),enwiki,2.0
51,Q3809326,Culture.Sports,0.99,1306231,John_Henderson_(defensive_tackle),enwiki,2.0
52,Q7329540,Culture.Biography.Biography*,1.0,31019133,Richard_Travis_(actor),enwiki,3.0
53,Q893308,Geography.Regions.Europe.Northern_Europe,1.0,1825495,AFC_Eskilstuna,enwiki,6.0
54,Q893308,Culture.Sports,1.0,1825495,AFC_Eskilstuna,enwiki,6.0
55,Q893308,Geography.Regions.Europe.Europe*,1.0,1825495,AFC_Eskilstuna,enwiki,6.0
56,Q60737591,Culture.Media.Films,1.0,58895905,Guava_Island,enwiki,3.0
57,Q60737591,Culture.Media.Films,1.0,61125884,Guava_Island,enwiki,3.0
58,Q60737591,Culture.Media.Media*,1.0,58895905,Guava_Island,enwiki,3.0
59,Q60737591,Culture.Media.Media*,1.0,61125884,Guava_Island,enwiki,3.0
60,Q16187118,Culture.Biography.Biography*,1.0,2889567,Steve_Hutchins,enwiki,10.0
61,Q16187118,Geography.Regions.Oceania,1.0,2889567,Steve_Hutchins,enwiki,10.0
62,Q2700164,Culture.Biography.Biography*,0.99,31487529,Banana_Yaya,enwiki,11.0
63,Q2700164,Culture.Sports,0.95,31487529,Banana_Yaya,enwiki,11.0
64,Q2700164,Geography.Regions.Africa.Africa*,0.64,31487529,Banana_Yaya,enwiki,11.0
65,Q2093033,Culture.Sports,0.99,23514215,Pierre-Hugues_Herbert,enwiki,3.0
66,Q2093033,Culture.Biography.Biography*,0.9,23514215,Pierre-Hugues_Herbert,enwiki,3.0
67,Q6774744,STEM.STEM*,0.66,21025499,Martian_soil,enwiki,8.0
