Id,Label,timeset,modularity_class,wID,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
25459752,Erdem_Moral?o?lu,,43,25459752,1,20,0.118244,0.132025,0
530766,Joseph_E._Brennan,,29,530766,5,25,0.098021,0.109228,59.004341
50222892,Dayana_Yastremska,,37,50222892,7,26,0.077172,0.08608,8194.645562
43963356,Tim_Frazier,,26,43963356,2,25,0.087274,0.093782,4646
3323606,Ron_Waterman,,4,3323606,2,26,0.095093,0.111338,0
25636426,Daria_Gavrilova,,37,25636426,5,25,0.083369,0.093411,1214.887564
1911924,Mark_Walters,,17,1911924,2,25,0.077415,0.083054,27846
40001136,Marcus_Semien,,8,40001136,6,26,0.097428,0.11035,0
4011682,Phil_Keating,,5,4011682,2,24,0.090652,0.096091,4646
264920,List_of_Wimbledon_Open_Era_champions,,37,264920,3,23,0.099007,0.109605,7771.678594
15134976,The_Unicorn_and_the_Wasp,,12,15134976,3,25,0.079512,0.085682,0
51763022,Matthias_Farley,,1,51763022,3,27,0.08391,0.095136,4646
54658760,Mohamadou_Sumareh,,11,54658760,1,24,0.093029,0.103742,0
49152556,BRP_Tarlac_(LD-601),,18,49152556,1,21,0.094054,0.101449,0
40982672,American_Music_Award_for_Favorite_Soul/R&B_Album,,41,40982672,14,29,0.061854,0.067892,0.166667
36894194,Tr?z?guet_(Egyptian_footballer),,22,36894194,5,23,0.102862,0.117156,50635.066069
135712,"Wellington,_Texas",,40,135712,2,24,0.091677,0.101055,0
620854,Robert_Del_Naja,,20,620854,7,25,0.092729,0.103876,7887.620885
636484,Triangle_offense,,40,636484,4,23,0.096688,0.108316,1298.757487
419550,Dante_Bichette,,8,419550,3,25,0.100432,0.113844,679.99193
5555590,Panzi_Hospital,,36,5555590,4,24,0.085591,0.093549,1
5561322,Augusto_In?cio,,7,5561322,2,28,0.06948,0.073619,0
48416582,2016_Oakland_Raiders_season,,1,48416582,19,22,0.122787,0.151973,301111.486109
1181956,Dirty_Water,,8,1181956,3,25,0.108603,0.123798,4646
58619120,2018_National_League_West_tie-breaker_game,,8,58619120,16,24,0.111026,0.130725,245.875396
37875076,David_Fales,,1,37875076,4,24,0.108025,0.135242,48653.579834
20037960,Ut?ya,,28,20037960,12,20,0.094825,0.107136,36.818333
1337606,Didi_Conn,,21,1337606,1,29,0.068095,0.073021,0
4483334,Hurricane_King,,6,4483334,30,19,0.110601,0.136819,4225.315247
1840612,Communist_Party_of_Luxembourg,,28,1840612,6,24,0.071288,0.077512,0
57736462,Robbie_Eagles,,44,57736462,7,26,0.088053,0.100559,18572.65
44316528,Michigan_IMG_Sports_Network,,8,44316528,14,24,0.117159,0.14166,93533.501696
30579430,Romaine_Sawyers,,22,30579430,3,22,0.100962,0.114209,20887.126431
5143790,Ohio_in_the_American_Civil_War,,25,5143790,2,27,0.084617,0.091892,4646
11035076,Brigadier_general_(United_States),,5,11035076,9,23,0.114613,0.130754,231935.126406
26579594,Emily_Ratajkowski,,40,26579594,3,27,0.071981,0.076888,9291
13016306,Yasutomi_Nishizuka,,36,13016306,4,24,0.089973,0.100531,495.453587
3599438,2nd_Canadian_Regiment,,5,3599438,2,24,0.094158,0.102833,0
11518852,Kyle_Eastmond,,32,11518852,2,25,0.090813,0.098135,4646
57773976,Homestead_Air_Reserve_Base,,6,57773976,4,20,0.104816,0.123041,1048.45795
419720,Continental_Navy,,43,419720,7,20,0.115695,0.137924,279187.73716
47728364,Phil_Salt_(cricketer),,21,47728364,1,34,0.050961,0.054011,0
73276,University_of_Waterloo,,36,73276,6,25,0.084474,0.09428,5.641306
56213390,Arn?r_Sigur?sson,,26,56213390,10,25,0.085889,0.094158,25714.46406
541728,Mladen_Ivani?,,31,541728,4,26,0.072211,0.077045,1.166667
39936702,Rosemary_DiCarlo,,5,39936702,8,23,0.110796,0.12748,166.372831
179174,Spaceport,,0,179174,17,25,0.101868,0.121051,213143.98424
31661732,Wedding_of_Prince_Edward_and_Sophie_Rhys-Jones,,43,31661732,9,20,0.124795,0.142813,327961.178378
2606338,American_Conservatory_Theater,,33,2606338,1,35,0.041582,0.043089,0
15718406,Ubi_caritas,,43,15718406,1,20,0.118244,0.132025,0
19223366,Yuki_Bhambri,,37,19223366,2,24,0.089369,0.096949,0
58681018,2018_Tianjin_Open_?_Doubles,,37,58681018,6,25,0.08266,0.091468,547.254113
31194612,Jeffrey_Schlupp,,17,31194612,4,24,0.087986,0.097098,4644
19938000,Nhlanhla_Nene,,10,19938000,5,30,0.057953,0.062753,0
1371578,Jimmy_Murphy_(footballer),,23,1371578,1,24,0.072843,0.076595,0
3889758,33?,,41,3889758,1,31,0.055066,0.058309,0
738736,Uruguayan_Air_Force_Flight_571,,23,738736,3,22,0.098667,0.10843,33818.104332
41161766,Stamp_Brooksbank,,43,41161766,2,20,0.114772,0.130389,34680.784691
5319068,Apollo_15_postal_covers_incident,,0,5319068,7,25,0.089769,0.102151,396.798035
878832,Erik_Weihenmayer,,5,878832,1,23,0.109568,0.122103,0
45117360,Rafael_Gaglianone,,27,45117360,1,26,0.101672,0.115985,0
40620996,Abdellah_Zoubir,,23,40620996,5,27,0.069756,0.074799,1160.75
7601566,Cecil_Kellaway,,16,7601566,3,29,0.065474,0.068738,9291
33442872,Whitney_Mercilus,,1,33442872,7,24,0.104226,0.129567,38.362751
55271716,Effects_of_Hurricane_Irma_in_Florida,,6,55271716,19,20,0.109184,0.133115,12332.275598
39389466,Artturi_Lehkonen,,13,39389466,1,28,0.076052,0.080962,0
53414044,Hirai_Kawato,,44,53414044,1,28,0.074877,0.081159,0
24865282,Fahad_Albutairi,,18,24865282,3,22,0.108271,0.120608,0
8810772,Sotiris_Ninis,,17,8810772,2,22,0.104069,0.117264,20650.117492
19203734,Major_League_Baseball_blackout_policy,,8,19203734,6,24,0.118043,0.137216,12783.044688
1497260,Martial_Law_(TV_series),,4,1497260,2,27,0.086231,0.097231,23210
8827552,Kevin_Wilson_(American_football),,25,8827552,7,26,0.101863,0.119652,34992.485323
56153776,Wrestling_at_the_2018_Summer_Youth_Olympics,,30,56153776,33,25,0.083901,0.098569,3252.765707
537682,Chris_Bosh,,40,537682,1,25,0.084867,0.092083,0
16640986,Jeremy_Pargo,,26,16640986,1,26,0.085841,0.092207,0
253074,Governor_of_Kentucky,,5,253074,1,21,0.105174,0.113074,0
3438500,Travis_Green,,13,3438500,2,28,0.081776,0.088489,13932
6025204,Cristian_S?punaru,,7,6025204,6,22,0.1053,0.120734,49249.461056
40944836,2017_UEFA_European_Under-21_Championship,,7,40944836,7,22,0.10087,0.115371,31550.529135
53080768,2017_United_States_Grand_Prix,,24,53080768,3,26,0.090771,0.099594,0
1780756,Mishaal_bint_Fahd_bin_Mohammed_Al_Saud,,18,1780756,6,22,0.108967,0.122504,4957.805124
27421172,Scotland_at_the_FIFA_World_Cup,,23,27421172,5,25,0.086467,0.097031,32726.233135
694468,Wilma_Mankiller,,5,694468,2,23,0.106605,0.119329,0
7404478,Rick_Spielman,,25,7404478,1,26,0.09422,0.103233,0
1257708,Jos?_Cardozo,,7,1257708,2,25,0.079403,0.085405,13932
8177054,Immigration_New_Zealand,,45,8177054,28,20,0.120839,0.139816,410408.64726
6805198,Kevin_Barker,,5,6805198,1,26,0.095429,0.10325,0
47912420,Matt_Canada,,25,47912420,1,27,0.093563,0.10575,0
903002,Hurricane_Iniki,,6,903002,5,21,0.101799,0.120868,2597.154219
16712654,Dar?o_Lopilato,,2,16712654,1,26,0.073996,0.077798,0
28935060,Faouzi_Ghoulam,,38,28935060,2,24,0.095025,0.107114,7227.082999
5032618,RDS_Arena,,32,5032618,3,27,0.081091,0.087669,2.365079
33066644,Brock_Osweiler,,1,33066644,10,23,0.112882,0.140892,43097.776238
44459730,Kevin_Lasagna,,7,44459730,1,24,0.082653,0.090076,0
15146430,J?nior_Moraes,,38,15146430,2,24,0.09132,0.100208,13932
39567744,H?ctor_Barrantes,,43,39567744,3,21,0.111061,0.122616,0
48227962,Jamilu_Collins,,11,48227962,4,24,0.093145,0.105468,2.916667
25951276,List_of_natural_disasters_in_Haiti,,6,25951276,7,20,0.104242,0.123898,18800.656076
628266,Williams?Brice_Stadium,,25,628266,4,27,0.089582,0.099949,670.411483
