,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,7.0,98.0,Astat,0.9763205647468568,Q999,STEM.Chemistry,98.0,0.4,25.0,2435.0,6.834243953227998,STEM,Chemistry
1,11.0,101.0,Americium,0.9539760947227478,Q1872,STEM.Chemistry,101.0,2033.5666666669158,25.0,1964.0,10.493737041950226,STEM,Chemistry
2,7.0,242.0,Albrecht (Preußen),0.4301573634147644,Q40433,History_and_Society.History,242.0,13899.784391610745,15.0,3578.0,3.011101543903351,History_and_Society,History
3,1.0,312.0,Afrikanische Sprachen,0.5078218579292297,Q207930,Culture.Linguistics,312.0,0.0,37.0,2157.0,0.5078218579292297,Culture,Linguistics
4,3.0,321.0,Ariel Scharon,0.3415925204753876,Q60206,History_and_Society.Military_and_warfare,321.0,2.0,23.0,3824.0,1.0247775614261627,History_and_Society,Military_and_warfare
5,8.0,426.0,Angola,0.1778208613395691,Q916,History_and_Society.Society,426.0,97343.4505871504,21.0,11350.0,1.4225668907165527,History_and_Society,Society
6,12.0,491.0,Berkelium,0.9381340146064758,Q1882,STEM.Chemistry,491.0,58542.30000000409,25.0,18325.0,11.25760817527771,STEM,Chemistry
7,1.0,645.0,Bata Illic,0.320831298828125,Q810689,Culture.Media.Music,645.0,0.0,0.0,2680.0,0.320831298828125,Culture,Music
8,3.0,789.0,Claude Lelouch,0.9993221759796144,Q295093,Culture.Biography.Biography*,789.0,16705.252688977336,19.0,3216.0,0.0,Culture,Biography*
9,10.0,805.0,Californium,0.9362950325012208,Q1888,STEM.Chemistry,805.0,6.9,25.0,1746.0,9.362950325012209,STEM,Chemistry
10,5.0,1043.0,Dennis Hopper,0.12253321707248688,Q102711,Culture.Visual_arts.Visual_arts*,1043.0,24265.0,35.0,12908.0,0.6126660853624344,Culture,Visual_arts*
11,11.0,1188.0,Douglas Sirk,0.99745911359787,Q60858,Culture.Biography.Biography*,1188.0,90477.11561643962,0.0,1718.0,0.0,Culture,Biography*
12,66.0,1389.0,Erich Kästner,0.5078218579292297,Q76546,Culture.Literature,1389.0,888105.8721127106,0.0,207557.0,33.51624262332916,Culture,Literature
13,10.0,1573.0,Frank Capra,0.3629792034626007,Q51492,History_and_Society.Military_and_warfare,1573.0,36639.921089984935,0.0,2466.0,3.629792034626007,History_and_Society,Military_and_warfare
14,4.0,1676.0,Foxtrott,0.5156299471855164,Q245418,Culture.Performing_arts,1676.0,12403.180741743336,0.0,13653.0,2.0625197887420654,Culture,Performing_arts
15,2.0,1705.0,Feldschlange,0.7606606483459473,Q1054101,STEM.Technology,1705.0,0.0,25.0,1462.0,1.5213212966918945,STEM,Technology
16,11.0,1707.0,Franz Werfel,0.2120788097381592,Q78514,Culture.Literature,1707.0,197716.5214870181,0.0,2824.0,2.3328669071197514,Culture,Literature
17,6.0,1920.0,Ghibellinen und Guelfen,0.4765896201133728,Q187742,History_and_Society.History,1920.0,19273.88693354083,15.0,1470.0,2.859537720680237,History_and_Society,History
18,5.0,2101.0,Gerhard Schröder (CDU),0.1520422399044037,Q60781,History_and_Society.Politics_and_government,2101.0,18804.988775402617,10.0,2919.0,0.7602111995220184,History_and_Society,Politics_and_government
