,Label,Id,Degree,modularity_class,betweenesscentrality
96,Argon,96,3,2,10432.0
98,Astat,98,2,2,0.0
416,Altes_Reich,416,9,6,44245.55644018304
481,Barry_Levinson,481,5,14,157204.43080272028
1248,Europium,1248,2,2,0.0
1597,Fritz_Kuhn,1597,1,26,0.0
1724,Fledertiere,1724,5,23,58290.77187730669
1845,Gene_Hackman,1845,24,21,227779.6002415506
1903,Ferdinand_von_Zeppelin,1903,2,34,5217.0
1980,Gemini-Programm,1980,13,3,1097.3995391862322
2101,Gerhard_Schröder_(CDU),2101,2,1,5217.0
2209,Hugo_Chávez,2209,3,23,26209.948550589073
2379,Io_(Mond),2379,2,21,26065.0
2423,Internierungslager,2423,10,9,18331.06586054203
2652,Karl_Richard_Lepsius,2652,2,6,0.0
2750,Kalifornischer_Goldrausch,2750,2,11,0.0
2804,Konzentrationslager_(historischer_Begriff),2804,8,9,144241.30927745116
2914,Loriot,2914,8,2,183129.81420598718
2968,Leonberg,2968,7,9,68029.99362089174
3309,Lunarkalender,3309,3,16,2611.0000000000005
3325,Monty_Python,3325,28,19,237674.5256568907
3750,Olympiade,3750,3,8,5217.0
3781,Liste_der_Städte_und_Gemeinden_in_Thüringen,3781,3,22,25848.057268593242
4005,Pickelhaube,4005,3,17,22303.357466852154
4836,Sally_Potter,4836,2,13,10432.0
5023,Terry_Gilliam,5023,20,19,62753.871985173784
5280,Tannhäuser_und_der_Sängerkrieg_auf_Wartburg,5280,1,14,0.0
5723,Landkreis_Waldeck-Frankenberg,5723,5,25,10980.301842209456
5742,Yard,5742,40,11,31564.34098758417
7809,Markgräflerland,7809,2,29,12030.479250483886
8159,Nationalfeiertag,8159,3,31,5349.154014922988
8320,Johannes_Reuchlin,8320,1,2,0.0
8462,Baudouin_(Belgien),8462,8,15,1048.318274499547
8552,Palästina,8552,2,15,5217.0
8639,Markus_Wasmeier,8639,20,8,397640.11267414433
8970,Verbrechen_gegen_die_Menschlichkeit,8970,19,9,118858.54683993662
9569,Amedeo_Modigliani,9569,8,15,54461.463621546216
9669,Graupel,9669,2,5,0.0
9677,Hagel,9677,2,5,0.0
9699,Landkreis_Starnberg,9699,8,33,96802.26042707005
9714,Abgeordnetenhaus_von_Berlin,9714,14,1,112395.20099687885
10228,Samuel_Hahnemann,10228,1,5,0.0
10260,Wolfgang_Thierse,10260,2,9,0.0
10605,Endokrine_Drüse,10605,2,13,0.0
10647,Ashmore-_und_Cartierinseln,10647,4,31,3564.7026865236667
11471,Erich_Heckel,11471,1,9,0.0
12298,Haus_Wettin,12298,5,6,52430.28464285249
12667,Santo_Domingo,12667,1,9,0.0
12777,Kasimir_Sewerinowitsch_Malewitsch,12777,4,34,28710.987407344117
13662,Der_Bettelstudent,13662,1,2,0.0
13819,Dülmen,13819,1,7,0.0
13829,Nischni_Nowgorod,13829,12,34,87698.31750141985
13875,Kaunas,13875,11,9,213873.9786622282
13938,Fränkische_Saale,13938,1,15,0.0
13983,Eiger,13983,7,8,1880.9617012771823
14313,Weißrussische_Sprache,14313,6,9,421531.08138710965
14497,Libration,14497,2,21,20856.0
14734,Walter_Momper,14734,7,1,11868.205845837852
14740,Senat_von_Berlin,14740,18,1,207530.6805555752
14777,Wahl_zum_Abgeordnetenhaus_von_Berlin,14777,4,1,7123.549318273962
14868,Eberhard_Diepgen,14868,5,1,703.7548311974876
14908,Dag_Hammarskjöld,14908,3,6,0.0
14926,"Ulla_Schmidt_(Politikerin,_1949)",14926,2,1,5217.0
15017,Liste_der_Wintersportarten,15017,2,12,7193.791742111766
15065,Zakopane,15065,13,8,454977.7806888201
15396,Ostjerusalem,15396,18,0,22070.137250374275
15662,Kjetil_André_Aamodt,15662,23,8,3143.5105383808886
15839,Eugene_Cernan,15839,2,3,5217.000000000001
16234,Olsztyn,16234,1,14,0.0
16278,Evonik_Degussa,16278,8,9,201542.22353552532
16322,Zahnradbahn,16322,11,8,221069.7363613828
16335,Indymedia,16335,3,22,43842.302706631155
16347,Jurek_Becker,16347,5,9,40085.24914287287
16448,Robert_Havemann,16448,4,9,1213.8117538617591
17064,Glasnost,17064,3,9,5500.704713915353
