,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,3.0,96.0,Argon,0.952584147453308,Q696,STEM.STEM*,96.0,10432.0,2.0,9449.0
1,3.0,96.0,Argon,0.8439050912857056,Q696,STEM.Chemistry,96.0,10432.0,2.0,9449.0
2,3.0,96.0,Argon,0.11280541121959685,Q696,Culture.Food_and_drink,96.0,10432.0,2.0,9449.0
3,2.0,98.0,Astat,0.9836069941520692,Q999,STEM.STEM*,98.0,0.0,2.0,2643.0
4,2.0,98.0,Astat,0.9763205647468568,Q999,STEM.Chemistry,98.0,0.0,2.0,2643.0
5,2.0,98.0,Astat,0.14805719256401062,Q999,History_and_Society.Society,98.0,0.0,2.0,2643.0
6,2.0,98.0,Astat,0.0,Q999,Geography.Regions.Americas.North_America,98.0,0.0,2.0,2643.0
7,9.0,416.0,Altes Reich,0.9972090721130372,Q177819,History_and_Society.History,416.0,44245.556440183034,6.0,3502.0
8,9.0,416.0,Altes Reich,0.7490972280502319,Q177819,Geography.Regions.Africa.Africa*,416.0,44245.556440183034,6.0,3502.0
9,9.0,416.0,Altes Reich,0.14805719256401062,Q177819,Geography.Regions.Africa.Northern_Africa,416.0,44245.556440183034,6.0,3502.0
10,5.0,481.0,Barry Levinson,0.9993836879730223,Q269692,Culture.Biography.Biography*,481.0,157204.43080272028,14.0,1192.0
11,5.0,481.0,Barry Levinson,0.23006861114501956,Q269692,Geography.Regions.Americas.North_America,481.0,157204.43080272028,14.0,1192.0
12,5.0,481.0,Barry Levinson,0.14415885508060455,Q269692,Culture.Media.Media*,481.0,157204.43080272028,14.0,1192.0
13,2.0,1248.0,Europium,0.9850529432296752,Q1396,STEM.STEM*,1248.0,0.0,2.0,1869.0
14,2.0,1248.0,Europium,0.9539760947227478,Q1396,STEM.Chemistry,1248.0,0.0,2.0,1869.0
15,1.0,1597.0,Fritz Kuhn,0.9883227348327636,Q78408,Culture.Biography.Biography*,1597.0,0.0,26.0,1865.0
16,1.0,1597.0,Fritz Kuhn,0.40093068981170654,Q78408,Geography.Regions.Europe.Western_Europe,1597.0,0.0,26.0,1865.0
17,1.0,1597.0,Fritz Kuhn,0.3893042674064636,Q78408,Geography.Regions.Europe.Europe*,1597.0,0.0,26.0,1865.0
