modularity_class,Subtopic,Percentage,Count
0,Media*,44.5,117
0,Films,25.9,68
0,History,9.1,24
0,Performing_arts,4.2,11
0,Television,3.4,9
0,Literature,2.3,6
0,Society,1.9,5
0,Military_and_warfare,1.5,4
0,Sports,1.5,4
0,Politics_and_government,0.8,2
0,Architecture,0.8,2
0,Europe*,0.8,2
0,Engineering,0.8,2
0,Music,0.4,1
0,North_America,0.4,1
0,Earth_and_environment,0.4,1
0,Philosophy_and_religion,0.4,1
0,Linguistics,0.4,1
0,Education,0.4,1
0,Transportation,0.4,1
1,Media*,33.9,77
1,History,22.5,51
1,Television,7.5,17
1,Literature,6.6,15
1,Business_and_economics,4.4,10
1,Military_and_warfare,3.5,8
1,Films,3.1,7
1,Performing_arts,3.1,7
1,Music,2.2,5
1,Politics_and_government,2.2,5
1,Society,1.8,4
1,Sports,1.8,4
1,Visual_arts*,1.3,3
1,Transportation,1.3,3
1,Philosophy_and_religion,1.3,3
1,Western_Europe,0.9,2
1,Geographical,0.9,2
1,Northern_Europe,0.4,1
1,Libraries_&_Information,0.4,1
1,Europe*,0.4,1
1,Biology,0.4,1
2,Military_and_warfare,33.0,65
2,Engineering,16.2,32
2,Transportation,12.7,25
2,Politics_and_government,8.6,17
2,Visual_arts*,3.6,7
2,Media*,2.5,5
2,History,2.5,5
2,Literature,2.0,4
2,Business_and_economics,2.0,4
2,Society,2.0,4
2,STEM*,1.5,3
2,Biology,1.5,3
2,Computing,1.0,2
2,Geographical,1.0,2
2,Architecture,1.0,2
2,Philosophy_and_religion,1.0,2
2,Western_Europe,1.0,2
2,Video_games,0.5,1
2,Technology,0.5,1
2,Sports,0.5,1
2,Southern_Europe,0.5,1
2,Africa*,0.5,1
2,Physics,0.5,1
2,Performing_arts,0.5,1
2,North_America,0.5,1
2,Medicine_&_Health,0.5,1
2,Films,0.5,1
2,Europe*,0.5,1
2,Asia*,0.5,1
2,Music,0.5,1
3,Earth_and_environment,26.1,36
3,Transportation,13.0,18
3,Society,8.7,12
3,Western_Europe,6.5,9
3,STEM*,4.3,6
3,Politics_and_government,4.3,6
3,Business_and_economics,2.9,4
3,Geographical,2.9,4
3,Biology,2.2,3
3,Visual_arts*,2.2,3
3,Sports,2.2,3
3,Physics,2.2,3
3,Philosophy_and_religion,2.2,3
3,Military_and_warfare,2.2,3
3,Medicine_&_Health,2.2,3
3,Media*,2.2,3
3,Europe*,2.2,3
3,Oceania,1.4,2
3,History,1.4,2
3,Technology,1.4,2
3,Engineering,1.4,2
3,Literature,0.7,1
3,List_Disambig,0.7,1
3,Linguistics,0.7,1
3,Internet_culture,0.7,1
3,Southern_Europe,0.7,1
3,Films,0.7,1
3,Television,0.7,1
3,Architecture,0.7,1
4,Media*,44.6,83
4,Sports,10.8,20
4,Music,9.7,18
4,Television,7.0,13
4,History,7.0,13
4,Films,5.4,10
4,Business_and_economics,3.2,6
4,Performing_arts,2.2,4
4,Visual_arts*,1.1,2
4,Linguistics,1.1,2
4,Literature,1.1,2
4,Politics_and_government,1.1,2
4,Society,1.1,2
4,Architecture,0.5,1
4,South_America,0.5,1
4,Transportation,0.5,1
4,Military_and_warfare,0.5,1
4,Biology,0.5,1
4,Food_and_drink,0.5,1
4,Fashion,0.5,1
4,Entertainment,0.5,1
4,West_Asia,0.5,1
5,Media*,42.1,131
5,Films,32.2,100
5,History,5.8,18
5,Music,4.5,14
5,Performing_arts,2.6,8
5,Business_and_economics,1.3,4
5,Sports,1.3,4
5,North_America,1.3,4
5,Visual_arts*,1.3,4
5,Military_and_warfare,1.0,3
5,Literature,1.0,3
5,Philosophy_and_religion,1.0,3
5,Television,1.0,3
5,Politics_and_government,0.6,2
5,Society,0.6,2
5,Transportation,0.6,2
5,Biology,0.6,2
5,Medicine_&_Health,0.3,1
5,Linguistics,0.3,1
5,STEM*,0.3,1
5,Earth_and_environment,0.3,1
6,Military_and_warfare,37.5,42
6,Politics_and_government,11.6,13
6,Society,10.7,12
6,Visual_arts*,6.2,7
6,Media*,6.2,7
6,Philosophy_and_religion,6.2,7
6,History,5.4,6
6,Business_and_economics,2.7,3
6,Films,2.7,3
6,Western_Europe,1.8,2
6,Medicine_&_Health,1.8,2
6,STEM*,1.8,2
6,Sports,0.9,1
6,Transportation,0.9,1
6,Biology,0.9,1
6,Books,0.9,1
6,Eastern_Europe,0.9,1
6,Music,0.9,1
7,Politics_and_government,53.9,337
7,Media*,7.0,44
7,Business_and_economics,5.6,35
7,Western_Europe,5.4,34
7,History,4.5,28
7,STEM*,3.2,20
7,Military_and_warfare,3.0,19
7,Philosophy_and_religion,2.2,14
7,Society,2.2,14
7,Linguistics,1.8,11
7,Europe*,1.4,9
7,Literature,1.3,8
7,Transportation,1.1,7
7,Education,1.1,7
7,Sports,1.0,6
7,Visual_arts*,0.8,5
7,Television,0.5,3
7,Technology,0.3,2
7,Music,0.3,2
7,Architecture,0.3,2
7,Medicine_&_Health,0.3,2
7,Entertainment,0.3,2
7,Engineering,0.3,2
7,Earth_and_environment,0.3,2
7,Computing,0.3,2
7,Biology,0.2,1
7,Libraries_&_Information,0.2,1
7,Physics,0.2,1
7,Food_and_drink,0.2,1
7,Films,0.2,1
7,Eastern_Europe,0.2,1
7,Chemistry,0.2,1
7,List_Disambig,0.2,1
8,Transportation,35.0,48
8,Military_and_warfare,13.9,19
8,History,13.1,18
8,Business_and_economics,5.1,7
8,Society,5.1,7
8,Technology,3.6,5
8,Europe*,3.6,5
8,Politics_and_government,3.6,5
8,Media*,2.9,4
8,Western_Europe,2.2,3
8,Visual_arts*,2.2,3
8,Medicine_&_Health,2.2,3
8,STEM*,2.2,3
8,Northern_Europe,1.5,2
8,Architecture,0.7,1
8,Sports,0.7,1
8,Engineering,0.7,1
8,Eastern_Europe,0.7,1
8,North_America,0.7,1
9,Sports,21.9,30
9,History,13.1,18
9,Media*,12.4,17
9,Business_and_economics,9.5,13
9,Western_Europe,5.1,7
9,Politics_and_government,4.4,6
9,Europe*,4.4,6
9,Philosophy_and_religion,3.6,5
9,Military_and_warfare,3.6,5
9,Engineering,3.6,5
9,Visual_arts*,2.9,4
9,Literature,2.2,3
9,Music,2.2,3
9,STEM*,1.5,2
9,Society,1.5,2
9,Television,1.5,2
9,Biology,1.5,2
9,Mathematics,0.7,1
9,Medicine_&_Health,0.7,1
9,Entertainment,0.7,1
9,Performing_arts,0.7,1
