,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,3.0,261.0,Albany (New York),0.9732507467269896,Q24861,Geography.Geographical,261.0,11964.845937935437,20.0,2428.0,0.0,Geography,Geographical,Albany (New York)
1,4.0,417.0,Aussetzung des Handels,0.1097157895565033,Q780328,STEM.Computing,417.0,14315.380313828398,7.0,6033.0,0.4388631582260132,STEM,Computing,Suspension of trade
2,3.0,827.0,Catherine Oxenberg,0.11280541121959685,Q235284,Culture.Media.Media*,827.0,1325.552824108377,0.0,4046.0,0.3384162336587905,Culture,Media*,Catherine Oxenberg
3,8.0,1072.0,Domitian,0.9553291201591492,Q1423,History_and_Society.History,1072.0,97944.91965651649,20.0,2650.0,7.6426329612731925,History_and_Society,History,Domitian
4,3.0,1313.0,Estnische Sprache,0.9958112239837646,Q9072,Culture.Linguistics,1313.0,8985.0,25.0,3753.0,2.987433671951294,Culture,Linguistics,Estonian language
5,10.0,1767.0,Finanzkrise,0.8558611869812012,Q114380,History_and_Society.Business_and_economics,1767.0,36957.0396573642,7.0,2599.0,8.558611869812013,History_and_Society,Business_and_economics,Financial crisis
6,3.0,1796.0,Glaube,0.9748311638832092,Q5410500,Culture.Philosophy_and_religion,1796.0,10192.192880905524,26.0,3040.0,2.924493491649628,Culture,Philosophy_and_religion,Faith
7,2.0,1894.0,Georgius Agricola,0.989681839942932,Q76579,Culture.Biography.Biography*,1894.0,4808.541550603011,7.0,3296.0,0.0,Culture,Biography*,Georgius Agricola
8,1.0,2330.0,Hohen Neuendorf,0.9995657801628112,Q545340,Geography.Regions.Europe.Western_Europe,2330.0,0.0,15.0,3737.0,0.0,Geography,Western_Europe,Hohen Neuendorf
9,6.0,2342.0,Italowestern,0.994455099105835,Q212781,Culture.Media.Films,2342.0,2247.166666666667,18.0,4510.0,5.96673059463501,Culture,Films,Italian western
10,10.0,2495.0,Joschka Fischer,0.11597072333097458,Q57344,History_and_Society.Politics_and_government,2495.0,61506.17034506872,22.0,35300.0,1.1597072333097458,History_and_Society,Politics_and_government,Joschka Fischer
11,2.0,2499.0,John Coltrane,0.9124462008476256,Q7346,Culture.Media.Music,2499.0,4493.0,20.0,3216.0,1.8248924016952512,Culture,Music,John Coltrane
12,5.0,2569.0,Jive,0.5698626637458801,Q17237,Culture.Performing_arts,2569.0,3949.4863023273133,24.0,2125.0,2.8493133187294006,Culture,Performing_arts,Jive
13,8.0,2707.0,Kofi Annan,0.3140605390071869,Q1254,History_and_Society.Politics_and_government,2707.0,86749.17997169714,2.0,4087.0,2.512484312057495,History_and_Society,Politics_and_government,Kofi Annan
14,9.0,3032.0,Lateinamerikanische Tänze,0.8221991658210754,Q1457972,Culture.Performing_arts,3032.0,24187.02524588394,24.0,3036.0,7.399792492389679,Culture,Performing_arts,Latin American dances
15,3.0,3132.0,Luxemburg (Stadt),0.9553291201591492,Q1842,Geography.Regions.Europe.Europe*,3132.0,54106.88804741911,7.0,69608.0,0.0,Geography,Europe*,Luxembourg City
16,4.0,3228.0,Meteorologie,0.839743971824646,Q25261,STEM.Earth_and_environment,3228.0,14096.826512030486,15.0,3163.0,3.358975887298584,STEM,Earth_and_environment,meteorology
17,4.0,3272.0,Massaker,0.59267657995224,Q3199915,Culture.Philosophy_and_religion,3272.0,26812.305756992755,10.0,1822.0,2.37070631980896,Culture,Philosophy_and_religion,massacre
18,1.0,3396.0,Mimi Leder,1.0000100135803225,Q268881,Culture.Biography.Biography*,3396.0,0.0,0.0,939.0,0.0,Culture,Biography*,Mimi leather
19,2.0,3642.0,Neandertal,0.8221991658210754,Q170081,Geography.Regions.Europe.Europe*,3642.0,3281.229753897523,37.0,2257.0,0.0,Geography,Europe*,Neandertal
20,3.0,3828.0,"Paul Verhoeven (Regisseur, 1938)",0.23371636867523202,Q129079,Culture.Media.Media*,3828.0,7559.613614061845,15.0,4217.0,0.7011491060256961,Culture,Media*,"Paul Verhoeven (director, 1938)"
21,5.0,4272.0,Rems-Murr-Kreis,0.94500470161438,Q8528,Geography.Regions.Europe.Western_Europe,4272.0,36408.57630352268,33.0,4160.0,0.0,Geography,Western_Europe,Rems-Murr district
22,4.0,4341.0,Rheingau-Taunus-Kreis,0.9850529432296752,Q7907,Geography.Regions.Europe.Western_Europe,4341.0,86.48311153530796,22.0,2848.0,0.0,Geography,Western_Europe,Rheingau-Taunus district
23,13.0,4372.0,Bayreuther Festspiele,0.9992059469223022,Q157596,Culture.Media.Music,4372.0,610.2143359744331,36.0,2678.0,12.98967730998993,Culture,Music,Bayreuth Festival
24,5.0,4449.0,Sergio Leone,0.13661839067935946,Q164562,Culture.Media.Media*,4449.0,2245.5,18.0,8058.0,0.6830919533967973,Culture,Media*,Sergio Leone
25,5.0,4502.0,Sydney Pollack,0.18714269995689392,Q51522,History_and_Society.Society,4502.0,23256.08617493593,26.0,3132.0,0.9357134997844696,History_and_Society,Society,Sydney Pollack
26,6.0,4668.0,Sundance Film Festival,0.7826725244522095,Q189887,Culture.Media.Films,4668.0,54107.517002268876,26.0,1416.0,4.696035146713257,Culture,Films,Sundance Film Festival
27,7.0,4772.0,Sophokles,0.59267657995224,Q7235,History_and_Society.History,4772.0,111651.11183819202,10.0,3532.0,4.14873605966568,History_and_Society,History,Sophocles
28,3.0,4813.0,Slasher-Film,1.0000100135803225,Q853630,Culture.Media.Media*,4813.0,31409.0,23.0,1132.0,3.000030040740968,Culture,Media*,Slasher film
29,1.0,4975.0,Sakkara,0.8221991658210754,Q192134,History_and_Society.History,4975.0,0.0,0.0,2036.0,0.8221991658210754,History_and_Society,History,Saqqara
30,6.0,5075.0,Theodor Heuss,0.13297423720359802,Q2594,History_and_Society.Politics_and_government,5075.0,97892.24276959301,22.0,11070.0,0.7978454232215881,History_and_Society,Politics_and_government,Theodor Heuss
31,3.0,5560.0,Wall Street,0.5078218579292297,Q11690,Geography.Regions.Americas.North_America,5560.0,5678.066056795205,25.0,2989.0,0.0,Geography,North_America,Wall Street
32,4.0,5676.0,Wiener Walzer,0.6654205918312073,Q878948,Culture.Performing_arts,5676.0,11955.442545659693,24.0,1990.0,2.661682367324829,Culture,Performing_arts,Viennese waltz
33,72.0,7847.0,Autor,0.7826725244522095,Q482980,Culture.Literature,7847.0,1903845.5807686213,19.0,3542.0,56.35242176055908,Culture,Literature,author
34,1.0,8322.0,Epizentrum,0.22816647589206696,Q106032,STEM.Technology,8322.0,0.0,7.0,5143.0,0.22816647589206696,STEM,Technology,epicenter
35,7.0,8469.0,Mehrheitswahl,0.7186043858528137,Q5557375,History_and_Society.Politics_and_government,8469.0,51069.215223651816,34.0,3037.0,5.030230700969696,History_and_Society,Politics_and_government,Majority vote
