,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,2.0,5.0,Ang Lee,0.3775506913661957,Q160726,History_and_Society.Society,5.0,0.0,1.0,2251.0,0.7551013827323914,History_and_Society,Society
1,10.0,416.0,Altes Reich,0.9972090721130372,Q177819,History_and_Society.History,416.0,15692.875238934676,29.0,4042.0,9.972090721130373,History_and_Society,History
2,6.0,529.0,Brian Eno,0.6723417043685913,Q569003,Culture.Media.Media*,529.0,7920.511185329385,3.0,3025.0,4.034050226211548,Culture,Media*
3,5.0,828.0,Charlie Parker,0.967909336090088,Q103767,Culture.Media.Music,828.0,3203.822658055121,3.0,3165.0,4.83954668045044,Culture,Music
4,1.0,891.0,Carl Barks,0.8903042674064636,Q11941,Culture.Visual_arts.Visual_arts*,891.0,0.0,1.0,2312.0,0.8903042674064636,Culture,Visual_arts*
5,1.0,895.0,Castel del Monte,0.6513648629188538,Q215897,Culture.Visual_arts.Visual_arts*,895.0,0.0,4.0,2747.0,0.6513648629188538,Culture,Visual_arts*
6,5.0,1247.0,Einsteinium,0.9659096002578736,Q1892,STEM.Chemistry,1247.0,15280.522591173873,14.0,4940.0,4.829548001289369,STEM,Chemistry
7,5.0,1313.0,Estnische Sprache,0.9958112239837646,Q9072,Culture.Linguistics,1313.0,26467.73843940056,16.0,4104.0,4.979056119918823,Culture,Linguistics
8,17.0,1316.0,Erdbeben,0.40734341740608215,Q7944,History_and_Society.Politics_and_government,1316.0,294721.5714777332,22.0,13542.0,6.924838095903397,History_and_Society,Politics_and_government
9,2.0,1374.0,Emmy Noether,0.4688006341457367,Q7099,History_and_Society.History,1374.0,4101.14047010586,18.0,2553.0,0.9376012682914734,History_and_Society,History
10,5.0,1803.0,Goldene Himbeere/Schlechtester Film,0.9937201142311096,Q1780634,Culture.Media.Films,1803.0,3046.0,24.0,0.0,4.968600571155548,Culture,Films
11,3.0,2098.0,Getränk,0.4610267877578736,Q40050,Culture.Food_and_drink,2098.0,10906.396486007518,2.0,2931.0,1.3830803632736208,Culture,Food_and_drink
