,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,120,Astronom,120,1,6,0.0,Q11063
1,416,Altes Reich,416,4,17,13530.93234835396,Q177819
2,435,Akrostichon,435,2,43,3436.2353254881004,Q173287
3,462,Beruf,462,1,2,0.0,Q28640
4,482,Bernardo Bertolucci,482,9,18,185188.1691037775,Q53009
5,645,Bata Illic,645,2,13,40794.14184701922,Q810689
6,646,Bernhard Grzimek,646,2,26,6350.942211090372,Q65906
7,828,Charlie Parker,828,4,12,16140.0,Q103767
8,1168,Discofox,1168,4,25,4037.0,Q1228530
9,1205,Danaergeschenk,1205,1,10,0.0,Q1159255
10,1272,Edwin Hubble,1272,3,31,4037.0,Q43027
11,1566,Friedrich Wilhelm Murnau,1566,1,0,0.0,Q55412
12,1874,Gernika,1874,2,14,0.0,Q189848
13,2175,Hundertjähriger Krieg,2175,8,45,29844.777066134036,Q12551
14,2177,Hochmittelalter,2177,9,10,172827.94428844473,Q212685
15,2191,Halifax (Nova Scotia),2191,5,41,12767.333333333301,Q2141
16,2395,Indus-Kultur,2395,6,17,89952.27101968734,Q42534
17,2396,Indus,2396,2,17,44297.0,Q7348
18,2590,Jürgen Trittin,2590,2,2,4037.0,Q11762
19,2787,Kronberg im Taunus,2787,4,5,29894.012965277132,Q569634
20,3166,Mary Pickford,3166,7,18,53142.329466700554,Q104109
21,4138,Pranger,4138,1,45,0.0,Q241212
22,4323,Raumstation,4323,7,31,39796.09489394087,Q25956
23,4372,Bayreuther Festspiele,4372,13,16,125450.525282128,Q157596
24,4500,Suspense,4500,4,10,69479.97750044611,Q9503
25,4762,Skylab,4762,2,31,1801.0307415304862,Q190776
26,4764,Saljut,4764,5,31,4309.743693261149,Q207933
27,5043,Thallium,5043,3,4,4037.0,Q932
28,5080,Theismus,5080,1,17,0.0,Q620805
29,5336,Ursula K. Le Guin,5336,2,15,4037.0,Q181659
30,8460,Elia Kazan,8460,6,11,56338.28571428571,Q72717
31,8943,Körperflüssigkeit,8943,1,36,0.0,Q1058795
32,8970,Verbrechen gegen die Menschlichkeit,8970,14,5,201853.81807167907,Q173462
33,9167,Asmara,9167,2,24,4037.0,Q3642
34,9293,Rheinsberg,9293,1,32,0.0,Q537268
35,9299,Seelow,9299,3,1,0.0,Q587069
36,9371,Lychen,9371,4,5,24123.419270232145,Q635901
37,9497,Kindertag,9497,4,6,30416.65481858834,Q37081
38,10260,Wolfgang Thierse,10260,3,2,605.2177351994404,Q62703
39,11261,Semester,11261,4,6,35055.04255007975,Q2269240
40,11487,Emil von Behring,11487,15,4,122115.36060882069,Q76425
41,12290,Fuggerei,12290,1,2,0.0,Q835406
42,12421,Hagiographie,12421,1,33,0.0,Q208628
43,12709,Marschall,12709,13,33,352933.59868658165,Q111837
44,12926,Egon Erwin Kisch,12926,4,7,33928.719853587834,Q78791
45,13083,Arabische Liga,13083,6,5,130125.1279676703,Q7172
46,13151,Erwin Piscator,13151,3,5,24428.27810017645,Q60978
47,13217,Thetis (Mythologie),13217,1,3,0.0,Q184437
48,13286,Nelly Sachs,13286,2,21,0.0,Q57074
49,13407,Leoniden (Meteorstrom),13407,1,31,0.0,Q189698
50,13627,Leo XIII.,13627,4,2,17929.792183482034,Q43922
51,13788,Weißes Meer,13788,1,17,0.0,Q44133
52,13825,Thrombus,13825,2,40,19490.922357276784,Q1588755
53,13836,Tirana,13836,2,29,4037.0,Q19689
54,13903,Omsk,13903,3,37,8073.0,Q898
55,13907,Astrachan,13907,2,17,0.5,Q3927
56,13916,Oderbruch,13916,7,1,3692.157785311259,Q26577
57,14007,Harbin,14007,2,32,47383.80406607959,Q42956
58,14070,Gifhorn,14070,3,40,8072.0,Q14813
59,14099,Hexentanzplatz (Harz),14099,1,10,0.0,Q896729
60,14429,Hindenburgdamm,14429,3,40,25600.316260295298,Q481593
61,14793,Carl Zuckmayer,14793,7,0,249446.5487337045,Q76820
62,14897,Wolfgang Clement,14897,8,2,4679.617597412204,Q61009
63,15043,Hohe Tatra,15043,1,8,0.0,Q690323
64,15201,Asylrecht (Deutschland),15201,2,2,4037.0,Q752592
65,15353,Flash Gordon,15353,2,19,0.0,Q92566
66,15429,Polnischer Korridor,15429,3,16,2001.555407729544,Q156654
67,15443,Mitteldeutschland,15443,1,26,0.0,Q524856
68,15618,Norbert Blüm,15618,46,2,824994.9797296362,Q66632
69,15813,Teilchenbeschleuniger,15813,2,26,0.0,Q130825
70,15845,Erika Pluhar,15845,2,13,4037.0,Q86551
71,15856,Lothar Späth,15856,3,2,226.25467369236256,Q69349
72,16183,Liste von Flugzeugherstellern,16183,1,14,0.0,Q1070211
73,16197,Otto Grotewohl,16197,1,16,0.0,Q77210
74,16548,Friedrich Christian Flick,16548,3,2,2018.0,Q110057
75,16559,Lovis Corinth,16559,3,26,15821.720345291697,Q157610
76,16734,Werner Finck,16734,3,17,167234.63602946227,Q85490
77,17213,Ruhr-Universität Bochum,17213,7,40,137723.1765970294,Q309948
78,17426,Kefalonia,17426,2,26,14478.053110588911,Q178488
79,17433,Kalmückien,17433,2,17,0.5,Q3953
80,17513,Ionische Inseln,17513,1,42,0.0,Q170295
81,17523,Ulan-Ude,17523,1,37,0.0,Q6816
82,17533,UFA,17533,2,18,4037.0,Q41468
83,17604,AwtoWAS,17604,24,21,44293.00707240778,Q2309
84,17691,Groningen,17691,7,32,50647.49412674183,Q749
85,17693,Valéry Giscard d’Estaing,17693,1,15,0.0,Q2124
86,18415,Amt Neuhaus,18415,2,26,0.0,Q479687
87,18504,Neustrelitz,18504,7,16,133067.19619857369,Q20352
88,18801,Todesstrafe,18801,44,5,1286624.7555679006,Q8454
89,18813,Gaia-Hypothese,18813,1,17,0.0,Q208184
90,18920,Radio Bremen,18920,19,28,351406.1418547342,Q694837
91,18964,Freiheitliche Partei Österreichs,18964,11,41,177928.99948946558,Q131692
92,19264,Demmin,19264,6,16,57801.73868101492,Q50960
93,19342,Serbien und Montenegro,19342,2,27,4037.0,Q37024
94,19398,Verlag,19398,4,40,49614.48107570701,Q2085381
95,19537,Hoppegarten,19537,3,40,12105.0,Q375199
96,19726,Hedwig Dohm,19726,8,15,11698.166752919731,Q71491
97,19769,Kykladen,19769,2,42,20165.0,Q171132
98,19780,Emiliano Zapata,19780,10,11,9397.285714285548,Q41718
99,19802,Renata Tebaldi,19802,2,3,725.1680022934564,Q229179
100,19873,Discovery (Raumfähre),19873,2,31,4037.0,Q54384
101,19880,Sojus (Raumschiff),19880,7,31,6568.156538712773,Q579421
102,19902,Mössingen,19902,1,6,0.0,Q525575
103,19940,Burg Falkenstein (Harz),19940,1,11,0.0,Q317023
104,20267,Kurland,20267,5,6,100970.12346958248,Q185072
105,20394,Sopot,20394,3,28,93603.01523317953,Q92689
106,20527,Bernhard Vogel (Ministerpräsident),20527,10,2,157201.40931458466,Q74268
107,22166,John Phillips (Sänger),22166,2,2,2938.721317370019,Q506592
108,22233,Dnipro,22233,5,21,23054.371190654816,Q48256
109,22340,Wolfgang Gruner,22340,1,0,0.0,Q1475362
110,22419,Sassnitz,22419,3,6,14262.509652896517,Q494631
111,22839,Altkatholische Kirche,22839,2,16,3954.6294890581744,Q5169816
112,22982,Rudolf Virchow,22982,9,4,29854.9847166427,Q76432
113,23426,Mae West,23426,2,28,4037.0,Q202878
114,23641,Lokale Gruppe,23641,4,31,56347.0,Q3944
115,24116,Karl der Kühne,24116,3,45,4037.0,Q151120
116,24119,Staatsbibliothek zu Berlin,24119,2,26,3634.31912994048,Q170109
117,24242,Wilhelm I. (Oranien),24242,1,5,0.0,Q78454
118,24379,Georg,24379,3,6,4037.0,Q1985538
119,24484,Ferdinand Lassalle,24484,5,37,34688.714494838765,Q75784
120,25093,Die Wühlmäuse,25093,5,13,21472.85693858169,Q1217653
121,25923,Karl V. (Frankreich),25923,6,45,5045.810344188083,Q167782
122,26004,KZ Dachau,26004,40,5,429005.3267920052,Q151198
123,26465,7. Sinfonie (Beethoven),26465,2,3,6270.759751279355,Q260957
124,26928,Otto III. (HRR),26928,2,33,4037.0,Q151090
125,27098,Tianjin,27098,9,18,93749.16481544543,Q11736
126,27529,Oswald von Nell-Breuning,27529,6,2,16392.434945872705,Q76702
127,27588,Markus (Evangelist),27588,3,6,34714.039539186844,Q31966
128,27591,Markus (Vorname),27591,3,6,8042.949657576094,Q17520949
129,27841,Landkreis Uckermark,27841,1,11,0.0,Q6109
130,27857,KZ Stutthof,27857,7,16,225272.8495577221,Q326193
131,28005,Paul Ehrlich,28005,14,4,79637.47152094479,Q57089
132,28754,Tag der Arbeit,28754,1,37,0.0,Q25840122
133,28930,Naturschutzbund Deutschland,28930,1,22,0.0,Q516755
134,28968,Ilja Iljitsch Metschnikow,28968,3,4,21453.781782993305,Q172254
135,29025,Siegfried Buback,29025,2,15,4037.0,Q61101
136,29051,Kreisauer Kreis,29051,5,38,184.9650289073445,Q675215
137,29206,Khmer (Volk),29206,4,39,5380.833333333181,Q201028
138,29381,Havelland,29381,2,17,5836.241213561873,Q897270
139,29620,Mario Botta,29620,1,19,0.0,Q122363
140,29757,Württemberg-Hohenzollern,29757,6,26,9059.149316293306,Q262733
141,29761,Württemberg-Baden,29761,5,26,26147.298261110824,Q251660
142,29833,Agenda 2010,29833,11,2,113962.7216154536,Q392563
143,29934,Feiertag,29934,16,37,81899.11972301522,Q1445650
144,30503,Drehleier,30503,2,3,4037.0,Q207821
145,31149,Karl Renner,31149,9,37,18221.442931501842,Q11726
146,31334,Kolonisation,31334,6,38,54844.08565595358,Q815962
147,31994,Südvietnam,31994,7,39,98310.0575487257,Q180573
148,32652,Yehudi Menuhin,32652,6,15,16334.473587322584,Q156814
149,32736,Gattaca,32736,4,1,11426.747783486797,Q491800
150,32853,Reinbek,32853,6,6,118031.08121171685,Q516405
151,33277,Transportflugzeug,33277,3,14,111473.22053277494,Q20035789
152,33742,Vancouver Island,33742,2,0,24192.0,Q170479
153,33814,Kreis Ostholstein,33814,2,6,11293.081936760158,Q2975
154,33849,Blaxploitation,33849,5,1,5382.000000000353,Q883179
155,33866,Fehmarnsundbrücke,33866,2,28,0.0,Q503740
156,33952,Reichsburg Trifels,33952,2,36,19285.050562553733,Q559202
157,34561,Katharina von Siena,34561,2,14,5635.752645099804,Q229190
158,35564,Schah,35564,8,24,41836.52045328405,Q184299
159,35720,Samba (Tanz),35720,4,25,4103.907431309625,Q1340043
160,35867,Manfred von Ardenne,35867,4,26,9394.206478024602,Q70999
161,36368,Dead Man Walking – Sein letzter Gang,36368,2,22,85883.38527576941,Q587891
162,36595,Kurt Biedenkopf,36595,8,2,60521.43506104268,Q64176
163,36778,Nordenham,36778,4,5,92768.83123200572,Q503711
164,36875,Don (Asowsches Meer),36875,6,17,24203.0,Q1229
165,36917,Neue Frankfurter Schule,36917,4,15,0.0,Q1443600
166,36935,Robert Gernhardt,36935,6,15,33813.39595491993,Q70300
167,37096,Tatort,37096,3,30,15333.956973029652,Q1360677
168,37315,Carl Gustav Jacob Jacobi,37315,2,17,0.0,Q76564
169,37541,Lukas,37541,1,30,0.0,Q20790
170,37698,Liste der Raumfahrer,37698,3,31,16136.0,Q931500
171,37816,Knesset,37816,9,27,19823.21794504084,Q133396
172,37920,Morgenländisches Schisma,37920,2,42,515.9681433340495,Q51648
173,38033,Nebel,38033,1,14,0.0,Q37477
