modularity_class,Count,Ratio,Subtopic
0,47,26.1,Media*
0,38,21.1,Sports
0,34,18.9,Films
0,13,7.2,History
0,7,3.9,Visual_arts*
0,7,3.9,Performing_arts
0,7,3.9,Literature
0,6,3.3,Music
0,4,2.2,North_America
0,3,1.7,Transportation
0,2,1.1,STEM*
0,2,1.1,Politics_and_government
0,1,0.6,Television
0,1,0.6,Society
0,1,0.6,Architecture
0,1,0.6,Books
0,1,0.6,Linguistics
0,1,0.6,Engineering
0,1,0.6,Education
0,1,0.6,Earth_and_environment
0,1,0.6,Business_and_economics
0,1,0.6,Medicine_&_Health
1,33,26.8,Media*
1,19,15.4,Music
1,16,13.0,Films
1,14,11.4,Performing_arts
1,8,6.5,History
1,6,4.9,Literature
1,5,4.1,Business_and_economics
1,4,3.3,Philosophy_and_religion
1,4,3.3,Society
1,3,2.4,Television
1,3,2.4,Medicine_&_Health
1,2,1.6,Books
1,1,0.8,STEM*
1,1,0.8,Architecture
1,1,0.8,Linguistics
1,1,0.8,Entertainment
1,1,0.8,Education
1,1,0.8,Visual_arts*
2,57,39.9,Music
2,20,14.0,Media*
2,14,9.8,Business_and_economics
2,11,7.7,Films
2,8,5.6,Politics_and_government
2,4,2.8,History
2,3,2.1,Military_and_warfare
2,3,2.1,Sports
2,3,2.1,Society
2,3,2.1,Performing_arts
2,2,1.4,STEM*
2,2,1.4,Literature
2,2,1.4,Medicine_&_Health
2,1,0.7,Philosophy_and_religion
2,1,0.7,Transportation
2,1,0.7,Technology
2,1,0.7,Books
2,1,0.7,North_America
2,1,0.7,List_Disambig
2,1,0.7,Internet_culture
2,1,0.7,Europe*
2,1,0.7,Education
2,1,0.7,Computing
2,1,0.7,Visual_arts*
3,74,43.5,Politics_and_government
3,18,10.6,Sports
3,9,5.3,Education
3,9,5.3,Military_and_warfare
3,7,4.1,History
3,6,3.5,Media*
3,5,2.9,Transportation
3,5,2.9,Business_and_economics
3,4,2.4,STEM*
3,4,2.4,Philosophy_and_religion
3,4,2.4,Society
3,3,1.8,Linguistics
3,3,1.8,Literature
3,3,1.8,Films
3,2,1.2,Geographical
3,2,1.2,Medicine_&_Health
3,2,1.2,Music
3,2,1.2,Engineering
3,1,0.6,Visual_arts*
3,1,0.6,Earth_and_environment
3,1,0.6,North_America
3,1,0.6,Europe*
3,1,0.6,Food_and_drink
3,1,0.6,Chemistry
3,1,0.6,Libraries_&_Information
3,1,0.6,Western_Europe
4,379,92.7,Sports
4,6,1.5,Politics_and_government
4,3,0.7,Engineering
4,3,0.7,Media*
4,3,0.7,Philosophy_and_religion
4,2,0.5,Asia*
4,2,0.5,History
4,2,0.5,Linguistics
4,2,0.5,Society
4,2,0.5,Technology
4,2,0.5,Transportation
4,1,0.2,Films
4,1,0.2,Literature
4,1,0.2,Oceania
5,34,36.2,Media*
5,26,27.7,Films
5,5,5.3,Transportation
5,4,4.3,Music
5,4,4.3,Literature
5,4,4.3,Military_and_warfare
5,3,3.2,Society
5,2,2.1,North_America
5,2,2.1,Politics_and_government
5,2,2.1,Western_Europe
5,1,1.1,Fashion
5,1,1.1,List_Disambig
5,1,1.1,STEM*
5,1,1.1,History
5,1,1.1,Television
5,1,1.1,Food_and_drink
5,1,1.1,Video_games
5,1,1.1,Books
6,246,33.3,Politics_and_government
6,108,14.6,Military_and_warfare
6,59,8.0,Media*
6,42,5.7,Transportation
6,34,4.6,Business_and_economics
6,26,3.5,North_America
6,25,3.4,History
6,24,3.3,Literature
6,18,2.4,Education
6,16,2.2,Sports
6,15,2.0,Visual_arts*
6,15,2.0,STEM*
6,15,2.0,Society
6,10,1.4,Medicine_&_Health
6,10,1.4,Linguistics
6,10,1.4,Technology
6,9,1.2,Architecture
6,9,1.2,Films
6,8,1.1,Philosophy_and_religion
6,6,0.8,Earth_and_environment
6,4,0.5,Music
6,3,0.4,Space
6,3,0.4,List_Disambig
6,3,0.4,Engineering
6,3,0.4,Biology
6,2,0.3,Internet_culture
6,2,0.3,Geographical
6,2,0.3,Food_and_drink
6,2,0.3,Southeast_Asia
6,2,0.3,Central_America
6,1,0.1,Mathematics
6,1,0.1,Libraries_&_Information
6,1,0.1,Entertainment
6,1,0.1,Computing
6,1,0.1,Chemistry
6,1,0.1,Television
6,1,0.1,Africa*
7,41,42.3,Media*
7,19,19.6,Television
7,6,6.2,Music
7,6,6.2,Literature
7,5,5.2,Video_games
7,3,3.1,Business_and_economics
7,3,3.1,Internet_culture
7,2,2.1,History
7,2,2.1,Politics_and_government
7,2,2.1,Society
7,2,2.1,Films
7,1,1.0,Comics_and_Anime
7,1,1.0,Oceania
7,1,1.0,Performing_arts
7,1,1.0,Technology
7,1,1.0,Education
7,1,1.0,Western_Europe
8,75,39.5,Media*
8,35,18.4,Films
8,26,13.7,Music
8,16,8.4,History
8,6,3.2,Literature
8,5,2.6,Politics_and_government
8,4,2.1,Society
8,4,2.1,Performing_arts
8,2,1.1,Philosophy_and_religion
8,2,1.1,Military_and_warfare
8,2,1.1,Visual_arts*
8,1,0.5,List_Disambig
8,1,0.5,Books
8,1,0.5,North_America
8,1,0.5,Linguistics
8,1,0.5,Internet_culture
8,1,0.5,Central_America
8,1,0.5,STEM*
8,1,0.5,Business_and_economics
8,1,0.5,South_America
8,1,0.5,Southern_Europe
8,1,0.5,Sports
8,1,0.5,Television
8,1,0.5,Architecture
9,44,25.4,Sports
9,39,22.5,Earth_and_environment
9,23,13.3,North_America
9,11,6.4,Transportation
9,11,6.4,Media*
9,6,3.5,Military_and_warfare
9,5,2.9,Politics_and_government
9,5,2.9,Engineering
9,5,2.9,Biology
9,4,2.3,STEM*
9,2,1.2,Television
9,2,1.2,History
9,2,1.2,Linguistics
9,2,1.2,Society
9,2,1.2,Oceania
9,1,0.6,Technology
9,1,0.6,Architecture
9,1,0.6,Physics
9,1,0.6,Music
9,1,0.6,Medicine_&_Health
9,1,0.6,Literature
9,1,0.6,Films
9,1,0.6,Fashion
9,1,0.6,Computing
9,1,0.6,Visual_arts*
10,57,41.3,Media*
10,37,26.8,Music
10,29,21.0,Society
10,4,2.9,Television
10,3,2.2,Education
10,1,0.7,Food_and_drink
10,1,0.7,Internet_culture
10,1,0.7,Linguistics
10,1,0.7,Performing_arts
10,1,0.7,Politics_and_government
10,1,0.7,STEM*
10,1,0.7,Transportation
10,1,0.7,Visual_arts*
11,126,52.5,Sports
11,27,11.2,Politics_and_government
11,26,10.8,Media*
11,14,5.8,Internet_culture
11,10,4.2,Video_games
11,5,2.1,Education
11,5,2.1,Linguistics
11,5,2.1,Literature
11,3,1.2,Technology
11,2,0.8,Medicine_&_Health
11,2,0.8,Television
11,2,0.8,Business_and_economics
11,1,0.4,Philosophy_and_religion
