,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
0,10.0,3010.0,Alan Jay Lerner,0.997894287109375,Q961893,Culture.Biography.Biography*,87924.25524925707,8.0
1,10.0,3010.0,Alan Jay Lerner,0.839743971824646,Q961893,Culture.Performing_arts,87924.25524925707,8.0
2,10.0,3010.0,Alan Jay Lerner,0.7122421860694885,Q961893,Culture.Media.Music,87924.25524925707,8.0
3,10.0,3010.0,Alan Jay Lerner,0.585111141204834,Q961893,Culture.Media.Media*,87924.25524925707,8.0
4,10.0,3010.0,Alan Jay Lerner,0.1294127255678177,Q961893,Culture.Literature,87924.25524925707,8.0
5,10.0,3010.0,Alan Jay Lerner,0.09919838809967041,Q961893,Geography.Regions.Americas.North_America,87924.25524925707,8.0
6,26.0,4887.0,British Army,0.9219318628311157,Q222595,History_and_Society.Military_and_warfare,1071247.477990389,27.0
7,26.0,4887.0,British Army,0.16027602553367615,Q222595,History_and_Society.Politics_and_government,1071247.477990389,27.0
8,26.0,4887.0,British Army,0.1067005917429924,Q222595,History_and_Society.History,1071247.477990389,27.0
9,26.0,4887.0,British Army,0.10667316818237305,Q222595,Geography.Regions.Europe.Europe*,1071247.477990389,27.0
10,26.0,4887.0,British Army,0.0,Q222595,Geography.Regions.Europe.Northern_Europe,1071247.477990389,27.0
11,1.0,5285.0,STS-51-F,1.0000100135803223,Q827094,STEM.Space,0.0,26.0
12,1.0,5285.0,STS-51-F,0.9996179938316345,Q827094,History_and_Society.Transportation,0.0,26.0
13,1.0,5285.0,STS-51-F,0.9984612464904785,Q827094,STEM.Technology,0.0,26.0
14,1.0,5285.0,STS-51-F,0.998142421245575,Q827094,STEM.STEM*,0.0,26.0
15,11.0,6984.0,Colin Powell,0.9990094900131226,Q150851,Culture.Biography.Biography*,914286.878671036,25.0
16,11.0,6984.0,Colin Powell,0.839743971824646,Q150851,History_and_Society.Military_and_warfare,914286.878671036,25.0
17,11.0,6984.0,Colin Powell,0.4843900501728058,Q150851,History_and_Society.Politics_and_government,914286.878671036,25.0
18,11.0,6984.0,Colin Powell,0.3862146010398865,Q150851,Geography.Regions.Americas.North_America,914286.878671036,25.0
19,11.0,6984.0,Colin Powell,0.12253321707248688,Q150851,History_and_Society.Society,914286.878671036,25.0
