,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,22.0,1593.0,Alexander I of Scotland,0.9958112239837646,Q60843,Culture.Biography.Biography*,571.3929391749613,3.0,4739.0
1,22.0,1593.0,Alexander I of Scotland,0.8354935646057129,Q60843,History_and_Society.History,571.3929391749613,3.0,4739.0
2,22.0,1593.0,Alexander I of Scotland,0.13297423720359802,Q60843,History_and_Society.Military_and_warfare,571.3929391749613,3.0,4739.0
3,22.0,1593.0,Alexander I of Scotland,0.1067005917429924,Q60843,History_and_Society.Politics_and_government,571.3929391749613,3.0,4739.0
4,22.0,1593.0,Alexander I of Scotland,0.0,Q60843,Geography.Regions.Europe.Northern_Europe,571.3929391749613,3.0,4739.0
5,22.0,1593.0,Alexander I of Scotland,0.0,Q60843,Geography.Regions.Europe.Europe*,571.3929391749613,3.0,4739.0
6,3.0,1979.0,Alpha Centauri,1.0000100135803225,Q12176,STEM.Space,12481.0,14.0,31812.0
7,3.0,1979.0,Alpha Centauri,0.9994397163391112,Q12176,STEM.STEM*,12481.0,14.0,31812.0
8,4.0,2799.0,American Registry for Internet Numbers,0.9553291201591492,Q282503,STEM.Computing,24952.0,14.0,2526.0
9,4.0,2799.0,American Registry for Internet Numbers,0.8740872144699097,Q282503,STEM.STEM*,24952.0,14.0,2526.0
10,4.0,2799.0,American Registry for Internet Numbers,0.839743971824646,Q282503,STEM.Technology,24952.0,14.0,2526.0
11,4.0,2799.0,American Registry for Internet Numbers,0.7826725244522095,Q282503,Culture.Internet_culture,24952.0,14.0,2526.0
12,4.0,2799.0,American Registry for Internet Numbers,0.7773098945617676,Q282503,Culture.Media.Software,24952.0,14.0,2526.0
13,4.0,2799.0,American Registry for Internet Numbers,0.6654205918312073,Q282503,Culture.Media.Media*,24952.0,14.0,2526.0
14,4.0,2799.0,American Registry for Internet Numbers,0.6001983880996704,Q282503,History_and_Society.Business_and_economics,24952.0,14.0,2526.0
15,4.0,2799.0,American Registry for Internet Numbers,0.2227101624011993,Q282503,History_and_Society.Politics_and_government,24952.0,14.0,2526.0
16,4.0,2799.0,American Registry for Internet Numbers,0.21734751760959625,Q282503,Culture.Media.Video_games,24952.0,14.0,2526.0
17,4.0,2799.0,American Registry for Internet Numbers,0.1294127255678177,Q282503,History_and_Society.Education,24952.0,14.0,2526.0
18,4.0,2799.0,American Registry for Internet Numbers,0.1294127255678177,Q282503,STEM.Space,24952.0,14.0,2526.0
19,4.0,2799.0,American Registry for Internet Numbers,0.10088862478733064,Q282503,History_and_Society.Transportation,24952.0,14.0,2526.0
20,4.0,2799.0,American Registry for Internet Numbers,0.07650540971755981,Q282503,Geography.Regions.Americas.North_America,24952.0,14.0,2526.0
21,3.0,3355.0,Benjamin Lee Whorf,0.9886782765388488,Q331853,Culture.Biography.Biography*,6241.0,14.0,3460.0
22,3.0,3355.0,Benjamin Lee Whorf,0.320831298828125,Q331853,Culture.Linguistics,6241.0,14.0,3460.0
23,3.0,3355.0,Benjamin Lee Whorf,0.2689514458179474,Q331853,STEM.STEM*,6241.0,14.0,3460.0
24,3.0,3355.0,Benjamin Lee Whorf,0.24509501457214355,Q331853,History_and_Society.History,6241.0,14.0,3460.0
25,3.0,3355.0,Benjamin Lee Whorf,0.2227101624011993,Q331853,History_and_Society.Society,6241.0,14.0,3460.0
26,3.0,3355.0,Benjamin Lee Whorf,0.14034625887870789,Q331853,Culture.Philosophy_and_religion,6241.0,14.0,3460.0
27,3.0,3355.0,Benjamin Lee Whorf,0.0,Q331853,Geography.Regions.Americas.North_America,6241.0,14.0,3460.0
28,7.0,3862.0,American League Division Series,0.9241518378257751,Q465503,Culture.Sports,33410.53224166467,7.0,2656.0
29,7.0,3862.0,American League Division Series,0.19826446676254272,Q465503,Geography.Regions.Americas.North_America,33410.53224166467,7.0,2656.0
30,2.0,4871.0,Bob Knight,0.9984121918678284,Q888594,Culture.Biography.Biography*,6241.0,11.0,37100.0
31,2.0,4871.0,Bob Knight,0.9937201142311096,Q888594,Culture.Sports,6241.0,11.0,37100.0
32,2.0,4871.0,Bob Knight,0.2921159734725952,Q888594,Geography.Regions.Americas.North_America,6241.0,11.0,37100.0
33,2.0,4942.0,Bagpuss,0.9871888160705566,Q2879179,Culture.Media.Media*,0.0,6.0,3569.0
34,2.0,4942.0,Bagpuss,0.984585464000702,Q2879179,Culture.Media.Television,0.0,6.0,3569.0
35,76.0,6231.0,Comic book,0.8080772161483765,Q1760610,Culture.Visual_arts.Visual_arts*,319225.8502207616,6.0,28820.0
36,76.0,6231.0,Comic book,0.3775506913661957,Q1760610,Culture.Literature,319225.8502207616,6.0,28820.0
37,76.0,6231.0,Comic book,0.3702353835105896,Q1760610,Culture.Visual_arts.Comics_and_Anime,319225.8502207616,6.0,28820.0
38,76.0,6231.0,Comic book,0.2227101624011993,Q1760610,STEM.STEM*,319225.8502207616,6.0,28820.0
39,76.0,6231.0,Comic book,0.16886694729328156,Q1760610,Culture.Media.Media*,319225.8502207616,6.0,28820.0
40,87.0,7729.0,Captain America,0.9908843636512756,Q190679,Culture.Literature,5234.537044155226,6.0,89456.0
41,87.0,7729.0,Captain America,0.3073680400848389,Q190679,Culture.Visual_arts.Visual_arts*,5234.537044155226,6.0,89456.0
42,87.0,7729.0,Captain America,0.2814156115055084,Q190679,Culture.Media.Media*,5234.537044155226,6.0,89456.0
43,87.0,7729.0,Captain America,0.24509501457214355,Q190679,Culture.Visual_arts.Comics_and_Anime,5234.537044155226,6.0,89456.0
44,87.0,7729.0,Captain America,0.1097157895565033,Q190679,Culture.Media.Films,5234.537044155226,6.0,89456.0
45,3.0,7740.0,Charles C. Krulak,0.9984121918678284,Q328390,Culture.Biography.Biography*,360.4246632604945,12.0,2519.0
46,3.0,7740.0,Charles C. Krulak,0.9814634323120116,Q328390,History_and_Society.Military_and_warfare,360.4246632604945,12.0,2519.0
47,3.0,7740.0,Charles C. Krulak,0.2869412174224853,Q328390,Geography.Regions.Americas.North_America,360.4246632604945,12.0,2519.0
48,3.0,7740.0,Charles C. Krulak,0.0,Q328390,Geography.Regions.Asia.Southeast_Asia,360.4246632604945,12.0,2519.0
49,3.0,7740.0,Charles C. Krulak,0.0,Q328390,Geography.Regions.Asia.Asia*,360.4246632604945,12.0,2519.0
50,2.0,7767.0,Circuit Zandvoort,0.7931159734725952,Q173083,Geography.Regions.Europe.Western_Europe,6241.0,16.0,6060.0
51,2.0,7767.0,Circuit Zandvoort,0.7606606483459473,Q173083,Geography.Regions.Europe.Europe*,6241.0,16.0,6060.0
52,2.0,7767.0,Circuit Zandvoort,0.7122421860694885,Q173083,Culture.Sports,6241.0,16.0,6060.0
53,2.0,7767.0,Circuit Zandvoort,0.14415885508060455,Q173083,Culture.Visual_arts.Architecture,6241.0,16.0,6060.0
54,2.0,7767.0,Circuit Zandvoort,0.13661839067935946,Q173083,Culture.Visual_arts.Visual_arts*,6241.0,16.0,6060.0
55,2.0,8222.0,Deseret alphabet,0.946606695652008,Q1200582,Culture.Linguistics,6241.000000000001,15.0,3056.0
56,2.0,8222.0,Deseret alphabet,0.0,Q1200582,Geography.Regions.Asia.Asia*,6241.000000000001,15.0,3056.0
57,103.0,9105.0,DC Comics,0.8080772161483765,Q2924461,Culture.Visual_arts.Comics_and_Anime,289023.0869969496,6.0,102721.0
58,103.0,9105.0,DC Comics,0.7773098945617676,Q2924461,History_and_Society.Business_and_economics,289023.0869969496,6.0,102721.0
59,103.0,9105.0,DC Comics,0.6584275364875793,Q2924461,Culture.Literature,289023.0869969496,6.0,102721.0
60,103.0,9105.0,DC Comics,0.6297846436500549,Q2924461,Culture.Visual_arts.Visual_arts*,289023.0869969496,6.0,102721.0
61,103.0,9105.0,DC Comics,0.6076731681823729,Q2924461,Culture.Media.Media*,289023.0869969496,6.0,102721.0
62,103.0,9105.0,DC Comics,0.17818872833251953,Q2924461,Geography.Regions.Americas.North_America,289023.0869969496,6.0,102721.0
63,103.0,9105.0,DC Comics,0.15611489117145538,Q2924461,Culture.Media.Films,289023.0869969496,6.0,102721.0
64,2.0,11036.0,Fin,0.4301573634147644,Q778612,STEM.STEM*,6241.0,14.0,4176.0
65,2.0,11036.0,Fin,0.4225146472454071,Q778612,STEM.Engineering,6241.0,14.0,4176.0
66,2.0,11036.0,Fin,0.3276783227920532,Q778612,History_and_Society.Transportation,6241.0,14.0,4176.0
67,2.0,11036.0,Fin,0.1778208613395691,Q778612,STEM.Biology,6241.0,14.0,4176.0
68,2.0,11036.0,Fin,0.13297423720359802,Q778612,History_and_Society.Business_and_economics,6241.0,14.0,4176.0
69,6.0,11457.0,Fra Angelico,0.9960646033287048,Q5664,Culture.Biography.Biography*,6670.654357686629,14.0,17249.0
70,6.0,11457.0,Fra Angelico,0.4532718360424042,Q5664,Culture.Visual_arts.Visual_arts*,6670.654357686629,14.0,17249.0
71,6.0,11457.0,Fra Angelico,0.022430347442626952,Q5664,Geography.Regions.Europe.Europe*,6670.654357686629,14.0,17249.0
72,6.0,11457.0,Fra Angelico,0.0,Q5664,Geography.Regions.Europe.Southern_Europe,6670.654357686629,14.0,17249.0
73,6.0,11457.0,Fra Angelico,0.0,Q5664,Geography.Regions.Europe.Western_Europe,6670.654357686629,14.0,17249.0
74,91.0,11664.0,Fantastic Four,0.993317186832428,Q152098,Culture.Literature,2192.774321097339,6.0,47429.0
75,91.0,11664.0,Fantastic Four,0.9539760947227478,Q152098,Culture.Visual_arts.Comics_and_Anime,2192.774321097339,6.0,47429.0
76,91.0,11664.0,Fantastic Four,0.946606695652008,Q152098,Culture.Visual_arts.Visual_arts*,2192.774321097339,6.0,47429.0
77,91.0,11664.0,Fantastic Four,0.16886694729328156,Q152098,Culture.Media.Media*,2192.774321097339,6.0,47429.0
78,91.0,11664.0,Fantastic Four,0.14034625887870789,Q152098,Culture.Media.Entertainment,2192.774321097339,6.0,47429.0
79,1.0,13865.0,Heart of Oak,0.9914325475692748,Q2894680,Culture.Media.Music,0.0,12.0,2741.0
80,1.0,13865.0,Heart of Oak,0.9790457487106324,Q2894680,Culture.Media.Media*,0.0,12.0,2741.0
81,1.0,13865.0,Heart of Oak,0.0,Q2894680,Geography.Regions.Europe.Europe*,0.0,12.0,2741.0
82,2.0,14382.0,Hi-hat,0.9926641583442688,Q963334,Culture.Media.Music,6241.0,5.0,7944.0
83,2.0,14382.0,Hi-hat,0.9825675487518309,Q963334,Culture.Media.Media*,6241.0,5.0,7944.0
84,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Asia.Asia*,6241.0,5.0,7944.0
85,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Asia.Southeast_Asia,6241.0,5.0,7944.0
86,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Americas.North_America,6241.0,5.0,7944.0
87,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Americas.South_America,6241.0,5.0,7944.0
88,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Europe.Europe*,6241.0,5.0,7944.0
89,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Europe.Southern_Europe,6241.0,5.0,7944.0
90,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Asia.East_Asia,6241.0,5.0,7944.0
91,2.0,14382.0,Hi-hat,0.0,Q963334,Geography.Regions.Europe.Northern_Europe,6241.0,5.0,7944.0
92,16.0,14883.0,Iberian Peninsula,0.9979592561721802,Q12837,Geography.Regions.Europe.Europe*,192498.60634059648,23.0,47406.0
93,16.0,14883.0,Iberian Peninsula,0.9770326614379884,Q12837,Geography.Regions.Europe.Southern_Europe,192498.60634059648,23.0,47406.0
94,16.0,14883.0,Iberian Peninsula,0.6297846436500549,Q12837,Geography.Geographical,192498.60634059648,23.0,47406.0
95,1.0,16023.0,Juno,1.0,Q226151,Compilation.List_Disambig,0.0,20.0,2991.0
96,1.0,16023.0,Juno,0.7057950496673584,Q226151,Culture.Linguistics,0.0,20.0,2991.0
97,8.0,16121.0,Joshua,0.974052667617798,Q7734,Culture.Philosophy_and_religion,184139.56479299688,14.0,39131.0
98,8.0,16121.0,Joshua,0.8840492963790894,Q7734,History_and_Society.History,184139.56479299688,14.0,39131.0
99,8.0,16121.0,Joshua,0.7122421860694885,Q7734,Culture.Biography.Biography*,184139.56479299688,14.0,39131.0
100,8.0,16121.0,Joshua,0.5156299471855164,Q7734,Culture.Literature,184139.56479299688,14.0,39131.0
101,8.0,16121.0,Joshua,0.0,Q7734,Geography.Regions.Asia.West_Asia,184139.56479299688,14.0,39131.0
102,8.0,16121.0,Joshua,0.0,Q7734,Geography.Regions.Asia.Asia*,184139.56479299688,14.0,39131.0
103,16.0,16207.0,Joseph Gurney Cannon,1.0000100135803225,Q984248,Culture.Biography.Biography*,1354837.555660165,2.0,3018.0
104,16.0,16207.0,Joseph Gurney Cannon,0.9659096002578736,Q984248,History_and_Society.Politics_and_government,1354837.555660165,2.0,3018.0
105,16.0,16207.0,Joseph Gurney Cannon,0.4649096002578735,Q984248,Geography.Regions.Americas.North_America,1354837.555660165,2.0,3018.0
106,16.0,16207.0,Joseph Gurney Cannon,0.1824355274438858,Q984248,History_and_Society.Military_and_warfare,1354837.555660165,2.0,3018.0
107,94.0,16556.0,Jack Kirby,0.99567848443985,Q311607,Culture.Biography.Biography*,112523.06731147926,6.0,250984.0
108,94.0,16556.0,Jack Kirby,0.8991314172744751,Q311607,Culture.Visual_arts.Visual_arts*,112523.06731147926,6.0,250984.0
109,94.0,16556.0,Jack Kirby,0.8933194279670715,Q311607,Culture.Literature,112523.06731147926,6.0,250984.0
110,94.0,16556.0,Jack Kirby,0.8670457601547241,Q311607,Culture.Visual_arts.Comics_and_Anime,112523.06731147926,6.0,250984.0
111,94.0,16556.0,Jack Kirby,0.10088862478733064,Q311607,Culture.Media.Media*,112523.06731147926,6.0,250984.0
112,94.0,16556.0,Jack Kirby,0.0,Q311607,Geography.Regions.Americas.North_America,112523.06731147926,6.0,250984.0
113,14.0,16899.0,Kareem Abdul-Jabbar,1.0000100135803225,Q179051,Culture.Biography.Biography*,1310815.4263205251,7.0,126332.0
114,14.0,16899.0,Kareem Abdul-Jabbar,0.9073222279548644,Q179051,Culture.Sports,1310815.4263205251,7.0,126332.0
115,14.0,16899.0,Kareem Abdul-Jabbar,0.3893042674064636,Q179051,Geography.Regions.Americas.North_America,1310815.4263205251,7.0,126332.0
116,14.0,16899.0,Kareem Abdul-Jabbar,0.348655104637146,Q179051,History_and_Society.Society,1310815.4263205251,7.0,126332.0
117,14.0,16899.0,Kareem Abdul-Jabbar,0.11280541121959685,Q179051,Culture.Biography.Women,1310815.4263205251,7.0,126332.0
118,8.0,17948.0,Lake Michigan,0.9304682612419128,Q1169,Geography.Geographical,6243.076190476189,5.0,19544.0
119,8.0,17948.0,Lake Michigan,0.8903042674064636,Q1169,Geography.Regions.Americas.North_America,6243.076190476189,5.0,19544.0
120,21.0,18477.0,Lulach,0.9983615279197692,Q117633,Culture.Biography.Biography*,409.31336966016715,3.0,3671.0
121,21.0,18477.0,Lulach,0.8840492963790894,Q117633,History_and_Society.History,409.31336966016715,3.0,3671.0
122,21.0,18477.0,Lulach,0.2227101624011993,Q117633,History_and_Society.Military_and_warfare,409.31336966016715,3.0,3671.0
123,21.0,18477.0,Lulach,0.0,Q117633,Geography.Regions.Europe.Northern_Europe,409.31336966016715,3.0,3671.0
124,21.0,18477.0,Lulach,0.0,Q117633,Geography.Regions.Europe.Europe*,409.31336966016715,3.0,3671.0
125,15.0,18879.0,Massachusetts Institute of Technology,0.9496793746948242,Q49108,History_and_Society.Education,111576.05005011582,25.0,61676.0
126,15.0,18879.0,Massachusetts Institute of Technology,0.812877357006073,Q49108,Geography.Regions.Americas.North_America,111576.05005011582,25.0,61676.0
127,15.0,18879.0,Massachusetts Institute of Technology,0.14415885508060455,Q49108,STEM.STEM*,111576.05005011582,25.0,61676.0
128,3.0,19299.0,Royal Moroccan Armed Forces,0.9073222279548644,Q34511,History_and_Society.Military_and_warfare,12480.0,3.0,6388.0
129,3.0,19299.0,Royal Moroccan Armed Forces,0.38304929637908935,Q34511,Geography.Regions.Africa.Africa*,12480.0,3.0,6388.0
130,3.0,19299.0,Royal Moroccan Armed Forces,0.2816725244522095,Q34511,Geography.Regions.Africa.Northern_Africa,12480.0,3.0,6388.0
131,3.0,19299.0,Royal Moroccan Armed Forces,0.0,Q34511,Geography.Regions.Europe.Europe*,12480.0,3.0,6388.0
132,8.0,19948.0,Monica Lewinsky,0.9987257122993468,Q212659,Culture.Biography.Biography*,59505.54836986668,14.0,173363.0
133,8.0,19948.0,Monica Lewinsky,0.8267217874526978,Q212659,Culture.Biography.Women,59505.54836986668,14.0,173363.0
134,8.0,19948.0,Monica Lewinsky,0.2942249774932861,Q212659,History_and_Society.Business_and_economics,59505.54836986668,14.0,173363.0
135,8.0,19948.0,Monica Lewinsky,0.23006861114501956,Q212659,Geography.Regions.Americas.North_America,59505.54836986668,14.0,173363.0
136,8.0,19948.0,Monica Lewinsky,0.22816647589206696,Q212659,Culture.Media.Media*,59505.54836986668,14.0,173363.0
137,8.0,19948.0,Monica Lewinsky,0.16452647745609286,Q212659,History_and_Society.Society,59505.54836986668,14.0,173363.0
138,8.0,19948.0,Monica Lewinsky,0.1520422399044037,Q212659,STEM.STEM*,59505.54836986668,14.0,173363.0
139,8.0,19948.0,Monica Lewinsky,0.10375863313674928,Q212659,Culture.Visual_arts.Visual_arts*,59505.54836986668,14.0,173363.0
140,6.0,20321.0,Mackinac Bridge,0.9344051480293274,Q12568,Culture.Visual_arts.Architecture,0.0,5.0,19162.0
141,6.0,20321.0,Mackinac Bridge,0.9304682612419128,Q12568,Culture.Visual_arts.Visual_arts*,0.0,5.0,19162.0
142,6.0,20321.0,Mackinac Bridge,0.8903042674064636,Q12568,Geography.Regions.Americas.North_America,0.0,5.0,19162.0
