,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1051,Alexis_Carrel,11.25,0,146,232,-9.195307,-9.707448,1051,2,12,4602.0
1200,Atomic_physics,16.25,0,136,97,-16.363468,-0.8956069,1200,6,15,8103.408768368337
1750,Andaman_Islands,55.0,0,135,255,-1.2021897,20.81984,1750,37,22,40864.8905530973
1791,Anti-ballistic_missile,17.5,69,155,0,16.646498,13.823251,1791,7,4,64294.99999999999
2238,Antipope_John_XXIII,11.25,192,192,192,15.534996,-8.61799,2238,2,26,0.0
2340,Antipope_Felix_II,11.25,192,192,192,-11.043402,-22.291103,2340,2,26,0.0
4754,Blue_Streak_(missile),13.75,69,155,0,18.808428,-0.480191,4754,4,4,2.5
5574,History_of_Croatia,10.0,192,192,192,0.25860718,-15.788147,5574,1,4,0.0
6446,Camouflage,13.75,0,159,54,-18.332634,22.744215,6446,4,18,19019.606789788668
6696,Chain_mail,12.5,192,192,192,-17.178188,9.937805,6696,3,4,27587.0
7034,Cruiser,32.5,192,192,192,-5.0319533,6.4245243,7034,19,20,125715.25797115425
7131,Charles_Evers,10.0,192,192,192,1.856142,-4.847801,7131,1,17,0.0
7341,Cowboy_Bebop,15.0,192,192,192,20.764416,12.940931,7341,5,30,91714.0
8912,Drake_equation,25.0,192,192,192,-17.976023,1.9043835,8912,13,40,3111.583333333559
9093,De_Havilland_Mosquito,15.0,192,192,192,-16.918804,-1.5330373,9093,5,38,18401.0
9937,Kingdom_of_Essex,22.5,192,192,192,14.862984,19.420717,9937,11,3,31966.89285714286
10568,Association_football,193.75,0,163,145,-13.618437,-11.885574,10568,148,14,2505614.871842162
10573,Fox_Film,12.5,0,174,240,15.661828,-0.7114051,10573,3,6,12042.03609920799
12664,General-purpose_machine_gun,11.25,69,155,0,-0.3501101,5.425149,12664,2,4,4602.0
13967,Habakkuk,11.25,192,192,192,21.051104,11.259492,13967,2,26,0.0
14097,History_of_Asia,12.5,192,192,192,8.627955,15.5564,14097,3,9,30400.529580748786
15579,Communications_in_Japan,10.0,192,192,192,20.400091,16.111795,15579,1,20,0.0
16095,Jimi_Hendrix,33.75,192,192,192,-24.649689,5.7045503,16095,20,11,262538.9568429516
17049,Khmer_Rouge,35.0,192,192,192,21.581102,-0.81853133,17049,21,44,12405.535380993204
18109,Lennon_Wall,10.0,192,192,192,-11.502509,14.008208,18109,1,34,0.0
19027,My_Fair_Lady,15.0,192,192,192,20.207033,-11.153071,19027,5,1,361655.2213455713
19211,Mayotte,12.5,192,192,192,20.642246,16.815434,19211,3,41,27190.03825095744
20454,Montreux_Convention_Regarding_the_Regime_of_the_Straits,11.25,192,192,192,10.393785,-20.525183,20454,2,4,5114.973088590184
21711,Neon_Genesis_Evangelion,20.0,192,192,192,-18.825878,16.975845,21711,9,30,73420.33333333333
22050,North_American_Free_Trade_Agreement,21.25,192,192,192,-2.7772877,10.190634,22050,10,28,409378.0219133628
23241,Telecommunications_in_China,15.0,192,192,192,24.011927,-22.354517,23241,5,9,121548.81799241772
23790,Pope_Alexander_VIII,18.75,192,192,192,11.743037,9.16163,23790,8,26,112.58208164201349
23810,Pope_Agapetus_I,18.75,192,192,192,0.5988516,-22.466452,23810,8,26,2300.5
23825,Pope_Adrian_II,20.0,192,192,192,17.247808,5.585651,23825,9,26,27680.89693077621
