,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,5.0,600.0,Andorra,0.9770326614379884,Q228,Geography.Geographical,0.0,1178704.4663569764,122.0,4.0,154.0,12.567568,8.874933,7.5713589999999975,141440.0,4.885163307189942,Geography,Geographical
1,5.0,888.0,A. E. van Vogt,0.9988405108451844,Q315059,Culture.Biography.Biography*,175.0,2055.558333333333,145.0,32.0,0.0,12.567568,-23.801172,-10.749991,9201.0,4.9942025542259225,Culture,Biography*
2,10.0,2299.0,"American Media, Inc.",0.8519628047943115,Q465666,History_and_Society.Business_and_economics,192.0,736890.1411291608,192.0,19.0,192.0,15.777026999999999,-10.377310000000001,10.615271,6780.0,8.519628047943115,History_and_Society,Business_and_economics
3,139.0,3356.0,Bill Clinton,0.9979592561721802,Q1124,Culture.Biography.Biography*,190.0,695313.4426714119,119.0,0.0,60.0,98.58108,15.855223,17.1535,603497.0,138.71633660793304,Culture,Biography*
4,25.0,3975.0,2001 United Kingdom general election,1.0000100135803225,Q590740,History_and_Society.Politics_and_government,225.0,106800.16884934565,71.0,6.0,228.0,25.405405,3.2973516000000003,-23.745008,5287.0,25.000250339508064,History_and_Society,Politics_and_government
5,1.0,4948.0,Banacek,0.9958112239837646,Q2071571,Culture.Media.Television,192.0,0.0,192.0,37.0,192.0,10.0,7.0760875,-2.9301062,2920.0,0.9958112239837646,Culture,Television
6,5.0,5370.0,Category of being,0.9344051480293274,Q714737,Culture.Philosophy_and_religion,192.0,30218.0,192.0,35.0,192.0,12.567568,23.892912,-15.542067999999999,2750.0,4.672025740146637,Culture,Philosophy_and_religion
7,5.0,6046.0,Cicero,0.994098961353302,Q1541,Culture.Biography.Biography*,54.0,50875.474956061786,159.0,27.0,0.0,12.567568,20.026148000000006,4.880579,59191.0,4.97049480676651,Culture,Biography*
8,44.0,6195.0,Calvin Coolidge,0.9992778301239014,Q36023,Culture.Biography.Biography*,190.0,614095.0511072155,119.0,0.0,60.0,37.601353,-9.565903,-7.024423599999999,84199.0,43.96822452545166,Culture,Biography*
9,2.0,6336.0,Chorded keyboard,0.9362950325012208,Q419894,Culture.Media.Music,225.0,0.0,71.0,6.0,228.0,10.6418915,-4.577128,-23.240402,2542.0,1.8725900650024416,Culture,Music
10,21.0,6357.0,Camp David,0.7310686111450195,Q309202,Geography.Regions.Americas.North_America,190.0,19018.442195315758,119.0,0.0,60.0,22.837837,-8.993243,-3.4744043,41260.0,15.35244083404541,Geography,North_America
11,1.0,7906.0,Destry Rides Again,0.997120440006256,Q607524,Culture.Media.Films,65.0,0.0,15.0,18.0,255.0,10.0,22.03292,1.4480815,6688.0,0.997120440006256,Culture,Films
12,87.0,8182.0,Dwight D. Eisenhower,0.9980222582817078,Q9916,Culture.Biography.Biography*,190.0,582880.5967597428,119.0,0.0,60.0,65.20270500000001,9.272860000000001,10.696662,204075.0,86.82793647050858,Culture,Biography*
13,64.0,8189.0,Demographic statistics,0.9304682612419128,Q1965979,STEM.Mathematics,156.0,0.0,77.0,40.0,187.0,50.43919,0.6472018,17.753544,8657.0,59.54996871948242,STEM,Mathematics
14,65.0,9546.0,Engineering statistics,0.233716368675232,Q5377902,STEM.Technology,156.0,55.32799805836184,77.0,40.0,187.0,51.08108,13.444154000000001,-4.497363,10215.0,15.19156396389008,STEM,Technology
15,21.0,9941.0,Æthelberht of Kent,0.9972090721130372,Q272173,Culture.Biography.Biography*,192.0,17194.80112942853,192.0,30.0,192.0,22.837837,11.569123,14.024578,3849.0,20.941390514373783,Culture,Biography*
16,21.0,10264.0,Enrico Fermi,0.9995517134666444,Q8753,Culture.Biography.Biography*,192.0,400002.74203236646,192.0,20.0,192.0,22.837837,9.252025,-6.628172,97718.0,20.990585982799534,Culture,Biography*
17,7.0,11033.0,Frederick Douglass,0.998977780342102,Q215562,Culture.Biography.Biography*,190.0,10418.662435778964,119.0,0.0,60.0,13.851351000000001,-14.581325,4.931621,144852.0,6.992844462394714,Culture,Biography*
