,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,4.0,1624.0,Andrew Johnson,0.999254584312439,Q8612,Culture.Biography.Biography*,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044
1,4.0,1624.0,Andrew Johnson,0.754925012588501,Q8612,History_and_Society.Politics_and_government,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044
2,4.0,1624.0,Andrew Johnson,0.6297846436500549,Q8612,History_and_Society.Military_and_warfare,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044
3,4.0,1624.0,Andrew Johnson,0.4089169969558716,Q8612,Geography.Regions.Americas.North_America,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044
4,4.0,1624.0,Andrew Johnson,0.1097157895565033,Q8612,History_and_Society.History,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044
5,3.0,1676.0,Alfonso XII of Spain,0.9916942119598389,Q32347,Culture.Biography.Biography*,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
6,3.0,1676.0,Alfonso XII of Spain,0.34290509128570557,Q32347,Geography.Regions.Europe.Europe*,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
7,3.0,1676.0,Alfonso XII of Spain,0.23935934901237488,Q32347,History_and_Society.Military_and_warfare,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
8,3.0,1676.0,Alfonso XII of Spain,0.10088862478733063,Q32347,History_and_Society.History,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
9,3.0,1676.0,Alfonso XII of Spain,0.05348043346405029,Q32347,Geography.Regions.Europe.Southern_Europe,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
10,3.0,1676.0,Alfonso XII of Spain,0.0,Q32347,Geography.Regions.Europe.Western_Europe,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114
11,2.0,2238.0,Antipope John XXIII,0.9972090721130371,Q294599,Culture.Biography.Biography*,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995
12,2.0,2238.0,Antipope John XXIII,0.9099169969558716,Q294599,Culture.Philosophy_and_religion,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995
13,2.0,2238.0,Antipope John XXIII,0.6584275364875793,Q294599,History_and_Society.History,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995
14,2.0,2238.0,Antipope John XXIII,0.21124218606948852,Q294599,Geography.Regions.Europe.Europe*,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995
15,2.0,2238.0,Antipope John XXIII,0.0,Q294599,Geography.Regions.Europe.Southern_Europe,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995
16,6.0,3080.0,Alexandria,0.7431780099868774,Q87,Geography.Geographical,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
17,6.0,3080.0,Alexandria,0.4225146472454071,Q87,History_and_Society.History,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
18,6.0,3080.0,Alexandria,0.2814156115055084,Q87,Geography.Regions.Asia.Asia*,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
19,6.0,3080.0,Alexandria,0.22271016240119934,Q87,Geography.Regions.Europe.Europe*,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
20,6.0,3080.0,Alexandria,0.21734751760959625,Q87,Culture.Philosophy_and_religion,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
21,6.0,3080.0,Alexandria,0.20690405368804932,Q87,Geography.Regions.Asia.West_Asia,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
22,6.0,3080.0,Alexandria,0.20690405368804932,Q87,Geography.Regions.Africa.Africa*,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
23,6.0,3080.0,Alexandria,0.11280541121959686,Q87,History_and_Society.Society,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533
24,4.0,3112.0,Arianespace,0.8596737384796143,Q309867,History_and_Society.Business_and_economics,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
25,4.0,3112.0,Arianespace,0.6370407938957214,Q309867,History_and_Society.Transportation,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
26,4.0,3112.0,Arianespace,0.59267657995224,Q309867,STEM.STEM*,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
27,4.0,3112.0,Arianespace,0.3276783227920532,Q309867,STEM.Technology,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
28,4.0,3112.0,Arianespace,0.30218379402160644,Q309867,Geography.Regions.Europe.Europe*,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
29,4.0,3112.0,Arianespace,0.2653036584854126,Q309867,Geography.Regions.Europe.Western_Europe,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
30,4.0,3112.0,Arianespace,0.23935934901237488,Q309867,STEM.Space,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
31,4.0,3112.0,Arianespace,0.16452647745609283,Q309867,STEM.Engineering,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997
32,15.0,3392.0,British Columbia,0.8706072568893433,Q1974,Geography.Regions.Americas.North_America,192.0,150677.68384087642,192.0,24.0,192.0,27.051283,-14.174605999999999,-6.724975
33,15.0,3392.0,British Columbia,0.7371681928634644,Q1974,Geography.Geographical,192.0,150677.68384087642,192.0,24.0,192.0,27.051283,-14.174605999999999,-6.724975
34,13.0,4054.0,Battleship,0.7931159734725952,Q182531,History_and_Society.Transportation,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001
35,13.0,4054.0,Battleship,0.6859594583511353,Q182531,History_and_Society.Military_and_warfare,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001
36,13.0,4054.0,Battleship,0.19194278120994568,Q182531,STEM.STEM*,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001
37,13.0,4054.0,Battleship,0.1520422399044037,Q182531,STEM.Technology,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001
38,26.0,4675.0,British Museum,0.771853506565094,Q6373,Culture.Visual_arts.Visual_arts*,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999
39,26.0,4675.0,British Museum,0.7057950496673584,Q6373,Culture.Visual_arts.Architecture,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999
40,26.0,4675.0,British Museum,0.59267657995224,Q6373,Geography.Regions.Europe.Europe*,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999
41,26.0,4675.0,British Museum,0.20182321965694427,Q6373,Geography.Regions.Europe.Northern_Europe,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999
42,35.0,5247.0,Country music,0.6513648629188538,Q83440,Culture.Media.Media*,240.0,1103816.176799283,174.0,17.0,0.0,51.410255,-6.6651697,-1.7799999
43,35.0,5247.0,Country music,0.585111141204834,Q83440,Culture.Media.Music,240.0,1103816.176799283,174.0,17.0,0.0,51.410255,-6.6651697,-1.7799999
44,35.0,5247.0,Country music,0.022430347442626952,Q83440,Geography.Regions.Americas.North_America,240.0,1103816.176799283,174.0,17.0,0.0,51.410255,-6.6651697,-1.7799999
45,11.0,5267.0,Constellation,0.9324633479118347,Q8928,STEM.STEM*,154.0,236810.79048226657,102.0,2.0,134.0,22.179489999999998,21.220779999999998,-10.195003999999999
46,11.0,5267.0,Constellation,0.8840492963790894,Q8928,STEM.Space,154.0,236810.79048226657,102.0,2.0,134.0,22.179489999999998,21.220779999999998,-10.195003999999999
47,11.0,5267.0,Constellation,0.10088862478733063,Q8928,Culture.Philosophy_and_religion,154.0,236810.79048226657,102.0,2.0,134.0,22.179489999999998,21.220779999999998,-10.195003999999999
48,2.0,6185.0,Chuck Yeager,0.997758150100708,Q271939,Culture.Biography.Biography*,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
49,2.0,6185.0,Chuck Yeager,0.9688661694526672,Q271939,History_and_Society.Military_and_warfare,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
50,2.0,6185.0,Chuck Yeager,0.8706072568893433,Q271939,History_and_Society.Transportation,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
51,2.0,6185.0,Chuck Yeager,0.8479777574539185,Q271939,STEM.Engineering,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
52,2.0,6185.0,Chuck Yeager,0.7186043858528137,Q271939,STEM.STEM*,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
53,2.0,6185.0,Chuck Yeager,0.2653036584854126,Q271939,Geography.Regions.Americas.North_America,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
54,2.0,6185.0,Chuck Yeager,0.0,Q271939,Geography.Regions.Asia.Asia*,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999
55,2.0,6187.0,Cologne,0.9553291201591492,Q365,Geography.Regions.Europe.Europe*,0.0,5296.000000000001,122.0,11.0,154.0,11.217949,-4.0939483999999995,-24.61415
56,2.0,6187.0,Cologne,0.9362950325012207,Q365,Geography.Regions.Europe.Western_Europe,0.0,5296.000000000001,122.0,11.0,154.0,11.217949,-4.0939483999999995,-24.61415
57,2.0,6187.0,Cologne,0.59267657995224,Q365,Geography.Geographical,0.0,5296.000000000001,122.0,11.0,154.0,11.217949,-4.0939483999999995,-24.61415
58,2.0,6187.0,Cologne,0.16452647745609283,Q365,History_and_Society.History,0.0,5296.000000000001,122.0,11.0,154.0,11.217949,-4.0939483999999995,-24.61415
59,6.0,6250.0,"Colorado Springs, Colorado",0.9748311638832092,Q49258,Geography.Geographical,97.0,98658.61851908914,136.0,32.0,0.0,16.089745,17.361407999999997,-15.701691
60,6.0,6250.0,"Colorado Springs, Colorado",0.8354935646057129,Q49258,Geography.Regions.Americas.North_America,97.0,98658.61851908914,136.0,32.0,0.0,16.089745,17.361407999999997,-15.701691
61,6.0,6250.0,"Colorado Springs, Colorado",0.1520422399044037,Q49258,History_and_Society.Society,97.0,98658.61851908914,136.0,32.0,0.0,16.089745,17.361407999999997,-15.701691
62,11.0,6653.0,Cape Town,0.9496793746948242,Q5465,Geography.Geographical,154.0,201624.76781250368,102.0,2.0,134.0,22.179489999999998,-13.784749,8.734847
63,11.0,6653.0,Cape Town,0.880807101726532,Q5465,Geography.Regions.Africa.Africa*,154.0,201624.76781250368,102.0,2.0,134.0,22.179489999999998,-13.784749,8.734847
64,11.0,6653.0,Cape Town,0.38492217659950256,Q5465,Geography.Regions.Africa.Southern_Africa,154.0,201624.76781250368,102.0,2.0,134.0,22.179489999999998,-13.784749,8.734847
65,11.0,6653.0,Cape Town,0.1259327530860901,Q5465,History_and_Society.History,154.0,201624.76781250368,102.0,2.0,134.0,22.179489999999998,-13.784749,8.734847
66,9.0,7034.0,Cruiser,0.9124462008476257,Q104843,History_and_Society.Transportation,255.0,53818.882128409656,135.0,13.0,0.0,19.74359,-8.091894,19.657295
