,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views
0,4.0,1624.0,Andrew Johnson,0.9992545843124391,Q8612,Culture.Biography.Biography*,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0
1,4.0,1624.0,Andrew Johnson,0.754925012588501,Q8612,History_and_Society.Politics_and_government,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0
2,4.0,1624.0,Andrew Johnson,0.6297846436500549,Q8612,History_and_Society.Military_and_warfare,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0
3,4.0,1624.0,Andrew Johnson,0.4089169969558716,Q8612,Geography.Regions.Americas.North_America,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0
4,4.0,1624.0,Andrew Johnson,0.1097157895565033,Q8612,History_and_Society.History,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0
5,3.0,1676.0,Alfonso XII of Spain,0.9916942119598388,Q32347,Culture.Biography.Biography*,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
6,3.0,1676.0,Alfonso XII of Spain,0.3429050912857056,Q32347,Geography.Regions.Europe.Europe*,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
7,3.0,1676.0,Alfonso XII of Spain,0.2393593490123749,Q32347,History_and_Society.Military_and_warfare,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
8,3.0,1676.0,Alfonso XII of Spain,0.10088862478733064,Q32347,History_and_Society.History,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
9,3.0,1676.0,Alfonso XII of Spain,0.053480433464050285,Q32347,Geography.Regions.Europe.Southern_Europe,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
10,3.0,1676.0,Alfonso XII of Spain,0.0,Q32347,Geography.Regions.Europe.Western_Europe,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0
11,2.0,2238.0,Antipope John XXIII,0.9972090721130372,Q294599,Culture.Biography.Biography*,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0
12,2.0,2238.0,Antipope John XXIII,0.9099169969558716,Q294599,Culture.Philosophy_and_religion,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0
13,2.0,2238.0,Antipope John XXIII,0.6584275364875793,Q294599,History_and_Society.History,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0
14,2.0,2238.0,Antipope John XXIII,0.21124218606948847,Q294599,Geography.Regions.Europe.Europe*,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0
15,2.0,2238.0,Antipope John XXIII,0.0,Q294599,Geography.Regions.Europe.Southern_Europe,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0
16,6.0,3080.0,Alexandria,0.7431780099868774,Q87,Geography.Geographical,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533,87665.0
17,6.0,3080.0,Alexandria,0.4225146472454071,Q87,History_and_Society.History,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533,87665.0
