,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,11.0,664.0,Astronaut,0.8706072568893433,Q11631,STEM.STEM*,664.0,50026.74166881093,15.0,23424.0
1,11.0,664.0,Astronaut,0.320831298828125,Q11631,History_and_Society.Transportation,664.0,50026.74166881093,15.0,23424.0
2,11.0,664.0,Astronaut,0.2942249774932861,Q11631,STEM.Technology,664.0,50026.74166881093,15.0,23424.0
3,11.0,664.0,Astronaut,0.287777841091156,Q11631,STEM.Space,664.0,50026.74166881093,15.0,23424.0
4,11.0,664.0,Astronaut,0.2393593490123749,Q11631,History_and_Society.Business_and_economics,664.0,50026.74166881093,15.0,23424.0
5,11.0,664.0,Astronaut,0.2069040536880493,Q11631,STEM.Medicine_&_Health,664.0,50026.74166881093,15.0,23424.0
6,11.0,664.0,Astronaut,0.2069040536880493,Q11631,History_and_Society.Society,664.0,50026.74166881093,15.0,23424.0
7,11.0,664.0,Astronaut,0.1067005917429924,Q11631,STEM.Biology,664.0,50026.74166881093,15.0,23424.0
8,7.0,752.0,Art,0.4610267877578736,Q735,STEM.STEM*,752.0,85554.86062341716,9.0,49578.0
9,7.0,752.0,Art,0.3998216390609741,Q735,Culture.Visual_arts.Visual_arts*,752.0,85554.86062341716,9.0,49578.0
10,7.0,752.0,Art,0.22816647589206696,Q735,History_and_Society.Society,752.0,85554.86062341716,9.0,49578.0
11,7.0,752.0,Art,0.1968362182378769,Q735,Culture.Philosophy_and_religion,752.0,85554.86062341716,9.0,49578.0
12,3.0,2594.0,Ant,0.994455099105835,Q7386,STEM.STEM*,2594.0,11052.131163014108,22.0,27404.0
13,3.0,2594.0,Ant,0.9899964332580566,Q7386,STEM.Biology,2594.0,11052.131163014108,22.0,27404.0
14,2.0,2598.0,Adversarial system,0.4610267877578736,Q1801315,History_and_Society.Politics_and_government,2598.0,6597.000000000003,32.0,3624.0
15,2.0,2598.0,Adversarial system,0.15611489117145538,Q1801315,STEM.STEM*,2598.0,6597.000000000003,32.0,3624.0
16,2.0,2598.0,Adversarial system,0.0,Q1801315,Geography.Regions.Asia.East_Asia,2598.0,6597.000000000003,32.0,3624.0
17,3.0,3076.0,Antares,0.9980832934379578,Q12166,STEM.Space,3076.0,13192.999999999998,0.0,15308.0
18,3.0,3076.0,Antares,0.9967369437217712,Q12166,STEM.STEM*,3076.0,13192.999999999998,0.0,15308.0
19,7.0,3080.0,Alexandria,0.7310686111450195,Q87,Geography.Geographical,3080.0,189210.859860834,10.0,92030.0
20,7.0,3080.0,Alexandria,0.4378334879875183,Q87,History_and_Society.History,3080.0,189210.859860834,10.0,92030.0
21,7.0,3080.0,Alexandria,0.287777841091156,Q87,Geography.Regions.Asia.Asia*,3080.0,189210.859860834,10.0,92030.0
22,7.0,3080.0,Alexandria,0.2227101624011993,Q87,Culture.Philosophy_and_religion,3080.0,189210.859860834,10.0,92030.0
23,7.0,3080.0,Alexandria,0.21734751760959625,Q87,Geography.Regions.Africa.Africa*,3080.0,189210.859860834,10.0,92030.0
24,7.0,3080.0,Alexandria,0.21734751760959625,Q87,Geography.Regions.Asia.West_Asia,3080.0,189210.859860834,10.0,92030.0
25,7.0,3080.0,Alexandria,0.1968362182378769,Q87,Geography.Regions.Europe.Europe*,3080.0,189210.859860834,10.0,92030.0
26,7.0,3080.0,Alexandria,0.1294127255678177,Q87,History_and_Society.Society,3080.0,189210.859860834,10.0,92030.0
27,4.0,3453.0,Baker Island,0.9073222279548644,Q46879,Geography.Regions.Americas.North_America,3453.0,2123.924134664156,19.0,16096.0
28,4.0,3453.0,Baker Island,0.5621865391731262,Q46879,Geography.Geographical,3453.0,2123.924134664156,19.0,16096.0
29,4.0,3453.0,Baker Island,0.4765896201133728,Q46879,Geography.Regions.Oceania,3453.0,2123.924134664156,19.0,16096.0
30,2.0,3537.0,Armed Forces of Belarus,0.9992778301239014,Q276318,History_and_Society.Military_and_warfare,3537.0,10756.743919396533,19.0,7695.0
31,2.0,3537.0,Armed Forces of Belarus,0.4314633479118347,Q276318,Geography.Regions.Europe.Eastern_Europe,3537.0,10756.743919396533,19.0,7695.0
32,2.0,3537.0,Armed Forces of Belarus,0.3660457601547241,Q276318,Geography.Regions.Europe.Europe*,3537.0,10756.743919396533,19.0,7695.0
33,2.0,3537.0,Armed Forces of Belarus,0.0,Q276318,Geography.Regions.Asia.North_Asia,3537.0,10756.743919396533,19.0,7695.0
34,59.0,4246.0,Bollywood,0.99753737449646,Q93196,Culture.Media.Films,4246.0,930150.0960514159,9.0,73825.0
35,59.0,4246.0,Bollywood,0.9947898983955384,Q93196,Culture.Media.Media*,4246.0,930150.0960514159,9.0,73825.0
36,13.0,4492.0,Baghdad,0.9879562258720398,Q1530,Geography.Regions.Asia.West_Asia,4492.0,317507.8637115348,0.0,27070.0
37,13.0,4492.0,Baghdad,0.9659096002578736,Q1530,Geography.Regions.Asia.Asia*,4492.0,317507.8637115348,0.0,27070.0
38,13.0,4492.0,Baghdad,0.5000100135803223,Q1530,Geography.Geographical,4492.0,317507.8637115348,0.0,27070.0
