,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class
0,6.0,974.0,Ada Lovelace,0.998803436756134,Q7259,Culture.Biography.Biography*,974.0,20530.677977866973,19.0
1,6.0,974.0,Ada Lovelace,0.9539760947227478,Q7259,Culture.Biography.Women,974.0,20530.677977866973,19.0
2,6.0,974.0,Ada Lovelace,0.8354935646057129,Q7259,History_and_Society.History,974.0,20530.677977866973,19.0
3,6.0,974.0,Ada Lovelace,0.4378334879875183,Q7259,Culture.Literature,974.0,20530.677977866973,19.0
4,6.0,974.0,Ada Lovelace,0.3276783227920532,Q7259,STEM.STEM*,974.0,20530.677977866973,19.0
5,6.0,974.0,Ada Lovelace,0.23616819286346435,Q7259,Geography.Regions.Europe.Europe*,974.0,20530.677977866973,19.0
6,6.0,974.0,Ada Lovelace,0.1259327530860901,Q7259,History_and_Society.Society,974.0,20530.677977866973,19.0
7,6.0,974.0,Ada Lovelace,0.09919838809967041,Q7259,Geography.Regions.Europe.Northern_Europe,974.0,20530.677977866973,19.0
8,4.0,1695.0,Amazons,0.9073222279548645,Q134154,History_and_Society.History,1695.0,31269.0,43.0
9,4.0,1695.0,Amazons,0.8558611869812012,Q134154,Culture.Philosophy_and_religion,1695.0,31269.0,43.0
10,4.0,1695.0,Amazons,0.8267217874526978,Q134154,Culture.Literature,1695.0,31269.0,43.0
11,4.0,1695.0,Amazons,0.3140605390071869,Q134154,Culture.Biography.Biography*,1695.0,31269.0,43.0
12,4.0,1695.0,Amazons,0.25966064834594726,Q134154,Geography.Regions.Europe.Europe*,1695.0,31269.0,43.0
13,4.0,1695.0,Amazons,0.15611489117145538,Q134154,History_and_Society.Society,1695.0,31269.0,43.0
14,4.0,1695.0,Amazons,0.08411114120483398,Q134154,Geography.Regions.Europe.Southern_Europe,1695.0,31269.0,43.0
15,83.0,2893.0,Alex Lifeson,0.9993836879730225,Q348177,Culture.Biography.Biography*,2893.0,3725.708834291515,23.0
