,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,24.0,701.0,Angola,0.1778208613395691,Q916,History_and_Society.Society,701.0,379003.3621064215,38.0,126698.0,4.267700672149658,History_and_Society,Society
1,5.0,706.0,Economy of Angola,0.9964163899421692,Q1064113,History_and_Society.Business_and_economics,706.0,6503.999999999999,38.0,4900.0,4.982081949710846,History_and_Society,Business_and_economics
2,21.0,808.0,Alfred Hitchcock,0.3415925204753876,Q7374,Culture.Media.Media*,808.0,723823.6363408511,12.0,137792.0,7.173442929983139,Culture,Media*
3,14.0,1950.0,American Civil Liberties Union,0.6442351341247559,Q21637,History_and_Society.Business_and_economics,1950.0,63980.327062855926,22.0,20306.0,9.019291877746582,History_and_Society,Business_and_economics
4,4.0,2088.0,Aphasia,0.9991269707679749,Q2836,STEM.Medicine_&_Health,2088.0,6117.142428466716,33.0,52447.0,3.9965078830718994,STEM,Medicine_&_Health
5,6.0,2299.0,"American Media, Inc.",0.8519628047943115,Q465666,History_and_Society.Business_and_economics,2299.0,35745.5,49.0,4278.0,5.111776828765869,History_and_Society,Business_and_economics
6,7.0,2369.0,Aston Martin,0.6584275364875793,Q27074,History_and_Society.Business_and_economics,2369.0,39943.650137736535,2.0,47467.0,4.608992755413055,History_and_Society,Business_and_economics
7,13.0,2377.0,Andhra Pradesh,0.9626831412315368,Q1159,Geography.Regions.Asia.South_Asia,2377.0,144872.86557345375,37.0,103680.0,0.0,Geography,South_Asia
8,5.0,2384.0,Aedile,0.9566442370414734,Q205757,History_and_Society.History,2384.0,5867.8093036232785,24.0,3330.0,4.783221185207367,History_and_Society,History
9,37.0,3807.0,Hit (baseball),0.9991540908813475,Q713493,Culture.Sports,3807.0,110825.58057010495,13.0,3989.0,36.968701362609856,Culture,Sports
10,22.0,4054.0,Battleship,0.7931159734725952,Q182531,History_and_Society.Transportation,4054.0,4359.595507243187,28.0,32881.0,17.448551416397095,History_and_Society,Transportation
11,6.0,4349.0,BBC Red Button,0.946606695652008,Q795594,Culture.Media.Media*,4349.0,51417.455835010485,2.0,4987.0,5.6796401739120475,Culture,Media*
12,38.0,4887.0,British Army,0.9219318628311156,Q222595,History_and_Society.Military_and_warfare,4887.0,2319005.359851184,19.0,88668.0,35.03341078758239,History_and_Society,Military_and_warfare
13,6.0,5500.0,Christmas Island,0.9399233460426332,Q31063,Geography.Regions.Oceania,5500.0,32510.0,21.0,84677.0,0.0,Geography,Oceania
14,57.0,5646.0,Constantinople,0.989681839942932,Q16869,History_and_Society.History,5646.0,511268.0770910792,24.0,230420.0,56.411864876747124,History_and_Society,History
15,12.0,6678.0,Cat,0.7186043858528137,Q146,STEM.Biology,6678.0,152765.97569743823,29.0,208793.0,8.623252630233765,STEM,Biology
16,2.0,7661.0,Council of Constance,0.754925012588501,Q154001,Culture.Philosophy_and_religion,7661.0,0.0,19.0,3444.0,1.509850025177002,Culture,Philosophy_and_religion
