modularity_class,Subtopic,Percentage,Count
0,Politics_and_government,58.0,65
0,Western_Europe,22.3,25
0,STEM*,3.6,4
0,Media*,2.7,3
0,Business_and_economics,1.8,2
0,History,1.8,2
0,Philosophy_and_religion,1.8,2
0,Society,1.8,2
0,Sports,1.8,2
0,Computing,0.9,1
0,Europe*,0.9,1
0,Literature,0.9,1
0,Military_and_warfare,0.9,1
0,Southern_Europe,0.9,1
1,Entertainment,33.7,31
1,Television,31.5,29
1,Media*,20.7,19
1,Literature,3.3,3
1,North_America,2.2,2
1,Education,1.1,1
1,Films,1.1,1
1,Linguistics,1.1,1
1,Medicine_&_Health,1.1,1
1,Radio,1.1,1
1,Society,1.1,1
1,Sports,1.1,1
1,Visual_arts*,1.1,1
2,Media*,37.5,51
2,Television,20.6,28
2,Literature,8.1,11
2,Business_and_economics,4.4,6
2,Politics_and_government,4.4,6
2,Engineering,2.9,4
2,Military_and_warfare,2.9,4
2,Sports,2.2,3
2,Society,2.2,3
2,STEM*,2.2,3
2,Performing_arts,2.2,3
2,Education,1.5,2
2,Radio,1.5,2
2,Music,0.7,1
2,Architecture,0.7,1
2,Medicine_&_Health,0.7,1
2,Biology,0.7,1
2,Linguistics,0.7,1
2,History,0.7,1
2,Films,0.7,1
2,Comics_and_Anime,0.7,1
2,Books,0.7,1
2,Transportation,0.7,1
3,Sports,81.9,343
3,Politics_and_government,3.8,16
3,North_America,3.6,15
3,Media*,2.1,9
3,Education,1.7,7
3,Business_and_economics,1.4,6
3,STEM*,1.0,4
3,Transportation,0.7,3
3,History,0.5,2
3,Linguistics,0.5,2
3,Music,0.5,2
3,Television,0.2,1
3,Technology,0.2,1
3,Society,0.2,1
3,Architecture,0.2,1
3,Radio,0.2,1
3,Performing_arts,0.2,1
3,Military_and_warfare,0.2,1
3,Medicine_&_Health,0.2,1
3,Entertainment,0.2,1
3,Visual_arts*,0.2,1
4,Sports,87.7,50
4,North_America,3.5,2
4,Business_and_economics,1.8,1
4,Education,1.8,1
4,Literature,1.8,1
4,Media*,1.8,1
4,Politics_and_government,1.8,1
5,Sports,92.1,523
5,Northern_Europe,2.3,13
5,Transportation,1.1,6
5,Business_and_economics,0.7,4
5,Europe*,0.5,3
5,Politics_and_government,0.5,3
5,Architecture,0.4,2
5,Southern_Europe,0.4,2
5,Visual_arts*,0.2,1
5,STEM*,0.2,1
5,Philosophy_and_religion,0.2,1
5,Military_and_warfare,0.2,1
5,Biology,0.2,1
5,Medicine_&_Health,0.2,1
5,Media*,0.2,1
5,Literature,0.2,1
5,Linguistics,0.2,1
5,History,0.2,1
5,Education,0.2,1
5,Western_Europe,0.2,1
6,Sports,76.1,35
6,Media*,13.0,6
6,Education,2.2,1
6,Europe*,2.2,1
6,History,2.2,1
6,Military_and_warfare,2.2,1
6,STEM*,2.2,1
7,Politics_and_government,49.7,83
7,Society,18.0,30
7,Business_and_economics,5.4,9
7,Sports,4.2,7
7,Media*,3.6,6
7,Military_and_warfare,2.4,4
7,Education,2.4,4
7,STEM*,2.4,4
7,Visual_arts*,1.8,3
7,Literature,1.2,2
7,History,1.2,2
7,Music,1.2,2
7,Food_and_drink,1.2,2
7,Linguistics,0.6,1
7,Asia*,0.6,1
7,Northern_Europe,0.6,1
7,Fashion,0.6,1
7,Computing,0.6,1
7,South_America,0.6,1
7,Books,0.6,1
7,Technology,0.6,1
7,Architecture,0.6,1
8,Sports,67.6,416
8,Media*,6.8,42
8,Politics_and_government,3.1,19
8,North_America,2.8,17
8,Education,2.6,16
8,Business_and_economics,2.4,15
8,Music,1.5,9
8,Films,1.3,8
8,Transportation,1.1,7
8,Television,1.1,7
8,STEM*,1.1,7
8,Visual_arts*,0.8,5
8,History,0.8,5
8,Internet_culture,0.7,4
8,Society,0.7,4
8,Philosophy_and_religion,0.7,4
8,Architecture,0.7,4
8,Military_and_warfare,0.5,3
8,Southern_Europe,0.5,3
8,Engineering,0.5,3
8,Video_games,0.5,3
8,Medicine_&_Health,0.3,2
8,Geographical,0.3,2
8,Fashion,0.3,2
8,Literature,0.3,2
8,Biology,0.2,1
8,Performing_arts,0.2,1
8,List_Disambig,0.2,1
8,Europe*,0.2,1
8,Entertainment,0.2,1
8,Earth_and_environment,0.2,1
9,Music,80.0,4
9,Media*,20.0,1
10,Music,34.7,119
10,Society,28.6,98
10,Media*,24.2,83
10,North_America,1.5,5
10,Films,1.5,5
10,STEM*,1.5,5
10,Sports,0.9,3
10,Politics_and_government,0.9,3
10,Medicine_&_Health,0.9,3
10,Performing_arts,0.9,3
10,Television,0.6,2
10,Business_and_economics,0.6,2
10,History,0.6,2
10,Entertainment,0.6,2
10,Central_America,0.3,1
10,Military_and_warfare,0.3,1
10,Philosophy_and_religion,0.3,1
10,Literature,0.3,1
10,Linguistics,0.3,1
10,Southern_Europe,0.3,1
10,Education,0.3,1
10,Visual_arts*,0.3,1
11,Music,56.6,56
11,Media*,30.3,30
11,STEM*,3.0,3
11,Internet_culture,2.0,2
11,Politics_and_government,2.0,2
11,Society,2.0,2
11,Films,1.0,1
11,Military_and_warfare,1.0,1
11,Transportation,1.0,1
11,Video_games,1.0,1
12,Media*,33.8,171
12,Films,24.3,123
12,History,12.3,62
12,Television,3.8,19
12,Sports,3.4,17
12,Society,3.2,16
12,Music,2.8,14
12,Literature,2.4,12
12,Performing_arts,2.4,12
12,Transportation,1.8,9
12,Visual_arts*,1.6,8
12,Politics_and_government,1.4,7
12,Military_and_warfare,1.0,5
12,STEM*,1.0,5
12,North_America,0.8,4
12,Computing,0.6,3
12,Architecture,0.4,2
12,Business_and_economics,0.4,2
12,Comics_and_Anime,0.4,2
12,Internet_culture,0.4,2
12,Video_games,0.2,1
12,Biology,0.2,1
12,Books,0.2,1
12,Food_and_drink,0.2,1
12,Engineering,0.2,1
12,Medicine_&_Health,0.2,1
12,Entertainment,0.2,1
12,Asia*,0.2,1
12,List_Disambig,0.2,1
12,Linguistics,0.2,1
12,Oceania,0.2,1
13,Sports,81.2,164
13,Politics_and_government,4.0,8
13,Business_and_economics,3.0,6
13,Media*,2.5,5
13,Military_and_warfare,1.5,3
13,Television,1.5,3
13,History,1.0,2
13,Linguistics,1.0,2
13,Transportation,1.0,2
13,Engineering,0.5,1
13,Internet_culture,0.5,1
13,Literature,0.5,1
13,Medicine_&_Health,0.5,1
13,Music,0.5,1
13,Oceania,0.5,1
13,STEM*,0.5,1
14,Sports,97.6,83
14,Society,2.4,2
15,Sports,93.1,27
15,Politics_and_government,6.9,2
16,Society,18.8,15
16,Media*,16.2,13
16,Music,15.0,12
16,Politics_and_government,10.0,8
16,Philosophy_and_religion,10.0,8
16,Business_and_economics,6.2,5
16,Military_and_warfare,3.8,3
16,Education,2.5,2
16,STEM*,2.5,2
16,Visual_arts*,2.5,2
16,Linguistics,2.5,2
16,Literature,1.2,1
16,Libraries_&_Information,1.2,1
16,Internet_culture,1.2,1
16,Radio,1.2,1
16,History,1.2,1
16,Films,1.2,1
16,Transportation,1.2,1
16,Medicine_&_Health,1.2,1
17,Sports,86.6,58
17,Media*,6.0,4
17,Politics_and_government,3.0,2
17,Business_and_economics,1.5,1
17,North_America,1.5,1
17,STEM*,1.5,1
18,Sports,89.4,118
18,Media*,7.6,10
18,Education,0.8,1
18,Europe*,0.8,1
18,Society,0.8,1
18,Southern_Europe,0.8,1
19,Military_and_warfare,18.8,32
19,Media*,15.3,26
19,Sports,12.9,22
19,Music,6.5,11
19,Literature,4.7,8
19,Films,4.7,8
19,STEM*,4.1,7
19,Politics_and_government,4.1,7
19,History,4.1,7
19,Business_and_economics,2.9,5
19,Philosophy_and_religion,2.4,4
19,Transportation,1.8,3
19,Society,1.8,3
19,Architecture,1.8,3
19,Europe*,1.8,3
19,Education,1.8,3
19,Western_Europe,1.8,3
19,Linguistics,1.2,2
19,Television,1.2,2
19,List_Disambig,0.6,1
19,Asia*,0.6,1
19,Geographical,0.6,1
19,Fashion,0.6,1
19,Northern_Europe,0.6,1
19,Performing_arts,0.6,1
19,Engineering,0.6,1
19,Earth_and_environment,0.6,1
19,Books,0.6,1
19,Biology,0.6,1
19,Visual_arts*,0.6,1
20,Transportation,28.0,66
20,Engineering,28.0,66
20,Sports,8.5,20
20,Medicine_&_Health,5.9,14
20,Politics_and_government,5.5,13
20,Military_and_warfare,4.2,10
20,Media*,3.8,9
20,Music,3.0,7
20,Business_and_economics,2.5,6
20,STEM*,2.1,5
20,North_America,1.7,4
20,Technology,1.3,3
20,Visual_arts*,0.8,2
20,Geographical,0.8,2
20,Asia*,0.4,1
20,Philosophy_and_religion,0.4,1
20,Linguistics,0.4,1
20,Society,0.4,1
20,South_Asia,0.4,1
20,Films,0.4,1
20,Europe*,0.4,1
20,Earth_and_environment,0.4,1
20,Architecture,0.4,1
21,Military_and_warfare,24.4,32
21,Philosophy_and_religion,13.0,17
21,Politics_and_government,10.7,14
21,History,9.2,12
21,Engineering,3.8,5
21,Sports,3.8,5
21,Society,3.8,5
21,Media*,3.1,4
21,Oceania,2.3,3
21,Visual_arts*,2.3,3
21,West_Asia,2.3,3
21,Fashion,2.3,3
