,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,632,Aberdeen (disambiguation),632,1,0,0.0,Q319411
1,706,Economy of Angola,706,7,25,149873.5,Q1064113
2,709,Angolan Armed Forces,709,5,25,49965.5,Q542209
3,710,Foreign relations of Angola,710,2,25,0.0,Q2687348
4,1087,Foreign relations of Azerbaijan,1087,4,5,19230.121419272804,Q789921
5,1088,Azerbaijani Armed Forces,1088,4,5,18.499202551834127,Q724216
6,1097,Armed Forces of Armenia,1097,4,5,20076.43208600545,Q935464
7,1098,Foreign relations of Armenia,1098,7,5,115649.51896902252,Q789917
8,1112,Economy of American Samoa,1112,26,0,8800.31514052768,Q5252010
9,1285,Geography of Alabama,1285,112,10,62353.11509581161,Q5535116
10,1461,Apollo program,1461,30,5,799695.6517090239,Q46611
11,1943,Australian Democrats,1943,5,5,6044.494346294705,Q781392
12,2198,Abdulaziz al-Omari,2198,1,21,0.0,Q317494
13,2346,"Albion, Michigan",2346,6,4,2799.773834262284,Q2327553
14,2799,American Registry for Internet Numbers,2799,1,0,0.0,Q282503
15,2936,Southeast Alaska,2936,62,0,169818.27361620474,Q198710
16,2939,Interior Alaska,2939,53,0,9691.035894890236,Q1515679
17,2941,The bush (Alaska),2941,47,0,28943.22037793817,Q2054962
18,2959,Arcadia 2001,2959,3,22,0.10946752363552724,Q1196518
19,3043,"Alcobaça, Portugal",3043,1,0,0.0,Q651997
20,3082,"Alexandria, Indiana",3082,6,4,6382.615910341967,Q521651
21,3120,"Andersonville, Georgia",3120,2,28,0.0,Q2488496
22,3446,Bomber,3446,11,5,645908.594595748,Q170877
23,4606,Battle of the Nile,4606,2,16,24983.00000000001,Q243979
24,4622,Bill Oddie,4622,15,21,158029.2963054231,Q2407976
25,4851,Budweiser,4851,12,23,589413.7662769314,Q610672
26,5267,Constellation,5267,13,5,325243.319310208,Q8928
27,5790,Carlo Goldoni,5790,3,5,23753.85119467778,Q165534
28,6587,"Cadillac, Michigan",6587,33,2,46129.8829670176,Q1025149
29,6834,List of computer scientists,6834,2,5,49964.0,Q2476620
30,6945,Chrominance,6945,40,36,8980.605739894809,Q355263
31,7305,Coleco,7305,5,22,25109.584834181318,Q954124
32,7445,Classification of finite simple groups,7445,6,5,8327.000000002181,Q1340623
33,7710,California Department of Transportation,7710,64,0,99129.50105651768,Q127743
34,7839,Stellar corona,7839,4,5,334986.7778078306,Q170754
35,7900,List of Dune characters,7900,19,5,0.0,Q1412151
36,7902,Piter De Vries,7902,20,5,3.75,Q665717
37,7957,Kennedy family,7957,18,0,104306.56092516873,Q34821
38,7994,David Thompson (explorer),7994,29,6,56838.792504214834,Q763043
39,8029,Armed Forces of the Democratic Republic of the Congo,8029,1,25,0.0,Q3076950
40,8259,Deception Pass,8259,185,6,21768.785742648233,Q1181773
41,9831,Ecclesia,9831,1,5,0.0,Q5412682
42,10470,"Eastmoreland, Portland, Oregon",10470,38,9,2283.908714907633,Q5330810
43,11101,Fanzine,11101,35,24,495457.5547818496,Q181298
44,11350,Firewall (construction),11350,1,5,0.0,Q898405
45,11563,Federal jurisdiction (United States),11563,1,0,0.0,Q5440539
46,12148,History of Guam,12148,34,0,17559.749230799363,Q2676017
47,12651,Gregory the Illuminator,12651,3,5,45588.38636319254,Q309953
48,13631,Holy orders,13631,19,5,376775.3370214045,Q662862
49,14288,"Hamilton, Ontario",14288,28,17,1071050.331606153,Q133116
50,14591,Iao Valley,14591,6,0,2787.412420510609,Q423539
51,14878,International Astronomical Union,14878,5,5,213648.81592984157,Q6867
52,15437,ITU prefix,15437,5,17,172285.71468475048,Q1344924
53,15746,Jacques Mayol,15746,5,5,49963.99999999999,Q447227
54,15807,John Horton Conway,15807,34,5,998428.5833333331,Q268961
55,16020,"Jackson, Michigan",16020,34,4,21055.00354750991,Q984374
56,16168,"Jackson County, Michigan",16168,41,4,3731.7528681052913,Q497702
57,16193,Jackie Robinson,16193,24,8,347223.2948562909,Q221048
58,16919,Kenny Dalglish,16919,17,23,745947.3360634596,Q187198
59,17276,Krakatoa,17276,18,5,160271.84493381713,Q82613
60,18317,Lower Peninsula of Michigan,18317,92,4,60760.20868015709,Q3596
61,19948,Monica Lewinsky,19948,10,19,92794.60349114676,Q212659
62,20531,Marrakesh Agreement,20531,4,25,1247.475953338163,Q948704
63,20572,Musical theatre,20572,14,5,640012.8391170051,Q2743
64,20770,United States v. Microsoft Corp.,20770,2,21,1664.3518892815255,Q4345977
65,20841,Music radio,20841,31,17,33892.29670114624,Q6942427
66,21302,Nauru,21302,14,17,310597.605793747,Q697
67,21628,Nicolas-Louis de Lacaille,21628,2,5,0.0,Q202703
68,21765,New Malden,21765,4,21,28094.355983535268,Q3054629
69,23396,Economy of Panama,23396,8,25,284476.01975337986,Q2333329
70,23506,Pan and scan,23506,4,2,301904.8460951973,Q2048790
71,23661,Phutball,23661,2,5,0.0,Q834876
72,23712,Pentomino,23712,2,5,0.0,Q247406
73,24014,Pope Benedict VIII,24014,4,5,206960.25185502518,Q162102
74,24178,Palm Sunday,24178,13,5,319286.8929530611,Q42236
75,24566,Palaeography,24566,3,5,44928.45642395284,Q179957
76,24921,Patrick Macnee,24921,9,21,3822.0744731248637,Q436719
77,24972,Preacher,24972,3,0,25433.989385942954,Q432386
78,25117,Puget Sound Naval Shipyard,25117,45,6,217753.55302645732,Q1297188
79,25190,Politics of Qatar,25190,2,10,24983.0,Q1155440
80,25745,Rerun,25745,38,2,202766.94916125629,Q1183447
81,26132,Rankine scale,26132,6,5,124895.0,Q207488
82,26158,REO Motor Car Company,26158,3,4,50271.260938645486,Q1584348
83,26254,Reform of the date of Easter,26254,30,5,459405.42026376526,Q7307437
84,26446,Recreational mathematics,26446,4,5,1.0,Q1410503
85,26479,Richie Benaud,26479,8,5,470762.37041304656,Q2739019
86,26974,San Francisco Peninsula,26974,56,0,24526.40333871001,Q1827082
87,26988,CLIÉ,26988,93,22,2316.6396215494074,Q1102062
88,27045,New Wave science fiction,27045,2,21,0.0,Q2296283
89,27541,Sprouts (game),27541,2,5,0.0,Q2141657
90,28028,Speed skating,28028,6,11,87435.5,Q192431
91,29201,Seattle Colleges District,29201,14,6,1213.0448032528304,Q7442085
92,29275,Southcentral Alaska,29275,43,0,9919.759004228781,Q572018
93,29669,Sergio Aragonés,29669,5,24,834.1711103316278,Q952066
94,30086,The Incredible Shrinking Man,30086,3,21,259649.57375469836,Q972001
95,30208,History of Turkmenistan,30208,4,5,2.5,Q610927
96,30512,The Ridgeway,30512,3,16,10.5,Q590196
97,30619,Keirin,30619,1,11,0.0,Q774176
98,30696,Green Party of the United States,30696,58,18,464264.74167838506,Q849158
99,30697,Triple jump,30697,6,16,14143.617719631948,Q187204
100,30814,Taoiseach,30814,6,5,93685.25913342848,Q191827
101,31139,The Goodies,31139,21,21,428159.1478048222,Q3987325
102,31523,The Avengers (TV series),31523,15,21,277801.8277392723,Q113700
103,31662,Tenth Amendment to the United States Constitution,31662,2,0,0.0,Q164665
