,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class
0,2.0,18.0,45340726.0,Bush shoeing incident,0.546748161315918,Q18236869,History_and_Society.Politics_and_government,435438.0,0.14694400000000002,0.171147,10.0
1,2.0,18.0,45340726.0,Bush shoeing incident,0.36960725688934326,Q18236869,Geography.Regions.Americas.North_America,435438.0,0.14694400000000002,0.171147,10.0
2,2.0,18.0,45340726.0,Bush shoeing incident,0.11280541121959686,Q18236869,Culture.Philosophy_and_religion,435438.0,0.14694400000000002,0.171147,10.0
3,2.0,18.0,45340726.0,Bush shoeing incident,0.0,Q18236869,Geography.Regions.Asia.West_Asia,435438.0,0.14694400000000002,0.171147,10.0
4,2.0,18.0,45340726.0,Bush shoeing incident,0.0,Q18236869,Geography.Regions.Asia.Asia*,435438.0,0.14694400000000002,0.171147,10.0
5,8.0,24.0,571374.0,SMS Baden,0.9992306232452393,Q552817,History_and_Society.Transportation,0.47619,0.094089,0.103402,30.0
6,8.0,24.0,571374.0,SMS Baden,0.994098961353302,Q552817,History_and_Society.Military_and_warfare,0.47619,0.094089,0.103402,30.0
7,8.0,24.0,571374.0,SMS Baden,0.983095109462738,Q552817,Geography.Regions.Europe.Western_Europe,0.47619,0.094089,0.103402,30.0
8,8.0,24.0,571374.0,SMS Baden,0.9732507467269897,Q552817,Geography.Regions.Europe.Europe*,0.47619,0.094089,0.103402,30.0
9,2.0,30.0,1030100.0,Wiener Neustadt,0.9850529432296753,Q131612,Geography.Regions.Europe.Europe*,4370.0,0.058763,0.06264299999999999,31.0
10,2.0,30.0,1030100.0,Wiener Neustadt,0.9802908897399902,Q131612,Geography.Regions.Europe.Western_Europe,4370.0,0.058763,0.06264299999999999,31.0
11,2.0,30.0,1030100.0,Wiener Neustadt,0.4921981394290924,Q131612,Geography.Geographical,4370.0,0.058763,0.06264299999999999,31.0
12,1.0,23.0,49041456.0,Ajay Manikrao Khanwilkar,0.9890230894088745,Q22005809,Culture.Biography.Biography*,0.0,0.086969,0.092915,21.0
13,1.0,23.0,49041456.0,Ajay Manikrao Khanwilkar,0.4501522054672241,Q22005809,Geography.Regions.Asia.South_Asia,0.0,0.086969,0.092915,21.0
14,1.0,23.0,49041456.0,Ajay Manikrao Khanwilkar,0.40093068981170654,Q22005809,Geography.Regions.Asia.Asia*,0.0,0.086969,0.092915,21.0
15,1.0,23.0,49041456.0,Ajay Manikrao Khanwilkar,0.11280541121959686,Q22005809,History_and_Society.Politics_and_government,0.0,0.086969,0.092915,21.0
16,2.0,23.0,52621190.0,Nico Siragusa,0.9914325475692749,Q28037511,Culture.Biography.Biography*,4370.0,0.111528,0.12793,37.0
17,2.0,23.0,52621190.0,Nico Siragusa,0.880807101726532,Q28037511,Culture.Sports,4370.0,0.111528,0.12793,37.0
18,2.0,23.0,52621190.0,Nico Siragusa,0.0,Q28037511,Geography.Regions.Americas.North_America,4370.0,0.111528,0.12793,37.0
19,1.0,23.0,1756934.0,Roosevelt Roads Naval Station,0.9867871999740601,Q3850219,History_and_Society.Transportation,0.0,0.097015,0.106063,2.0
20,1.0,23.0,1756934.0,Roosevelt Roads Naval Station,0.9284188151359558,Q3850219,STEM.Engineering,0.0,0.097015,0.106063,2.0
21,1.0,23.0,1756934.0,Roosevelt Roads Naval Station,0.9173126816749573,Q3850219,STEM.STEM*,0.0,0.097015,0.106063,2.0
22,1.0,23.0,1756934.0,Roosevelt Roads Naval Station,0.5000100135803223,Q3850219,History_and_Society.Military_and_warfare,0.0,0.097015,0.106063,2.0
23,1.0,23.0,1756934.0,Roosevelt Roads Naval Station,0.2568419873714447,Q3850219,Geography.Regions.Americas.North_America,0.0,0.097015,0.106063,2.0
