,Label,Id,Degree,modularity_class,betweenesscentrality
876,Motor_neuron_disease,876,3,11,1702.1387016277872
2345,Archbishop_of_Canterbury,2345,12,29,126216.78838203118
2864,Archaeoastronomy,2864,1,0,0.0
3335,Baltic_Sea,3335,10,0,107521.96784469475
3776,Bornholm,3776,4,0,4825.999999999612
4540,Balts,4540,4,0,3618.9999999999995
5192,Geography_of_Canada,5192,1,0,0.0
5363,Video_game,5363,23,25,148872.88986606884
6176,Cecil_B._DeMille,6176,2,21,3621.0
7003,Cauchy_distribution,7003,1,0,0.0
7397,Color_blindness,7397,2,8,3621.000000000001
7655,Clay_Mathematics_Institute,7655,3,0,3623.8333333333344
14644,Geography_of_Indonesia,14644,6,1,8104.381818181819
16550,"John,_King_of_England",16550,9,29,4823.1500000002425
17190,Kipchoge_Keino,17190,1,33,0.0
18595,Lex_Luthor,18595,5,12,157475.0
19121,Politics_of_the_Maldives,19121,11,38,125848.95
19327,Master_shot,19327,1,8,0.0
20698,Michael_Atiyah,20698,9,0,18091.16666666667
21559,Nasdaq,21559,6,2,64135.53466720652
21746,Nolo_contendere,21746,2,7,36120.0
22451,Offshore_powerboat_racing,22451,1,24,0.0
23829,Pope_Adrian_V,23829,5,29,723.2500000000695
23964,PlayStation_(console),23964,21,32,48337.599999998325
24027,Pope_John_Paul_I,24027,7,29,5069.749999999486
24303,Pope_Urban_VII,24303,5,29,723.2500000000695
24434,Pope_Innocent_V,24434,5,29,723.2500000000695
24455,Pope_Innocent_III,24455,11,29,37341.24166666521
24933,Polywater,24933,1,0,0.0
25538,Robyn,25538,6,32,10859.000000000004
25813,Rice_University,25813,2,16,515.1708326300521
28740,Sulawesi,28740,15,1,13619.243398268396
30849,"Toledo,_Ohio",30849,12,3,298795.42590163613
31175,Tobin_tax,31175,2,2,0.0
31803,"Trinity_College,_Cambridge",31803,9,14,456212.24717751576
32380,Politics_of_Vietnam,32380,13,38,68461.59487734486
32578,Vermont,32578,14,2,1219102.6204620663
32901,Woody_Allen,32901,20,8,129258.48081203786
34220,X_rating,34220,2,6,75621.0
39287,Stephen_Langton,39287,5,29,0.0
42179,Mount_Everest,42179,5,37,16271.000000000002
42611,McLibel_case,42611,2,14,3621.0
43223,Alex_Ferguson,43223,7,19,180499.70448388148
43950,Interstate_Highway_System,43950,1,2,0.0
43951,United_States_Numbered_Highway_System,43951,7,3,3.0
47974,Dr._No_(novel),47974,18,34,36290.058441559966
50230,Bruce_Nauman,50230,1,16,0.0
51301,Pope_Pontian,51301,6,29,17353.499999999724
53228,Eton_College,53228,5,14,260492.4746758575
53560,Procellariiformes,53560,6,37,2.3249999999999997
55097,U.S._Securities_and_Exchange_Commission,55097,14,2,253004.4493335886
55909,Laurel_and_Hardy,55909,8,21,29144.270046821493
56865,Lake_Baikal,56865,4,0,10860.000000000005
57985,Ian_Fleming,57985,25,34,406273.02857142896
61191,The_Divorcee,61191,2,21,129096.0
63579,Manilla,63579,1,5,0.0
65444,Glenn_Gould,65444,2,30,7240.000000000001
66627,The_Little_Foxes,66627,2,21,3621.0
67916,Strategic_Air_Command_(film),67916,2,21,1.0
70135,Twenty-fifth_Amendment_to_the_United_States_Constitution,70135,1,1,0.0
70949,Berengaria_of_Navarre,70949,4,29,12.5
72360,"Flagler_County,_Florida",72360,1,7,0.0
72979,Lake_Victoria,72979,7,37,98320.5
73313,Hippolytus_of_Rome,73313,3,29,4337.999999999931
73937,Gun_Crazy,73937,1,21,0.0
77404,List_of_premiers_of_New_Brunswick,77404,16,30,27.411219336219336
77856,Mary_Poppins_(film),77856,10,8,229323.03026461723
78016,"From_Russia,_with_Love_(novel)",78016,18,34,6891.225108225131
78738,Hans_Geiger,78738,1,0,0.0
79796,Matilda_of_Flanders,79796,2,29,1198.791666666727
80867,Sam_&_Max_Hit_the_Road,80867,5,32,0.0
81575,Parlophone,81575,2,32,28912.000000000007
82858,Mars_Observer,82858,2,0,0.0
82862,HBO_World_Championship_Boxing,82862,5,7,376213.3333333334
83251,Yacht_racing,83251,4,37,185832.0
84196,Bob_Burnquist,84196,4,32,5429.000000000003
85533,United_States_Electoral_College,85533,13,2,634378.7799988352
87474,Tony_Hawk,87474,4,32,18089.000000000007
87525,List_of_states_and_territories_of_the_United_States_by_population,87525,2,2,0.0
91897,"Chesterfield_County,_South_Carolina",91897,2,9,0.0
93241,"Union_County,_North_Carolina",93241,4,9,1810.0
93347,"Ashe_County,_North_Carolina",93347,4,9,3621.0
93348,"Anson_County,_North_Carolina",93348,4,9,1810.0
93597,"Nye_County,_Nevada",93597,1,2,0.0
95060,"Monroe_County,_Michigan",95060,7,3,3303.4833333335396
97590,Captain_Marvel_(Marvel_Comics),97590,24,12,76272.75386167264
98025,Rathlin_Island,98025,2,37,0.0
98301,Joker_(character),98301,10,12,105038.58333333037
100327,Amit?bha,100327,2,0,0.0
103370,One_for_the_Angels,103370,2,21,3621.0
105100,"Troy,_Alabama",105100,1,9,0.0
106701,"Snowflake,_Arizona",106701,3,2,0.0
109317,"Alva,_Florida",109317,1,24,0.0
109433,"Hialeah,_Florida",109433,2,7,3621.0
112814,"New_Hartford,_Iowa",112814,2,2,0.0
115650,"Ruston,_Louisiana",115650,2,9,219.38409624578637
117640,"Port_Austin,_Michigan",117640,3,3,0.3333333333333333
118197,"Monroe,_Michigan",118197,5,3,2401.9999999999404
119125,"Port_Huron,_Michigan",119125,10,3,10862.4
125233,"Guttenberg,_New_Jersey",125233,2,25,59988.731558115796
125419,"Highland_Park,_New_Jersey",125419,1,2,0.0
128332,"Wake_Forest,_North_Carolina",128332,4,9,18085.0
129074,"Berea,_Ohio",129074,13,4,0.0
130921,"Gresham,_Oregon",130921,1,35,0.0
134640,"Central,_South_Carolina",134640,1,2,0.0
135666,"Winnie,_Texas",135666,2,40,3621.0
135773,"Highland_Village,_Texas",135773,1,20,0.0
136886,"Harrington_Park,_New_Jersey",136886,1,2,0.0
137869,Fred_Rogers,137869,14,8,54203.5
139773,"Kohler,_Wisconsin",139773,1,10,0.0
142787,Chester_Morris,142787,2,21,132645.0
144765,A_Free_Soul,144765,1,21,0.0
145525,Mirror_Image_(The_Twilight_Zone),145525,2,21,7240.0
147019,Seabird,147019,10,37,39740.325000000004
149831,Red_Sonja,149831,2,25,143413.00794486274
149867,Dewsbury,149867,2,11,131646.9119581424
151855,Billy_the_Kid,151855,3,21,10859.0
155851,John_de_Gray,155851,7,29,7.450000000000001
158383,Hawaiian_Islands,158383,3,5,7241.0
159778,Baikal_seal,159778,1,0,0.0
160422,1967_in_music,160422,2,8,3621.0
161482,Suge_Knight,161482,8,7,32543.5
162997,Joan_Littlewood,162997,1,21,0.0
163169,Eazy-E,163169,5,7,5430.0
163514,Buckeye,163514,1,9,0.0
166619,Imperial_General_Headquarters,166619,10,5,1886.2801587302633
167288,Michael_Powell,167288,4,6,18092.0
167520,Guyot,167520,2,0,3621.0000000000014
168425,Goldfinger_(novel),168425,14,34,586.8084415584791
170003,Moonraker_(novel),170003,13,34,15.272727272727204
170694,Bernard_Lord,170694,10,30,6098.6833333336
173147,Hilary_Rosen,173147,8,1,188.63452380952378
174002,My_Three_Sons,174002,7,21,21703.333333333336
175124,Genk,175124,2,11,105.84024751503142
177223,Bodyboarding,177223,3,24,10327.121385626062
