,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,4.0,1624.0,Andrew Johnson,0.754925012588501,Q8612,History_and_Society.Politics_and_government,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,125.0,1117.0,0.11190689346463742,Politics_and_government,History_and_Society,377.4625062942505,102811.61963655801,0.00367139927985369
1,3.0,1676.0,Alfonso XII of Spain,0.2393593490123749,Q32347,History_and_Society.Military_and_warfare,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,72.0,2551.0,0.02822422579380635,Military_and_warfare,History_and_Society,51.701619386672995,347450.98869378865,0.00014880262560495414
2,2.0,2238.0,Antipope John XXIII,0.6584275364875793,Q294599,History_and_Society.History,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,12.0,232.0,0.05172413793103448,History,History_and_Society,15.802260875701904,3607.921084344387,0.004379879854986743
3,6.0,3080.0,Alexandria,0.4225146472454071,Q87,History_and_Society.History,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533,12.0,232.0,0.05172413793103448,History,History_and_Society,30.421054601669308,3607.921084344387,0.008431740575943687
4,4.0,3112.0,Arianespace,0.59267657995224,Q309867,STEM.STEM*,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997,34.0,309.0,0.11003236245954692,STEM*,STEM,80.60401487350464,5801.1891623064885,0.013894395203871856
5,15.0,3392.0,British Columbia,0.8706072568893433,Q1974,Geography.Regions.Americas.North_America,192.0,150677.68384087642,192.0,24.0,192.0,27.051283,-14.174605999999999,-6.724975,53.0,278.0,0.1906474820143885,North_America,Geography,0.0,9370.07292751968,0.0
6,13.0,4054.0,Battleship,0.6859594583511353,Q182531,History_and_Society.Military_and_warfare,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001,83.0,738.0,0.1124661246612466,Military_and_warfare,History_and_Society,740.1502555608749,50125.81150312722,0.014765850833451322
7,26.0,4675.0,British Museum,0.7718535065650941,Q6373,Culture.Visual_arts.Visual_arts*,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999,42.0,730.0,0.05753424657534247,Visual_arts*,Culture,842.864029169083,16224.033187754452,0.051951572054552884
8,35.0,5247.0,Country music,0.6513648629188538,Q83440,Culture.Media.Media*,240.0,1103816.176799283,174.0,17.0,0.0,51.410255,-6.6651697,-1.7799999,163.0,1415.0,0.11519434628975266,Media*,Culture,3716.036542952061,214134.4482901916,0.01735375402054016
9,11.0,5267.0,Constellation,0.9324633479118348,Q8928,STEM.STEM*,154.0,236810.79048226657,102.0,2.0,134.0,22.179489999999998,21.220779999999998,-10.195003999999999,60.0,730.0,0.0821917808219178,STEM*,STEM,615.425809621811,16224.033187754452,0.03793297280027269
