,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1624,Andrew_Johnson,13.653847,228,71,225,-11.0567875,11.84044,1624,4,3,42319.0
1676,Alfonso_XII_of_Spain,12.435898,255,15,65,-12.763531,-8.452114,1676,3,0,15884.000000000004
2238,Antipope_John_XXIII,11.217949,0,163,145,9.662183,-2.3220663,2238,2,37,10590.0
3080,Alexandria,16.089745,0,163,145,-11.561155,-24.92533,3080,6,37,135255.14044043294
3112,Arianespace,13.653847,192,192,192,-5.0846767,-22.843502,3112,4,26,31755.0
3392,British_Columbia,27.051283,192,192,192,-14.174606,-6.724975,3392,15,24,150677.68384087642
4054,Battleship,24.615385,0,135,255,-1.9980601,-15.96576,4054,13,13,135437.62406415123
4675,British_Museum,40.44872,134,102,154,-23.474747,0.5055209,4675,26,2,165773.04987104575
5247,Country_music,51.410255,0,174,240,-6.6651697,-1.7799999,5247,35,17,1103816.1767992827
5267,Constellation,22.17949,134,102,154,21.22078,-10.195004,5267,11,2,236810.79048226657
6185,Chuck_Yeager,11.217949,0,135,255,2.016437,10.957729,6185,2,13,5296.0
6187,Cologne,11.217949,154,122,0,-4.0939484,-24.61415,6187,2,11,5296.000000000001
6250,"Colorado_Springs,_Colorado",16.089745,0,136,97,17.361408,-15.701691,6250,6,32,98658.61851908914
6653,Cape_Town,22.17949,134,102,154,-13.784749,8.734847,6653,11,2,201624.76781250368
7034,Cruiser,19.74359,0,135,255,-8.091894,19.657295,7034,9,13,53818.88212840966
7407,County_town,12.435898,89,127,28,0.8024982,1.4756441,7407,3,2,37655.9568253606
7592,Caldera,28.269232,146,108,232,1.3589416,-20.440403,7592,16,25,23802.54356389444
7906,Destry_Rides_Again,12.435898,192,192,192,-18.19172,-6.2803874,7906,3,1,10591.0
8166,Devon,24.615385,89,127,28,12.282826,-8.956896,8166,13,2,154707.45693971563
8167,Dartmoor,17.307693,89,127,28,12.505457,-7.5195017,8167,7,2,11912.226188530043
8586,Dyson_sphere,11.217949,192,192,192,12.147151,-5.7379346,8586,2,26,5296.0
10315,Edwin_Howard_Armstrong,11.217949,192,192,192,2.8136408,6.0960693,10315,2,26,142290.0
11260,Relax_(song),10.0,192,192,192,9.614379,-18.790728,11260,1,17,0.0
13487,Hermann_G?ring,10.0,176,94,34,-3.9644754,-16.315323,13487,1,13,0.0
