,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,4.0,425.0,Billy Wilder,0.287777841091156,Q51547,Culture.Performing_arts,425.0,11524.694812032976,4.0,2711.0,1.151111364364624,Culture,Performing_arts,Billy Wilder
1,15.0,480.0,C,0.9591643214225768,Q9820,Culture.Linguistics,480.0,51381.72602031005,0.0,10770.0,14.387464821338652,Culture,Linguistics,C
2,5.0,482.0,Cesio,0.8634016513824463,Q1108,STEM.Chemistry,482.0,15841.680052959076,18.0,2540.0,4.317008256912232,STEM,Chemistry,Cesium
3,1.0,754.0,Cámara,0.4225146472454071,Q283838,Culture.Linguistics,754.0,0.0,12.0,3022.0,0.4225146472454071,Culture,Linguistics,Camera
4,2.0,760.0,Clasificación,0.14805719256401062,Q5227255,History_and_Society.Transportation,760.0,644.2190686118212,0.0,3617.0,0.29611438512802124,History_and_Society,Transportation,Classification
5,4.0,762.0,Clase,0.6224693655967712,Q8346739,Culture.Linguistics,762.0,7567.823045812629,0.0,2459.0,2.489877462387085,Culture,Linguistics,Class
6,13.0,850.0,Día,0.9219318628311156,Q573,STEM.STEM*,850.0,60369.73607070753,22.0,25158.0,0.0,STEM,STEM*,Day
7,2.0,1111.0,Escudo,0.4378334879875183,Q131559,History_and_Society.History,1111.0,1289.1848311340261,7.0,2677.0,0.8756669759750366,History_and_Society,History,Shield
8,6.0,1290.0,Graphics Interchange Format,0.40734341740608215,Q2192,STEM.Computing,1290.0,19895.34313351008,12.0,6065.0,2.4440605044364934,STEM,Computing,Graphics Interchange Format
9,5.0,1525.0,Isla del Príncipe Eduardo,0.7981967926025391,Q1979,Geography.Geographical,1525.0,15504.27070815089,18.0,6036.0,0.0,Geography,Geographical,Prince edward island
10,4.0,1578.0,John Ford (director de cine),0.4225146472454071,Q51114,History_and_Society.Military_and_warfare,1578.0,28950.754646728605,4.0,3309.0,1.6900585889816284,History_and_Society,Military_and_warfare,John Ford (film director)
11,1.0,1619.0,Linus Torvalds,0.3702353835105896,Q34253,STEM.Computing,1619.0,0.0,12.0,2488.0,0.3702353835105896,STEM,Computing,Linus Torvalds
12,2.0,1700.0,Retardo (telecomunicación),0.40734341740608215,Q1347898,STEM.Computing,1700.0,6270.201185084655,13.0,1754.0,0.8146868348121643,STEM,Computing,Delay (telecommunication)
13,13.0,1706.0,Logotipo,0.1778208613395691,Q1886349,History_and_Society.Society,1706.0,63771.759042679274,11.0,5423.0,2.3116711974143977,History_and_Society,Society,Logo
14,1.0,2117.0,Programa,0.2568419873714447,Q768396,STEM.Biology,2117.0,0.0,10.0,2449.0,0.2568419873714447,STEM,Biology,Program
15,3.0,2793.0,Terminal,0.2120788097381592,Q210481,Culture.Linguistics,2793.0,2375.474237337681,12.0,1086.0,0.6362364292144777,Culture,Linguistics,Terminal
16,7.0,2922.0,Vacío,0.8840492963790894,Q11475,STEM.Physics,2922.0,54068.984993774015,18.0,2530.0,6.1883450746536255,STEM,Physics,Empty
17,3.0,3334.0,Juan de Garay,0.538993239402771,Q441411,History_and_Society.Military_and_warfare,3334.0,89152.69512727133,17.0,1482.0,1.6169797182083132,History_and_Society,Military_and_warfare,Juan de Garay
18,2.0,3495.0,III milenio,0.5621865391731262,Q26224,History_and_Society.History,3495.0,5602.0,22.0,2757.0,1.1243730783462524,History_and_Society,History,III millennium
19,9.0,3981.0,Estado Carabobo,0.974052667617798,Q191186,Geography.Regions.Americas.South_America,3981.0,75370.21429279911,3.0,1961.0,0.0,Geography,South_America,Carabobo state
20,15.0,4066.0,Provincia de Zamora,0.9994029402732848,Q71113,Geography.Regions.Europe.Southern_Europe,4066.0,268205.1312056507,17.0,3436.0,0.0,Geography,Southern_Europe,Zamora province
21,1.0,4618.0,Estación,0.4455395638942719,Q34700,Culture.Linguistics,4618.0,0.0,18.0,1917.0,0.4455395638942719,Culture,Linguistics,Station
22,2.0,4644.0,Elemento,0.16886694729328156,Q180750,Culture.Visual_arts.Architecture,4644.0,577.8043541471483,0.0,2118.0,0.3377338945865631,Culture,Architecture,Element
23,12.0,4680.0,E,0.9019306898117064,Q9907,Culture.Linguistics,4680.0,4739.111835575368,0.0,4556.0,10.823168277740477,Culture,Linguistics,AND
24,18.0,4804.0,World Wide Web,0.8221991658210754,Q466,STEM.Technology,4804.0,89214.41400867248,12.0,64608.0,14.799584984779358,STEM,Technology,world Wide Web
25,3.0,4954.0,Document Object Model,0.6859594583511353,Q2093,STEM.Computing,4954.0,2035.2941438160376,12.0,3827.0,2.0578783750534058,STEM,Computing,Document Object Model
26,3.0,4990.0,Invento,0.4532718360424042,Q14208553,History_and_Society.Business_and_economics,4990.0,1408.2863011565296,18.0,1665.0,1.3598155081272123,History_and_Society,Business_and_economics,Invention
27,2.0,5031.0,Horario de verano en el mundo,0.1259327530860901,Q1538024,Culture.Visual_arts.Visual_arts*,5031.0,2945.565770956904,22.0,3503.0,0.2518655061721802,Culture,Visual_arts*,Daylight saving time in the world
28,3.0,5146.0,Active Server Pages,0.7981967926025391,Q344266,STEM.Computing,5146.0,1439.7172040211676,12.0,1600.0,2.3945903778076167,STEM,Computing,Active Server Pages
29,3.0,5504.0,Alevosía,0.26285186409950256,Q567057,STEM.Technology,5504.0,3166.005798515045,7.0,2214.0,0.7885555922985077,STEM,Technology,Treachery
30,7.0,5697.0,Chiste,0.19194278120994568,Q131138,STEM.Medicine_&_Health,5697.0,37788.692463291736,13.0,15044.0,1.3435994684696198,STEM,Medicine_&_Health,Joke
31,17.0,6637.0,Varón,0.4688006341457367,Q8441,History_and_Society.Society,6637.0,56923.10852551445,7.0,8866.0,7.969610780477524,History_and_Society,Society,Male
32,22.0,6638.0,Mujer,0.6224693655967712,Q467,History_and_Society.Society,6638.0,46900.592051292064,7.0,44061.0,13.694326043128967,History_and_Society,Society,Woman
33,1.0,6692.0,Cantidad,0.275139719247818,Q309314,Culture.Philosophy_and_religion,6692.0,0.0,0.0,2478.0,0.275139719247818,Culture,Philosophy_and_religion,Quantity
34,2.0,6788.0,Sonar,0.5234303474426271,Q133220,STEM.Engineering,6788.0,1286.9203522344271,13.0,2861.0,1.046860694885254,STEM,Engineering,Sound
35,6.0,6946.0,Anglicismo,0.7371681928634644,Q161273,Culture.Linguistics,6946.0,55708.50881710085,12.0,3125.0,4.423009157180786,Culture,Linguistics,Anglicism
36,4.0,7002.0,Bandera de Cataluña,0.99745911359787,Q148807,History_and_Society.History,7002.0,11330.74458122441,7.0,2226.0,3.98983645439148,History_and_Society,History,Catalonia flag
37,15.0,7262.0,Clima,0.38492217659950256,Q7937,History_and_Society.Society,7262.0,45379.01083864207,6.0,145417.0,5.7738326489925385,History_and_Society,Society,Weather
38,8.0,8166.0,Síntoma,0.8439050912857056,Q169872,STEM.Medicine_&_Health,8166.0,17948.577771965945,18.0,20919.0,6.7512407302856445,STEM,Medicine_&_Health,Symptom
39,2.0,8327.0,Vi,0.9173126816749572,Q214743,STEM.Computing,8327.0,5602.0,12.0,1614.0,1.8346253633499143,STEM,Computing,Saw
40,5.0,8388.0,Microscopio electrónico de transmisión,0.6297846436500549,Q744818,STEM.Technology,8388.0,17274.389337596444,11.0,16546.0,3.1489232182502747,STEM,Technology,Transmission electron microscope
41,6.0,8792.0,Vuelta a España,0.7773098945617676,Q33937,Culture.Sports,8792.0,42130.5362115109,20.0,2440.0,4.6638593673706055,Culture,Sports,Back to Spain
42,3.0,8843.0,Síndrome,0.9984121918678284,Q179630,STEM.Medicine_&_Health,8843.0,615.0147940038768,18.0,4688.0,2.995236575603485,STEM,Medicine_&_Health,Syndrome
43,2.0,9092.0,Poza Rica de Hidalgo,0.9958112239837646,Q1010503,Geography.Regions.Americas.North_America,9092.0,125.78731812573065,6.0,2061.0,0.0,Geography,North_America,Poza Rica de Hidalgo
