,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,15,Geografía de Andorra,15,2,6,274.35687219886603,Q853007
1,193,Anaxímenes,193,3,10,1922.397037919852,Q80612
2,264,Antigüedad clásica,264,27,0,211077.24256363657,Q486761
3,305,Axiología,305,3,6,2630.2740268713915,Q186531
4,390,BIOS,390,8,14,5157.095196835738,Q226264
5,464,Lenguas de Colombia,464,2,7,215.53755532215317,Q3351503
6,486,Cuadrado,486,20,10,61091.494454904474,Q164
7,587,Casuarina,587,3,2,216.3433948093845,Q756005
8,615,Compilador,615,14,14,29240.427062573384,Q47506
9,873,Distancia,873,7,10,9519.918838169076,Q126017
10,977,Electronvoltio,977,13,10,8454.445083545492,Q83327
11,1006,Euskal Herria,1006,14,16,90248.04896712891,Q47588
12,1044,Entretenimiento,1044,18,0,217274.28035655577,Q173799
13,1194,Filogenia,1194,17,2,24820.622043501582,Q171184
14,1217,Fisiología humana,1217,6,0,11886.598119792134,Q2892439
15,1245,Gustave Flaubert,1245,3,0,7532.054811970619,Q43444
16,1350,Geografía económica,1350,13,6,29235.21727774755,Q187097
17,1467,Impresora,1467,10,14,9306.23579272727,Q82
18,1554,Juan de la Cierva,1554,2,4,1823.2301408420105,Q354646
19,1593,Núcleo (informática),1593,13,14,9198.669938509853,Q9662
20,1692,Lenguaje de alto nivel,1692,6,14,4143.289253594435,Q211496
21,1697,Lisp,1697,6,14,463.4772621182318,Q132874
22,1845,Módem,1845,10,14,32207.781923493443,Q5607
23,1908,Matemáticas discretas,1908,7,10,10415.195643590208,Q121416
24,2114,Procesador,2114,1,14,0.0,Q1314879
25,2157,Principio de exclusión de Pauli,2157,9,10,13515.345938466604,Q131594
26,2196,Péndulo,2196,2,10,574.4252123456265,Q20702
27,2249,Programación estructurada,2249,1,14,0.0,Q223335
28,2512,Receta culinaria,2512,5,10,13041.093390207649,Q219239
29,2595,Sistema Cegesimal de Unidades,2595,4,10,1075.4321165149388,Q26240
30,2665,SCADA,2665,3,10,596.686995998895,Q17498
31,2737,Taxón,2737,9,2,7219.677934187913,Q16521
