,Label,Id,Degree,modularity_class,betweenesscentrality
3854,Miguel_de_Unamuno,3854,12,13,65620.96785019172
7557,Vicente_Molina_Foix,7557,1,2,0.0
8200,Elie_Wiesel,8200,3,4,1074.0
10553,Michael_Jordan,10553,37,8,198178.5010480095
10689,Bañeres,10689,3,11,1074.0
10740,Alberto_Vázquez-Figueroa,10740,1,2,0.0
18333,Protectorado,18333,1,4,0.0
22884,Almansa,22884,3,11,92.18181818181822
27203,Quo_vadis?_(película_de_1951),27203,1,9,0.0
28509,Te_doy_mis_ojos,28509,2,2,1074.0
28696,When_Harry_Met_Sally...,28696,1,1,0.0
29396,Béjar,29396,1,2,0.0
30188,Isla_de_Tabarca,30188,1,11,0.0
34720,Isla_de_Perejil,34720,3,13,6422.0
37326,Zagreb,37326,5,12,44609.0
39412,Ángela_Molina,39412,10,11,37770.321113389946
45272,Kōbe,45272,1,16,0.0
47116,American_Football_League,47116,9,3,45.27855724128103
47126,Houston_Texans,47126,8,3,765.6843264223672
49282,Wolfgang_Larrazábal,49282,1,13,0.0
52921,Loyola_de_Palacio,52921,1,13,0.0
55385,Francisco_Rabal,55385,9,13,107535.75370843297
55593,Pau_Gasol,55593,27,8,1490.83337774095
56466,Perú_Posible,56466,14,7,1878.062842094221
58276,Pomerania,58276,1,18,0.0
58767,Jávea,58767,1,11,0.0
60230,Luis_Miguel_Domínguez,60230,1,2,0.0
60880,Torrevieja,60880,4,11,3140.182683982685
62036,Javier_Sotomayor,62036,1,0,0.0
67325,Magic_Johnson,67325,24,8,2138.718463599315
69481,Anouk_Aimée,69481,2,11,30760.343263461946
71315,Josep_Piqué,71315,2,13,1074.0
74772,Mario_Camus,74772,5,13,25397.329510365846
76306,José_María_Pemán,76306,9,13,152559.68776880912
77085,San_Antonio_Spurs,77085,40,8,5121.6630506669035
77332,Deflagración,77332,1,7,0.0
77588,Zipi_y_Zape,77588,1,5,0.0
79121,Gotemburgo,79121,3,0,96494.32714958044
80158,Anastasia_Nikoláyevna_de_Rusia,80158,3,18,1074.0
86292,Pete_Maravich,86292,7,8,1.473459778830623
87076,Presuntos_Implicados,87076,1,2,0.0
88858,Ricardo_Franco,88858,2,2,1054.5666666666666
89092,Mariano_Barroso,89092,3,2,0.0
92520,Juan_Diego_Flórez,92520,1,7,0.0
92573,Chabuca_Granda,92573,3,7,2147.0
94503,Susan_Sontag,94503,1,11,0.0
96792,Juan_Antonio_Bardem,96792,3,2,11658.663342699936
97506,Navalmoral_de_la_Mata,97506,3,0,246402.77578415564
98973,Buffalo_Bills,98973,11,3,524.16155401149
99612,Fernando_Sánchez_Dragó,99612,3,2,10279.14581578243
101500,Oświęcim,101500,4,4,3261.5
102922,Sonderkommando,102922,4,4,18001.0
103268,IG_Farben,103268,2,4,88.5
104936,Super_Bowl_XXXIX,104936,4,3,225.0610879458714
105277,Julius_Erving,105277,12,8,18.23274119263083
105605,Distrito_de_Villa_El_Salvador,105605,3,7,3217.583333333333
106486,Miguel_Gila,106486,2,9,1023.1065656565638
106940,Pacto_de_Puntofijo,106940,3,13,3216.0
107074,María_José_Cantudo,107074,2,11,0.0
108564,Partido_Comunista_de_los_Pueblos_de_España,108564,3,13,87892.0
110773,Doris_Wells,110773,1,13,0.0
114130,Villena,114130,6,11,19792.87952539505
115694,Lucía_de_Lammermoor,115694,1,13,0.0
115837,Estadio_Olímpico_Lluís_Companys,115837,3,0,2146.0
115887,Carlos_Delgado_Chalbaud,115887,2,13,3216.0
118814,Fernando_Martín_Espina,118814,5,8,544.645425723713
118867,Alberto_Andrade_Carmona,118867,5,7,3285.375998429674
119024,Audie_Norris,119024,2,8,1.1661706349206349
122809,Academia_de_las_Artes_y_las_Ciencias_Cinematográficas_de_España,122809,16,2,71174.90342389255
123448,Bigas_Luna,123448,5,2,3223.3871794871707
123455,Laia_Marull,123455,1,2,0.0
128890,Persecución_de_los_homosexuales_en_la_Alemania_nazi,128890,1,4,0.0
131480,Bicameralidad,131480,1,7,0.0
133797,Partido_Comunista_de_Venezuela,133797,6,13,13857.0
134014,Ramón_Franco,134014,4,13,246183.24245082244
135553,Bata_(Guinea_Ecuatorial),135553,1,0,0.0
136520,Yecla,136520,4,11,6628.612209377824
136767,Vanderlei_Luxemburgo,136767,1,0,0.0
139833,Chris_Tucker,139833,1,8,0.0
141128,Joaquín_Dicenta,141128,2,13,0.0
141476,Kiko_Veneno,141476,1,2,0.0
144356,Sebastián_González,144356,1,5,0.0
148617,Conferencia_de_Wannsee,148617,3,4,1074.0
148927,Rafael_Uribe_Uribe,148927,1,7,0.0
149537,Onteniente,149537,1,11,0.0
151229,Ibiza_(ciudad),151229,3,0,31612.94997341866
152350,Luis_del_Olmo,152350,2,2,2808.4425625060444
156285,Júlio_Baptista,156285,3,0,5157.925634707206
160160,Joma,160160,5,5,50052.13927548827
160436,Pablo_Guede,160436,2,5,0.0
160455,Norberto_Alonso,160455,1,16,0.0
160772,Udinese_Calcio,160772,7,5,6355.0671098851735
161761,Unione_Sportiva_Lecce,161761,3,5,3871.097538806871
161985,Shoah_(película),161985,2,4,4283.5
163237,Club_Olimpo,163237,10,16,250185.240676047
164053,Juan_Alberto_Belloch,164053,2,0,1074.0
165050,Silvia_Abascal,165050,3,13,2147.0
165081,Emilio_Gutiérrez_Caba,165081,3,13,19696.801966505376
166145,Club_de_Fútbol_Badalona,166145,4,0,3218.0
166198,Embarazo_ectópico,166198,1,8,0.0
166582,Marbella_Fútbol_Club,166582,3,0,4339.614619883042
167965,Rafael_Pombo,167965,1,13,0.0
171587,Abdalá_bin_Abdulaziz,171587,1,11,0.0
176136,"Jamón,_jamón",176136,2,2,64.73809523809508
177827,Miguel_Cabanellas,177827,5,13,45963.32303192946
178381,Gregorio_Pérez,178381,5,15,10667.0
182295,Selección_de_fútbol_de_Noruega,182295,8,0,99513.07714958047
182848,Calabozo_(Venezuela),182848,1,13,0.0
182849,Francisco_de_la_Torre_Prados,182849,3,2,2146.0
186270,Andoni_Iraola,186270,3,0,1074.0
187299,José_Luis_Coll,187299,2,2,3694.6719275854
188644,Wilhelm_Canaris,188644,3,4,1074.0
189403,Paul_Pierce,189403,18,8,26.259079626638947
191895,Juan_Yagüe,191895,4,13,912.4209464827113
192405,José_Millán-Astray,192405,6,13,21408.783469338006
194527,Luciano_Galletti,194527,2,0,1074.0
194970,La_mala_educación,194970,7,2,628.4655067155007
198632,Maximiliano_Kolbe,198632,1,4,0.0
198987,Gregorio_Manzano,198987,2,0,3216.0
199250,Premios_César,199250,7,2,5428.057683982687
200698,Philadelphia_Eagles,200698,12,3,1450.9817657903402
200857,8½,200857,2,11,30526.717072985757
201359,Ana_Palacio,201359,3,13,3218.0
202127,Falco_tinnunculus,202127,1,11,0.0
205424,Junta_de_Extremadura,205424,5,0,185743.5582305385
210776,Richard_Baer,210776,1,1,0.0
211721,Los_santos_inocentes_(película),211721,4,13,3279.827603011423
211836,"Torrente,_el_brazo_tonto_de_la_ley",211836,7,9,9031.756539856504
214133,Marisa_Paredes,214133,5,2,26015.97567109107
215128,Amparo_Larrañaga,215128,3,13,253.54523809523812
218979,Lola_Dueñas,218979,5,2,8071.937541625047
220433,Estadio_de_Anoeta,220433,6,0,56626.02376816116
221589,Kobe_Bryant,221589,64,8,104558.54578788717
222833,Einsatzgruppen,222833,6,4,37682.5
224433,Utah_Jazz,224433,40,8,9051.398868228749
226046,Kenan_&_Kel,226046,1,8,0.0
226366,Emmanuelle_Béart,226366,1,2,0.0
227415,Asociación_Mutual_Social_y_Deportiva_Atlético_de_Rafaela,227415,5,16,5359.0
229153,Luis_Bedoya_Reyes,229153,2,7,8.86515151515151
236134,Javier_Ruibal,236134,2,2,1074.0
239228,Informe_semanal,239228,4,2,3218.0
241762,Iker_Jiménez,241762,2,2,1074.0
242485,Luis_Herrero,242485,4,2,2147.0
243199,Baloncesto_en_los_Juegos_Olímpicos,243199,8,8,2581.062634698479
244267,María_José_Rienda,244267,2,17,0.0
245373,Elecciones_generales_de_Perú_de_2006,245373,15,7,11346.336341655393
245970,Charlotte_Hornets,245970,31,8,31777.922203880735
247181,Elecciones_generales_de_Perú_de_2001,247181,7,7,19.796643122958923
247324,Hable_con_ella,247324,8,2,13469.926258328876
248657,Aeropuerto_de_Alicante-Elche,248657,4,11,4681.262554112548
249731,Cine_de_Venezuela,249731,1,1,0.0
249831,Reglas_de_vuelo_visual,249831,3,6,22.407356532356545
249902,Reglas_de_vuelo_instrumental,249902,5,6,89.7956349206349
250110,Mariano_Pernía,250110,1,0,0.0
251146,Hay_que_educar_a_papá,251146,3,9,14854.0
251490,Elvira_Mínguez,251490,3,2,1135.0000000000002
252085,Guernica_y_Luno,252085,2,12,1074.0
253739,La_strada,253739,1,11,0.0
254329,Literatura_de_Colombia,254329,3,13,2147.0
258421,Estadio_Germán_Becker,258421,11,5,10881.6644156972
260210,Etnocacerismo,260210,3,7,1342.4395604395706
263632,Médico_de_familia_(serie_de_televisión),263632,6,9,4865.666450216424
265655,Washington_Redskins,265655,20,3,3471.033918589163
267726,Gonzalo_García_Núñez,267726,1,7,0.0
268328,Izquierda_Unida_(Perú),268328,7,7,13110.983308358585
268346,Common,268346,1,19,0.0
268885,Matadepera,268885,1,0,0.0
271273,Tristán_Ulloa,271273,2,9,1758.0727994228007
271804,Indianapolis_Colts,271804,12,3,639.5449534338884
273781,Restauración_Nacional_(Perú),273781,4,7,154.68557912675558
274808,Operación_Antropoide,274808,9,4,9519.500000000002
276242,Gene_Kelly,276242,1,2,0.0
277917,Nico_(cantante_alemana),277917,2,11,31075.6716184403
278154,Partido_Humanista_Peruano,278154,3,7,1074.0
278777,Tony_Leblanc,278777,1,9,0.0
280426,Antonio_Isasi-Isasmendi,280426,7,2,46324.028939567615
281040,Partido_Nacionalista_Peruano,281040,11,7,54160.42437125618
283088,Esther_García_Rodríguez,283088,7,2,2812.03217906039
283115,Raquel_Meroño,283115,1,9,0.0
283276,Jesús_Carroza,283276,1,13,0.0
283717,Condado_de_Los_Ángeles,283717,5,6,204.70000000000005
283929,Chicho_Ibáñez_Serrador,283929,1,13,0.0
284361,Coretta_Scott_King,284361,3,3,0.5
284894,Vicente_Aranda,284894,8,2,10582.89507159501
284909,Amantes_(película),284909,2,2,1074.0
285074,Marisol,285074,17,13,109293.5963552292
286014,Mariano_Ozores,286014,11,9,42248.31337261453
286047,Antonio_Ozores,286047,6,9,8230.225808499741
286060,Mayra_Gómez_Kemp,286060,1,11,0.0
287608,Luis_González_(futbolista),287608,1,5,0.0
288895,Mujeres_al_borde_de_un_ataque_de_nervios,288895,6,2,316.03264235764226
288926,¡Átame!,288926,9,2,8848.90135882463
289721,Super_Bowl_XL,289721,4,3,4290.85119047619
291284,Sara_Baras,291284,1,2,0.0
295447,Carlos_Diogo,295447,1,0,0.0
297039,20th_Century_Studios,297039,29,1,58457.98051947992
297221,Granadilla_(Cáceres),297221,1,2,0.0
