,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,4.0,1091.0,Epigrafía,0.7931159734725952,Q181260,History_and_Society.History,1091.0,8109.200149539337,9.0,2911.0,3.172463893890381,History_and_Society,History
1,26.0,1356.0,Guerra civil española,0.6859594583511353,Q10859,History_and_Society.Military_and_warfare,1356.0,309278.3998733376,5.0,97375.0,17.834945917129517,History_and_Society,Military_and_warfare
2,7.0,1578.0,John Ford (director de cine),0.4225146472454071,Q51114,History_and_Society.Military_and_warfare,1578.0,14145.326567368671,2.0,2973.0,2.9576025307178497,History_and_Society,Military_and_warfare
3,8.0,3519.0,Siglo II,0.8840492963790894,Q8103,History_and_Society.History,3519.0,31121.647235011864,9.0,2718.0,7.072394371032715,History_and_Society,History
4,1.0,7032.0,Batalla de Chacabuco,0.8991314172744751,Q1425658,History_and_Society.Military_and_warfare,7032.0,0.0,13.0,4214.0,0.8991314172744751,History_and_Society,Military_and_warfare
5,10.0,12210.0,Eminem,0.8596737384796143,Q5608,Culture.Media.Media*,12210.0,25333.84838364582,3.0,130237.0,8.596737384796143,Culture,Media*
6,3.0,17545.0,Agnès Varda,0.13297423720359802,Q229990,Culture.Visual_arts.Visual_arts*,17545.0,3815.232683173212,11.0,2579.0,0.39892271161079407,Culture,Visual_arts*
7,3.0,18519.0,William Holden,0.11280541121959685,Q95002,History_and_Society.Military_and_warfare,18519.0,3051.0,2.0,2305.0,0.33841623365879053,History_and_Society,Military_and_warfare
8,2.0,18595.0,Oscar,0.538993239402771,Q223983,Culture.Linguistics,18595.0,1526.0,11.0,1191.0,1.077986478805542,Culture,Linguistics
9,6.0,23518.0,Deborah Kerr,0.7122421860694885,Q104146,History_and_Society.History,23518.0,30474.18615342992,2.0,2708.0,4.273453116416931,History_and_Society,History
10,1.0,25303.0,Elizabeth McGovern,0.2227101624011993,Q233868,Culture.Media.Media*,25303.0,0.0,11.0,1598.0,0.2227101624011993,Culture,Media*
11,4.0,26306.0,A.I. Inteligencia Artificial,0.9958112239837646,Q221113,Culture.Media.Media*,26306.0,9130.723245930662,11.0,4621.0,3.9832448959350586,Culture,Media*
12,2.0,26775.0,Gilda (película),0.994455099105835,Q382307,Culture.Media.Films,26775.0,3158.193893141791,2.0,1816.0,1.98891019821167,Culture,Films
13,1.0,26777.0,Veinte mil leguas de viaje submarino (película de 1954),0.9978272914886476,Q64110,Culture.Media.Films,26777.0,0.0,2.0,2377.0,0.9978272914886476,Culture,Films
14,1.0,26858.0,Kim Novak,0.1778208613395691,Q212879,History_and_Society.History,26858.0,0.0,2.0,2505.0,0.1778208613395691,History_and_Society,History
15,4.0,26944.0,Annie Hall,0.9946250915527344,Q233464,Culture.Media.Films,26944.0,14589.377507051762,11.0,2943.0,3.9785003662109375,Culture,Films
16,2.0,26962.0,Stewart Granger,0.1732981950044632,Q310150,Culture.Media.Media*,26962.0,0.0,2.0,1492.0,0.3465963900089264,Culture,Media*
17,1.0,26990.0,Midnight Cowboy,0.9947898983955384,Q61696,Culture.Media.Films,26990.0,0.0,11.0,2615.0,0.9947898983955384,Culture,Films
18,14.0,27145.0,Espartaco (película),0.9796776771545408,Q108297,Culture.Media.Films,27145.0,26582.319351361275,2.0,17718.0,13.71548748016357,Culture,Films
19,3.0,27684.0,Las minas del rey Salomón (película),0.9985549449920654,Q1471671,Culture.Media.Films,27684.0,31602.726492680562,2.0,778.0,2.9956648349761963,Culture,Films
20,4.0,27696.0,Shane,0.9949496984481812,Q1045165,Culture.Media.Films,27696.0,8102.347165103043,2.0,2928.0,3.9797987937927246,Culture,Films
21,2.0,27707.0,Alicia ya no vive aquí,0.9972090721130372,Q916431,Culture.Media.Films,27707.0,364.0985320406389,11.0,1913.0,1.9944181442260744,Culture,Films
22,2.0,27790.0,Atracción fatal,0.998142421245575,Q504157,Culture.Media.Films,27790.0,1526.0,2.0,3020.0,1.99628484249115,Culture,Films
23,2.0,27792.0,Lethal Weapon,0.99745911359787,Q462447,Culture.Media.Films,27792.0,1525.9999999999998,15.0,3310.0,1.99491822719574,Culture,Films
24,1.0,27828.0,Marea roja (película),0.9916942119598388,Q1140085,Culture.Media.Films,27828.0,0.0,11.0,1762.0,0.9916942119598388,Culture,Films
25,1.0,27836.0,El final de la cuenta atrás,0.9970290064811708,Q503033,Culture.Media.Media*,27836.0,0.0,2.0,1903.0,0.9970290064811708,Culture,Media*
26,1.0,27857.0,Los puentes de Toko-Ri,0.998803436756134,Q561982,Culture.Media.Films,27857.0,0.0,2.0,1168.0,0.998803436756134,Culture,Films
27,1.0,27890.0,The Firm (película),0.9981998205184937,Q821692,Culture.Media.Films,27890.0,0.0,11.0,1413.0,0.9981998205184937,Culture,Films
28,1.0,28149.0,Sabrina (película de 1995),0.9982553720474244,Q900708,Culture.Media.Films,28149.0,0.0,2.0,1272.0,0.9982553720474244,Culture,Films
29,3.0,28296.0,Ordinary People,0.994455099105835,Q503313,Culture.Media.Films,28296.0,3050.9999999999995,11.0,2659.0,2.983365297317505,Culture,Films
30,1.0,28317.0,The Adventures of Robin Hood,0.989681839942932,Q201234,Culture.Media.Films,28317.0,0.0,11.0,1407.0,0.989681839942932,Culture,Films
31,1.0,28495.0,Siete días de mayo,0.994455099105835,Q1754611,Culture.Media.Films,28495.0,0.0,2.0,1191.0,0.994455099105835,Culture,Films
