,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class
0,4.0,1091.0,Epigrafía,0.7931159734725952,Q181260,History_and_Society.History,1091.0,8109.200149539337,9.0
1,4.0,1091.0,Epigrafía,0.275139719247818,Q181260,Culture.Philosophy_and_religion,1091.0,8109.200149539337,9.0
2,4.0,1091.0,Epigrafía,0.23371636867523193,Q181260,Culture.Literature,1091.0,8109.200149539337,9.0
3,4.0,1091.0,Epigrafía,0.14805719256401062,Q181260,STEM.STEM*,1091.0,8109.200149539337,9.0
4,26.0,1356.0,Guerra civil española,0.6859594583511353,Q10859,History_and_Society.Military_and_warfare,1356.0,309278.3998733376,5.0
5,26.0,1356.0,Guerra civil española,0.4765896201133728,Q10859,History_and_Society.History,1356.0,309278.3998733376,5.0
6,26.0,1356.0,Guerra civil española,0.41865252161026,Q10859,Geography.Regions.Europe.Europe*,1356.0,309278.3998733376,5.0
7,26.0,1356.0,Guerra civil española,0.41144620084762573,Q10859,Geography.Regions.Europe.Southern_Europe,1356.0,309278.3998733376,5.0
8,26.0,1356.0,Guerra civil española,0.2509227991104126,Q10859,History_and_Society.Politics_and_government,1356.0,309278.3998733376,5.0
9,26.0,1356.0,Guerra civil española,0.1778208613395691,Q10859,History_and_Society.Society,1356.0,309278.3998733376,5.0
10,26.0,1356.0,Guerra civil española,0.1067005917429924,Q10859,Culture.Philosophy_and_religion,1356.0,309278.3998733376,5.0
11,26.0,1356.0,Guerra civil española,0.0,Q10859,Geography.Geographical,1356.0,309278.3998733376,5.0
12,7.0,1578.0,John Ford (director de cine),0.998309314250946,Q51114,Culture.Biography.Biography*,1578.0,14145.326567368671,2.0
13,7.0,1578.0,John Ford (director de cine),0.4225146472454071,Q51114,History_and_Society.Military_and_warfare,1578.0,14145.326567368671,2.0
14,7.0,1578.0,John Ford (director de cine),0.3624016513824463,Q51114,Geography.Regions.Americas.North_America,1578.0,14145.326567368671,2.0
15,7.0,1578.0,John Ford (director de cine),0.1732981950044632,Q51114,History_and_Society.Society,1578.0,14145.326567368671,2.0
16,7.0,1578.0,John Ford (director de cine),0.0,Q51114,Geography.Regions.Europe.Europe*,1578.0,14145.326567368671,2.0
17,7.0,1578.0,John Ford (director de cine),0.0,Q51114,Geography.Regions.Europe.Northern_Europe,1578.0,14145.326567368671,2.0
18,8.0,3519.0,Siglo II,0.8840492963790894,Q8103,History_and_Society.History,3519.0,31121.647235011864,9.0
19,8.0,3519.0,Siglo II,0.3629792034626007,Q8103,STEM.STEM*,3519.0,31121.647235011864,9.0
20,1.0,7032.0,Batalla de Chacabuco,0.9993221759796143,Q1425658,Geography.Regions.Americas.South_America,7032.0,0.0,13.0
21,1.0,7032.0,Batalla de Chacabuco,0.8991314172744751,Q1425658,History_and_Society.Military_and_warfare,7032.0,0.0,13.0
22,10.0,12210.0,Eminem,0.998309314250946,Q5608,Culture.Biography.Biography*,12210.0,25333.84838364582,3.0
23,10.0,12210.0,Eminem,0.8596737384796143,Q5608,Culture.Media.Media*,12210.0,25333.84838364582,3.0
24,10.0,12210.0,Eminem,0.6926519870758057,Q5608,Culture.Media.Music,12210.0,25333.84838364582,3.0
25,10.0,12210.0,Eminem,0.275139719247818,Q5608,Culture.Biography.Women,12210.0,25333.84838364582,3.0
26,10.0,12210.0,Eminem,0.10667316818237305,Q5608,Geography.Regions.Americas.North_America,12210.0,25333.84838364582,3.0
27,10.0,12210.0,Eminem,0.0,Q5608,Geography.Regions.Europe.Europe*,12210.0,25333.84838364582,3.0
28,3.0,17545.0,Agnès Varda,0.9984612464904785,Q229990,Culture.Biography.Biography*,17545.0,3815.232683173212,11.0
29,3.0,17545.0,Agnès Varda,0.7826725244522095,Q229990,Culture.Biography.Women,17545.0,3815.232683173212,11.0
30,3.0,17545.0,Agnès Varda,0.34290509128570557,Q229990,Geography.Regions.Europe.Europe*,17545.0,3815.232683173212,11.0
31,3.0,17545.0,Agnès Varda,0.32572178745269775,Q229990,Geography.Regions.Europe.Western_Europe,17545.0,3815.232683173212,11.0
32,3.0,17545.0,Agnès Varda,0.13297423720359802,Q229990,Culture.Visual_arts.Visual_arts*,17545.0,3815.232683173212,11.0
33,3.0,17545.0,Agnès Varda,0.1294127255678177,Q229990,History_and_Society.Society,17545.0,3815.232683173212,11.0
34,3.0,17545.0,Agnès Varda,0.0,Q229990,Geography.Regions.Asia.Asia*,17545.0,3815.232683173212,11.0
35,3.0,17545.0,Agnès Varda,0.0,Q229990,Geography.Regions.Americas.North_America,17545.0,3815.232683173212,11.0
36,3.0,18519.0,William Holden,0.9990094900131226,Q95002,Culture.Biography.Biography*,18519.0,3051.0,2.0
37,3.0,18519.0,William Holden,0.3301530351638794,Q95002,Geography.Regions.Americas.North_America,18519.0,3051.0,2.0
38,3.0,18519.0,William Holden,0.11280541121959686,Q95002,History_and_Society.Military_and_warfare,18519.0,3051.0,2.0
39,3.0,18519.0,William Holden,0.0,Q95002,Geography.Regions.Europe.Europe*,18519.0,3051.0,2.0
40,3.0,18519.0,William Holden,0.0,Q95002,Geography.Regions.Europe.Northern_Europe,18519.0,3051.0,2.0
41,2.0,18595.0,Oscar,1.0,Q223983,Compilation.List_Disambig,18595.0,1526.0,11.0
42,2.0,18595.0,Oscar,0.538993239402771,Q223983,Culture.Linguistics,18595.0,1526.0,11.0
43,2.0,18595.0,Oscar,0.14034625887870789,Q223983,STEM.STEM*,18595.0,1526.0,11.0
44,2.0,18595.0,Oscar,0.1259327530860901,Q223983,History_and_Society.Business_and_economics,18595.0,1526.0,11.0
45,2.0,18595.0,Oscar,0.0,Q223983,Geography.Regions.Americas.South_America,18595.0,1526.0,11.0
46,2.0,18595.0,Oscar,0.0,Q223983,Geography.Regions.Europe.Northern_Europe,18595.0,1526.0,11.0
47,6.0,23518.0,Deborah Kerr,0.9994397163391113,Q104146,Culture.Biography.Biography*,23518.0,30474.18615342992,2.0
48,6.0,23518.0,Deborah Kerr,0.9991804361343384,Q104146,Culture.Biography.Women,23518.0,30474.18615342992,2.0
49,6.0,23518.0,Deborah Kerr,0.7122421860694885,Q104146,History_and_Society.History,23518.0,30474.18615342992,2.0
50,6.0,23518.0,Deborah Kerr,0.40734341740608215,Q104146,Culture.Performing_arts,23518.0,30474.18615342992,2.0
51,6.0,23518.0,Deborah Kerr,0.3007555902004242,Q104146,History_and_Society.Society,23518.0,30474.18615342992,2.0
52,6.0,23518.0,Deborah Kerr,0.23935934901237488,Q104146,Culture.Literature,23518.0,30474.18615342992,2.0
53,6.0,23518.0,Deborah Kerr,0.1259327530860901,Q104146,Culture.Media.Media*,23518.0,30474.18615342992,2.0
54,6.0,23518.0,Deborah Kerr,0.037993239402770995,Q104146,Geography.Regions.Europe.Northern_Europe,23518.0,30474.18615342992,2.0
55,6.0,23518.0,Deborah Kerr,0.03021936321258545,Q104146,Geography.Regions.Americas.North_America,23518.0,30474.18615342992,2.0
56,6.0,23518.0,Deborah Kerr,0.0,Q104146,Geography.Regions.Europe.Europe*,23518.0,30474.18615342992,2.0
57,1.0,25303.0,Elizabeth McGovern,1.0000100135803223,Q233868,Culture.Biography.Biography*,25303.0,0.0,11.0
58,1.0,25303.0,Elizabeth McGovern,0.9648651480674744,Q233868,Culture.Biography.Women,25303.0,0.0,11.0
59,1.0,25303.0,Elizabeth McGovern,0.22271016240119934,Q233868,Culture.Media.Media*,25303.0,0.0,11.0
60,1.0,25303.0,Elizabeth McGovern,0.16027602553367615,Q233868,Culture.Media.Music,25303.0,0.0,11.0
61,1.0,25303.0,Elizabeth McGovern,0.14034625887870789,Q233868,Culture.Performing_arts,25303.0,0.0,11.0
62,1.0,25303.0,Elizabeth McGovern,0.0,Q233868,Geography.Regions.Americas.North_America,25303.0,0.0,11.0
63,1.0,25303.0,Elizabeth McGovern,0.0,Q233868,Geography.Regions.Europe.Europe*,25303.0,0.0,11.0
64,1.0,25303.0,Elizabeth McGovern,0.0,Q233868,Geography.Regions.Europe.Northern_Europe,25303.0,0.0,11.0
65,4.0,26306.0,A.I. Inteligencia Artificial,0.9958112239837646,Q221113,Culture.Media.Media*,26306.0,9130.723245930662,11.0
66,4.0,26306.0,A.I. Inteligencia Artificial,0.994455099105835,Q221113,Culture.Media.Films,26306.0,9130.723245930662,11.0
67,4.0,26306.0,A.I. Inteligencia Artificial,0.7057950496673584,Q221113,Culture.Media.Entertainment,26306.0,9130.723245930662,11.0
68,4.0,26306.0,A.I. Inteligencia Artificial,0.0,Q221113,Geography.Regions.Americas.North_America,26306.0,9130.723245930662,11.0
69,2.0,26775.0,Gilda (película),0.994455099105835,Q382307,Culture.Media.Films,26775.0,3158.193893141791,2.0
70,2.0,26775.0,Gilda (película),0.9939124584197998,Q382307,Culture.Media.Media*,26775.0,3158.193893141791,2.0
71,2.0,26775.0,Gilda (película),0.0,Q382307,Geography.Regions.Americas.North_America,26775.0,3158.193893141791,2.0
72,1.0,26777.0,Veinte mil leguas de viaje submarino (película de 1954),0.9978272914886475,Q64110,Culture.Media.Films,26777.0,0.0,2.0
73,1.0,26777.0,Veinte mil leguas de viaje submarino (película de 1954),0.996837317943573,Q64110,Culture.Media.Media*,26777.0,0.0,2.0
74,1.0,26777.0,Veinte mil leguas de viaje submarino (película de 1954),0.23935934901237488,Q64110,Culture.Media.Entertainment,26777.0,0.0,2.0
75,1.0,26777.0,Veinte mil leguas de viaje submarino (película de 1954),0.0,Q64110,Geography.Regions.Americas.North_America,26777.0,0.0,2.0
76,1.0,26858.0,Kim Novak,1.0000100135803223,Q212879,Culture.Biography.Biography*,26858.0,0.0,2.0
77,1.0,26858.0,Kim Novak,0.7826725244522095,Q212879,Culture.Biography.Women,26858.0,0.0,2.0
78,1.0,26858.0,Kim Novak,0.19826446676254272,Q212879,Geography.Regions.Americas.North_America,26858.0,0.0,2.0
79,1.0,26858.0,Kim Novak,0.1778208613395691,Q212879,History_and_Society.History,26858.0,0.0,2.0
80,1.0,26858.0,Kim Novak,0.1520422399044037,Q212879,Culture.Visual_arts.Visual_arts*,26858.0,0.0,2.0
81,1.0,26858.0,Kim Novak,0.11597072333097458,Q212879,Culture.Media.Media*,26858.0,0.0,2.0
82,1.0,26858.0,Kim Novak,0.1097157895565033,Q212879,Culture.Media.Music,26858.0,0.0,2.0
83,1.0,26858.0,Kim Novak,0.10375863313674927,Q212879,History_and_Society.Society,26858.0,0.0,2.0
84,1.0,26858.0,Kim Novak,0.0,Q212879,Geography.Regions.Europe.Europe*,26858.0,0.0,2.0
85,1.0,26858.0,Kim Novak,0.0,Q212879,Geography.Regions.Europe.Western_Europe,26858.0,0.0,2.0
86,1.0,26858.0,Kim Novak,0.0,Q212879,Geography.Regions.Europe.Northern_Europe,26858.0,0.0,2.0
87,4.0,26944.0,Annie Hall,0.9946250915527344,Q233464,Culture.Media.Films,26944.0,14589.377507051762,11.0
88,4.0,26944.0,Annie Hall,0.9926641583442688,Q233464,Culture.Media.Media*,26944.0,14589.377507051762,11.0
89,4.0,26944.0,Annie Hall,0.23616819286346435,Q233464,Geography.Regions.Americas.North_America,26944.0,14589.377507051762,11.0
90,4.0,26944.0,Annie Hall,0.19194278120994568,Q233464,Culture.Media.Entertainment,26944.0,14589.377507051762,11.0
91,2.0,26962.0,Stewart Granger,0.998803436756134,Q310150,Culture.Biography.Biography*,26962.0,0.0,2.0
92,2.0,26962.0,Stewart Granger,0.1732981950044632,Q310150,Culture.Media.Media*,26962.0,0.0,2.0
93,2.0,26962.0,Stewart Granger,0.11921291798353195,Q310150,Culture.Media.Television,26962.0,0.0,2.0
94,2.0,26962.0,Stewart Granger,0.10375863313674927,Q310150,Culture.Sports,26962.0,0.0,2.0
95,2.0,26962.0,Stewart Granger,0.0,Q310150,Geography.Regions.Europe.Europe*,26962.0,0.0,2.0
96,2.0,26962.0,Stewart Granger,0.0,Q310150,Geography.Regions.Europe.Northern_Europe,26962.0,0.0,2.0
97,2.0,26962.0,Stewart Granger,0.0,Q310150,Geography.Regions.Americas.North_America,26962.0,0.0,2.0
98,1.0,26990.0,Midnight Cowboy,0.9947898983955383,Q61696,Culture.Media.Films,26990.0,0.0,11.0
99,1.0,26990.0,Midnight Cowboy,0.9855064153671265,Q61696,Culture.Media.Media*,26990.0,0.0,11.0
100,1.0,26990.0,Midnight Cowboy,0.30736804008483887,Q61696,History_and_Society.Society,26990.0,0.0,11.0
101,1.0,26990.0,Midnight Cowboy,0.25966064834594726,Q61696,Geography.Regions.Americas.North_America,26990.0,0.0,11.0
102,14.0,27145.0,Espartaco (película),0.979677677154541,Q108297,Culture.Media.Films,27145.0,26582.319351361275,2.0
103,14.0,27145.0,Espartaco (película),0.9763205647468567,Q108297,Culture.Media.Media*,27145.0,26582.319351361275,2.0
104,14.0,27145.0,Espartaco (película),0.0,Q108297,Geography.Regions.Americas.North_America,27145.0,26582.319351361275,2.0
105,3.0,27684.0,Las minas del rey Salomón (película),0.9985549449920654,Q1471671,Culture.Media.Films,27684.0,31602.726492680562,2.0
106,3.0,27684.0,Las minas del rey Salomón (película),0.9924327731132507,Q1471671,Culture.Media.Media*,27684.0,31602.726492680562,2.0
107,4.0,27696.0,Shane,0.9949496984481812,Q1045165,Culture.Media.Films,27696.0,8102.347165103043,2.0
108,4.0,27696.0,Shane,0.9905974268913269,Q1045165,Culture.Media.Media*,27696.0,8102.347165103043,2.0
109,4.0,27696.0,Shane,0.07650540971755981,Q1045165,Geography.Regions.Americas.North_America,27696.0,8102.347165103043,2.0
110,2.0,27707.0,Alicia ya no vive aquí,0.9972090721130371,Q916431,Culture.Media.Films,27707.0,364.0985320406389,11.0
111,2.0,27707.0,Alicia ya no vive aquí,0.9914325475692749,Q916431,Culture.Media.Media*,27707.0,364.0985320406389,11.0
112,2.0,27707.0,Alicia ya no vive aquí,0.13661839067935944,Q916431,Culture.Biography.Women,27707.0,364.0985320406389,11.0
113,2.0,27707.0,Alicia ya no vive aquí,0.13604079389572143,Q916431,Geography.Regions.Americas.North_America,27707.0,364.0985320406389,11.0
114,2.0,27790.0,Atracción fatal,0.998142421245575,Q504157,Culture.Media.Films,27790.0,1526.0,2.0
115,2.0,27790.0,Atracción fatal,0.9955416321754456,Q504157,Culture.Media.Media*,27790.0,1526.0,2.0
116,2.0,27790.0,Atracción fatal,0.037993239402770995,Q504157,Geography.Regions.Americas.North_America,27790.0,1526.0,2.0
117,2.0,27792.0,Lethal Weapon,0.9974591135978699,Q462447,Culture.Media.Films,27792.0,1525.9999999999998,15.0
118,2.0,27792.0,Lethal Weapon,0.9970290064811707,Q462447,Culture.Media.Media*,27792.0,1525.9999999999998,15.0
119,2.0,27792.0,Lethal Weapon,0.11597072333097458,Q462447,Culture.Media.Entertainment,27792.0,1525.9999999999998,15.0
120,2.0,27792.0,Lethal Weapon,0.0,Q462447,Geography.Regions.Americas.North_America,27792.0,1525.9999999999998,15.0
121,2.0,27792.0,Lethal Weapon,0.0,Q462447,Geography.Regions.Europe.Europe*,27792.0,1525.9999999999998,15.0
122,1.0,27828.0,Marea roja (película),0.9916942119598389,Q1140085,Culture.Media.Films,27828.0,0.0,11.0
123,1.0,27828.0,Marea roja (película),0.9883227348327637,Q1140085,Culture.Media.Media*,27828.0,0.0,11.0
124,1.0,27828.0,Marea roja (película),0.0,Q1140085,Geography.Regions.Americas.North_America,27828.0,0.0,11.0
125,1.0,27836.0,El final de la cuenta atrás,0.9970290064811707,Q503033,Culture.Media.Media*,27836.0,0.0,2.0
126,1.0,27836.0,El final de la cuenta atrás,0.996837317943573,Q503033,Culture.Media.Films,27836.0,0.0,2.0
127,1.0,27836.0,El final de la cuenta atrás,0.23935934901237488,Q503033,Culture.Media.Entertainment,27836.0,0.0,2.0
128,1.0,27836.0,El final de la cuenta atrás,0.22271016240119934,Q503033,History_and_Society.Military_and_warfare,27836.0,0.0,2.0
129,1.0,27836.0,El final de la cuenta atrás,0.0,Q503033,Geography.Regions.Americas.North_America,27836.0,0.0,2.0
130,1.0,27836.0,El final de la cuenta atrás,0.0,Q503033,Geography.Regions.Europe.Europe*,27836.0,0.0,2.0
131,1.0,27857.0,Los puentes de Toko-Ri,0.998803436756134,Q561982,Culture.Media.Films,27857.0,0.0,2.0
132,1.0,27857.0,Los puentes de Toko-Ri,0.9966334104537964,Q561982,Culture.Media.Media*,27857.0,0.0,2.0
133,1.0,27857.0,Los puentes de Toko-Ri,0.11597072333097458,Q561982,History_and_Society.Military_and_warfare,27857.0,0.0,2.0
134,1.0,27890.0,The Firm (película),0.9981998205184937,Q821692,Culture.Media.Films,27890.0,0.0,11.0
135,1.0,27890.0,The Firm (película),0.9952548146247864,Q821692,Culture.Media.Media*,27890.0,0.0,11.0
136,1.0,27890.0,The Firm (película),0.0,Q821692,Geography.Regions.Americas.North_America,27890.0,0.0,11.0
137,1.0,28149.0,Sabrina (película de 1995),0.9982553720474243,Q900708,Culture.Media.Films,28149.0,0.0,2.0
138,1.0,28149.0,Sabrina (película de 1995),0.9959398508071899,Q900708,Culture.Media.Media*,28149.0,0.0,2.0
139,1.0,28149.0,Sabrina (película de 1995),0.0,Q900708,Geography.Regions.Americas.North_America,28149.0,0.0,2.0
140,3.0,28296.0,Ordinary People,0.994455099105835,Q503313,Culture.Media.Films,28296.0,3050.9999999999995,11.0
141,3.0,28296.0,Ordinary People,0.9883227348327637,Q503313,Culture.Media.Media*,28296.0,3050.9999999999995,11.0
142,3.0,28296.0,Ordinary People,0.23616819286346435,Q503313,Geography.Regions.Americas.North_America,28296.0,3050.9999999999995,11.0
143,3.0,28296.0,Ordinary People,0.14805719256401062,Q503313,History_and_Society.Military_and_warfare,28296.0,3050.9999999999995,11.0
144,1.0,28317.0,The Adventures of Robin Hood,0.9896818399429321,Q201234,Culture.Media.Films,28317.0,0.0,11.0
145,1.0,28317.0,The Adventures of Robin Hood,0.983095109462738,Q201234,Culture.Media.Media*,28317.0,0.0,11.0
146,1.0,28317.0,The Adventures of Robin Hood,0.0,Q201234,Geography.Regions.Americas.North_America,28317.0,0.0,11.0
147,1.0,28317.0,The Adventures of Robin Hood,0.0,Q201234,Geography.Regions.Europe.Europe*,28317.0,0.0,11.0
148,1.0,28495.0,Siete días de mayo,0.994455099105835,Q1754611,Culture.Media.Films,28495.0,0.0,2.0
149,1.0,28495.0,Siete días de mayo,0.993317186832428,Q1754611,Culture.Media.Media*,28495.0,0.0,2.0
150,1.0,28495.0,Siete días de mayo,0.13297423720359802,Q1754611,History_and_Society.Military_and_warfare,28495.0,0.0,2.0
151,1.0,28495.0,Siete días de mayo,0.0,Q1754611,Geography.Regions.Americas.North_America,28495.0,0.0,2.0
152,1.0,28524.0,Alien³,0.9969346523284912,Q108543,Culture.Media.Media*,28524.0,0.0,11.0
153,1.0,28524.0,Alien³,0.9959398508071899,Q108543,Culture.Media.Films,28524.0,0.0,11.0
154,1.0,28524.0,Alien³,0.546748161315918,Q108543,Culture.Media.Entertainment,28524.0,0.0,11.0
155,1.0,28524.0,Alien³,0.12253321707248688,Q108543,Culture.Literature,28524.0,0.0,11.0
156,1.0,28524.0,Alien³,0.0,Q108543,Geography.Regions.Americas.North_America,28524.0,0.0,11.0
157,1.0,28640.0,Broken Lance,0.9947898983955383,Q1218313,Culture.Media.Films,28640.0,0.0,2.0
158,1.0,28640.0,Broken Lance,0.9899964332580566,Q1218313,Culture.Media.Media*,28640.0,0.0,2.0
159,1.0,28640.0,Broken Lance,0.0,Q1218313,Geography.Regions.Americas.North_America,28640.0,0.0,2.0
160,3.0,28696.0,When Harry Met Sally...,0.9984121918678284,Q471169,Culture.Media.Films,28696.0,3049.9999999999995,11.0
161,3.0,28696.0,When Harry Met Sally...,0.9978272914886475,Q471169,Culture.Media.Media*,28696.0,3049.9999999999995,11.0
162,3.0,28696.0,When Harry Met Sally...,0.1968362182378769,Q471169,Culture.Media.Entertainment,28696.0,3049.9999999999995,11.0
163,3.0,28696.0,When Harry Met Sally...,0.0,Q471169,Geography.Regions.Americas.North_America,28696.0,3049.9999999999995,11.0
164,2.0,28756.0,Jean Peters,0.9995657801628113,Q243005,Culture.Biography.Biography*,28756.0,1525.9999999999998,2.0
165,2.0,28756.0,Jean Peters,0.7931159734725952,Q243005,Culture.Biography.Women,28756.0,1525.9999999999998,2.0
166,2.0,28756.0,Jean Peters,0.30218379402160644,Q243005,Geography.Regions.Americas.North_America,28756.0,1525.9999999999998,2.0
167,2.0,28756.0,Jean Peters,0.1520422399044037,Q243005,History_and_Society.History,28756.0,1525.9999999999998,2.0
168,2.0,29047.0,La fuerza del cariño,0.9947898983955383,Q185071,Culture.Media.Films,29047.0,1508.5277777777774,11.0
169,2.0,29047.0,La fuerza del cariño,0.9845854640007019,Q185071,Culture.Media.Media*,29047.0,1508.5277777777774,11.0
170,2.0,29047.0,La fuerza del cariño,0.25966064834594726,Q185071,Geography.Regions.Americas.North_America,29047.0,1508.5277777777774,11.0
171,2.0,29228.0,Lust for Life (película de 1956),0.9820237755775452,Q1423854,Culture.Media.Films,29228.0,33647.896212754524,13.0
172,2.0,29228.0,Lust for Life (película de 1956),0.9755869507789612,Q1423854,Culture.Media.Media*,29228.0,33647.896212754524,13.0
173,2.0,29228.0,Lust for Life (película de 1956),0.0,Q1423854,Geography.Regions.Americas.North_America,29228.0,33647.896212754524,13.0
174,2.0,29228.0,Lust for Life (película de 1956),0.0,Q1423854,Geography.Regions.Europe.Europe*,29228.0,33647.896212754524,13.0
175,1.0,29451.0,Suzanne Pleshette,0.9985088109970093,Q231224,Culture.Biography.Biography*,29451.0,0.0,15.0
176,1.0,29451.0,Suzanne Pleshette,0.5000100135803223,Q231224,Culture.Biography.Women,29451.0,0.0,15.0
177,1.0,29451.0,Suzanne Pleshette,0.4225146472454071,Q231224,Culture.Media.Media*,29451.0,0.0,15.0
178,1.0,29451.0,Suzanne Pleshette,0.13661839067935944,Q231224,History_and_Society.History,29451.0,0.0,15.0
179,1.0,29451.0,Suzanne Pleshette,0.13297423720359802,Q231224,Culture.Media.Television,29451.0,0.0,15.0
180,1.0,29451.0,Suzanne Pleshette,0.0,Q231224,Geography.Regions.Americas.North_America,29451.0,0.0,15.0
181,1.0,30197.0,The Verdict,0.9970290064811707,Q679373,Culture.Media.Films,30197.0,0.0,11.0
182,1.0,30197.0,The Verdict,0.994098961353302,Q679373,Culture.Media.Media*,30197.0,0.0,11.0
