modularity_class,Subtopic,Percentage,Count
0,Sports,90.7,68
0,Business_and_economics,1.3,1
0,Engineering,1.3,1
0,Europe*,1.3,1
0,Geographical,1.3,1
0,Linguistics,1.3,1
0,Military_and_warfare,1.3,1
0,Society,1.3,1
1,Politics_and_government,40.8,20
1,Media*,12.2,6
1,Military_and_warfare,12.2,6
1,Business_and_economics,6.1,3
1,Philosophy_and_religion,6.1,3
1,Sports,6.1,3
1,Music,4.1,2
1,Southern_Europe,4.1,2
1,Chemistry,2.0,1
1,History,2.0,1
1,Medicine_&_Health,2.0,1
1,Transportation,2.0,1
2,Politics_and_government,25.0,5
2,Music,20.0,4
2,Media*,15.0,3
2,Literature,10.0,2
2,Military_and_warfare,10.0,2
2,History,5.0,1
2,Society,5.0,1
2,Transportation,5.0,1
2,Visual_arts*,5.0,1
3,Society,11.5,7
3,Sports,11.5,7
3,Medicine_&_Health,11.5,7
3,Politics_and_government,11.5,7
3,Media*,9.8,6
3,Military_and_warfare,8.2,5
3,Transportation,4.9,3
3,Films,4.9,3
3,Technology,3.3,2
3,Internet_culture,3.3,2
3,North_America,3.3,2
3,Philosophy_and_religion,3.3,2
3,Biology,1.6,1
3,South_America,1.6,1
3,Music,1.6,1
3,Business_and_economics,1.6,1
3,Engineering,1.6,1
3,Education,1.6,1
3,Computing,1.6,1
3,Video_games,1.6,1
4,Sports,96.0,24
4,Politics_and_government,4.0,1
5,Sports,95.3,82
5,South_America,2.3,2
5,Literature,1.2,1
5,Media*,1.2,1
6,Sports,83.6,51
6,South_America,6.6,4
6,Society,4.9,3
6,Music,1.6,1
6,Politics_and_government,1.6,1
6,Transportation,1.6,1
7,Media*,37.8,17
7,Films,11.1,5
7,Music,11.1,5
7,Literature,8.9,4
7,History,4.4,2
7,Medicine_&_Health,4.4,2
7,Philosophy_and_religion,4.4,2
7,Business_and_economics,2.2,1
7,Computing,2.2,1
7,Education,2.2,1
7,Libraries_&_Information,2.2,1
7,Military_and_warfare,2.2,1
7,Television,2.2,1
7,Transportation,2.2,1
7,Western_Europe,2.2,1
8,Media*,46.2,18
8,Films,28.2,11
8,Music,5.1,2
8,Society,5.1,2
8,Entertainment,2.6,1
8,Internet_culture,2.6,1
8,Literature,2.6,1
8,Military_and_warfare,2.6,1
8,Television,2.6,1
8,Visual_arts*,2.6,1
9,Southern_Europe,28.6,4
9,Europe*,21.4,3
9,Biology,14.3,2
9,History,14.3,2
9,Society,14.3,2
9,Earth_and_environment,7.1,1
10,Sports,57.1,8
10,Europe*,14.3,2
10,Business_and_economics,7.1,1
10,Music,7.1,1
10,Politics_and_government,7.1,1
10,Western_Europe,7.1,1
11,Films,29.2,14
11,Media*,29.2,14
11,Literature,14.6,7
11,History,12.5,6
11,Business_and_economics,2.1,1
11,Military_and_warfare,2.1,1
11,Northern_Europe,2.1,1
11,Performing_arts,2.1,1
11,Politics_and_government,2.1,1
11,Society,2.1,1
11,Sports,2.1,1
12,Philosophy_and_religion,52.2,12
12,Literature,8.7,2
12,Africa*,4.3,1
12,Central_America,4.3,1
12,Geographical,4.3,1
12,History,4.3,1
12,Media*,4.3,1
12,Politics_and_government,4.3,1
12,STEM*,4.3,1
12,Southern_Europe,4.3,1
12,Visual_arts*,4.3,1
13,Sports,100.0,34
14,Sports,76.2,32
14,Media*,4.8,2
14,Music,4.8,2
14,Politics_and_government,4.8,2
14,STEM*,4.8,2
14,Philosophy_and_religion,2.4,1
14,Technology,2.4,1
15,Sports,85.2,52
15,Media*,8.2,5
15,Southern_Europe,3.3,2
15,Television,3.3,2
16,Media*,52.2,12
16,Films,30.4,7
16,Military_and_warfare,8.7,2
16,History,4.3,1
16,Society,4.3,1
17,Media*,66.7,10
17,Television,20.0,3
17,Literature,6.7,1
17,Politics_and_government,6.7,1
18,Films,23.1,3
18,Media*,23.1,3
18,Books,15.4,2
18,History,15.4,2
18,Southern_Europe,15.4,2
18,Politics_and_government,7.7,1
