,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,4.0,3568.0,Cristo,0.9416641592979432,Q642420,Culture.Philosophy_and_religion,3568.0,17473.0,12.0,467164.0
1,4.0,3568.0,Cristo,0.812877357006073,Q642420,Culture.Literature,3568.0,17473.0,12.0,467164.0
2,4.0,3568.0,Cristo,0.2689514458179474,Q642420,History_and_Society.History,3568.0,17473.0,12.0,467164.0
3,4.0,3568.0,Cristo,0.11280541121959685,Q642420,Culture.Biography.Women,3568.0,17473.0,12.0,467164.0
4,5.0,3651.0,Provincia de Segovia,0.998142421245575,Q55283,Geography.Regions.Europe.Southern_Europe,3651.0,2331.0,9.0,4727.0
5,5.0,3651.0,Provincia de Segovia,0.989681839942932,Q55283,Geography.Regions.Europe.Europe*,3651.0,2331.0,9.0,4727.0
6,2.0,5490.0,Semana Santa en España,0.6150978803634644,Q1416022,Culture.Philosophy_and_religion,5490.0,10724.0,1.0,2897.0
7,2.0,5490.0,Semana Santa en España,0.14805719256401062,Q1416022,History_and_Society.History,5490.0,10724.0,1.0,2897.0
8,2.0,5490.0,Semana Santa en España,0.11280541121959685,Q1416022,Culture.Biography.Biography*,5490.0,10724.0,1.0,2897.0
9,2.0,5490.0,Semana Santa en España,0.053480433464050285,Q1416022,Geography.Regions.Europe.Europe*,5490.0,10724.0,1.0,2897.0
10,2.0,5490.0,Semana Santa en España,0.0,Q1416022,Geography.Regions.Europe.Southern_Europe,5490.0,10724.0,1.0,2897.0
11,7.0,9409.0,Michael J. Fox,0.9987257122993468,Q395274,Culture.Biography.Biography*,9409.0,3107.666666666667,7.0,42353.0
12,7.0,9409.0,Michael J. Fox,0.7057950496673584,Q395274,Culture.Media.Media*,9409.0,3107.666666666667,7.0,42353.0
13,7.0,9409.0,Michael J. Fox,0.348655104637146,Q395274,Culture.Biography.Women,9409.0,3107.666666666667,7.0,42353.0
14,7.0,9409.0,Michael J. Fox,0.21734751760959625,Q395274,History_and_Society.Society,9409.0,3107.666666666667,7.0,42353.0
15,7.0,9409.0,Michael J. Fox,0.16442059183120727,Q395274,Geography.Regions.Americas.North_America,9409.0,3107.666666666667,7.0,42353.0
16,7.0,9409.0,Michael J. Fox,0.14415885508060455,Q395274,Culture.Media.Television,9409.0,3107.666666666667,7.0,42353.0
17,7.0,9409.0,Michael J. Fox,0.12253321707248688,Q395274,Culture.Literature,9409.0,3107.666666666667,7.0,42353.0
18,2.0,17815.0,Madeleine Stowe,1.0000100135803225,Q209098,Culture.Biography.Biography*,17815.0,3104.0,16.0,2501.0
19,2.0,17815.0,Madeleine Stowe,0.9149109721183776,Q209098,Culture.Biography.Women,17815.0,3104.0,16.0,2501.0
20,2.0,17815.0,Madeleine Stowe,0.23616819286346435,Q209098,Geography.Regions.Americas.North_America,17815.0,3104.0,16.0,2501.0
21,2.0,17815.0,Madeleine Stowe,0.11597072333097458,Q209098,History_and_Society.History,17815.0,3104.0,16.0,2501.0
22,2.0,17815.0,Madeleine Stowe,0.10375863313674928,Q209098,Culture.Media.Media*,17815.0,3104.0,16.0,2501.0
23,2.0,17815.0,Madeleine Stowe,0.0,Q209098,Geography.Regions.Europe.Europe*,17815.0,3104.0,16.0,2501.0
24,6.0,21180.0,Provincia de Madrid,0.9905974268913268,Q24004405,Geography.Regions.Europe.Southern_Europe,21180.0,9982.75,9.0,3321.0
