,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,3.0,61.0,Advanced Micro Devices,0.9099169969558716,Q128896,History_and_Society.Business_and_economics,192.0,0.0,192.0,35.0,192.0,12.686567,9.234199,-16.520315
1,3.0,61.0,Advanced Micro Devices,0.8354935646057129,Q128896,STEM.STEM*,192.0,0.0,192.0,35.0,192.0,12.686567,9.234199,-16.520315
2,3.0,61.0,Advanced Micro Devices,0.7826725244522095,Q128896,STEM.Computing,192.0,0.0,192.0,35.0,192.0,12.686567,9.234199,-16.520315
3,3.0,61.0,Advanced Micro Devices,0.3923468291759491,Q128896,STEM.Technology,192.0,0.0,192.0,35.0,192.0,12.686567,9.234199,-16.520315
4,3.0,61.0,Advanced Micro Devices,0.24217800998687744,Q128896,Geography.Regions.Americas.North_America,192.0,0.0,192.0,35.0,192.0,12.686567,9.234199,-16.520315
5,9.0,103.0,Aton,0.9362950325012207,Q130227,History_and_Society.History,135.0,2101.806935521646,134.0,14.0,0.0,20.746270000000003,-10.841246,0.7020350999999999
6,9.0,103.0,Aton,0.538993239402771,Q130227,Culture.Philosophy_and_religion,135.0,2101.806935521646,134.0,14.0,0.0,20.746270000000003,-10.841246,0.7020350999999999
7,9.0,103.0,Aton,0.1824355274438858,Q130227,Culture.Literature,135.0,2101.806935521646,134.0,14.0,0.0,20.746270000000003,-10.841246,0.7020350999999999
8,2.0,206.0,Alfred Nobel,0.9921941161155701,Q23810,Culture.Biography.Biography*,10.0,22046.31774916983,121.0,17.0,114.0,11.343283999999999,22.848211,24.86289
9,2.0,206.0,Alfred Nobel,0.43713401460647583,Q23810,Geography.Regions.Europe.Europe*,10.0,22046.31774916983,121.0,17.0,114.0,11.343283999999999,22.848211,24.86289
10,2.0,206.0,Alfred Nobel,0.29422497749328613,Q23810,STEM.STEM*,10.0,22046.31774916983,121.0,17.0,114.0,11.343283999999999,22.848211,24.86289
11,2.0,206.0,Alfred Nobel,0.17818872833251953,Q23810,Geography.Regions.Europe.Northern_Europe,10.0,22046.31774916983,121.0,17.0,114.0,11.343283999999999,22.848211,24.86289
12,2.0,206.0,Alfred Nobel,0.12253321707248688,Q23810,History_and_Society.Society,10.0,22046.31774916983,121.0,17.0,114.0,11.343283999999999,22.848211,24.86289
