,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
511,Skinhead néonazi,18.709677,0,164,49,20.288218,-16.916395,511,4,14,0.6666666666666666,Q2625151
638,Corinne Lepage,36.129032,193,77,88,10.42144,3.7194114,638,10,9,76591.26292909622,Q291341
1079,Escalade,18.709677,192,192,192,-4.8603506,0.9009163,1079,4,24,4460.0,Q22857
1713,Luxembourg,30.32258,0,134,74,-12.631237,-9.442558,1713,8,19,35563.115553548785,Q32
1773,Les Verts (France),33.225807,193,77,88,-8.966903,-14.771387,1773,9,9,7444.514338064522,Q743390
2187,New Deal,27.419353,60,163,0,-14.871761,5.2229133,2187,7,13,39907.212878752835,Q186356
2980,Transport,15.806452,60,163,0,11.108023,-17.607056,2980,3,4,974.7635798983623,Q7590
3075,Traité de San Francisco,12.903226,60,163,0,8.904845,-12.624889,3075,2,2,0.0,Q392541
3158,V2 (missile),12.903226,192,192,192,-17.719242,4.359424,3158,2,18,3345.0,Q174640
4559,Laurent Schwartz (mathématicien),24.516129,0,126,172,-18.728416,6.1406226,4559,6,11,3598.068210029133,Q212081
5624,Jean-Pierre Raffarin,15.806452,193,77,88,20.042877,24.012188,5624,3,9,3450.4444444444457,Q63263
5730,Daniel Cohn-Bendit,21.612904,193,77,88,-14.400241,2.7979486,5730,5,9,6684.010064935065,Q76837
6603,Raoul Salan,50.64516,0,126,172,1.8661251,4.297006,6603,15,11,25088.988251846604,Q241944
7040,Lanza del Vasto,10.0,0,126,172,-7.358188,5.0734415,7040,1,11,0.0,Q554949
7245,Déchet,10.0,192,192,192,-8.328608,-15.500251,7245,1,13,0.0,Q45701
7300,Joe Strummer,15.806452,0,157,116,-19.916859,1.28543,7300,3,21,2952.6091770115154,Q310052
7483,Caroline du Sud,30.32258,175,95,13,-10.487789,-10.92574,7483,8,13,29574.818320743598,Q1456
7538,Rhode Island,12.903226,152,129,0,10.738301,1.0604596,7538,2,22,39460.44294999259,Q1387
7568,New Hampshire,21.612904,175,95,13,9.374077,23.499958,7568,5,13,22049.0,Q759
8734,Xénophobie,15.806452,60,163,0,-0.043261666,12.152141,8734,3,13,6244.8783388833035,Q166005
9152,Claude Bartolone,15.806452,193,77,88,2.1641812,23.451937,9152,3,9,9.808080808080808,Q1096496
10260,Françoise de Panafieu,12.903226,193,77,88,23.285002,9.449314,10260,2,9,1632.315723532219,Q273143
10548,Industrie,33.225807,60,163,0,-19.774843,-2.642379,10548,9,4,93325.57090342866,Q8148
10657,Daniel Vaillant,10.0,193,77,88,-19.543264,3.4993722,10657,1,9,0.0,Q1905371
10680,Éric Woerth,24.516129,193,77,88,-3.4418538,4.1964135,10680,6,9,35693.67258584706,Q288486
11728,Brome,12.903226,0,134,74,-6.5251856,13.45368,11728,2,19,7777.0,Q879
16709,Berthe Morisot,10.0,0,134,74,8.81385,16.116451,16709,1,19,0.0,Q105320
17278,Liste des chefs du gouvernement allemand,10.0,114,121,10,22.75266,11.786951,17278,1,0,0.0,Q980706
17419,Barneville-Carteret,10.0,192,192,192,24.688812,-9.644669,17419,1,2,0.0,Q462526
18989,Génération écologie,30.32258,193,77,88,-23.39214,17.840141,18989,8,9,8935.396652569147,Q1153753
23771,Grec moderne,15.806452,192,192,192,-13.421902,-2.676913,23771,3,24,5569.0,Q36510
23856,Nicolas Gogol,21.612904,0,168,183,0.8582614,-4.389502,23856,5,5,7537.292919036648,Q43718
24447,Passage du calendrier julien au calendrier grégorien,12.903226,192,192,192,-5.2175093,19.687763,24447,2,24,1117.0,Q18350297
26626,Manitoba,21.612904,60,163,0,-15.635323,19.03575,26626,5,4,4209.466666666665,Q1948
27147,Conan le Barbare,12.903226,192,192,192,21.69448,-20.281044,27147,2,25,0.0,Q189169
28114,Péplum,10.0,114,121,10,-19.713634,-12.426521,28114,1,1,0.0,Q1433443
30522,Michel Auclair,15.806452,0,168,183,-9.913043,-21.08281,30522,3,21,4955.353362899227,Q566803
30541,Daniel Ceccaldi,12.903226,0,134,135,13.721901,12.340254,30541,2,12,0.0,Q663802
32505,Îles Kouriles,24.516129,60,163,0,-6.685991,-16.17093,32505,6,2,14551.897615548694,Q80389
33318,Philippe Geluck,15.806452,235,44,170,-9.01828,0.84320027,33318,3,20,244.37155534864618,Q2264505
