modularity_class,Count,Subtopic,Ratio
0,27,Sports,0.8709677419354839
0,4,Europe*,0.12903225806451613
1,6,Media*,0.4
1,5,Television,0.3333333333333333
1,3,Society,0.2
1,1,Linguistics,0.06666666666666667
2,6,Europe*,0.2222222222222222
2,4,Politics_and_government,0.14814814814814814
2,3,Military_and_warfare,0.1111111111111111
2,3,Western_Europe,0.1111111111111111
2,2,Africa*,0.07407407407407407
2,2,Business_and_economics,0.07407407407407407
2,2,Films,0.07407407407407407
2,2,Philosophy_and_religion,0.07407407407407407
2,2,STEM*,0.07407407407407407
2,1,History,0.037037037037037035
3,5,Sports,0.7142857142857143
3,1,Europe*,0.14285714285714285
3,1,Southern_Europe,0.14285714285714285
4,9,Media*,0.4090909090909091
4,6,Films,0.2727272727272727
4,2,Literature,0.09090909090909091
4,2,Western_Europe,0.09090909090909091
4,1,STEM*,0.045454545454545456
4,1,Society,0.045454545454545456
4,1,Television,0.045454545454545456
5,6,Media*,0.16216216216216217
5,5,Films,0.13513513513513514
5,4,Sports,0.10810810810810811
5,3,Earth_and_environment,0.08108108108108109
5,3,Geographical,0.08108108108108109
5,3,Literature,0.08108108108108109
5,3,North_America,0.08108108108108109
5,2,Asia*,0.05405405405405406
5,2,Oceania,0.05405405405405406
5,1,Biology,0.02702702702702703
5,1,Military_and_warfare,0.02702702702702703
5,1,Politics_and_government,0.02702702702702703
5,1,Southeast_Asia,0.02702702702702703
5,1,Television,0.02702702702702703
5,1,Transportation,0.02702702702702703
6,5,Television,0.3333333333333333
6,4,Films,0.26666666666666666
6,3,Media*,0.2
6,1,Literature,0.06666666666666667
6,1,Performing_arts,0.06666666666666667
6,1,Politics_and_government,0.06666666666666667
7,6,Films,0.3333333333333333
7,6,Media*,0.3333333333333333
7,2,Military_and_warfare,0.1111111111111111
7,1,Books,0.05555555555555555
7,1,Earth_and_environment,0.05555555555555555
7,1,Linguistics,0.05555555555555555
7,1,Literature,0.05555555555555555
8,6,Films,0.6
8,3,Media*,0.3
8,1,Western_Europe,0.1
9,5,Media*,0.2777777777777778
9,3,Films,0.16666666666666666
9,3,Music,0.16666666666666666
9,2,Television,0.1111111111111111
9,2,Western_Europe,0.1111111111111111
9,1,Biology,0.05555555555555555
9,1,Europe*,0.05555555555555555
9,1,Transportation,0.05555555555555555
10,34,Sports,0.918918918918919
10,2,Western_Europe,0.05405405405405406
10,1,Northern_Europe,0.02702702702702703
11,7,Media*,0.35
11,3,Europe*,0.15
11,2,Business_and_economics,0.1
11,2,Politics_and_government,0.1
11,1,Biology,0.05
11,1,Films,0.05
11,1,Philosophy_and_religion,0.05
11,1,Technology,0.05
11,1,Visual_arts*,0.05
11,1,Western_Europe,0.05
12,28,Sports,0.7
12,5,Europe*,0.125
12,2,Media*,0.05
12,1,Business_and_economics,0.025
12,1,Geographical,0.025
12,1,Southern_Europe,0.025
12,1,Television,0.025
12,1,Western_Europe,0.025
13,8,Media*,0.18604651162790697
13,6,Films,0.13953488372093023
13,6,Transportation,0.13953488372093023
13,4,Engineering,0.09302325581395349
13,4,Western_Europe,0.09302325581395349
13,3,Politics_and_government,0.06976744186046512
13,3,Society,0.06976744186046512
13,2,Military_and_warfare,0.046511627906976744
13,1,Chemistry,0.023255813953488372
13,1,Literature,0.023255813953488372
13,1,Music,0.023255813953488372
13,1,Performing_arts,0.023255813953488372
13,1,STEM*,0.023255813953488372
13,1,Television,0.023255813953488372
13,1,Visual_arts*,0.023255813953488372
14,4,Europe*,0.16
14,3,Business_and_economics,0.12
14,3,Politics_and_government,0.12
14,2,Asia*,0.08
14,2,Films,0.08
14,2,Literature,0.08
14,2,Media*,0.08
14,2,Western_Europe,0.08
14,1,Comics_and_Anime,0.04
14,1,Education,0.04
14,1,Philosophy_and_religion,0.04
14,1,STEM*,0.04
14,1,Society,0.04
15,7,Television,0.7777777777777778
15,1,Geographical,0.1111111111111111
15,1,Media*,0.1111111111111111
16,32,Sports,0.8648648648648649
16,1,Business_and_economics,0.02702702702702703
16,1,Engineering,0.02702702702702703
16,1,Media*,0.02702702702702703
16,1,Television,0.02702702702702703
16,1,Western_Europe,0.02702702702702703
17,7,Sports,0.6363636363636364
17,2,Media*,0.18181818181818182
17,1,Southern_Europe,0.09090909090909091
17,1,Video_games,0.09090909090909091
18,15,Sports,0.9375
18,1,Politics_and_government,0.0625
19,20,Sports,0.9090909090909091
19,1,Africa*,0.045454545454545456
19,1,Geographical,0.045454545454545456
20,23,Sports,0.9583333333333334
20,1,Western_Europe,0.041666666666666664
21,4,Sports,0.6666666666666666
21,1,Visual_arts*,0.16666666666666666
21,1,Western_Europe,0.16666666666666666
22,3,Business_and_economics,0.375
22,3,Sports,0.375
22,1,Television,0.125
22,1,Western_Europe,0.125
