modularity_class,Count,Ratio,Subtopic
0,91,82.0,Politics_and_government
0,12,10.8,Radio
0,3,2.7,North_America
0,2,1.8,Philosophy_and_religion
0,2,1.8,Society
0,1,0.9,Business_and_economics
1,10,23.3,Media*
1,6,14.0,History
1,6,14.0,Politics_and_government
1,4,9.3,Films
1,4,9.3,Literature
1,2,4.7,Military_and_warfare
1,2,4.7,Philosophy_and_religion
1,2,4.7,Society
1,1,2.3,Books
1,1,2.3,Europe*
1,1,2.3,Medicine_&_Health
1,1,2.3,Music
1,1,2.3,STEM*
1,1,2.3,Sports
1,1,2.3,Western_Europe
2,23,19.2,Media*
2,14,11.7,Literature
2,14,11.7,Politics_and_government
2,8,6.7,History
2,7,5.8,Visual_arts*
2,6,5.0,Philosophy_and_religion
2,6,5.0,Music
2,5,4.2,Biology
2,5,4.2,Business_and_economics
2,4,3.3,Society
2,4,3.3,Military_and_warfare
2,3,2.5,Geographical
2,3,2.5,Sports
2,3,2.5,Transportation
2,2,1.7,Linguistics
2,2,1.7,Medicine_&_Health
2,2,1.7,Books
2,2,1.7,North_America
2,2,1.7,Video_games
2,1,0.8,Internet_culture
2,1,0.8,Films
2,1,0.8,Performing_arts
2,1,0.8,Europe*
2,1,0.8,Technology
3,60,28.8,Media*
3,38,18.3,Music
3,19,9.1,History
3,16,7.7,Society
3,12,5.8,Films
3,9,4.3,Politics_and_government
3,8,3.8,Sports
3,6,2.9,Visual_arts*
3,6,2.9,Western_Europe
3,5,2.4,Literature
3,5,2.4,Military_and_warfare
3,5,2.4,Performing_arts
3,4,1.9,Television
3,3,1.4,Architecture
3,2,1.0,Linguistics
3,2,1.0,Medicine_&_Health
3,2,1.0,Philosophy_and_religion
3,1,0.5,Business_and_economics
3,1,0.5,Fashion
3,1,0.5,Europe*
3,1,0.5,Entertainment
3,1,0.5,Earth_and_environment
3,1,0.5,Chemistry
4,70,84.3,Sports
4,3,3.6,Architecture
4,3,3.6,Media*
4,2,2.4,History
4,2,2.4,Military_and_warfare
4,1,1.2,Central_America
4,1,1.2,Transportation
4,1,1.2,Visual_arts*
5,22,28.2,Media*
5,10,12.8,Films
5,6,7.7,History
5,5,6.4,Television
5,5,6.4,Visual_arts*
5,5,6.4,Literature
5,4,5.1,Performing_arts
5,4,5.1,Western_Europe
5,4,5.1,Military_and_warfare
5,2,2.6,Music
5,2,2.6,Politics_and_government
5,2,2.6,Society
5,2,2.6,Entertainment
5,1,1.3,Books
5,1,1.3,Sports
5,1,1.3,Technology
5,1,1.3,Transportation
5,1,1.3,Architecture
6,31,45.6,Media*
6,14,20.6,Films
6,5,7.4,Military_and_warfare
6,4,5.9,Engineering
6,3,4.4,Literature
6,1,1.5,Africa*
6,1,1.5,Books
6,1,1.5,East_Asia
6,1,1.5,Europe*
6,1,1.5,Food_and_drink
6,1,1.5,History
6,1,1.5,Linguistics
6,1,1.5,Performing_arts
6,1,1.5,Technology
6,1,1.5,Transportation
6,1,1.5,Visual_arts*
7,46,78.0,Politics_and_government
7,6,10.2,Western_Europe
7,2,3.4,Europe*
7,2,3.4,Sports
7,1,1.7,Business_and_economics
7,1,1.7,History
7,1,1.7,Literature
8,15,18.5,Western_Europe
8,11,13.6,Philosophy_and_religion
8,6,7.4,Europe*
8,6,7.4,Politics_and_government
8,6,7.4,History
8,5,6.2,Music
8,3,3.7,Media*
8,3,3.7,Society
8,3,3.7,Military_and_warfare
8,3,3.7,Literature
8,3,3.7,Earth_and_environment
8,2,2.5,Business_and_economics
8,2,2.5,Performing_arts
8,2,2.5,Geographical
8,2,2.5,Films
8,2,2.5,Television
8,1,1.2,Medicine_&_Health
8,1,1.2,Linguistics
8,1,1.2,Southern_Europe
8,1,1.2,Sports
8,1,1.2,Transportation
8,1,1.2,Visual_arts*
8,1,1.2,Architecture
9,6,35.3,Physics
9,5,29.4,Chemistry
9,3,17.6,Medicine_&_Health
9,2,11.8,Society
9,1,5.9,Linguistics
10,73,76.8,Sports
10,9,9.5,Media*
10,4,4.2,Television
10,3,3.2,History
10,3,3.2,Society
10,2,2.1,Performing_arts
10,1,1.1,Europe*
11,8,21.1,Films
11,8,21.1,Space
11,7,18.4,Media*
11,5,13.2,Military_and_warfare
11,3,7.9,Literature
11,3,7.9,Transportation
11,2,5.3,Sports
11,1,2.6,Politics_and_government
11,1,2.6,Technology
12,14,36.8,Politics_and_government
12,5,13.2,Medicine_&_Health
12,4,10.5,Media*
12,3,7.9,Business_and_economics
12,3,7.9,History
12,2,5.3,Biology
12,2,5.3,Sports
12,1,2.6,Literature
12,1,2.6,North_America
12,1,2.6,Philosophy_and_religion
12,1,2.6,STEM*
12,1,2.6,Transportation
13,31,44.9,Sports
13,12,17.4,Media*
13,8,11.6,Films
13,3,4.3,History
13,3,4.3,Military_and_warfare
13,2,2.9,Music
13,2,2.9,Performing_arts
13,2,2.9,Visual_arts*
13,1,1.4,Biology
13,1,1.4,Business_and_economics
13,1,1.4,Medicine_&_Health
13,1,1.4,Politics_and_government
13,1,1.4,Society
13,1,1.4,Western_Europe
14,30,66.7,Sports
14,4,8.9,Politics_and_government
14,3,6.7,Europe*
14,2,4.4,Media*
14,1,2.2,Architecture
14,1,2.2,Food_and_drink
14,1,2.2,Linguistics
14,1,2.2,Military_and_warfare
14,1,2.2,Philosophy_and_religion
14,1,2.2,Southern_Europe
15,6,40.0,Politics_and_government
15,3,20.0,Business_and_economics
15,2,13.3,Society
15,1,6.7,History
15,1,6.7,Military_and_warfare
15,1,6.7,Philosophy_and_religion
15,1,6.7,Sports
16,14,70.0,Sports
16,2,10.0,Politics_and_government
16,1,5.0,Engineering
16,1,5.0,STEM*
16,1,5.0,Television
16,1,5.0,Transportation
