,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,7.0,40.0,Aude (département),0.9963027834892272,Q3207,Geography.Regions.Europe.Europe*,192.0,12375.7,192.0,24.0,192.0,25.0,24.567013,-3.6368767999999996,26833.0,0.0,Geography,Europe*
1,6.0,430.0,Billy Wilder,0.287777841091156,Q51547,Culture.Performing_arts,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700468999999997,-2.1335354,4583.0,1.726667046546936,Culture,Performing_arts
2,6.0,728.0,Cecil B. DeMille,0.9991540908813475,Q72267,Culture.Biography.Biography*,0.0,4167.148999365062,139.0,14.0,41.0,22.5,-17.897793,17.07912,2884.0,0.0,Culture,Biography*
3,5.0,1166.0,Finnois,0.9931061863899232,Q1412,Culture.Linguistics,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038000000001,9.383853,3328.0,4.965530931949616,Culture,Linguistics
4,5.0,1353.0,Haute-Loire,0.9919480085372924,Q12572,Geography.Regions.Europe.Europe*,192.0,6833.0,192.0,24.0,192.0,20.0,19.419691,7.1208050000000025,13316.0,0.0,Geography,Europe*
5,9.0,1889.0,Louis Malle,0.9942797422409058,Q55392,Culture.Biography.Biography*,135.0,43133.32852204744,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,3391.0,0.0,Culture,Biography*
6,4.0,6877.0,Gujarat,0.8740872144699097,Q1061,Geography.Regions.Asia.Asia*,88.0,5457.5,77.0,16.0,193.0,17.5,1.031823,6.303474,1740.0,0.0,Geography,Asia*
7,3.0,7559.0,Nebraska,0.8354935646057129,Q1553,Geography.Regions.Americas.North_America,172.0,10443.516299992578,126.0,3.0,0.0,15.0,-23.719117999999998,20.358133,3697.0,0.0,Geography,North_America
8,1.0,7946.0,Pendjabi,0.9362950325012208,Q58635,Culture.Linguistics,88.0,0.0,77.0,16.0,193.0,10.0,17.261118,21.501684,1734.0,0.9362950325012208,Culture,Linguistics
9,13.0,8391.0,Antisémitisme,0.9763205647468568,Q22649,Culture.Philosophy_and_religion,74.0,168545.1869410395,134.0,4.0,0.0,40.0,-13.161551000000001,16.61449,15760.0,12.692167341709139,Culture,Philosophy_and_religion
10,9.0,8445.0,Maurice Pialat,0.99753737449646,Q503898,Culture.Biography.Biography*,135.0,9363.22123017142,134.0,5.0,0.0,30.0,11.0397005,-14.053739000000002,4155.0,0.0,Culture,Biography*
11,22.0,8492.0,César du cinéma,0.22816647589206696,Q174389,Culture.Media.Media*,135.0,171424.7169804422,134.0,5.0,0.0,62.5,8.066295,-8.191541,3529.0,5.019662469625473,Culture,Media*
12,5.0,9368.0,Guy Drut,0.9724247455596924,Q365638,Culture.Sports,183.0,1378.2285063520346,168.0,12.0,0.0,20.0,16.11336,-3.7756595999999996,1987.0,4.862123727798462,Culture,Sports
13,5.0,9600.0,François Guillaume,0.9046605229377748,Q3084796,History_and_Society.Politics_and_government,183.0,0.037037037037037035,168.0,12.0,0.0,20.0,19.114809,21.775269,3621.0,4.523302614688874,History_and_Society,Politics_and_government
14,5.0,10039.0,Révisionnisme,0.348655104637146,Q874803,History_and_Society.Politics_and_government,192.0,1.0968253968253967,192.0,11.0,192.0,20.0,-5.251089599999999,-11.265338999999999,2724.0,1.74327552318573,History_and_Society,Politics_and_government
15,13.0,10040.0,Négationnisme,0.4378334879875183,Q574456,History_and_Society.Politics_and_government,192.0,4506.7460317459945,192.0,11.0,192.0,40.0,14.769518,17.239004,20524.0,5.691835343837738,History_and_Society,Politics_and_government
16,3.0,10620.0,Georges Tron,0.1778208613395691,Q3103572,History_and_Society.Politics_and_government,192.0,4103.0,192.0,22.0,192.0,15.0,21.936848,23.142738,16103.0,0.5334625840187073,History_and_Society,Politics_and_government
17,2.0,10680.0,Éric Woerth,0.14034625887870789,Q288486,History_and_Society.Politics_and_government,47.0,1369.0,42.0,8.0,255.0,12.5,-13.830466,-22.302843,2593.0,0.28069251775741577,History_and_Society,Politics_and_government
18,25.0,11035.0,Jean Yanne,0.287777841091156,Q106225,Culture.Media.Media*,88.0,127317.66564962332,77.0,5.0,193.0,70.0,-12.306836,23.280916,12424.0,7.1944460272789,Culture,Media*
19,1.0,11294.0,Bonneville (Haute-Savoie),0.9987257122993468,Q460795,Geography.Regions.Europe.Western_Europe,192.0,0.0,192.0,22.0,192.0,10.0,-4.9624394999999994,-23.398204999999997,3305.0,0.0,Geography,Western_Europe
20,2.0,11333.0,Accident nucléaire de Three Mile Island,0.7718535065650941,Q840847,STEM.Technology,88.0,0.0,77.0,5.0,193.0,12.5,-22.968075,-22.152893,5230.0,1.5437070131301882,STEM,Technology
21,3.0,11932.0,"Aliens, le retour",0.992888569831848,Q104814,Culture.Media.Media*,107.0,13744.974478101787,0.0,7.0,253.0,15.0,5.561101,18.096619,5126.0,2.978665709495544,Culture,Media*
22,2.0,11933.0,Alien 3,0.9967369437217712,Q108543,Culture.Media.Media*,107.0,0.0,0.0,7.0,253.0,12.5,-3.6837137,-12.604978,3358.0,1.9934738874435425,Culture,Media*
23,3.0,11934.0,"Alien, la résurrection",0.9983615279197692,Q458314,Culture.Media.Films,107.0,11892.1183934457,0.0,7.0,253.0,15.0,-24.46627,-16.277393,3132.0,2.9950845837593074,Culture,Films
24,5.0,12059.0,Étienne Chatiliez,0.998977780342102,Q289512,Culture.Biography.Biography*,116.0,2360.996981113378,157.0,23.0,0.0,20.0,12.279312,-15.110894,2568.0,0.0,Culture,Biography*
25,8.0,12417.0,Juan Manuel Fangio,0.9637899398803712,Q2069,Culture.Sports,49.0,95.65312205679493,164.0,10.0,0.0,27.5,-2.8153017000000005,24.129326000000002,8416.0,7.71031951904297,Culture,Sports
26,6.0,12575.0,Hesse (Land),0.9825675487518308,Q1199,Geography.Regions.Europe.Europe*,74.0,73873.48812208143,134.0,4.0,0.0,22.5,-10.822086,12.376389999999999,6113.0,0.0,Geography,Europe*
27,8.0,13138.0,Carcassonne,0.9836069941520692,Q6582,Geography.Regions.Europe.Europe*,192.0,40420.29479109141,192.0,24.0,192.0,27.5,-5.7063265,21.524563,9433.0,0.0,Geography,Europe*
28,6.0,13708.0,Léopold Ier (roi des Belges),0.6859594583511353,Q12971,History_and_Society.Military_and_warfare,47.0,25748.58333333333,42.0,8.0,255.0,22.5,-12.45135,4.6060143,2986.0,4.1157567501068115,History_and_Society,Military_and_warfare
29,1.0,13939.0,Simetierre (roman),0.9994742274284364,Q742226,Culture.Media.Books,172.0,0.0,126.0,3.0,0.0,10.0,19.801575,24.891924,2903.0,0.9994742274284364,Culture,Books
30,3.0,14364.0,Ankara,0.1732981950044632,Q3640,History_and_Society.History,88.0,11472.127634396958,77.0,16.0,193.0,15.0,-12.668786,17.804201000000006,2847.0,0.5198945850133896,History_and_Society,History
31,3.0,14441.0,Comte de Lautréamont,0.320831298828125,Q294181,Culture.Literature,192.0,4103.0,192.0,11.0,192.0,15.0,16.53235,-17.763338,3328.0,0.962493896484375,Culture,Literature
32,3.0,15416.0,Indira Gandhi,0.59267657995224,Q1149,History_and_Society.Politics_and_government,88.0,1364.0,77.0,16.0,193.0,15.0,-18.602974,-24.737522,3128.0,1.77802973985672,History_and_Society,Politics_and_government
33,3.0,15576.0,Fêtes et jours fériés en Allemagne,0.3276783227920532,Q649352,Culture.Philosophy_and_religion,74.0,2737.0,134.0,4.0,0.0,15.0,-9.801300999999999,18.13701,3572.0,0.9830349683761597,Culture,Philosophy_and_religion
34,2.0,17270.0,Politique en Allemagne,0.9970290064811708,Q159493,History_and_Society.Politics_and_government,74.0,0.0,134.0,4.0,0.0,12.5,19.232204,23.226135,2968.0,1.9940580129623415,History_and_Society,Politics_and_government
35,1.0,19546.0,Vitry-le-François,0.9994572401046752,Q623374,Geography.Regions.Europe.Western_Europe,192.0,0.0,192.0,24.0,192.0,10.0,-13.418632,-2.6908922000000004,2188.0,0.0,Geography,Western_Europe
36,3.0,22463.0,Auray,0.9992778301239014,Q62958,Geography.Regions.Europe.Western_Europe,10.0,57143.0,121.0,20.0,114.0,15.0,5.257961,3.8295436,3535.0,0.0,Geography,Western_Europe
37,5.0,26775.0,Roger Garaudy,0.546748161315918,Q160619,Culture.Philosophy_and_religion,192.0,30981.0,192.0,11.0,192.0,20.0,-20.180668,-15.939807,3837.0,2.73374080657959,Culture,Philosophy_and_religion
38,5.0,27402.0,Folklore,0.3557848632335663,Q36192,History_and_Society.History,0.0,16092.216989723063,129.0,0.0,152.0,20.0,-16.035339999999998,-4.5641885,2927.0,1.7789243161678314,History_and_Society,History
39,1.0,27576.0,Hervé Gaymard,1.0000100135803225,Q182786,Culture.Biography.Biography*,47.0,0.0,42.0,8.0,255.0,10.0,-23.082344,-11.973901,2375.0,0.0,Culture,Biography*
40,7.0,28572.0,Austin (Texas),0.9219318628311156,Q16559,Geography.Geographical,49.0,13631.92084234072,164.0,10.0,0.0,25.0,-15.784811999999999,-23.024162,2794.0,0.0,Geography,Geographical
41,4.0,30500.0,Charles Denner,0.21734751760959625,Q1064099,History_and_Society.History,88.0,8531.918192497751,77.0,5.0,193.0,17.5,10.236267999999999,18.781576,4800.0,0.869390070438385,History_and_Society,History
42,3.0,30522.0,Michel Auclair,0.10088862478733064,Q566803,Culture.Media.Media*,135.0,1423.5377229959533,134.0,5.0,0.0,15.0,24.31963,7.141006,2494.0,0.30266587436199194,Culture,Media*
43,5.0,32181.0,Affaire Elf,0.6584275364875793,Q2825778,History_and_Society.Politics_and_government,47.0,2428.641125438927,42.0,8.0,255.0,20.0,21.506805,-0.17344001,5000.0,3.2921376824378967,History_and_Society,Politics_and_government
44,15.0,32783.0,Franc-maçonnerie,0.5621865391731262,Q41726,History_and_Society.Politics_and_government,47.0,41410.53631859442,42.0,8.0,255.0,45.0,-6.4285245,-1.4863737,66060.0,8.432798087596893,History_and_Society,Politics_and_government
45,7.0,37008.0,Jacques Villeneuve,0.9820237755775452,Q172843,Culture.Sports,49.0,258.1718021566861,164.0,10.0,0.0,25.0,-22.002392,17.45965,3976.0,6.874166429042816,Culture,Sports
46,4.0,38929.0,Tonie Marshall,0.9980222582817078,Q2555171,Culture.Biography.Biography*,239.0,50967.7915474074,97.0,5.0,185.0,17.5,16.853918,16.343629999999994,5051.0,0.0,Culture,Biography*
47,4.0,39083.0,Ravachol,0.13297423720359802,Q558456,History_and_Society.Military_and_warfare,192.0,455.3333333333557,192.0,24.0,192.0,17.5,4.5689125,0.8143729000000001,2200.0,0.5318969488143921,History_and_Society,Military_and_warfare
48,1.0,39298.0,Belle de jour (film),0.9947898983955384,Q470375,Culture.Media.Films,135.0,0.0,134.0,5.0,0.0,10.0,-7.2113679999999984,14.309820000000002,2488.0,0.9947898983955384,Culture,Films
49,16.0,40041.0,Fernando Collor de Mello,0.4688006341457367,Q236503,History_and_Society.Politics_and_government,245.0,1874.0551195729279,148.0,15.0,0.0,47.5,2.5368738,18.849644,1395.0,7.500810146331787,History_and_Society,Politics_and_government
50,1.0,40195.0,Rébellion des Patriotes,0.5000100135803223,Q2466441,History_and_Society.Military_and_warfare,172.0,0.0,126.0,21.0,0.0,10.0,-14.913746,23.614199,2412.0,0.5000100135803223,History_and_Society,Military_and_warfare
51,12.0,40551.0,Grand Orient de France,0.18714269995689392,Q1542667,History_and_Society.Politics_and_government,47.0,20742.82316373739,42.0,8.0,255.0,37.5,23.335732999999998,21.759787,14396.0,2.245712399482727,History_and_Society,Politics_and_government
52,3.0,41442.0,Alexandra London,0.12253321707248688,Q289594,History_and_Society.History,135.0,1192.537537294084,134.0,5.0,0.0,15.0,20.445272,18.75359,9304.0,0.36759965121746063,History_and_Society,History
53,1.0,41465.0,Tenue de soirée,0.9669240117073059,Q318838,Culture.Media.Films,239.0,0.0,97.0,5.0,185.0,10.0,-24.587328,23.51822300000001,2196.0,0.9669240117073059,Culture,Films
54,27.0,41493.0,Nulle part ailleurs,0.9626831412315368,Q3346237,Culture.Media.Media*,0.0,23208.134493733745,94.0,1.0,235.0,75.0,2.6447053,7.2693353000000025,15508.0,25.992444813251492,Culture,Media*
55,1.0,41494.0,Robin Renucci,0.9993836879730223,Q2159896,Culture.Biography.Biography*,192.0,0.0,192.0,7.0,192.0,10.0,9.399272999999999,-20.629986,3581.0,0.0,Culture,Biography*
56,9.0,42488.0,Bernard Le Coq,0.9990094900131226,Q346121,Culture.Biography.Biography*,88.0,61387.686683158136,77.0,5.0,193.0,30.0,-22.152310999999997,8.587259,8807.0,0.0,Culture,Biography*
