,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
40,Aude_(département),25.0,192,192,192,24.567013,-3.6368768,40,7,24,12375.7
430,Billy_Wilder,22.5,41,139,0,2.8700469,-2.1335354,430,6,14,4242.696613697574
728,Cecil_B._DeMille,22.5,41,139,0,-17.897793,17.07912,728,6,14,4167.148999365062
1166,Finnois,20.0,0,126,172,-1.5331038,9.383853,1166,5,21,23065.0
1353,Haute-Loire,20.0,192,192,192,19.419691,7.120805,1353,5,24,6833.0
1889,Louis_Malle,30.0,0,134,135,-3.3725579,-19.667057,1889,9,5,43133.328522047435
6877,Gujarat,17.5,193,77,88,1.031823,6.303474,6877,4,16,5457.5
7559,Nebraska,15.0,0,126,172,-23.719118,20.358133,7559,3,3,10443.516299992578
7946,Pendjabi,10.0,193,77,88,17.261118,21.501684,7946,1,16,0.0
8391,Antisémitisme,40.0,0,134,74,-13.161551,16.61449,8391,13,4,168545.1869410395
8445,Maurice_Pialat,30.0,0,134,135,11.0397005,-14.053739,8445,9,5,9363.22123017142
8492,César_du_cinéma,62.5,0,134,135,8.066295,-8.191541,8492,22,5,171424.7169804422
9368,Guy_Drut,20.0,0,168,183,16.11336,-3.7756596,9368,5,12,1378.228506352035
9600,François_Guillaume,20.0,0,168,183,19.114809,21.775269,9600,5,12,0.037037037037037035
10039,Révisionnisme,20.0,192,192,192,-5.2510896,-11.265339,10039,5,11,1.0968253968253967
10040,Négationnisme,40.0,192,192,192,14.769518,17.239004,10040,13,11,4506.746031745995
10620,Georges_Tron,15.0,192,192,192,21.936848,23.142738,10620,3,22,4103.0
10680,Éric_Woerth,12.5,255,42,47,-13.830466,-22.302843,10680,2,8,1369.0
11035,Jean_Yanne,70.0,193,77,88,-12.306836,23.280916,11035,25,5,127317.66564962333
11294,Bonneville_(Haute-Savoie),10.0,192,192,192,-4.9624395,-23.398205,11294,1,22,0.0
11333,Accident_nucléaire_de_Three_Mile_Island,12.5,193,77,88,-22.968075,-22.152893,11333,2,5,0.0
11932,"Aliens,_le_retour",15.0,253,0,107,5.561101,18.096619,11932,3,7,13744.97447810179
11933,Alien_3,12.5,253,0,107,-3.6837137,-12.604978,11933,2,7,0.0
11934,"Alien,_la_résurrection",15.0,253,0,107,-24.46627,-16.277393,11934,3,7,11892.1183934457
12059,Étienne_Chatiliez,20.0,0,157,116,12.279312,-15.110894,12059,5,23,2360.996981113378
12417,Juan_Manuel_Fangio,27.5,0,164,49,-2.8153017,24.129326,12417,8,10,95.65312205679497
12575,Hesse_(Land),22.5,0,134,74,-10.822086,12.37639,12575,6,4,73873.48812208143
13138,Carcassonne,27.5,192,192,192,-5.7063265,21.524563,13138,8,24,40420.29479109141
13708,Léopold_Ier_(roi_des_Belges),22.5,255,42,47,-12.45135,4.6060143,13708,6,8,25748.583333333332
13939,Simetierre_(roman),10.0,0,126,172,19.801575,24.891924,13939,1,3,0.0
14364,Ankara,15.0,193,77,88,-12.668786,17.804201,14364,3,16,11472.127634396958
14441,Comte_de_Lautréamont,15.0,192,192,192,16.53235,-17.763338,14441,3,11,4103.0
15416,Indira_Gandhi,15.0,193,77,88,-18.602974,-24.737522,15416,3,16,1364.0
15576,Fêtes_et_jours_fériés_en_Allemagne,15.0,0,134,74,-9.801301,18.13701,15576,3,4,2737.0
17270,Politique_en_Allemagne,12.5,0,134,74,19.232204,23.226135,17270,2,4,0.0
19546,Vitry-le-François,10.0,192,192,192,-13.418632,-2.6908922,19546,1,24,0.0
22463,Auray,15.0,114,121,10,5.257961,3.8295436,22463,3,20,57143.0
26775,Roger_Garaudy,20.0,192,192,192,-20.180668,-15.939807,26775,5,11,30981.0
27402,Folklore,20.0,152,129,0,-16.03534,-4.5641885,27402,5,0,16092.216989723065
27576,Hervé_Gaymard,10.0,255,42,47,-23.082344,-11.973901,27576,1,8,0.0
28572,Austin_(Texas),25.0,0,164,49,-15.784812,-23.024162,28572,7,10,13631.92084234072
30500,Charles_Denner,17.5,193,77,88,10.236268,18.781576,30500,4,5,8531.91819249775
30522,Michel_Auclair,15.0,0,134,135,24.31963,7.141006,30522,3,5,1423.5377229959538
32181,Affaire_Elf,20.0,255,42,47,21.506805,-0.17344001,32181,5,8,2428.6411254389272
32783,Franc-maçonnerie,45.0,255,42,47,-6.4285245,-1.4863737,32783,15,8,41410.53631859442
37008,Jacques_Villeneuve,25.0,0,164,49,-22.002392,17.45965,37008,7,10,258.17180215668606
38929,Tonie_Marshall,17.5,185,97,239,16.853918,16.34363,38929,4,5,50967.7915474074
39083,Ravachol,17.5,192,192,192,4.5689125,0.8143729,39083,4,24,455.3333333333556
39298,Belle_de_jour_(film),10.0,0,134,135,-7.211368,14.30982,39298,1,5,0.0
40041,Fernando_Collor_de_Mello,47.5,0,148,245,2.5368738,18.849644,40041,16,15,1874.055119572928
40195,Rébellion_des_Patriotes,10.0,0,126,172,-14.913746,23.614199,40195,1,21,0.0
40551,Grand_Orient_de_France,37.5,255,42,47,23.335733,21.759787,40551,12,8,20742.82316373739
41442,Alexandra_London,15.0,0,134,135,20.445272,18.75359,41442,3,5,1192.537537294084
41465,Tenue_de_soirée,10.0,185,97,239,-24.587328,23.518223,41465,1,5,0.0
41493,Nulle_part_ailleurs,75.0,235,94,0,2.6447053,7.2693353,41493,27,1,23208.134493733745
41494,Robin_Renucci,10.0,192,192,192,9.399273,-20.629986,41494,1,7,0.0
42488,Bernard_Le_Coq,30.0,193,77,88,-22.152311,8.587259,42488,9,5,61387.68668315814
42489,Capitaine_Conan,25.0,193,77,88,-18.38577,-22.672537,42489,7,5,8809.628528895706
42990,Montserrat_(Antilles),15.0,54,124,233,-9.02158,-13.71431,42990,3,3,4101.0
43315,Juliette_Drouet,10.0,0,168,183,-14.32745,14.3691025,43315,1,12,0.0
43681,Jeux_interdits,17.5,0,134,74,-9.511201,-15.3283415,43681,4,4,5039.245472472418
43686,Jean-Laurent_Cochet,17.5,193,77,88,-14.01931,0.7707108,43686,4,5,1362.8702726259185
43889,Caroline_Cellier,27.5,193,77,88,4.1627893,15.929482,43889,8,5,14815.928021621421
43892,Mille_milliards_de_dollars,40.0,193,77,88,16.419312,-23.90161,43892,13,5,9333.409433107861
43912,Jean_Poiret,27.5,193,77,88,-12.558912,19.429205,43912,8,5,16499.597163071165
44107,Nicole_Garcia,22.5,193,77,88,16.74464,15.241553,44107,6,5,28553.462664788138
44281,Jean-Claude_Dauphin,12.5,0,126,172,-3.968879,-18.121302,44281,2,5,299.77777777777754
45154,Jean-Jacques_Annaud,15.0,0,134,135,0.668612,0.619035,45154,3,5,19609.904264520606
45267,Organisation_communiste_internationaliste,10.0,0,168,183,-6.06669,14.598494,45267,1,12,0.0
45507,Robert_Faurisson,52.5,192,192,192,-2.9393873,14.5357065,45507,18,11,13606.84603174603
45864,Affaire_des_fiches_(France),20.0,255,42,47,-21.067705,-16.202545,45864,5,8,0.0
46069,Économie_du_Brésil,15.0,0,148,245,5.6832533,-7.481951,46069,3,15,2736.0
46187,"La_Ligne_rouge_(film,_1998)",12.5,54,124,233,1.4069014,3.3195326,46187,2,3,1369.0
46546,Anna_Karina,10.0,152,129,0,6.475412,13.932249,46546,1,5,0.0
46767,Valérie_Stroh,22.5,152,129,0,-15.149352,24.89268,46767,6,5,0.0
47749,Pierre_Tchernia,37.5,185,97,239,-17.86352,18.66632,47749,12,5,53630.10112077982
49754,Les_Indes_galantes,10.0,193,77,88,-15.491285,-13.928392,49754,1,5,0.0
49927,Abdellatif_Kechiche,27.5,0,134,135,-18.2103,2.3405094,49927,8,5,17983.270091461327
50058,Jacques_François,17.5,193,77,88,-9.607835,4.239055,50058,4,5,1815.198485188634
51386,Erich_von_Stroheim,17.5,41,139,0,13.061568,-22.645958,51386,4,14,0.0
51847,Bernard_Campan,17.5,0,126,172,-1.2639303,14.616327,51847,4,5,34381.929323726275
53073,Alex_Métayer,10.0,192,192,192,-20.048086,-23.715528,53073,1,7,0.0
53627,Pilat,10.0,192,192,192,15.357742,-24.997467,53627,1,24,0.0
54136,Yann_Tiersen,15.0,152,129,0,-22.126518,-9.059876,54136,3,0,8919.567075693176
54256,Giacomo_Puccini,20.0,193,77,88,-24.860935,10.404821,54256,5,5,8197.0
55098,Louis_Leprince-Ringuet,10.0,0,157,116,-13.422593,-4.121843,55098,1,23,0.0
55483,Anguilla,15.0,54,124,233,23.091528,-11.093224,55483,3,3,1369.0
55500,Harry_Belafonte,12.5,0,134,74,-11.458688,13.505772,55500,2,24,11182.412200234952
55929,Entente_cordiale,15.0,255,42,47,-16.371208,14.826261,55929,3,8,4103.0
58431,Newcastle_upon_Tyne,20.0,235,44,170,15.977691,8.5667305,58431,5,9,4104.0
58453,Sunderland,10.0,235,44,170,-19.1077,-19.469404,58453,1,9,0.0
58939,Colin_McRae,12.5,192,192,192,13.697466,-21.596888,58939,2,25,0.0
59107,Groupe_du_Rassemblement_démocratique_et_social_européen,17.5,0,168,183,-14.454082,9.398665,59107,4,12,6.0133333333333345
59380,Diane_Dufresne,12.5,153,96,160,-10.894527,24.970545,59380,2,19,1369.0
59426,Bruno_Gollnisch,25.0,192,192,192,-14.713018,-6.4651837,59426,7,11,685.7603174603174
61177,Arletty,15.0,193,77,88,3.0401144,-2.198794,61177,3,5,602.3482240357007
61453,Hortense_de_Beauharnais,10.0,255,42,47,-5.4592333,-19.12315,61453,1,8,0.0
62929,Angel_(série_télévisée),27.5,253,0,107,-21.666399,21.718622,62929,8,7,18189.408487826226
63904,Liste_des_membres_du_Conseil_constitutionnel_français,10.0,0,168,183,-18.516224,22.183569,63904,1,12,0.0
64509,Rox_et_Rouky,12.5,0,126,172,-24.468891,2.5554724,64509,2,21,0.0
65374,Desmond_Llewelyn,17.5,0,160,220,24.296026,2.7074666,65374,4,17,0.0
