,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views
0,7.0,40.0,Aude (département),0.9963027834892272,Q3207,Geography.Regions.Europe.Europe*,192.0,12375.7,192.0,24.0,192.0,25.0,24.567013,-3.6368768,26833.0
1,7.0,40.0,Aude (département),0.966924011707306,Q3207,Geography.Regions.Europe.Western_Europe,192.0,12375.7,192.0,24.0,192.0,25.0,24.567013,-3.6368768,26833.0
2,7.0,40.0,Aude (département),0.15611489117145538,Q3207,Geography.Geographical,192.0,12375.7,192.0,24.0,192.0,25.0,24.567013,-3.6368768,26833.0
3,6.0,430.0,Billy Wilder,0.997758150100708,Q51547,Culture.Biography.Biography*,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
4,6.0,430.0,Billy Wilder,0.3469777574539185,Q51547,Geography.Regions.Americas.North_America,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
5,6.0,430.0,Billy Wilder,0.287777841091156,Q51547,Culture.Performing_arts,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
6,6.0,430.0,Billy Wilder,0.2814156115055084,Q51547,Culture.Media.Media*,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
7,6.0,430.0,Billy Wilder,0.14805719256401062,Q51547,History_and_Society.Society,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
8,6.0,430.0,Billy Wilder,0.13297423720359802,Q51547,History_and_Society.Military_and_warfare,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
9,6.0,430.0,Billy Wilder,0.0,Q51547,Geography.Regions.Europe.Europe*,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
10,6.0,430.0,Billy Wilder,0.0,Q51547,Geography.Regions.Europe.Western_Europe,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700469,-2.1335354,4583.0
11,6.0,728.0,Cecil B. DeMille,0.9991540908813475,Q72267,Culture.Biography.Biography*,0.0,4167.148999365062,139.0,14.0,41.0,22.5,-17.897793,17.07912,2884.0
12,6.0,728.0,Cecil B. DeMille,0.13604079389572146,Q72267,Geography.Regions.Americas.North_America,0.0,4167.148999365062,139.0,14.0,41.0,22.5,-17.897793,17.07912,2884.0
13,6.0,728.0,Cecil B. DeMille,0.0,Q72267,Geography.Regions.Europe.Europe*,0.0,4167.148999365062,139.0,14.0,41.0,22.5,-17.897793,17.07912,2884.0
14,5.0,1166.0,Finnois,0.9931061863899232,Q1412,Culture.Linguistics,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
15,5.0,1166.0,Finnois,0.966924011707306,Q1412,Geography.Regions.Europe.Europe*,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
16,5.0,1166.0,Finnois,0.94500470161438,Q1412,Geography.Regions.Europe.Northern_Europe,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
17,5.0,1166.0,Finnois,0.2568419873714447,Q1412,Geography.Regions.Asia.North_Asia,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
18,5.0,1166.0,Finnois,0.18714269995689392,Q1412,Geography.Regions.Europe.Eastern_Europe,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
19,5.0,1166.0,Finnois,0.1520422399044037,Q1412,History_and_Society.Society,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038,9.383853,3328.0
20,5.0,1353.0,Haute-Loire,0.9919480085372924,Q12572,Geography.Regions.Europe.Europe*,192.0,6833.0,192.0,24.0,192.0,20.0,19.419691,7.120805000000002,13316.0
21,5.0,1353.0,Haute-Loire,0.9748311638832092,Q12572,Geography.Regions.Europe.Western_Europe,192.0,6833.0,192.0,24.0,192.0,20.0,19.419691,7.120805000000002,13316.0
22,9.0,1889.0,Louis Malle,0.9942797422409058,Q55392,Culture.Biography.Biography*,135.0,43133.328522047435,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,3391.0
23,9.0,1889.0,Louis Malle,0.37980710172653204,Q55392,Geography.Regions.Europe.Europe*,135.0,43133.328522047435,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,3391.0
24,9.0,1889.0,Louis Malle,0.2763098945617676,Q55392,Geography.Regions.Europe.Western_Europe,135.0,43133.328522047435,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,3391.0
25,9.0,1889.0,Louis Malle,0.0,Q55392,Geography.Regions.Americas.North_America,135.0,43133.328522047435,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,3391.0
