,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
477,Bengali,1,13.913044,175,95,13,8.631614,6.428004,477,4,14,0.0
898,Douglas_MacArthur,0,12.608696,235,44,170,-13.697391,11.552362,898,3,2,3141.0
1328,Genre_musical,14,46.52174,0,164,49,6.634841,-24.199846,1328,29,2,62108.40346554071
2335,Prix_Nobel_de_physiologie_ou_médecine,2,12.608696,193,77,88,5.003397,18.73119,2335,3,4,1049.0
2346,Prix_Nobel_de_chimie,2,12.608696,193,77,88,-4.1967006,6.331164,2346,3,4,3141.0
2898,Musique_soul,14,41.304348,0,164,49,15.193444,-14.1920395,2898,25,2,6517.3380952380985
3369,Zoologie,2,10.0,193,77,88,22.274893,-4.204081,3369,1,4,0.0
3370,The_Legend_of_Zelda,3,12.608696,152,129,0,21.130032,2.883801,3370,3,9,0.0
3998,Éphéméride,0,12.608696,235,44,170,-1.2382606,-1.1215035,3998,3,9,0.0
5069,Charles_Maurras,4,12.608696,60,163,0,-12.361594,-15.474189,5069,3,6,5231.0
5919,Daniel_Gélin,5,16.52174,54,124,233,21.514854,13.518471,5919,6,1,4772.217477420031
6431,Territoires_du_Nord-Ouest,4,10.0,60,163,0,20.387178,3.4520986,6431,1,4,0.0
6603,Raoul_Salan,4,21.73913,60,163,0,6.0027876,20.395351,6603,10,6,77420.69503626286
7018,Kilomètre_carré,2,11.304348,193,77,88,-20.78906,-6.837829,7018,2,4,0.0
7739,Minsk,2,17.826088,193,77,88,-24.496708,18.870516,7739,7,4,46203.09934552312
7880,Liste_des_communes_des_Pyrénées-Atlantiques,19,11.304348,185,97,239,7.9490714,23.519403,7880,2,5,1049.0
9366,Julien_Dray,4,15.217392,60,163,0,-17.430532,-0.24135499,9366,5,6,46831.1666666664
9405,Asie_centrale,1,12.608696,175,95,13,-7.254536,-21.919945,9405,3,14,4177.499195153041
9448,Saint-Siège,1,12.608696,175,95,13,12.576078,-12.503745,9448,3,14,2097.0
9462,États_fédérés_de_Micronésie,1,17.826088,175,95,13,-20.039248,5.266994,9462,7,14,9387.0
9510,Henri_Emmanuelli,4,17.826088,60,163,0,2.2987587,17.156845,9510,7,6,65069.00000000001
9995,Jean_Lassalle,19,15.217392,185,97,239,-24.137556,-1.2429235,9995,5,5,10876.166666666546
11114,Roland_Giraud,13,12.608696,0,134,74,-24.188107,24.902046,11114,3,17,47.699999999999996
12059,Étienne_Chatiliez,11,11.304348,0,168,183,-14.816096,-23.299812,12059,2,1,2405.033333333314
12128,Robert_Zemeckis,5,13.913044,54,124,233,-8.495558,0.0683077,12128,4,1,4188.0
12621,Sacramento,14,11.304348,0,164,49,-19.868937,18.00784,12621,2,2,2096.0000000000005
13884,Hervé_Guibert,2,10.0,193,77,88,19.48754,7.4988623,13884,1,4,0.0
14364,Ankara,2,21.73913,193,77,88,-0.5953589,15.700452,14364,10,4,31553.72385966074
14749,Lundi,0,12.608696,235,44,170,-7.262132,-10.944405,14749,3,10,0.0
14751,Mardi,0,12.608696,235,44,170,14.500133,-22.32806,14751,3,10,0.0
14752,Mercredi,0,13.913044,235,44,170,-4.6883726,-12.786719,14752,4,10,3141.0
14755,Samedi,0,12.608696,235,44,170,8.374088,-18.258347,14755,3,10,0.0
16915,Alain_Delon,5,23.043478,54,124,233,5.468172,-7.515445,16915,11,1,91539.36232171551
17107,Dominique_Schnapper,4,10.0,60,163,0,-6.0788198,-18.257286,17107,1,6,0.0
18564,Liste_des_présidents_du_Pérou,4,10.0,60,163,0,18.925291,8.629934,18564,1,6,0.0
19071,Danois,0,15.217392,235,44,170,13.404183,14.208674,19071,5,10,20703.73809523809
19385,Dominique_Nicolas,20,20.434784,0,134,135,9.435193,-17.819736,19385,9,12,1049.0
19517,Raj_britannique,1,15.217392,175,95,13,9.070458,0.6046037,19517,5,14,20857.202541790273
20536,Fête_nationale,2,11.304348,193,77,88,-16.261553,22.821177,20536,2,9,2701.811525087903
30252,Édith_Scob,3,10.0,152,129,0,18.32463,2.7900183,30252,1,9,0.0
35531,Dioclétien,18,15.217392,41,139,0,8.287491,8.453919,35531,5,18,3143.5172413793107
35953,Figeac,19,11.304348,185,97,239,-10.393017,8.773381,35953,2,5,1049.0
37436,Louis_Riel,4,12.608696,60,163,0,21.839237,-8.772569,37436,3,4,1635.85792162892
38966,Karlsruhe,16,10.0,153,96,160,-14.927194,-12.141812,38966,1,0,0.0
39401,Province_romaine,18,10.0,41,139,0,-12.037429,-14.410813,39401,1,18,0.0
40195,Rébellion_des_Patriotes,7,10.0,0,157,116,-22.168875,3.396978,40195,1,6,0.0
40545,Pierre_Messmer,4,12.608696,60,163,0,19.74275,16.509583,40545,3,6,9387.0
41470,William_McKinley,0,12.608696,235,44,170,4.51035,18.518957,41470,3,2,2097.0
41714,Député,4,15.217392,60,163,0,12.44232,18.46446,41714,5,4,11438.950394339172
42703,Maria_Schneider_(actrice),5,19.130436,54,124,233,1.4389182,5.603022,42703,8,1,33943.88621092968
42827,Les_Parapluies_de_Cherbourg,0,11.304348,235,44,170,-7.4369473,-8.88709,42827,2,2,1938.8452380952378
43570,Dominique_Sanda,5,16.52174,54,124,233,12.665473,-3.9507728,43570,6,1,47847.37918523633
43577,Warner_Music_Group,14,43.913044,0,164,49,8.201918,9.240944,43577,27,2,25668.190816035174
43897,Danièle_Delorme,5,12.608696,54,124,233,-15.874068,-15.401296,43897,3,1,0.0
44206,Musiques_du_monde,14,37.391304,0,164,49,-19.845036,-8.748581,44206,22,2,0.3
44308,Maurice_Ronet,5,11.304348,54,124,233,12.641994,-9.908395,44308,2,1,1049.0
