,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,3.0,1668.0,Kanji,13.0,0.9381340146064758,Q82772,Culture.Linguistics,107.0,4399.999999999998,0.0,17.0,253.0,12.307692999999999,15.642170000000002,5.252994999999999,3411.0,2.8144020438194275,Culture,Linguistics
1,1.0,2175.0,Noël Mamère,16.0,0.9972950220108032,Q965109,Culture.Biography.Biography*,160.0,0.0,96.0,12.0,153.0,10.0,19.00013,-14.803636,3016.0,0.9972950220108032,Culture,Biography*
2,2.0,4813.0,Kirghizistan,7.0,0.9850529432296752,Q813,Geography.Geographical,47.0,1103.0,42.0,2.0,255.0,11.153846000000001,-23.728676,-2.896586,8467.0,1.9701058864593504,Geography,Geographical
3,6.0,5073.0,Paul VI,6.0,0.9949496984481812,Q16975,Culture.Biography.Biography*,0.0,1469.10000000002,129.0,16.0,152.0,15.769232,3.840822,0.071065396,4474.0,5.969698190689087,Culture,Biography*
4,8.0,5074.0,Jean XXIII,6.0,0.9967369437217712,Q23873,Culture.Biography.Biography*,0.0,16762.74999999993,129.0,16.0,152.0,18.076923,-9.019573,-10.458631,3997.0,7.97389554977417,Culture,Biography*
5,8.0,7490.0,Dakota du Sud,6.0,0.3276783227920532,Q1211,Geography.Regions.Americas.North_America,0.0,27438.096249960352,129.0,16.0,152.0,18.076923,15.040583999999999,-8.50398,4676.0,2.621426582336426,Geography,North_America
6,7.0,7559.0,Nebraska,6.0,0.8354935646057129,Q1553,Geography.Regions.Americas.North_America,0.0,25619.199653606982,129.0,16.0,152.0,16.923077,-19.003548000000002,-9.080069,3366.0,5.84845495223999,Geography,North_America
7,14.0,9218.0,Polynésie française,7.0,0.9697954058647156,Q30971,Geography.Geographical,47.0,8209.239431401324,42.0,14.0,255.0,25.0,10.265317999999999,0.07560781,21327.0,13.577135682106018,Geography,Geographical
8,10.0,9969.0,Chambéry,8.0,0.9825675487518308,Q165090,Geography.Regions.Europe.Western_Europe,172.0,130234.28377304273,126.0,7.0,0.0,20.384617000000002,-13.583294,3.0749226000000003,17960.0,9.825675487518309,Geography,Western_Europe
9,4.0,11932.0,"Aliens, le retour",11.0,0.992888569831848,Q104814,Culture.Media.Media*,13.0,7500.0052096028185,95.0,3.0,175.0,13.461538000000001,-1.6582731,-11.7952385,3276.0,3.971554279327392,Culture,Media*
