modularity_class,Subtopic,Percentage,Count
0,Media*,40.9,18
0,Films,20.5,9
0,History,11.4,5
0,Television,9.1,4
0,Literature,6.8,3
0,Business_and_economics,4.5,2
0,Linguistics,2.3,1
0,Music,2.3,1
0,Society,2.3,1
1,Media*,50.0,29
1,Music,25.9,15
1,Performing_arts,10.3,6
1,Literature,3.4,2
1,Business_and_economics,1.7,1
1,Films,1.7,1
1,History,1.7,1
1,Society,1.7,1
1,Television,1.7,1
1,Visual_arts*,1.7,1
2,Media*,37.0,17
2,Music,17.4,8
2,Visual_arts*,13.0,6
2,Fashion,10.9,5
2,Television,6.5,3
2,Literature,4.3,2
2,History,2.2,1
2,Performing_arts,2.2,1
2,Politics_and_government,2.2,1
2,Society,2.2,1
2,Western_Europe,2.2,1
3,Films,36.2,21
3,Media*,32.8,19
3,Literature,10.3,6
3,History,6.9,4
3,Military_and_warfare,5.2,3
3,Business_and_economics,1.7,1
3,Music,1.7,1
3,Politics_and_government,1.7,1
3,STEM*,1.7,1
3,Sports,1.7,1
4,Media*,19.0,8
4,Society,19.0,8
4,Performing_arts,16.7,7
4,History,14.3,6
4,Military_and_warfare,9.5,4
4,Music,9.5,4
4,Films,4.8,2
4,Literature,2.4,1
4,Politics_and_government,2.4,1
4,Television,2.4,1
5,Media*,38.0,57
5,Films,19.3,29
5,History,12.0,18
5,Literature,5.3,8
5,Performing_arts,4.7,7
5,Military_and_warfare,4.0,6
5,Society,3.3,5
5,Visual_arts*,2.7,4
5,Music,2.0,3
5,Transportation,1.3,2
5,Sports,1.3,2
5,Western_Europe,1.3,2
5,Philosophy_and_religion,1.3,2
5,STEM*,0.7,1
5,Television,0.7,1
5,Business_and_economics,0.7,1
5,Linguistics,0.7,1
5,Architecture,0.7,1
6,Sports,30.9,21
6,Military_and_warfare,8.8,6
6,Media*,8.8,6
6,Politics_and_government,7.4,5
6,Visual_arts*,5.9,4
6,Business_and_economics,4.4,3
6,Films,4.4,3
6,Food_and_drink,4.4,3
6,History,2.9,2
6,Linguistics,2.9,2
6,Europe*,2.9,2
6,Geographical,1.5,1
6,Architecture,1.5,1
6,Literature,1.5,1
6,Earth_and_environment,1.5,1
6,Performing_arts,1.5,1
6,Computing,1.5,1
6,Southern_Europe,1.5,1
6,Biology,1.5,1
6,Technology,1.5,1
6,Television,1.5,1
6,Africa*,1.5,1
7,Sports,69.0,49
7,Military_and_warfare,8.5,6
7,Europe*,4.2,3
7,History,4.2,3
7,Western_Europe,4.2,3
7,Business_and_economics,2.8,2
7,Society,2.8,2
7,Medicine_&_Health,1.4,1
7,STEM*,1.4,1
7,Transportation,1.4,1
8,Sports,67.3,37
8,Media*,9.1,5
8,History,7.3,4
8,Politics_and_government,5.5,3
8,Business_and_economics,3.6,2
8,Military_and_warfare,1.8,1
8,Music,1.8,1
8,Performing_arts,1.8,1
8,Transportation,1.8,1
9,Fashion,72.0,67
9,Visual_arts*,15.1,14
9,Media*,3.2,3
9,History,2.2,2
9,Western_Europe,2.2,2
9,Computing,1.1,1
9,Geographical,1.1,1
9,Linguistics,1.1,1
9,Performing_arts,1.1,1
9,Sports,1.1,1
10,Sports,81.1,30
10,Western_Europe,8.1,3
10,Films,2.7,1
10,Media*,2.7,1
10,Society,2.7,1
10,Visual_arts*,2.7,1
11,History,54.0,34
11,Military_and_warfare,14.3,9
11,Sports,11.1,7
11,Media*,7.9,5
11,Films,4.8,3
11,Politics_and_government,3.2,2
11,Linguistics,1.6,1
11,Society,1.6,1
11,Western_Europe,1.6,1
12,Sports,67.7,42
12,Politics_and_government,19.4,12
12,Business_and_economics,3.2,2
12,Media*,3.2,2
12,History,1.6,1
12,Linguistics,1.6,1
12,Medicine_&_Health,1.6,1
12,Philosophy_and_religion,1.6,1
13,Media*,77.8,7
13,Films,22.2,2
14,Engineering,13.3,2
14,Politics_and_government,13.3,2
14,Earth_and_environment,6.7,1
14,Geographical,6.7,1
14,History,6.7,1
14,Linguistics,6.7,1
14,Media*,6.7,1
14,Oceania,6.7,1
14,STEM*,6.7,1
14,Society,6.7,1
14,Television,6.7,1
14,Transportation,6.7,1
14,Western_Europe,6.7,1
15,Media*,63.6,14
15,Entertainment,9.1,2
15,Films,9.1,2
15,Fashion,4.5,1
15,Literature,4.5,1
15,Performing_arts,4.5,1
15,Television,4.5,1
16,Philosophy_and_religion,23.3,14
16,Media*,13.3,8
16,Military_and_warfare,10.0,6
16,Linguistics,8.3,5
16,Politics_and_government,8.3,5
16,History,6.7,4
16,North_America,3.3,2
16,Europe*,3.3,2
16,Transportation,3.3,2
16,Society,3.3,2
16,Space,3.3,2
16,Technology,1.7,1
16,Visual_arts*,1.7,1
16,Television,1.7,1
16,Architecture,1.7,1
16,Biology,1.7,1
16,Literature,1.7,1
16,Earth_and_environment,1.7,1
16,Western_Europe,1.7,1
17,Biology,12.5,1
17,East_Asia,12.5,1
17,Films,12.5,1
17,History,12.5,1
17,Linguistics,12.5,1
17,Military_and_warfare,12.5,1
17,Performing_arts,12.5,1
17,Visual_arts*,12.5,1
18,Sports,95.2,20
18,Europe*,4.8,1
