,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1668,Kanji,13,12.307693,253,0,107,15.64217,5.252995,1668,3,17,4399.999999999998,Q82772
2175,Noël Mamère,16,10.0,153,96,160,19.00013,-14.803636,2175,1,12,0.0,Q965109
4813,Kirghizistan,7,11.153846,255,42,47,-23.728676,-2.896586,4813,2,2,1103.0,Q813
5073,Paul VI,6,15.769232,152,129,0,3.840822,0.071065396,5073,6,16,1469.10000000002,Q16975
5074,Jean XXIII,6,18.076923,152,129,0,-9.019573,-10.458631,5074,8,16,16762.749999999927,Q23873
7490,Dakota du Sud,6,18.076923,152,129,0,15.040584,-8.50398,7490,8,16,27438.096249960352,Q1211
7559,Nebraska,6,16.923077,152,129,0,-19.003548,-9.080069,7559,7,16,25619.199653606986,Q1553
9218,Polynésie française,7,25.0,255,42,47,10.265318,0.07560781,9218,14,14,8209.239431401324,Q30971
9969,Chambéry,8,20.384617,0,126,172,-13.583294,3.0749226,9969,10,7,130234.28377304271,Q165090
11932,"Aliens, le retour",11,13.461538,175,95,13,-1.6582731,-11.7952385,11932,4,3,7500.005209602819,Q104814
11934,"Alien, la résurrection",11,12.307693,175,95,13,-15.37631,8.9959,11934,3,3,4931.6921773280665,Q458314
12799,Catalan,6,11.153846,152,129,0,4.6878605,-14.534206,12799,2,16,1103.0,Q7026
13984,Drapeau du Japon,13,12.307693,253,0,107,-17.333494,24.950773,13984,3,17,6592.999999999998,Q43175
15213,Étienne (martyr),6,13.461538,152,129,0,1.7976437,14.057723,15213,4,16,5495.5,Q161775
15404,Richard III,12,11.153846,0,134,74,-14.850497,-5.7137766,15404,2,3,1136.085872679322,Q133028
15836,Bratislava,19,16.923077,235,44,170,-4.7696586,-16.06467,15836,7,11,7726.633146435485,Q1780
20955,Jan Ullrich,8,13.461538,0,126,172,-8.956904,4.176023,20955,4,10,0.0,Q57959
22453,Expédition du Mexique,0,13.461538,193,77,88,2.9485788,12.23157,22453,4,11,9190.240026465088,Q952881
23504,Total Recall,11,10.0,175,95,13,9.074565,10.682243,23504,1,3,0.0,Q222018
24488,Miguel Indurain,8,21.538464,0,126,172,23.458378,8.600461,24488,11,10,1111.2873737373739,Q105542
24702,Tolochenaz,0,10.0,193,77,88,-4.2558494,-22.331831,24702,1,5,0.0,Q69398
25125,Tournoi de Wimbledon,17,16.923077,54,124,233,-17.70343,17.004705,25125,7,6,3116.7333333332626,Q41520
25639,Horemheb,0,12.307693,193,77,88,19.31785,-15.076349,25639,3,5,551.0,Q157995
25641,Ptolémée XV,0,12.307693,193,77,88,23.607498,14.336206,25641,3,5,3303.0,Q39589
28013,Emmanuelle Béart,14,13.461538,60,163,0,0.46292648,9.165388,28013,4,4,2204.0,Q106458
29203,Marie-France Pisier,3,12.307693,0,134,135,17.570848,-9.751512,29203,3,8,4403.0,Q239893
29233,Saint-Sylvestre,6,10.0,152,129,0,-16.568428,-15.250283,29233,1,16,0.0,Q249911
30251,Le Pacte des loups,10,12.307693,114,121,10,18.40141,0.32302794,30251,3,15,1100.0,Q1123891
30327,À bout de souffle,14,11.153846,60,163,0,-22.081392,2.4053383,30327,2,0,2204.0,Q86427
31928,Dani (artiste),14,12.307693,60,163,0,4.128742,-1.4228812,31928,3,4,7770.824543101544,Q548211
32338,Aÿ,0,12.307693,193,77,88,17.978592,0.22231211,32338,3,5,551.0,Q146029
32680,Duché de Lorraine,19,15.769232,235,44,170,21.973312,-20.042452,32680,6,11,0.45,Q155019
34212,Laurent Fignon,8,22.692308,0,126,172,20.130589,-4.730186,34212,12,10,129845.18269334717,Q13484
37847,Enola Gay,6,11.153846,152,129,0,-12.9728155,-14.247463,37847,2,16,1068.4441551274015,Q204424
40464,Paul Touvier,18,12.307693,0,148,245,-22.721317,-8.254825,40464,3,7,20615.0,Q688313
