,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class
0,6.0,18.0,Arsène Lupin,0.7663036584854126,Q461606,Culture.Media.Media*,18.0,8597.4833301694,13.0
1,6.0,18.0,Arsène Lupin,0.5544804334640503,Q461606,Culture.Literature,18.0,8597.4833301694,13.0
2,6.0,18.0,Arsène Lupin,0.0,Q461606,Geography.Regions.Europe.Europe*,18.0,8597.4833301694,13.0
3,6.0,430.0,Billy Wilder,0.997758150100708,Q51547,Culture.Biography.Biography*,430.0,32164.18262854456,11.0
4,6.0,430.0,Billy Wilder,0.34697775745391846,Q51547,Geography.Regions.Americas.North_America,430.0,32164.18262854456,11.0
5,6.0,430.0,Billy Wilder,0.287777841091156,Q51547,Culture.Performing_arts,430.0,32164.18262854456,11.0
6,6.0,430.0,Billy Wilder,0.2814156115055084,Q51547,Culture.Media.Media*,430.0,32164.18262854456,11.0
7,6.0,430.0,Billy Wilder,0.14805719256401062,Q51547,History_and_Society.Society,430.0,32164.18262854456,11.0
8,6.0,430.0,Billy Wilder,0.13297423720359802,Q51547,History_and_Society.Military_and_warfare,430.0,32164.18262854456,11.0
9,6.0,430.0,Billy Wilder,0.0,Q51547,Geography.Regions.Europe.Europe*,430.0,32164.18262854456,11.0
10,6.0,430.0,Billy Wilder,0.0,Q51547,Geography.Regions.Europe.Western_Europe,430.0,32164.18262854456,11.0
11,10.0,728.0,Cecil B. DeMille,0.9991540908813477,Q72267,Culture.Biography.Biography*,728.0,46350.68521308748,15.0
12,10.0,728.0,Cecil B. DeMille,0.13604079389572143,Q72267,Geography.Regions.Americas.North_America,728.0,46350.68521308748,15.0
13,10.0,728.0,Cecil B. DeMille,0.0,Q72267,Geography.Regions.Europe.Europe*,728.0,46350.68521308748,15.0
14,10.0,800.0,Cable News Network,0.4843900501728058,Q48340,Culture.Media.Media*,800.0,58243.20641950402,3.0
15,10.0,800.0,Cable News Network,0.3557848632335663,Q48340,History_and_Society.Business_and_economics,800.0,58243.20641950402,3.0
16,10.0,800.0,Cable News Network,0.3344935646057129,Q48340,Geography.Regions.Americas.North_America,800.0,58243.20641950402,3.0
17,10.0,800.0,Cable News Network,0.1294127255678177,Q48340,Culture.Media.Television,800.0,58243.20641950402,3.0
18,10.0,800.0,Cable News Network,0.10088862478733063,Q48340,STEM.STEM*,800.0,58243.20641950402,3.0
19,3.0,804.0,Carole Lombard,1.0000100135803223,Q207739,Culture.Biography.Biography*,804.0,17161.148616555067,18.0
20,3.0,804.0,Carole Lombard,0.9637899398803711,Q207739,Culture.Biography.Women,804.0,17161.148616555067,18.0
21,3.0,804.0,Carole Lombard,0.8740872144699097,Q207739,History_and_Society.History,804.0,17161.148616555067,18.0
22,3.0,804.0,Carole Lombard,0.15036486291885376,Q207739,Geography.Regions.Americas.North_America,804.0,17161.148616555067,18.0
23,3.0,804.0,Carole Lombard,0.0,Q207739,Geography.Regions.Europe.Europe*,804.0,17161.148616555067,18.0
24,3.0,804.0,Carole Lombard,0.0,Q207739,Geography.Regions.Europe.Northern_Europe,804.0,17161.148616555067,18.0
25,7.0,845.0,Opération Tempête du désert,0.9591643214225769,Q2349281,History_and_Society.Military_and_warfare,845.0,21182.59059637886,3.0
26,7.0,845.0,Opération Tempête du désert,0.14805719256401062,Q2349281,STEM.Earth_and_environment,845.0,21182.59059637886,3.0
27,7.0,845.0,Opération Tempête du désert,0.14034625887870789,Q2349281,STEM.STEM*,845.0,21182.59059637886,3.0
28,7.0,845.0,Opération Tempête du désert,0.0,Q2349281,Geography.Regions.Oceania,845.0,21182.59059637886,3.0
29,7.0,845.0,Opération Tempête du désert,0.0,Q2349281,Geography.Regions.Europe.Europe*,845.0,21182.59059637886,3.0
30,7.0,845.0,Opération Tempête du désert,0.0,Q2349281,Geography.Regions.Europe.Northern_Europe,845.0,21182.59059637886,3.0
31,1.0,1026.0,Electronic Entertainment Expo,0.8740872144699097,Q336168,Culture.Internet_culture,1026.0,0.0,6.0
32,1.0,1026.0,Electronic Entertainment Expo,0.7122421860694885,Q336168,Culture.Media.Video_games,1026.0,0.0,6.0
33,1.0,1026.0,Electronic Entertainment Expo,0.6442351341247559,Q336168,Culture.Media.Media*,1026.0,0.0,6.0
34,1.0,1026.0,Electronic Entertainment Expo,0.24509501457214355,Q336168,Geography.Regions.Americas.North_America,1026.0,0.0,6.0
35,3.0,1027.0,Europe du Nord,1.0000100135803223,Q27479,Geography.Regions.Europe.Northern_Europe,1027.0,7921.43220669625,5.0
36,3.0,1027.0,Europe du Nord,0.9990700483322144,Q27479,Geography.Regions.Europe.Europe*,1027.0,7921.43220669625,5.0
37,3.0,1027.0,Europe du Nord,0.3629792034626007,Q27479,Geography.Geographical,1027.0,7921.43220669625,5.0
38,3.0,1027.0,Europe du Nord,0.22816647589206696,Q27479,History_and_Society.Politics_and_government,1027.0,7921.43220669625,5.0
39,10.0,1075.0,Edgar Rice Burroughs,0.997758150100708,Q148234,Culture.Biography.Biography*,1075.0,7571.350564017222,15.0
40,10.0,1075.0,Edgar Rice Burroughs,0.6859594583511353,Q148234,Culture.Literature,1075.0,7571.350564017222,15.0
41,10.0,1075.0,Edgar Rice Burroughs,0.3007555902004242,Q148234,Culture.Media.Media*,1075.0,7571.350564017222,15.0
42,10.0,1075.0,Edgar Rice Burroughs,0.0,Q148234,Geography.Regions.Americas.North_America,1075.0,7571.350564017222,15.0
43,3.0,1205.0,Élection présidentielle française de 1965,0.9991269707679749,Q1450635,History_and_Society.Politics_and_government,1205.0,7289.08100639337,1.0
44,3.0,1205.0,Élection présidentielle française de 1965,0.49815409088134766,Q1450635,Geography.Regions.Europe.Western_Europe,1205.0,7289.08100639337,1.0
45,3.0,1205.0,Élection présidentielle française de 1965,0.4929124584197998,Q1450635,Geography.Regions.Europe.Europe*,1205.0,7289.08100639337,1.0
46,1.0,1363.0,Hokkaidō,0.9928885698318481,Q35581,Geography.Regions.Asia.East_Asia,1363.0,0.0,32.0
47,1.0,1363.0,Hokkaidō,0.9740526676177979,Q35581,Geography.Regions.Asia.Asia*,1363.0,0.0,32.0
48,1.0,1363.0,Hokkaidō,0.1097157895565033,Q35581,Geography.Geographical,1363.0,0.0,32.0
49,104.0,1510.0,Iran,0.9928885698318481,Q794,Geography.Geographical,1510.0,270519.7794843162,3.0
50,104.0,1510.0,Iran,0.9579222798347473,Q794,Geography.Regions.Asia.Asia*,1510.0,270519.7794843162,3.0
51,104.0,1510.0,Iran,0.6654205918312073,Q794,Geography.Regions.Asia.West_Asia,1510.0,270519.7794843162,3.0
52,104.0,1510.0,Iran,0.2509227991104126,Q794,History_and_Society.Society,1510.0,270519.7794843162,3.0
53,104.0,1510.0,Iran,0.10375863313674927,Q794,Geography.Regions.Asia.North_Asia,1510.0,270519.7794843162,3.0
54,2.0,1622.0,Joseph Conrad,0.997758150100708,Q82925,Culture.Biography.Biography*,1622.0,0.0,20.0
55,2.0,1622.0,Joseph Conrad,0.6584275364875793,Q82925,Culture.Literature,1622.0,0.0,20.0
56,2.0,1622.0,Joseph Conrad,0.338743971824646,Q82925,Geography.Regions.Europe.Europe*,1622.0,0.0,20.0
57,2.0,1622.0,Joseph Conrad,0.275139719247818,Q82925,Culture.Media.Media*,1622.0,0.0,20.0
58,2.0,1622.0,Joseph Conrad,0.24509501457214355,Q82925,History_and_Society.Society,1622.0,0.0,20.0
59,2.0,1622.0,Joseph Conrad,0.21734751760959625,Q82925,Culture.Philosophy_and_religion,1622.0,0.0,20.0
60,2.0,1622.0,Joseph Conrad,0.0,Q82925,Geography.Regions.Europe.Northern_Europe,1622.0,0.0,20.0
61,2.0,1622.0,Joseph Conrad,0.0,Q82925,Geography.Regions.Europe.Western_Europe,1622.0,0.0,20.0
62,5.0,1917.0,Maurice Leblanc,0.998599648475647,Q314993,Culture.Biography.Biography*,1917.0,17040.979034015993,13.0
63,5.0,1917.0,Maurice Leblanc,0.320831298828125,Q314993,Culture.Literature,1917.0,17040.979034015993,13.0
64,5.0,1917.0,Maurice Leblanc,0.19826446676254272,Q314993,Geography.Regions.Europe.Europe*,1917.0,17040.979034015993,13.0
65,5.0,1917.0,Maurice Leblanc,0.19194278120994568,Q314993,Culture.Media.Media*,1917.0,17040.979034015993,13.0
66,5.0,1917.0,Maurice Leblanc,0.14323513412475586,Q314993,Geography.Regions.Europe.Western_Europe,1917.0,17040.979034015993,13.0
67,3.0,2057.0,Mano Negra,0.9679093360900879,Q936474,Culture.Biography.Biography*,2057.0,11380.0,5.0
68,3.0,2057.0,Mano Negra,0.8175845146179199,Q936474,Culture.Media.Music,2057.0,11380.0,5.0
69,3.0,2057.0,Mano Negra,0.8031837940216064,Q936474,Culture.Media.Media*,2057.0,11380.0,5.0
70,3.0,2057.0,Mano Negra,0.37308721446990967,Q936474,Geography.Regions.Europe.Western_Europe,2057.0,11380.0,5.0
71,3.0,2057.0,Mano Negra,0.3660457601547241,Q936474,Geography.Regions.Europe.Europe*,2057.0,11380.0,5.0
72,3.0,2057.0,Mano Negra,0.0,Q936474,Geography.Regions.Europe.Northern_Europe,2057.0,11380.0,5.0
73,5.0,2166.0,Nagasaki,0.9433575868606567,Q38234,Geography.Regions.Asia.Asia*,2166.0,12474.059664922812,3.0
74,5.0,2166.0,Nagasaki,0.9173126816749573,Q38234,Geography.Geographical,2166.0,12474.059664922812,3.0
75,5.0,2166.0,Nagasaki,0.9173126816749573,Q38234,Geography.Regions.Asia.East_Asia,2166.0,12474.059664922812,3.0
76,2.0,2352.0,Paire torsadée,0.9433575868606567,Q192808,STEM.STEM*,2352.0,5692.0,12.0
77,2.0,2352.0,Paire torsadée,0.44553956389427185,Q192808,STEM.Technology,2352.0,5692.0,12.0
78,2.0,2352.0,Paire torsadée,0.16886694729328156,Q192808,STEM.Engineering,2352.0,5692.0,12.0
79,2.0,2352.0,Paire torsadée,0.1520422399044037,Q192808,History_and_Society.Society,2352.0,5692.0,12.0
80,2.0,2352.0,Paire torsadée,0.1097157895565033,Q192808,STEM.Medicine_&_Health,2352.0,5692.0,12.0
81,4.0,2428.0,Photographie argentique,0.287777841091156,Q355516,Culture.Visual_arts.Visual_arts*,2428.0,20792.028656698192,22.0
82,4.0,2428.0,Photographie argentique,0.22816647589206696,Q355516,STEM.STEM*,2428.0,20792.028656698192,22.0
83,4.0,2428.0,Photographie argentique,0.13661839067935944,Q355516,STEM.Computing,2428.0,20792.028656698192,22.0
84,2.0,3190.0,World Wide Web Consortium,0.7879412174224854,Q37033,STEM.STEM*,3190.0,2847.0,22.0
85,2.0,3190.0,World Wide Web Consortium,0.7057950496673584,Q37033,STEM.Technology,3190.0,2847.0,22.0
86,2.0,3190.0,World Wide Web Consortium,0.4843900501728058,Q37033,Culture.Media.Software,3190.0,2847.0,22.0
87,2.0,3190.0,World Wide Web Consortium,0.4301573634147644,Q37033,History_and_Society.Education,3190.0,2847.0,22.0
88,2.0,3190.0,World Wide Web Consortium,0.3775506913661957,Q37033,History_and_Society.Business_and_economics,3190.0,2847.0,22.0
89,2.0,3190.0,World Wide Web Consortium,0.3557848632335663,Q37033,Culture.Media.Media*,3190.0,2847.0,22.0
90,2.0,3190.0,World Wide Web Consortium,0.275139719247818,Q37033,Culture.Internet_culture,3190.0,2847.0,22.0
91,2.0,3190.0,World Wide Web Consortium,0.275139719247818,Q37033,STEM.Computing,3190.0,2847.0,22.0
92,2.0,3266.0,Water-polo,0.9615437984466553,Q7707,Culture.Sports,3266.0,7266.6185423318575,32.0
93,1.0,4722.0,Barbe (martyre),0.9173126816749573,Q192816,Culture.Biography.Biography*,4722.0,0.0,33.0
94,1.0,4722.0,Barbe (martyre),0.7826725244522095,Q192816,Culture.Biography.Women,4722.0,0.0,33.0
95,1.0,4722.0,Barbe (martyre),0.4765896201133728,Q192816,History_and_Society.History,4722.0,0.0,33.0
96,1.0,4722.0,Barbe (martyre),0.30736804008483887,Q192816,Culture.Philosophy_and_religion,4722.0,0.0,33.0
97,1.0,4722.0,Barbe (martyre),0.09167657995223999,Q192816,Geography.Regions.Europe.Europe*,4722.0,0.0,33.0
98,1.0,4722.0,Barbe (martyre),0.0,Q192816,Geography.Regions.Europe.Western_Europe,4722.0,0.0,33.0
99,1.0,4722.0,Barbe (martyre),0.0,Q192816,Geography.Regions.Europe.Southern_Europe,4722.0,0.0,33.0
100,2.0,5006.0,Onde gravitationnelle,0.9019306898117065,Q190035,STEM.STEM*,5006.0,4091.771693864809,22.0
101,2.0,5006.0,Onde gravitationnelle,0.8519628047943115,Q190035,STEM.Physics,5006.0,4091.771693864809,22.0
102,2.0,5006.0,Onde gravitationnelle,0.22271016240119934,Q190035,STEM.Space,5006.0,4091.771693864809,22.0
103,2.0,6084.0,Samuel Morse,0.9955416321754456,Q75698,Culture.Biography.Biography*,6084.0,8773.894245144194,12.0
104,2.0,6084.0,Samuel Morse,0.3140605390071869,Q75698,Culture.Visual_arts.Visual_arts*,6084.0,8773.894245144194,12.0
105,2.0,6084.0,Samuel Morse,0.1294127255678177,Q75698,Culture.Biography.Women,6084.0,8773.894245144194,12.0
106,2.0,6084.0,Samuel Morse,0.10088862478733063,Q75698,History_and_Society.History,6084.0,8773.894245144194,12.0
107,2.0,6084.0,Samuel Morse,0.0,Q75698,Geography.Regions.Americas.North_America,6084.0,8773.894245144194,12.0
108,2.0,6084.0,Samuel Morse,0.0,Q75698,Geography.Regions.Europe.Europe*,6084.0,8773.894245144194,12.0
109,2.0,6084.0,Samuel Morse,0.0,Q75698,Geography.Regions.Europe.Western_Europe,6084.0,8773.894245144194,12.0
110,2.0,6544.0,Éthylène,0.9706977605819702,Q151313,STEM.STEM*,6544.0,2847.0,5.0
111,2.0,6544.0,Éthylène,0.9553291201591492,Q151313,STEM.Chemistry,6544.0,2847.0,5.0
112,1.0,6839.0,Orville et Wilbur Wright,0.9808859825134277,Q35820,History_and_Society.Transportation,6839.0,0.0,2.0
113,1.0,6839.0,Orville et Wilbur Wright,0.9679093360900879,Q35820,STEM.Engineering,6839.0,0.0,2.0
114,1.0,6839.0,Orville et Wilbur Wright,0.9637899398803711,Q35820,STEM.STEM*,6839.0,0.0,2.0
115,1.0,6839.0,Orville et Wilbur Wright,0.9219318628311157,Q35820,Culture.Biography.Biography*,6839.0,0.0,2.0
116,1.0,6839.0,Orville et Wilbur Wright,0.4688006341457367,Q35820,STEM.Space,6839.0,0.0,2.0
117,1.0,6839.0,Orville et Wilbur Wright,0.348655104637146,Q35820,History_and_Society.Military_and_warfare,6839.0,0.0,2.0
