,Label,Id,Degree,modularity_class,betweenesscentrality
557,Liste_des_communes_du_Pas-de-Calais,557,3,11,5190.0
638,Corinne_Lepage,638,5,21,44428.74520476588
679,Liste_des_communes_du_Calvados,679,2,11,0.0
1066,Enki_Bilal,1066,9,14,21969.07164293279
1514,Indice_boursier,1514,1,31,0.0
2595,Roman_Polanski,2595,18,7,194460.65987785268
6976,Glenn_Gould,6976,5,19,21303.097758201133
7002,Fernando_Pessoa,7002,1,0,0.0
7892,Liste_des_communes_de_la_Seine-Maritime,7892,2,11,0.0
8150,Liste_de_rivières_de_France,8150,2,9,0.0
8465,Rumiko_Takahashi,8465,6,14,0.0
8979,Isao_Takahata,8979,13,21,0.0
9366,Julien_Dray,9366,3,21,6503.008838286433
10015,Jean-Marie_Le_Guen,10015,4,21,35043.655000790786
10040,Négationnisme,10040,10,14,78757.765668105
10257,Patrick_Ollier,10257,1,14,0.0
10260,Françoise_de_Panafieu,10260,6,11,12247.622386216068
10374,François_Sauvadet,10374,1,11,0.0
10598,Yves_Simon_(artiste),10598,3,1,2596.0
10600,Jean-Pierre_Soisson,10600,4,11,30554.320227194094
10617,Jean_Tiberi,10617,12,11,73701.68125717802
10680,Éric_Woerth,10680,6,11,19367.65058480224
10729,Code_correcteur,10729,1,11,0.0
11131,Pierre_Christin,11131,1,14,0.0
11367,Hers-Vif,11367,2,9,0.0
11938,Monty_Python,11938,10,28,25.0
11939,Terry_Gilliam,11939,8,28,0.0
12059,Étienne_Chatiliez,12059,9,1,20281.37798429026
12255,Canton_des_Grisons,12255,1,30,0.0
12406,Calligraphie,12406,2,11,7628.168711002322
12659,Nashville,12659,10,20,68263.7592831857
13315,Maurice_Druon,13315,8,11,54353.65762439089
13884,Hervé_Guibert,13884,2,1,2596.0
14042,Bernard-Marie_Koltès,14042,4,1,11946.835841933493
14304,Programme_Voyager,14304,3,19,2596.0
14401,Guangdong,14401,5,15,9412.27719940607
14441,Comte_de_Lautréamont,14441,4,14,15130.278371189876
14631,Atari,14631,3,16,7052.463556427204
15887,François_Cheng,15887,5,11,15349.33324203474
17097,Voyager_2,17097,1,19,0.0
17106,Patrick_Chesnais,17106,12,1,14217.9862880302
17598,Édouard_Herriot,17598,6,11,34906.70349729611
17789,Un_air_de_famille_(film),17789,7,7,14410.015609658712
18003,Le_bonheur_est_dans_le_pré,18003,7,1,83.54999999999998
18928,Königsberg,18928,3,1,5191.0
18989,Génération_écologie,18989,2,11,31.71591548548071
19546,Vitry-le-François,19546,2,7,2596.0
20298,Gotlib,20298,26,14,187994.57551606206
21024,Lewis_Trondheim,21024,7,14,39422.168007975844
21326,Philippe_Delerm,21326,1,21,0.0
21360,Romain_Rolland,21360,2,7,704.732293981477
22569,Tacite,22569,21,13,23871.514661617388
22910,Cimetière_de_Montmartre,22910,8,14,32395.177846509974
23273,Morning_Live,23273,4,24,5029.2750803753215
23409,Francisque_Collomb,23409,3,11,0.0
23410,Michel_Noir,23410,4,11,2596.0
23564,Manifeste_de_Brunswick,23564,5,2,2596.0
24056,Kiki_la_petite_sorcière,24056,14,21,1297.5
24309,Alain_Chamfort,24309,7,16,25515.24413920385
24473,Liste_des_empereurs_byzantins,24473,5,13,846.9185268222402
24810,Crime_de_guerre,24810,1,14,0.0
25051,Ceinture_de_Kuiper,25051,2,11,2596.0
25112,Fugue,25112,11,19,14234.999999999998
25113,Contrepoint_rigoureux,25113,9,19,2.0
25215,"Ordre_souverain_militaire_hospitalier_de_Saint-Jean_de_Jérusalem,_de_Rhodes_et_de_Malte",25215,4,11,29819.710541419263
25388,Drapeau_de_la_république_populaire_de_Chine,25388,1,13,0.0
25391,Prades_(Pyrénées-Orientales),25391,3,9,3250.1846984372773
