,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,23.0,107.0,Alger,0.9324633479118348,Q3561,Geography.Geographical,107.0,101964.96765990004,7.0,23197.0
1,23.0,107.0,Alger,0.6150978803634644,Q3561,Geography.Regions.Africa.Africa*,107.0,101964.96765990004,7.0,23197.0
2,23.0,107.0,Alger,0.1732981950044632,Q3561,Geography.Regions.Africa.Northern_Africa,107.0,101964.96765990004,7.0,23197.0
3,23.0,107.0,Alger,0.15611489117145538,Q3561,History_and_Society.History,107.0,101964.96765990004,7.0,23197.0
4,23.0,107.0,Alger,0.14034625887870789,Q3561,Geography.Regions.Europe.Europe*,107.0,101964.96765990004,7.0,23197.0
5,3.0,266.0,Arvo Pärt,0.99593985080719,Q189534,Culture.Biography.Biography*,266.0,15928.200258926272,9.0,2576.0
6,3.0,266.0,Arvo Pärt,0.8774868249893188,Q189534,Culture.Media.Music,266.0,15928.200258926272,9.0,2576.0
7,3.0,266.0,Arvo Pärt,0.7431780099868774,Q189534,Culture.Media.Media*,266.0,15928.200258926272,9.0,2576.0
8,3.0,266.0,Arvo Pärt,0.4605437984466553,Q189534,Geography.Regions.Europe.Europe*,266.0,15928.200258926272,9.0,2576.0
9,3.0,266.0,Arvo Pärt,0.2763098945617676,Q189534,Geography.Regions.Europe.Northern_Europe,266.0,15928.200258926272,9.0,2576.0
10,3.0,266.0,Arvo Pärt,0.2069040536880493,Q189534,Culture.Biography.Women,266.0,15928.200258926272,9.0,2576.0
11,3.0,266.0,Arvo Pärt,0.10375863313674928,Q189534,Culture.Performing_arts,266.0,15928.200258926272,9.0,2576.0
12,15.0,619.0,Coupe du monde de football 2002,0.996837317943573,Q47735,Culture.Sports,619.0,9394.376405695317,15.0,7003.0
13,2.0,634.0,Château de Pierrefonds,0.9697954058647156,Q376699,Geography.Regions.Europe.Western_Europe,634.0,22.36001975605457,1.0,3530.0
14,2.0,634.0,Château de Pierrefonds,0.9566442370414734,Q376699,Geography.Regions.Europe.Europe*,634.0,22.36001975605457,1.0,3530.0
15,2.0,634.0,Château de Pierrefonds,0.4843900501728058,Q376699,Culture.Visual_arts.Visual_arts*,634.0,22.36001975605457,1.0,3530.0
16,2.0,634.0,Château de Pierrefonds,0.4532718360424042,Q376699,Culture.Visual_arts.Architecture,634.0,22.36001975605457,1.0,3530.0
17,2.0,634.0,Château de Pierrefonds,0.3702353835105896,Q376699,History_and_Society.Military_and_warfare,634.0,22.36001975605457,1.0,3530.0
18,2.0,634.0,Château de Pierrefonds,0.3702353835105896,Q376699,Geography.Geographical,634.0,22.36001975605457,1.0,3530.0
19,1.0,643.0,Liste des communes de la Gironde,1.0,Q384414,Compilation.List_Disambig,643.0,0.0,4.0,2133.0
20,1.0,643.0,Liste des communes de la Gironde,0.4990100135803223,Q384414,Geography.Regions.Europe.Western_Europe,643.0,0.0,4.0,2133.0
21,1.0,643.0,Liste des communes de la Gironde,0.4990100135803223,Q384414,Geography.Regions.Europe.Europe*,643.0,0.0,4.0,2133.0
22,9.0,728.0,Cecil B. DeMille,0.9991540908813475,Q72267,Culture.Biography.Biography*,728.0,42456.17818705543,11.0,3087.0
23,9.0,728.0,Cecil B. DeMille,0.13604079389572146,Q72267,Geography.Regions.Americas.North_America,728.0,42456.17818705543,11.0,3087.0
24,9.0,728.0,Cecil B. DeMille,0.0,Q72267,Geography.Regions.Europe.Europe*,728.0,42456.17818705543,11.0,3087.0
25,5.0,804.0,Carole Lombard,1.0000100135803225,Q207739,Culture.Biography.Biography*,804.0,37841.3583883016,11.0,2569.0
26,5.0,804.0,Carole Lombard,0.9637899398803712,Q207739,Culture.Biography.Women,804.0,37841.3583883016,11.0,2569.0
27,5.0,804.0,Carole Lombard,0.8740872144699097,Q207739,History_and_Society.History,804.0,37841.3583883016,11.0,2569.0
28,5.0,804.0,Carole Lombard,0.15036486291885376,Q207739,Geography.Regions.Americas.North_America,804.0,37841.3583883016,11.0,2569.0
29,5.0,804.0,Carole Lombard,0.0,Q207739,Geography.Regions.Europe.Europe*,804.0,37841.3583883016,11.0,2569.0
30,5.0,804.0,Carole Lombard,0.0,Q207739,Geography.Regions.Europe.Northern_Europe,804.0,37841.3583883016,11.0,2569.0
31,7.0,1131.0,Frank Herbert,0.9976868629455566,Q7934,Culture.Biography.Biography*,1131.0,0.0,12.0,2994.0
32,7.0,1131.0,Frank Herbert,0.5698626637458801,Q7934,Culture.Media.Media*,1131.0,0.0,12.0,2994.0
33,7.0,1131.0,Frank Herbert,0.40734341740608215,Q7934,Culture.Media.Entertainment,1131.0,0.0,12.0,2994.0
34,7.0,1131.0,Frank Herbert,0.24217800998687744,Q7934,Geography.Regions.Americas.North_America,1131.0,0.0,12.0,2994.0
35,7.0,1131.0,Frank Herbert,0.2227101624011993,Q7934,Culture.Biography.Women,1131.0,0.0,12.0,2994.0
36,7.0,1131.0,Frank Herbert,0.1778208613395691,Q7934,Culture.Literature,1131.0,0.0,12.0,2994.0
37,7.0,1131.0,Frank Herbert,0.11280541121959685,Q7934,History_and_Society.Society,1131.0,0.0,12.0,2994.0
38,18.0,1333.0,Georges Brassens,0.9986429810523988,Q449,Culture.Biography.Biography*,1333.0,224243.65512125933,3.0,22439.0
39,18.0,1333.0,Georges Brassens,0.4225146472454071,Q449,Culture.Media.Media*,1333.0,224243.65512125933,3.0,22439.0
40,18.0,1333.0,Georges Brassens,0.287777841091156,Q449,Culture.Media.Music,1333.0,224243.65512125933,3.0,22439.0
41,18.0,1333.0,Georges Brassens,0.23006861114501956,Q449,Geography.Regions.Europe.Europe*,1333.0,224243.65512125933,3.0,22439.0
42,18.0,1333.0,Georges Brassens,0.13604079389572146,Q449,Geography.Regions.Europe.Western_Europe,1333.0,224243.65512125933,3.0,22439.0
43,18.0,1333.0,Georges Brassens,0.0,Q449,Geography.Regions.Americas.North_America,1333.0,224243.65512125933,3.0,22439.0
44,2.0,1391.0,Howard Carter,0.9954004287719728,Q133682,Culture.Biography.Biography*,1391.0,0.0,22.0,4044.0
45,2.0,1391.0,Howard Carter,0.839743971824646,Q133682,History_and_Society.History,1391.0,0.0,22.0,4044.0
46,2.0,1391.0,Howard Carter,0.21734751760959625,Q133682,History_and_Society.Society,1391.0,0.0,22.0,4044.0
47,2.0,1391.0,Howard Carter,0.10088862478733064,Q133682,STEM.STEM*,1391.0,0.0,22.0,4044.0
48,2.0,1391.0,Howard Carter,0.06886266374588013,Q133682,Geography.Regions.Europe.Europe*,1391.0,0.0,22.0,4044.0
49,2.0,1391.0,Howard Carter,0.0,Q133682,Geography.Regions.Europe.Northern_Europe,1391.0,0.0,22.0,4044.0
50,3.0,1483.0,Homme de Néandertal,0.9890230894088744,Q40171,STEM.STEM*,1483.0,760.8325256912949,18.0,16518.0
51,3.0,1483.0,Homme de Néandertal,0.9481645226478576,Q40171,STEM.Biology,1483.0,760.8325256912949,18.0,16518.0
52,3.0,1483.0,Homme de Néandertal,0.6150978803634644,Q40171,History_and_Society.Society,1483.0,760.8325256912949,18.0,16518.0
53,3.0,1483.0,Homme de Néandertal,0.4688006341457367,Q40171,History_and_Society.History,1483.0,760.8325256912949,18.0,16518.0
54,3.0,1483.0,Homme de Néandertal,0.3557848632335663,Q40171,STEM.Earth_and_environment,1483.0,760.8325256912949,18.0,16518.0
55,3.0,1483.0,Homme de Néandertal,0.0,Q40171,Geography.Regions.Africa.Africa*,1483.0,760.8325256912949,18.0,16518.0
56,1.0,2474.0,Portishead (groupe),0.91965252161026,Q191352,Culture.Biography.Biography*,2474.0,0.0,3.0,3627.0
57,1.0,2474.0,Portishead (groupe),0.7773098945617676,Q191352,Culture.Media.Media*,2474.0,0.0,3.0,3627.0
58,1.0,2474.0,Portishead (groupe),0.7431780099868774,Q191352,Culture.Media.Music,2474.0,0.0,3.0,3627.0
59,1.0,2474.0,Portishead (groupe),0.06118653917312623,Q191352,Geography.Regions.Europe.Europe*,2474.0,0.0,3.0,3627.0
60,1.0,2474.0,Portishead (groupe),0.0,Q191352,Geography.Regions.Europe.Northern_Europe,2474.0,0.0,3.0,3627.0
61,1.0,2520.0,Prix Ig-Nobel,0.4921981394290924,Q184253,History_and_Society.Society,2520.0,0.0,22.0,4072.0
62,1.0,2520.0,Prix Ig-Nobel,0.3140605390071869,Q184253,STEM.STEM*,2520.0,0.0,22.0,4072.0
63,1.0,2520.0,Prix Ig-Nobel,0.1732981950044632,Q184253,Culture.Media.Media*,2520.0,0.0,22.0,4072.0
64,1.0,2520.0,Prix Ig-Nobel,0.13661839067935946,Q184253,Culture.Literature,2520.0,0.0,22.0,4072.0
65,1.0,2520.0,Prix Ig-Nobel,0.0,Q184253,Geography.Regions.Americas.North_America,2520.0,0.0,22.0,4072.0
66,5.0,2830.0,Soudan,0.9539760947227478,Q1049,Geography.Geographical,2830.0,36351.50917823185,16.0,16877.0
67,5.0,2830.0,Soudan,0.6992644667625427,Q1049,Geography.Regions.Africa.Africa*,2830.0,36351.50917823185,16.0,16877.0
68,5.0,2830.0,Soudan,0.11921291798353195,Q1049,History_and_Society.Society,2830.0,36351.50917823185,16.0,16877.0
69,5.0,2830.0,Soudan,0.10375863313674928,Q1049,Geography.Regions.Asia.Asia*,2830.0,36351.50917823185,16.0,16877.0
70,15.0,5076.0,Pie XI,0.9965265989303588,Q42323,Culture.Biography.Biography*,5076.0,148355.2647408862,6.0,3214.0
71,15.0,5076.0,Pie XI,0.9399233460426332,Q42323,Culture.Philosophy_and_religion,5076.0,148355.2647408862,6.0,3214.0
72,15.0,5076.0,Pie XI,0.21760438585281366,Q42323,Geography.Regions.Europe.Europe*,5076.0,148355.2647408862,6.0,3214.0
73,15.0,5076.0,Pie XI,0.14034625887870789,Q42323,History_and_Society.Politics_and_government,5076.0,148355.2647408862,6.0,3214.0
74,15.0,5076.0,Pie XI,0.0,Q42323,Geography.Regions.Europe.Southern_Europe,5076.0,148355.2647408862,6.0,3214.0
75,15.0,5076.0,Pie XI,0.0,Q42323,Geography.Regions.Europe.Western_Europe,5076.0,148355.2647408862,6.0,3214.0
76,8.0,5077.0,Benoît XV,0.994098961353302,Q4448,Culture.Biography.Biography*,5077.0,10778.953283170244,6.0,2259.0
77,8.0,5077.0,Benoît XV,0.9399233460426332,Q4448,Culture.Philosophy_and_religion,5077.0,10778.953283170244,6.0,2259.0
78,8.0,5077.0,Benoît XV,0.32119916582107544,Q4448,Geography.Regions.Europe.Europe*,5077.0,10778.953283170244,6.0,2259.0
79,8.0,5077.0,Benoît XV,0.13661839067935946,Q4448,History_and_Society.Politics_and_government,5077.0,10778.953283170244,6.0,2259.0
80,8.0,5077.0,Benoît XV,0.0,Q4448,Geography.Regions.Europe.Southern_Europe,5077.0,10778.953283170244,6.0,2259.0
81,17.0,5078.0,Pie X,0.9983093142509459,Q43739,Culture.Biography.Biography*,5078.0,110083.98172050886,6.0,2804.0
82,17.0,5078.0,Pie X,0.9433575868606568,Q43739,Culture.Philosophy_and_religion,5078.0,110083.98172050886,6.0,2804.0
83,17.0,5078.0,Pie X,0.2816725244522095,Q43739,Geography.Regions.Europe.Europe*,5078.0,110083.98172050886,6.0,2804.0
84,17.0,5078.0,Pie X,0.0,Q43739,Geography.Regions.Europe.Southern_Europe,5078.0,110083.98172050886,6.0,2804.0
85,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.8311530351638794,Q868160,Culture.Philosophy_and_religion,6131.0,36679.39880254885,6.0,6257.0
86,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.2689514458179474,Q868160,History_and_Society.Education,6131.0,36679.39880254885,6.0,6257.0
87,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.23371636867523196,Q868160,History_and_Society.Business_and_economics,6131.0,36679.39880254885,6.0,6257.0
88,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.20182321965694427,Q868160,History_and_Society.Politics_and_government,6131.0,36679.39880254885,6.0,6257.0
89,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.10088862478733064,Q868160,STEM.STEM*,6131.0,36679.39880254885,6.0,6257.0
90,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.0991983880996704,Q868160,Geography.Regions.Europe.Europe*,6131.0,36679.39880254885,6.0,6257.0
91,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.0,Q868160,Geography.Regions.Europe.Northern_Europe,6131.0,36679.39880254885,6.0,6257.0
92,11.0,6131.0,Fraternité sacerdotale Saint-Pie-X,0.0,Q868160,Geography.Regions.Europe.Western_Europe,6131.0,36679.39880254885,6.0,6257.0
