,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,341,Amenhotep III,341,10,18,27524.543210593663,Q42606
1,638,Corinne Lepage,638,3,7,34878.50490426173,Q291341
2,789,Contre-culture,789,3,19,9262.336471203396,Q188976
3,1122,Rassemblement national,1122,55,7,673403.3742463345,Q205150
4,1206,Élection présidentielle française de 1969,1206,9,7,9881.197803732044,Q1450646
5,1331,Gérard Manset,1331,8,15,7763.790288876,Q3124164
6,1590,Ier siècle av. J.-C.,1590,5,31,91482.53813297636,Q25297
7,1742,Politique en France,1742,2,19,3860.1914481609724,Q1121558
8,1770,Ligue communiste révolutionnaire,1770,18,7,52514.141077344415,Q862627
9,2058,École maternelle en France,2058,10,22,61067.99266013888,Q273556
10,2175,Noël Mamère,2175,3,24,4268.409008214673,Q965109
11,2223,Narmer,2223,10,18,8126.245047226485,Q189582
12,2230,Osaka,2230,14,14,155186.84969891276,Q35765
13,2274,Orlando (Floride),2274,6,27,32186.924039267968,Q49233
14,2482,Palindrome,2482,2,20,3267.0,Q12321
15,2489,Liste de personnalités de la danse,2489,3,9,2832.6409775935213,Q1267750
16,2507,Paul Lafargue,2507,2,20,1737.0204366776684,Q317152
17,2526,Pharaons par ordre alphabétique,2526,8,18,0.0,Q3378115
18,2585,René Dumont,2585,3,22,6622.679239001852,Q927879
19,3075,Traité de San Francisco,3075,1,18,0.0,Q392541
20,3369,Zoologie,3369,6,19,36040.47690382283,Q431
21,4021,Ire dynastie égyptienne,4021,11,18,16315.0,Q203859
22,4045,Période prédynastique égyptienne,4045,8,18,0.0,Q714601
23,5088,Pie V,5088,2,18,3267.0,Q131945
24,6084,Samuel Morse,6084,1,1,0.0,Q75698
25,7011,Aérodrome,7011,2,22,44086.37860807463,Q62447
26,7428,IVe siècle av. J.-C.,7428,7,31,73882.51040464781,Q25335
27,7794,Missouri (rivière),7794,1,10,0.0,Q5419
28,7806,Thierry la Fronde,7806,3,9,8999.62262981056,Q1668270
29,7850,Haute-Corse,7850,11,25,112831.9701324218,Q3334
30,8566,Lac de Paladru,8566,1,25,0.0,Q3215502
31,8596,Marée noire,8596,10,28,22529.128157582734,Q220187
32,8670,Bourane,8670,4,30,16319.0,Q1010251
33,8772,Béthune,8772,11,7,76561.83189376253,Q207145
34,8906,Thierry Ier,8906,5,11,4891.833333333334,Q233461
35,8907,Thibert Ier,8907,8,11,14681.000000000002,Q274597
36,8909,Childebert Ier,8909,4,11,0.8333333333333333,Q212852
37,9013,Alexis Carrel,9013,3,26,0.0,Q185777
38,9266,Jean-Christophe Cambadélis,9266,6,7,6207.522462053654,Q1684726
39,9296,Luc Chatel,9296,4,7,5173.221382077937,Q642640
40,9368,Guy Drut,9368,2,7,3267.0,Q365638
41,9786,Maryse Joissains-Masini,9786,7,7,1039.9785303036704,Q3296342
42,9986,Jean-Christophe Lagarde,9986,15,7,21451.83793444173,Q3164758
43,10015,Jean-Marie Le Guen,10015,4,7,87.3528368705587,Q640830
44,10079,Lionnel Luca,10079,2,3,10706.179191836247,Q737204
45,10122,Thierry Mariani,10122,3,7,35.51990197490065,Q63655
46,10145,Gilbert Meyer,10145,1,7,0.0,Q3105793
47,10257,Patrick Ollier,10257,8,7,23822.212769897866,Q976436
48,10617,Jean Tiberi,10617,1,29,0.0,Q1685859
49,11010,Villefranche-de-Rouergue,11010,5,24,9225.722201943796,Q213501
50,11782,François Cavanna,11782,5,19,75651.23573342968,Q324820
51,12087,André Chénier,12087,1,15,0.0,Q295548
52,12543,Sichuan,12543,7,31,1358.4991619696768,Q19770
53,12635,Des Moines (Iowa),12635,2,26,3267.0,Q39709
54,12742,Plouguerneau,12742,1,28,0.0,Q477749
55,12841,Cléder,12841,1,26,0.0,Q221537
56,12850,Crozon,12850,3,26,8804.141533496737,Q218058
57,12882,Île-de-Batz,12882,3,28,6532.0,Q421927
58,12883,Île-de-Sein,12883,2,28,49437.9311778603,Q13416868
59,13004,Saint-Pol-de-Léon,13004,2,26,3267.0,Q239908
60,13148,Amoco Cadiz,13148,5,28,35269.55054520397,Q473794
61,13808,Marie Darrieussecq,13808,4,19,10631.659774583992,Q457714
62,13884,Hervé Guibert,13884,2,19,2765.189314001401,Q84153
63,13892,Max Jacob,13892,11,25,97501.52232447393,Q156214
64,14117,Bicamérisme,14117,2,7,3267.0,Q189445
65,14127,Timbre postal,14127,7,29,76252.52225707397,Q37930
66,14253,Hanyu pinyin,14253,13,31,38899.178600492036,Q42222
67,15182,Fête du Roi (Pays-Bas),15182,2,11,32580.0,Q333016
68,15448,Vignette automobile,15448,3,7,0.5,Q260866
69,15466,Fleuve Jaune,15466,8,31,1033.506348393824,Q7355
70,15576,Fêtes et jours fériés en Allemagne,15576,2,11,9258.418003312381,Q649352
71,15830,Arrondissements de Paris,15830,5,26,15651.253409386785,Q679388
72,16301,Saint-Aubin-sur-Mer (Calvados),16301,2,10,0.0,Q845024
73,17250,Montereau-Fault-Yonne,17250,3,25,6533.0,Q242191
74,17598,Édouard Herriot,17598,2,28,19086.792372166736,Q274344
75,17736,Clément V,17736,1,4,0.0,Q131463
76,17790,Mes meilleurs copains,17790,3,23,10602.016548788912,Q3306770
77,18125,Ivan Pavlov,18125,1,29,0.0,Q42985
78,18463,Collège,18463,2,22,2180.9536307944727,Q56315359
79,19115,La Brabançonne,19115,1,20,0.0,Q161539
80,19527,Gaston Leroux,19527,19,4,142166.71787712356,Q298827
81,19546,Vitry-le-François,19546,7,22,136120.04073634243,Q623374
82,19685,Dynastie Qin,19685,10,31,64398.930665975095,Q7183
83,19784,Bob Morane,19784,3,10,6994.862621392226,Q888146
84,20342,Le Mystère de la chambre jaune,20342,7,4,149.3214909314019,Q2563691
85,21039,Charles Nicolle,21039,7,26,16322.0,Q233965
86,21272,Ville nouvelle,21272,1,14,0.0,Q1074523
87,21648,Saint-Omer (Pas-de-Calais),21648,7,7,119772.02553636755,Q208793
88,21963,4 av. J.-C.,21963,2,31,7353.665159110814,Q38944
89,22085,Marcel Pagnol,22085,17,26,114788.35446986125,Q236630
90,22124,"Manon des sources (film, 1952)",22124,1,10,0.0,Q3286479
91,22243,Baisers volés,22243,11,10,14921.457543104987,Q324933
92,22453,Expédition du Mexique,22453,5,20,22284.85927772947,Q952881
93,22529,Cambrai,22529,3,22,7745.336295572445,Q181285
94,22616,Cimetière de Passy,22616,2,25,5602.317997432887,Q1092107
95,23095,Cimetière central de Vienne,23095,2,6,3267.0,Q240744
96,23299,Place de la Bastille,23299,4,11,9526.724995892513,Q778784
97,23544,Maréchal (armée),23544,5,13,55259.403191505364,Q111837
98,23603,Métayage,23603,2,4,0.0,Q1155875
99,23993,Peshawar,23993,4,28,204.5716734684972,Q1113311
100,24223,Fribourg (ville suisse),24223,6,24,14936.545838583828,Q36378
101,24243,Limace,24243,4,19,45864.880454067556,Q1953597
102,24513,Histoire des États-Unis de 1945 à 1964,24513,1,10,0.0,Q3137687
