,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,3.0,61.0,Advanced Micro Devices,0.9099169969558716,Q128896,History_and_Society.Business_and_economics,192.0,0.0,192.0,7.0,192.0,12.686567,9.234199,-16.520315,2.0,410.0,0.004878048780487805,Business_and_economics,History_and_Society,5.4595019817352295,88018.85775660722,6.202650342080139e-05
1,9.0,103.0,Aton,0.9362950325012208,Q130227,History_and_Society.History,135.0,2101.806935521646,134.0,13.0,0.0,20.746270000000006,-10.841246,0.7020350999999999,43.0,303.0,0.1419141914191419,History,History_and_Society,362.34617757797247,13524.163945958018,0.02679250111325863
2,2.0,206.0,Alfred Nobel,0.12253321707248688,Q23810,History_and_Society.Society,10.0,22046.31774916983,121.0,16.0,114.0,11.343283999999999,22.848211,24.86289,33.0,592.0,0.055743243243243236,Society,History_and_Society,8.087192326784134,17782.848705500364,0.0004547748485473369
3,1.0,316.0,Lampe à incandescence halogène,0.4225146472454071,Q1114190,STEM.Technology,10.0,0.0,121.0,16.0,114.0,10.0,-14.543655,-12.76539,48.0,592.0,0.08108108108108109,Technology,STEM,20.280703067779537,17782.848705500364,0.0011404642419021744
4,17.0,341.0,Amenhotep III,0.9783946871757508,Q42606,History_and_Society.History,135.0,5114.8996464852,134.0,13.0,0.0,31.492537,-10.848696,-14.589257,43.0,303.0,0.1419141914191419,History,History_and_Society,715.2065163254739,13524.163945958018,0.052883602948278985
5,20.0,525.0,Conseil de sécurité des Nations unies,0.9304682612419128,Q37470,History_and_Society.Politics_and_government,107.0,192165.49125612964,0.0,6.0,253.0,35.52239,5.2798057,-0.8103743,65.0,814.0,0.07985257985257985,Politics_and_government,History_and_Society,1209.6087396144867,35399.01335705072,0.03417069078772951
6,10.0,555.0,Collège en France,0.1968362182378769,Q1459186,History_and_Society.Education,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002,43.0,3674.0,0.011703864997278171,Education,History_and_Society,84.63957384228706,456588.6269776225,0.00018537381100041124
7,6.0,586.0,Château,0.9124462008476256,Q751876,Culture.Visual_arts.Visual_arts*,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218,10.0,524.0,0.019083969465648856,Visual_arts*,Culture,54.74677205085754,4804.098115496337,0.011395848031134841
8,2.0,591.0,Chimie organique,0.14415885508060455,Q11351,STEM.Technology,192.0,2.5,192.0,9.0,192.0,11.343283999999999,19.722578,4.0417166,15.0,524.0,0.02862595419847328,Technology,STEM,4.324765652418137,4804.098115496337,0.0009002242561341445
9,25.0,638.0,Corinne Lepage,0.8479777574539185,Q291341,History_and_Society.Politics_and_government,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924,244.0,3674.0,0.06641262928688077,Politics_and_government,History_and_Society,5172.6643204689035,456588.6269776225,0.011328938161927576
