,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
511,Skinhead_néonazi,18.709677,0,164,49,20.288218,-16.916395,511,4,14,0.6666666666666666
638,Corinne_Lepage,36.129032,193,77,88,10.42144,3.7194114,638,10,9,76591.26292909622
1079,Escalade,18.709677,192,192,192,-4.8603506,0.9009163,1079,4,24,4460.0
1713,Luxembourg,30.32258,0,134,74,-12.631237,-9.442558,1713,8,19,35563.115553548785
1773,Les_Verts_(France),33.225807,193,77,88,-8.966903,-14.771387,1773,9,9,7444.514338064522
2187,New_Deal,27.419353,60,163,0,-14.871761,5.2229133,2187,7,13,39907.212878752835
2980,Transport,15.806452,60,163,0,11.108023,-17.607056,2980,3,4,974.7635798983623
3075,Traité_de_San_Francisco,12.903226,60,163,0,8.904845,-12.624889,3075,2,2,0.0
3158,V2_(missile),12.903226,192,192,192,-17.719242,4.359424,3158,2,18,3345.0
4559,Laurent_Schwartz_(mathématicien),24.516129,0,126,172,-18.728416,6.1406226,4559,6,11,3598.068210029133
5624,Jean-Pierre_Raffarin,15.806452,193,77,88,20.042877,24.012188,5624,3,9,3450.4444444444457
5730,Daniel_Cohn-Bendit,21.612904,193,77,88,-14.400241,2.7979486,5730,5,9,6684.010064935065
6603,Raoul_Salan,50.64516,0,126,172,1.8661251,4.297006,6603,15,11,25088.988251846604
7040,Lanza_del_Vasto,10.0,0,126,172,-7.358188,5.0734415,7040,1,11,0.0
7245,Déchet,10.0,192,192,192,-8.328608,-15.500251,7245,1,13,0.0
7300,Joe_Strummer,15.806452,0,157,116,-19.916859,1.28543,7300,3,21,2952.6091770115154
7483,Caroline_du_Sud,30.32258,175,95,13,-10.487789,-10.92574,7483,8,13,29574.818320743598
7538,Rhode_Island,12.903226,152,129,0,10.738301,1.0604596,7538,2,22,39460.44294999259
7568,New_Hampshire,21.612904,175,95,13,9.374077,23.499958,7568,5,13,22049.0
8734,Xénophobie,15.806452,60,163,0,-0.043261666,12.152141,8734,3,13,6244.8783388833035
9152,Claude_Bartolone,15.806452,193,77,88,2.1641812,23.451937,9152,3,9,9.808080808080808
10260,Françoise_de_Panafieu,12.903226,193,77,88,23.285002,9.449314,10260,2,9,1632.315723532219
10548,Industrie,33.225807,60,163,0,-19.774843,-2.642379,10548,9,4,93325.57090342866
10657,Daniel_Vaillant,10.0,193,77,88,-19.543264,3.4993722,10657,1,9,0.0
10680,Éric_Woerth,24.516129,193,77,88,-3.4418538,4.1964135,10680,6,9,35693.67258584706
11728,Brome,12.903226,0,134,74,-6.5251856,13.45368,11728,2,19,7777.0
