,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,4.0,511.0,Skinhead néonazi,0.7431780099868774,Q2625151,History_and_Society.Politics_and_government,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395
1,4.0,511.0,Skinhead néonazi,0.3557848632335663,Q2625151,History_and_Society.Society,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395
2,4.0,511.0,Skinhead néonazi,0.26285186409950256,Q2625151,History_and_Society.Business_and_economics,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395
3,4.0,511.0,Skinhead néonazi,0.1732981950044632,Q2625151,History_and_Society.Education,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395
4,4.0,511.0,Skinhead néonazi,0.0,Q2625151,Geography.Regions.Americas.North_America,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395
5,10.0,638.0,Corinne Lepage,0.9919480085372925,Q291341,Culture.Biography.Biography*,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
6,10.0,638.0,Corinne Lepage,0.8479777574539185,Q291341,History_and_Society.Politics_and_government,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
7,10.0,638.0,Corinne Lepage,0.8221991658210754,Q291341,Culture.Biography.Women,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
8,10.0,638.0,Corinne Lepage,0.37308721446990967,Q291341,Geography.Regions.Europe.Western_Europe,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
9,10.0,638.0,Corinne Lepage,0.3509628047943115,Q291341,Geography.Regions.Europe.Europe*,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
10,10.0,638.0,Corinne Lepage,0.1067005917429924,Q291341,History_and_Society.History,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003
11,4.0,1079.0,Escalade,0.5000100135803223,Q22857,Culture.Sports,192.0,4460.0,192.0,24.0,192.0,18.709677,-4.860350599999999,0.9009163
12,4.0,1079.0,Escalade,0.348655104637146,Q22857,STEM.STEM*,192.0,4460.0,192.0,24.0,192.0,18.709677,-4.860350599999999,0.9009163
13,4.0,1079.0,Escalade,0.16886694729328156,Q22857,History_and_Society.Society,192.0,4460.0,192.0,24.0,192.0,18.709677,-4.860350599999999,0.9009163
14,8.0,1713.0,Luxembourg,0.9399233460426331,Q32,Geography.Geographical,74.0,35563.115553548785,134.0,19.0,0.0,30.32258,-12.631236999999999,-9.442558
