,Main_Topics,Higher_Weighted_Article
0,Films (0.1) / Media* (0.1) / Literature (0.06) ,Casino Royale (roman) (69)
1,Media* (0.09) / Films (0.05) / Performing_arts (0.04) ,Yakuza (film) (154)
2,Society (0.08) / Military_and_warfare (0.06) / History (0.04) ,Îles Kouriles (79)
3,Sports (0.25) / Visual_arts* (0.01) / Business_and_economics (0.01) ,Équipe de Suisse de football (1197)
4,Technology (0.07) / Engineering (0.05) / Media* (0.06) ,IPhone XS (74)
5,Media* (0.09) / Films (0.05) / Literature (0.03) ,"Le Magnifique (film, 1973) (243)"
6,Media* (0.06) / Politics_and_government (0.09) / Military_and_warfare (0.07) ,The New York Times (240)
7,Sports (0.23) / Media* (0.01) / Television (0.01) ,Gaëtane Thiney (471)
8,Sports (0.28) / Biography* (0.18) / Western_Europe (0.14) ,Nicolas Mahut (272)
9,Politics_and_government (0.13) / Sports (0.02) / Media* (0.02) ,François de Rugy (789)
10,Media* (0.14) / Literature (0.07) / Visual_arts* (0.06) ,Mac Miller (164)
11,Military_and_warfare (0.06) / Politics_and_government (0.06) / Society (0.04) ,Paul Aussaresses (242)
12,Media* (0.09) / Films (0.03) / History (0.04) ,Pouic-Pouic (79)
13,Politics_and_government (0.11) / Society (0.05) / Military_and_warfare (0.04) ,Élections législatives suédoises de 2014 (320)
14,Sports (0.17) / Politics_and_government (0.02) / Business_and_economics (0.03) ,Martina Navrátilová (320)
15,Sports (0.24) / Media* (0.02) / Politics_and_government (0.01) ,Ronald Koeman (388)
16,Politics_and_government (0.08) / Visual_arts* (0.06) / History (0.04) ,Vol American Airlines 11 (443)
17,Sports (0.3) / Business_and_economics (0.01) / Engineering (0.01) ,Williams F1 Team (257)
18,Military_and_warfare (0.15) / Transportation (0.13) / Engineering (0.09) ,Dornier Do J (58)
19,Media* (0.06) / Medicine_&_Health (0.04) / Films (0.02) ,La Princesse de Montpensier (film) (53)
20,Media* (0.13) / Television (0.05) / Films (0.02) ,Les Enfants de la télé (France) (279)
21,Media* (0.16) / Music (0.11) / Entertainment (0.01) ,Discographie de Rachid Taha (474)
22,Media* (0.17) / Television (0.06) / Films (0.04) ,Burt Reynolds (231)
23,Sports (0.23) / Media* (0.01) / Business_and_economics (0.01) ,Championnat de France de rugby à XV (310)
24,Media* (0.06) / Sports (0.07) / Films (0.05) ,"Riri, Fifi et Loulou (14)"
25,Media* (0.21) / Films (0.07) / Literature (0.1) ,Conan le Barbare (film) (29)
