,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1004,Espéranto,23,12.8125,0,164,49,-5.570476,7.649981,1004,2,1,44560.0
7490,Dakota_du_Sud,3,24.0625,192,192,192,3.1262348,4.8676286,7490,6,5,28379.5
7545,Maryland,3,18.4375,192,192,192,-6.8982368,7.7248363,7545,4,5,3455.0
8338,City_Hunter,17,18.4375,192,192,192,9.734305,16.181738,8338,4,14,0.0
9407,Nauru,3,15.625,192,192,192,15.628523,-3.2695293,9407,3,5,3453.0
9462,États_fédérés_de_Micronésie,3,21.25,192,192,192,-2.0884109,20.75716,9462,5,5,17101.0
9599,Élisabeth_Guigou,27,10.0,192,192,192,-9.867503,-4.127359,9599,1,2,0.0
9836,Ryô_Saeba,17,18.4375,192,192,192,18.592014,-14.474599,9836,4,14,0.0
9839,Kaori_Makimura,17,18.4375,192,192,192,15.418453,4.540322,9839,4,14,0.0
9863,Umibôzu_(City_Hunter),17,18.4375,192,192,192,1.0399675,-8.781592,9863,4,14,0.0
11782,François_Cavanna,9,26.875,0,168,183,9.136578,9.8539505,11782,7,6,50732.94251435818
13315,Maurice_Druon,8,21.25,60,163,0,19.827711,4.412953,13315,5,4,10543.461063884632
13892,Max_Jacob,21,18.4375,253,0,107,16.577267,-22.981136,13892,4,14,5255.86519460072
17598,Édouard_Herriot,0,21.25,54,124,233,20.478626,-8.879535,17598,5,2,688.8819928337332
23409,Francisque_Collomb,0,15.625,54,124,233,22.644484,-14.614062,23409,3,2,0.0
23410,Michel_Noir,0,15.625,54,124,233,-24.704546,20.882595,23410,3,2,0.0
27555,Open_de_France,5,40.9375,152,129,0,-0.28235668,18.509233,27555,12,10,67979.38422228744
27824,Épicure,11,10.0,0,126,172,5.403721,-8.673583,27824,1,11,0.0
28013,Emmanuelle_Béart,21,18.4375,253,0,107,-5.2462463,-8.65591,28013,4,14,4604.0
28189,Laurent_Jalabert,10,32.5,0,134,74,3.750742,16.983221,28189,9,16,1502.979166666651
33318,Philippe_Geluck,9,21.25,0,168,183,-24.020144,2.4212084,33318,5,6,30289.024191728207
34425,Roland_Dumas,27,18.4375,192,192,192,-24.24209,12.105523,34425,4,2,3456.0
37008,Jacques_Villeneuve,24,15.625,0,157,116,15.328772,-21.908657,37008,3,18,557.8604644192419
38929,Tonie_Marshall,12,12.8125,175,95,13,-21.014389,-4.9298496,38929,2,9,3293.559827753945
39095,Machine_à_écrire,11,18.4375,0,126,172,-22.821413,19.94715,39095,4,11,2305.0
40371,Rio_de_Janeiro,18,32.5,114,121,10,-20.158014,-13.585498,40371,9,19,28859.998166539328
41438,Mylène_Demongeot,8,10.0,60,163,0,10.298809,16.971682,41438,1,4,0.0
42488,Bernard_Le_Coq,8,15.625,60,163,0,3.154731,-13.655641,42488,3,4,8529.19897124166
42703,Maria_Schneider_(actrice),22,21.25,0,134,135,19.283426,-16.492409,42703,5,8,16013.0
42706,Daniel_Duval,22,18.4375,0,134,135,-4.557671,-17.851898,42706,4,8,43487.55091300744
43865,Sophie_Daumier,8,21.25,60,163,0,13.326238,6.4202275,43865,5,4,2301.1413907243054
43866,Danielle_Darrieux,8,32.5,60,163,0,1.2733836,4.872977,43866,9,4,48100.5008751306
43889,Caroline_Cellier,8,15.625,60,163,0,4.802451,3.047529,43889,3,4,368.0501238957123
43897,Danièle_Delorme,9,18.4375,0,168,183,14.617156,9.03476,43897,4,6,22364.363806040143
43899,Un_éléphant_ça_trompe_énormément,9,12.8125,0,168,183,16.992426,23.454725,43899,2,6,0.0
43912,Jean_Poiret,8,35.3125,60,163,0,19.199713,-1.0121803,43912,10,4,2195.152735742703
44028,Robert_Dalban,8,10.0,60,163,0,2.3596876,-14.347779,44028,1,4,0.0
44069,Capri,1,10.0,192,192,192,8.160628,-24.959576,44069,1,15,0.0
44797,Hara-Kiri_(journal),9,18.4375,0,168,183,8.05782,8.060967,44797,4,6,19809.52457904901
45451,Robert_Bresson,22,10.0,0,134,135,-14.886831,-3.3499992,45451,1,8,0.0
45519,Marxisme,21,24.0625,253,0,107,-24.043608,2.1115756,45519,6,14,11344.237161449655
46132,Marxisme-léninisme,21,15.625,253,0,107,9.474462,-14.234607,46132,3,14,7420.4871614496715
46170,Opération_Market_Garden,0,10.0,54,124,233,14.818494,21.694761,46170,1,2,0.0
46479,Rufus,6,10.0,192,192,192,10.627772,-24.021416,46479,1,6,0.0
48030,Emmy_Awards,23,24.0625,0,164,49,0.97117347,1.6141918,48030,6,1,22777.0
49827,Patrice_Leconte,9,38.125,0,168,183,3.618004,-15.369403,49827,11,6,132362.8236397016
50069,Groupe_union_défense,8,10.0,60,163,0,-7.438769,-21.718004,50069,1,4,0.0
50178,Marion_Vernoux,22,18.4375,0,134,135,15.284397,-11.863667,50178,4,8,41176.116921703426
50679,Marc-Vivien_Foé,2,10.0,235,94,0,8.720204,-18.15417,50679,1,0,0.0
50907,Nouvelle-Guinée,3,15.625,192,192,192,13.983796,-3.0152502,50907,3,5,8029.0
55961,Claude_Sautet,8,60.625,60,163,0,-23.026152,-13.702977,55961,19,4,41300.11730794392
55999,Míkis_Theodorákis,14,21.25,235,44,170,1.4343421,4.8500304,55999,5,7,1441.25
58136,Podium_(film),12,15.625,175,95,13,19.2519,-5.0807867,58136,3,9,9184.0
58355,Garges-lès-Gonesse,5,10.0,152,129,0,18.505486,-6.9260116,58355,1,10,0.0
58392,Zone_libre,0,29.6875,54,124,233,20.5209,12.287847,58392,8,2,11741.986148359845
64310,Philippe_Henriot,0,21.25,54,124,233,14.713564,-21.01661,64310,5,2,255.59680243871418
65216,Bernardo_Bertolucci,22,21.25,0,134,135,-21.486603,6.534265,65216,5,8,8044.0
66044,Robert_Charlebois,19,10.0,193,77,88,-11.167042,8.923197,66044,1,9,0.0
66244,Hapax,11,10.0,0,126,172,0.9705172,-19.609852,66244,1,11,0.0
67158,Julien_Duvivier,14,15.625,235,44,170,11.2494,7.4272327,67158,3,7,1630.8825522516734
67488,Jérôme_Bosch,26,12.8125,192,192,192,-23.220665,16.451128,67488,2,21,0.0
67578,Georges_Feydeau,4,43.75,0,148,245,0.93202496,-21.004799,67578,13,13,197364.66621692138
68056,Dornier_Do_335,4,24.0625,0,148,245,-4.3217297,-11.172107,68056,6,13,287.5
68322,John_Cassavetes,11,12.8125,0,126,172,-23.105185,-11.675811,68322,2,11,2304.0
68443,Les_Choses_de_la_vie,8,24.0625,60,163,0,5.7688713,9.101257,68443,6,4,3943.1557892299593
72016,République_sociale_italienne,0,10.0,54,124,233,-8.128249,-1.4743412,72016,1,2,0.0
72766,Paul_Guimard,8,12.8125,60,163,0,18.671503,-19.505735,72766,2,4,1153.0
74022,Alexandre_Jardin,4,15.625,0,148,245,16.604513,-14.168763,74022,3,4,157555.13340329344
76566,Marcel_Dassault,0,43.75,54,124,233,-19.82713,0.81182605,76566,13,2,65683.96791910347
76597,Le_Chambon-sur-Lignon,0,21.25,54,124,233,-12.249233,-11.409921,76597,5,2,0.0
77603,Micronésie_(région),3,18.4375,192,192,192,-24.636276,6.108691,77603,4,5,4598.0
78008,Coupe_de_la_Ligue_anglaise_de_football,19,29.6875,193,77,88,-10.811062,8.036783,78008,8,3,14914.001464660216
78742,Jerry_Lee_Lewis,1,12.8125,192,192,192,8.077191,9.870443,78742,2,15,0.0
80464,Olympique_Gymnaste_Club_Nice,19,83.125,193,77,88,-12.013781,14.327355,80464,27,12,80907.37910246836
81806,Étienne_Roda-Gil,12,10.0,175,95,13,-21.443996,10.652427,81806,1,9,0.0
84536,Francis_Veber,14,12.8125,235,44,170,0.61676794,3.1770294,84536,2,7,14263.424476883676
85247,Darry_Cowl,8,24.0625,60,163,0,17.541632,1.2756758,85247,6,4,2897.5710807602754
85877,MASH_(film),6,10.0,192,192,192,-21.37124,10.286323,85877,1,6,0.0
85880,Philippe_Gildas,9,26.875,0,168,183,20.150354,18.6416,85880,7,6,206694.26862460515
86935,Bois-le-Duc,26,15.625,192,192,192,-8.452193,19.504663,86935,3,21,2304.0
90564,Jean-Louis_Murat,12,21.25,175,95,13,4.1973295,-7.7514358,90564,5,9,11704.717116729485
90963,Jean-Marie_Poiré,25,55.0,255,42,47,-1.7811035,1.6031777,90963,17,13,36996.6568675833
90986,Georges_de_Caunes,8,10.0,60,163,0,-23.751938,8.321384,90986,1,4,0.0
93504,Coline_Serreau,15,21.25,153,96,160,-3.2494884,-8.348601,93504,5,13,6897.0
94038,Un_homme_et_une_femme,6,32.5,192,192,192,-17.101505,8.089918,94038,9,6,13638.831495405115
95173,Francis_Lai,6,18.4375,192,192,192,19.0895,-11.05631,95173,4,6,1153.0
95558,Multilatéralisme,21,10.0,253,0,107,-1.097235,3.3148096,95558,1,14,0.0
96035,La_Canonnière_du_Yang-Tsé,14,10.0,235,44,170,-23.427778,0.5760077,96035,1,7,0.0
97176,Alessandra_Martines,1,46.5625,192,192,192,-0.4265599,7.1841326,97176,14,15,0.0
98330,Souad_Amidou,9,12.8125,0,168,183,8.109771,-16.027845,98330,2,6,3466.233333333343
100013,Jacques_Offenbach,12,21.25,175,95,13,-14.419174,9.013685,100013,5,9,24342.739707741166
100676,Émile_Waldteufel,12,10.0,175,95,13,8.205456,-22.121208,100676,1,9,0.0
