,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,2.0,1004.0,Espéranto,23.0,0.9626831412315369,Q143,Culture.Linguistics,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
1,2.0,1004.0,Espéranto,23.0,0.20690405368804932,Q143,History_and_Society.Society,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
2,2.0,1004.0,Espéranto,23.0,0.18714269995689392,Q143,Culture.Philosophy_and_religion,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
3,2.0,1004.0,Espéranto,23.0,0.12146936559677124,Q143,Geography.Regions.Europe.Europe*,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
4,2.0,1004.0,Espéranto,23.0,0.10375863313674927,Q143,History_and_Society.History,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
5,2.0,1004.0,Espéranto,23.0,0.0,Q143,Geography.Regions.Europe.Eastern_Europe,49.0,44560.0,164.0,1.0,0.0,12.8125,-5.570476,7.6499809999999995
6,6.0,7490.0,Dakota du Sud,3.0,0.3276783227920532,Q1211,Geography.Regions.Americas.North_America,192.0,28379.5,192.0,5.0,192.0,24.0625,3.1262347999999998,4.867628599999999
7,6.0,7490.0,Dakota du Sud,3.0,0.21207880973815918,Q1211,Geography.Geographical,192.0,28379.5,192.0,5.0,192.0,24.0625,3.1262347999999998,4.867628599999999
8,4.0,7545.0,Maryland,3.0,0.8933194279670715,Q1391,Geography.Regions.Americas.North_America,192.0,3455.0,192.0,5.0,192.0,18.4375,-6.8982368,7.7248363
9,4.0,7545.0,Maryland,3.0,0.5775054097175598,Q1391,Geography.Geographical,192.0,3455.0,192.0,5.0,192.0,18.4375,-6.8982368,7.7248363
10,4.0,8338.0,City Hunter,17.0,1.0000100135803223,Q714064,Culture.Visual_arts.Comics_and_Anime,192.0,0.0,192.0,14.0,192.0,18.4375,9.734305,16.181738
11,4.0,8338.0,City Hunter,17.0,0.9995517134666443,Q714064,Culture.Visual_arts.Visual_arts*,192.0,0.0,192.0,14.0,192.0,18.4375,9.734305,16.181738
12,4.0,8338.0,City Hunter,17.0,0.9991804361343384,Q714064,Culture.Literature,192.0,0.0,192.0,14.0,192.0,18.4375,9.734305,16.181738
13,4.0,8338.0,City Hunter,17.0,0.3923468291759491,Q714064,Culture.Media.Television,192.0,0.0,192.0,14.0,192.0,18.4375,9.734305,16.181738
14,4.0,8338.0,City Hunter,17.0,0.3415925204753876,Q714064,Culture.Media.Media*,192.0,0.0,192.0,14.0,192.0,18.4375,9.734305,16.181738
15,3.0,9407.0,Nauru,3.0,0.9732507467269897,Q697,Geography.Geographical,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
16,3.0,9407.0,Nauru,3.0,0.607673168182373,Q697,Geography.Regions.Oceania,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
17,3.0,9407.0,Nauru,3.0,0.3629792034626007,Q697,Geography.Regions.Europe.Europe*,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
18,3.0,9407.0,Nauru,3.0,0.1520422399044037,Q697,Geography.Regions.Asia.Asia*,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
19,3.0,9407.0,Nauru,3.0,0.14805719256401062,Q697,History_and_Society.Society,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
20,3.0,9407.0,Nauru,3.0,0.1067005917429924,Q697,Geography.Regions.Americas.Central_America,192.0,3453.0,192.0,5.0,192.0,15.625,15.628523000000001,-3.2695293
21,5.0,9462.0,États fédérés de Micronésie,3.0,0.9916942119598389,Q702,Geography.Geographical,192.0,17101.0,192.0,5.0,192.0,21.25,-2.0884109,20.75716
22,5.0,9462.0,États fédérés de Micronésie,3.0,0.7186043858528137,Q702,Geography.Regions.Oceania,192.0,17101.0,192.0,5.0,192.0,21.25,-2.0884109,20.75716
23,5.0,9462.0,États fédérés de Micronésie,3.0,0.11280541121959686,Q702,Geography.Regions.Asia.Asia*,192.0,17101.0,192.0,5.0,192.0,21.25,-2.0884109,20.75716
24,1.0,9599.0,Élisabeth Guigou,27.0,0.9995927214622498,Q274689,Culture.Biography.Biography*,192.0,0.0,192.0,2.0,192.0,10.0,-9.867503,-4.127358999999999
25,1.0,9599.0,Élisabeth Guigou,27.0,0.7663036584854126,Q274689,Culture.Biography.Women,192.0,0.0,192.0,2.0,192.0,10.0,-9.867503,-4.127358999999999
26,1.0,9599.0,Élisabeth Guigou,27.0,0.5775054097175598,Q274689,History_and_Society.Politics_and_government,192.0,0.0,192.0,2.0,192.0,10.0,-9.867503,-4.127358999999999
27,1.0,9599.0,Élisabeth Guigou,27.0,0.4687954058647156,Q274689,Geography.Regions.Europe.Western_Europe,192.0,0.0,192.0,2.0,192.0,10.0,-9.867503,-4.127358999999999
28,1.0,9599.0,Élisabeth Guigou,27.0,0.4605437984466553,Q274689,Geography.Regions.Europe.Europe*,192.0,0.0,192.0,2.0,192.0,10.0,-9.867503,-4.127358999999999
29,4.0,9836.0,Ryô Saeba,17.0,0.8031837940216064,Q3454058,Culture.Media.Media*,192.0,0.0,192.0,14.0,192.0,18.4375,18.592014000000002,-14.474599
30,4.0,9836.0,Ryô Saeba,17.0,0.35867373847961426,Q3454058,Geography.Regions.Asia.East_Asia,192.0,0.0,192.0,14.0,192.0,18.4375,18.592014000000002,-14.474599
31,4.0,9836.0,Ryô Saeba,17.0,0.30707721614837646,Q3454058,Geography.Regions.Asia.Asia*,192.0,0.0,192.0,14.0,192.0,18.4375,18.592014000000002,-14.474599
32,4.0,9836.0,Ryô Saeba,17.0,0.21734751760959625,Q3454058,Culture.Literature,192.0,0.0,192.0,14.0,192.0,18.4375,18.592014000000002,-14.474599
33,4.0,9839.0,Kaori Makimura,17.0,1.0000100135803223,Q766827,Culture.Literature,192.0,0.0,192.0,14.0,192.0,18.4375,15.418453,4.540322
34,4.0,9839.0,Kaori Makimura,17.0,0.4225146472454071,Q766827,Culture.Biography.Women,192.0,0.0,192.0,14.0,192.0,18.4375,15.418453,4.540322
35,4.0,9839.0,Kaori Makimura,17.0,0.3415925204753876,Q766827,Culture.Visual_arts.Visual_arts*,192.0,0.0,192.0,14.0,192.0,18.4375,15.418453,4.540322
36,4.0,9839.0,Kaori Makimura,17.0,0.16886694729328156,Q766827,Culture.Visual_arts.Comics_and_Anime,192.0,0.0,192.0,14.0,192.0,18.4375,15.418453,4.540322
37,4.0,9863.0,Umibôzu (City Hunter),17.0,0.754925012588501,Q4003531,Culture.Literature,192.0,0.0,192.0,14.0,192.0,18.4375,1.0399675,-8.781592
38,4.0,9863.0,Umibôzu (City Hunter),17.0,0.1732981950044632,Q4003531,Culture.Visual_arts.Comics_and_Anime,192.0,0.0,192.0,14.0,192.0,18.4375,1.0399675,-8.781592
39,4.0,9863.0,Umibôzu (City Hunter),17.0,0.16452647745609283,Q4003531,Culture.Media.Media*,192.0,0.0,192.0,14.0,192.0,18.4375,1.0399675,-8.781592
40,7.0,11782.0,François Cavanna,9.0,0.9969346523284912,Q324820,Culture.Biography.Biography*,183.0,50732.94251435818,168.0,6.0,0.0,26.875,9.136578,9.8539505
41,7.0,11782.0,François Cavanna,9.0,0.3998216390609741,Q324820,Culture.Media.Media*,183.0,50732.94251435818,168.0,6.0,0.0,26.875,9.136578,9.8539505
