,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
53,Arménie,18,35.714287,193,77,88,11.572415,18.158169,53,31,3,146366.182971155,Q399
273,Arménien,18,23.714287,193,77,88,-3.3540545,22.663908,273,17,3,32075.642562115783,Q8785
2346,Prix Nobel de chimie,15,19.428572,0,134,135,5.092757,-6.174616,2346,12,9,3418.356219118096,Q44585
2442,Phosphore,15,10.857142,0,134,135,-10.072848,12.752747,2442,2,9,1345.0,Q674
3120,Var (département),1,17.714287,235,94,0,-22.743174,-8.5528345,3120,10,8,53838.1632375769,Q12789
7489,Dakota du Nord,4,11.714286,0,126,172,-3.5856812,1.3066876,7489,3,2,49149.068985435246,Q1207
7490,Dakota du Sud,4,15.142857,0,126,172,-5.875222,12.687117,7490,7,2,125547.20178578961,Q1211
7545,Maryland,4,15.142857,0,126,172,2.929907,23.397373,7545,7,2,135251.4873036269,Q1391
7583,Oklahoma,4,14.285714,0,126,172,7.0809546,-14.483159,7583,6,2,15702.269918771957,Q1649
9366,Julien Dray,10,10.857142,114,121,10,20.230482,15.64888,9366,2,14,4029.0,Q3189473
9989,François Lamy,1,10.0,235,94,0,12.178045,-24.557272,9989,1,8,0.0,Q560944
10182,Victoires de la musique,18,16.0,193,77,88,2.3886483,9.314033,10182,8,3,6142.917761678325,Q2445029
12059,Étienne Chatiliez,12,12.571428,60,163,0,-0.33479583,13.57632,12059,4,5,2016.5,Q289512
12123,Georges Lautner,6,18.571428,255,42,47,13.885867,-17.518656,12123,11,13,97909.77140707539,Q1351715
12587,Magdebourg,4,10.857142,0,126,172,20.537458,-9.810476,12587,2,2,1345.0,Q1733
13138,Carcassonne,1,20.285713,235,94,0,2.141964,-13.9439945,13138,13,8,16755.48957446054,Q6582
13939,Simetierre (roman),16,10.0,152,129,0,-7.70285,12.020119,13939,1,6,0.0,Q742226
14268,Lanceur (astronautique),11,14.285714,175,95,13,22.584124,-12.169388,14268,6,11,10919.357366501325,Q697175
14397,Gibraltar,14,14.285714,0,134,74,5.593043,24.183039,14397,6,4,9392.0,Q1410
14837,Partis politiques belges,8,24.57143,153,96,160,13.404213,7.796676,14837,18,7,2767.4940085803373,Q792375
14839,Ecolo,8,31.428572,153,96,160,-22.740725,-3.0057395,14839,26,7,12175.491861796381,Q655611
15327,Édouard III,1,12.571428,235,94,0,15.65085,16.592882,15327,4,8,24658.371955053022,Q129247
16934,Moruroa,5,12.571428,235,44,170,13.939285,-22.51979,16934,4,5,1.0,Q318446
17270,Politique en Allemagne,8,13.428572,153,96,160,-2.354007,-12.246191,17270,5,7,0.0,Q159493
17424,IIe concile œcuménique du Vatican,1,13.428572,235,94,0,13.360811,0.28572288,17424,5,8,6075.813336703092,Q169789
17791,Robert Guédiguian,18,13.428572,193,77,88,-10.301871,6.6010165,17791,5,3,3458.1329216702593,Q718596
17824,Alliance 90 / Les Verts,8,15.142857,153,96,160,-16.456638,20.317877,17824,7,7,5863.589832776107,Q49766
18718,Spectre,16,10.857142,152,129,0,-18.05848,-1.1234121,18718,2,6,0.0,Q11471034
19250,Schaerbeek,8,23.714287,153,96,160,22.979555,15.935137,19250,17,7,23920.130380081766,Q12887
20890,Vaison-la-Romaine,1,10.0,235,94,0,19.917362,-4.198742,20890,1,8,0.0,Q504887
22205,Ergot du seigle,5,10.857142,235,44,170,14.078005,20.432549,22205,2,13,0.0,Q217227
23504,Total Recall,5,10.0,235,44,170,-19.69437,-0.62274307,23504,1,5,0.0,Q222018
24701,Saint-Sulpice (Vaud),18,10.0,193,77,88,-15.636911,12.041547,24701,1,3,0.0,Q68019
24935,Louis Pasteur,3,12.571428,0,160,220,22.521667,-4.538189,24935,4,12,2688.9999999999995,Q529
25538,César du meilleur film,18,13.428572,193,77,88,11.45229,20.746023,25538,5,3,4036.0,Q645595
28189,Laurent Jalabert,10,16.0,114,121,10,0.8185024,-16.008867,28189,8,14,8047.91666666667,Q13485
29526,Ethel et Julius Rosenberg,13,12.571428,253,0,107,5.3181744,-23.677094,29526,4,15,5370.0,Q769097
29559,United States Air Force,11,12.571428,175,95,13,9.526229,8.050345,29559,4,11,18925.187170499215,Q11223
29747,Charlotte Rampling,0,10.857142,0,164,49,13.323061,-12.577471,29747,2,1,52101.66061290491,Q234679
30417,Aurore Clément,12,10.857142,60,163,0,-18.178808,-21.997679,30417,2,5,736.6622243266296,Q136221
35092,Jean-Marc Reiser,12,10.857142,60,163,0,-10.129752,-3.1702,35092,2,5,1345.0,Q707328
38928,Micheline Presle,18,15.142857,193,77,88,14.532402,21.066349,38928,7,3,8128.726379176382,Q446235
40363,Willis Tower,12,10.857142,60,163,0,-6.066032,15.435522,40363,2,5,1345.0,Q29294
40728,Force ouvrière,13,10.857142,253,0,107,-3.1333132,-18.921467,40728,2,15,1345.0,Q1125623
41343,Génocide arménien,18,22.857143,193,77,88,-10.078869,7.042244,41343,16,3,11507.300839975784,Q80034
