,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,3.0,1668.0,Kanji,13.0,0.9381340146064758,Q82772,Culture.Linguistics,107.0,4399.999999999998,0.0,17.0,253.0,12.307692999999999,15.642170000000002,5.252994999999999,1.0,36.0,0.027777777777777776,Linguistics,Culture,2.8144020438194275,39.8451514095068,0.0706334884988774
1,1.0,2175.0,Noël Mamère,16.0,0.4921981394290924,Q965109,History_and_Society.Politics_and_government,160.0,0.0,96.0,12.0,153.0,10.0,19.00013,-14.803636,12.0,262.0,0.04580152671755725,Politics_and_government,History_and_Society,5.906377673149109,5054.458756268024,0.0011685480004806888
2,2.0,4813.0,Kirghizistan,7.0,0.12253321707248688,Q813,History_and_Society.Politics_and_government,47.0,1103.0,42.0,2.0,255.0,11.153846000000001,-23.728676,-2.896586,3.0,267.0,0.011235955056179777,Politics_and_government,History_and_Society,0.7351993024349213,3072.6773515343666,0.00023926993248015235
3,6.0,5073.0,Paul VI,6.0,0.9241518378257751,Q16975,Culture.Philosophy_and_religion,0.0,1469.10000000002,129.0,16.0,152.0,15.769232,3.840822,0.071065396,19.0,315.0,0.060317460317460325,Philosophy_and_religion,Culture,105.35330951213837,2369.149369902909,0.04446883377237455
4,8.0,5074.0,Jean XXIII,6.0,0.9344051480293274,Q23873,Culture.Philosophy_and_religion,0.0,16762.74999999993,129.0,16.0,152.0,18.076923,-9.019573,-10.458631,19.0,315.0,0.060317460317460325,Philosophy_and_religion,Culture,142.02958250045774,2369.149369902909,0.059949610735720874
5,8.0,7490.0,Dakota du Sud,6.0,0.3276783227920532,Q1211,Geography.Regions.Americas.North_America,0.0,27438.096249960352,129.0,16.0,152.0,18.076923,15.040583999999999,-8.50398,28.0,315.0,0.08888888888888889,North_America,Geography,0.0,2369.149369902909,0.0
6,7.0,7559.0,Nebraska,6.0,0.8354935646057129,Q1553,Geography.Regions.Americas.North_America,0.0,25619.199653606982,129.0,16.0,152.0,16.923077,-19.003548000000002,-9.080069,28.0,315.0,0.08888888888888889,North_America,Geography,0.0,2369.149369902909,0.0
7,14.0,9218.0,Polynésie française,7.0,0.9697954058647156,Q30971,Geography.Geographical,47.0,8209.239431401324,42.0,14.0,255.0,25.0,10.265317999999999,0.07560781,7.0,85.0,0.08235294117647059,Geographical,Geography,0.0,80.95023231208323,0.0
8,10.0,9969.0,Chambéry,8.0,0.9825675487518308,Q165090,Geography.Regions.Europe.Western_Europe,172.0,130234.28377304273,126.0,7.0,0.0,20.384617000000002,-13.583294,3.0749226000000003,33.0,336.0,0.09821428571428573,Western_Europe,Geography,0.0,6889.115771263838,0.0
9,4.0,11932.0,"Aliens, le retour",11.0,0.992888569831848,Q104814,Culture.Media.Media*,13.0,7500.0052096028185,95.0,3.0,175.0,13.461538000000001,-1.6582731,-11.7952385,49.0,335.0,0.14626865671641792,Media*,Culture,194.6061596870422,9818.957924485208,0.019819431062206648
10,3.0,11934.0,"Alien, la résurrection",11.0,0.9976868629455566,Q458314,Culture.Media.Media*,13.0,4931.692177328066,95.0,3.0,175.0,12.307692999999999,-15.37631,8.9959,49.0,335.0,0.14626865671641792,Media*,Culture,146.65996885299685,9818.957924485208,0.014936408729003288
11,2.0,12799.0,Catalan,6.0,0.9777238368988036,Q7026,Culture.Linguistics,0.0,1103.0,129.0,16.0,152.0,11.153846000000001,4.6878605,-14.534206,6.0,315.0,0.01904761904761905,Linguistics,Culture,11.732686042785645,2369.149369902909,0.004952277890045601
