,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,7.0,5.0,Agricoltura,0.5156299471855164,Q11451,History_and_Society.Society,5.0,69949.51854813087,6.0,2183.0,3.6094096302986145,History_and_Society,Society
1,6.0,9.0,Astronomia,0.4532718360424042,Q333,Culture.Philosophy_and_religion,9.0,29603.010541508764,6.0,2473.0,2.719631016254425,Culture,Philosophy_and_religion
2,33.0,45.0,Anni 1920,0.9978272914886476,Q35736,History_and_Society.History,45.0,669800.6393350975,0.0,3831.0,32.92830061912537,History_and_Society,History
3,2.0,310.0,Arcipelago toscano,0.7773098945617676,Q212203,Geography.Regions.Europe.Europe*,310.0,5801.000000000001,4.0,1288.0,0.0,Geography,Europe*
4,1.0,492.0,Anna Maria Pierangeli,0.5234303474426271,Q106988,History_and_Society.History,492.0,0.0,7.0,1462.0,0.5234303474426271,History_and_Society,History
5,7.0,1303.0,Curling,0.9879562258720398,Q136851,Culture.Sports,1303.0,18398.6303458705,14.0,2068.0,6.915693581104279,Culture,Sports
6,4.0,1674.0,Eclittica,0.19194278120994568,Q79852,STEM.Space,1674.0,22932.81575969925,6.0,2799.0,0.7677711248397827,STEM,Space
7,10.0,1680.0,Erminio Macario,0.9955416321754456,Q556400,Culture.Biography.Biography*,1680.0,41636.986789694456,9.0,2025.0,0.0,Culture,Biography*
8,9.0,1756.0,Eriprando Visconti,0.9992306232452391,Q327346,Culture.Biography.Biography*,1756.0,17492.355160460847,9.0,663.0,0.0,Culture,Biography*
9,32.0,1836.0,Famiglia (tassonomia),0.9648651480674744,Q35409,STEM.Biology,1836.0,92362.00711701383,6.0,2831.0,30.87568473815918,STEM,Biology
10,4.0,2183.0,Giulietta Masina,0.6001983880996704,Q106907,History_and_Society.History,2183.0,7550.585762971974,9.0,3865.0,2.4007935523986816,History_and_Society,History
11,3.0,2315.0,Isola del Liri,1.0000100135803225,Q116948,Geography.Regions.Europe.Southern_Europe,2315.0,2963.129948843388,19.0,2471.0,0.0,Geography,Southern_Europe
12,8.0,2348.0,Isabelle Huppert,1.0000100135803225,Q106365,Culture.Biography.Women,2348.0,27715.585421113727,0.0,1669.0,0.0,Culture,Women
13,1.0,2444.0,Jakob Bernoulli,0.989681839942932,Q122392,Culture.Biography.Biography*,2444.0,0.0,5.0,1224.0,0.0,Culture,Biography*
14,20.0,2451.0,Joan Crawford,0.6791887283325195,Q40475,History_and_Society.History,2451.0,71551.95420007782,0.0,2226.0,13.58377456665039,History_and_Society,History
15,1.0,2555.0,Linus Torvalds,0.3702353835105896,Q34253,STEM.Computing,2555.0,0.0,9.0,2166.0,0.3702353835105896,STEM,Computing
16,3.0,2862.0,Massimo Serato,0.9987651705741882,Q698211,Culture.Biography.Biography*,2862.0,12255.87776634295,7.0,2533.0,0.0,Culture,Biography*
17,1.0,3109.0,Ottoni (musica),0.990301549434662,Q180744,Culture.Media.Music,3109.0,0.0,0.0,1347.0,0.990301549434662,Culture,Music
18,19.0,3235.0,Primavera,0.2393593490123749,Q1312,STEM.Earth_and_environment,3235.0,62674.72353434991,6.0,3145.0,4.547827631235124,STEM,Earth_and_environment
19,4.0,3267.0,Patriarca (cristianesimo),0.9481645226478576,Q171692,Culture.Philosophy_and_religion,3267.0,563.4270979860737,7.0,1821.0,3.79265809059143,Culture,Philosophy_and_religion
20,4.0,3319.0,Papa Silvestro I,0.9836069941520692,Q47149,Culture.Philosophy_and_religion,3319.0,10484.157706360429,20.0,7613.0,3.934427976608277,Culture,Philosophy_and_religion
21,12.0,3328.0,Provincia di Viterbo,0.8872146010398865,Q16318,Geography.Regions.Europe.Europe*,3328.0,204681.29094210488,4.0,2335.0,0.0,Geography,Europe*
22,8.0,3355.0,Provincia di Rovigo,0.9219318628311156,Q16270,Geography.Regions.Europe.Europe*,3355.0,12779.429108108101,4.0,1817.0,0.0,Geography,Europe*
23,7.0,3386.0,Provincia di Matera,0.9481645226478576,Q16206,Geography.Regions.Europe.Europe*,3386.0,20791.992814410958,4.0,1566.0,0.0,Geography,Europe*
24,4.0,3886.0,Sabbioneta,1.0000100135803225,Q43014,Geography.Regions.Europe.Europe*,3886.0,0.0,4.0,2488.0,0.0,Geography,Europe*
