,Label,Id,Degree,modularity_class,betweenesscentrality
9,Astronomia,9,20,11,328811.52512174257
315,Agropoli,315,8,4,38324.40240068982
358,Arcevia,358,2,4,323.9865104733389
409,Alfredo_Binda,409,10,16,1124.7797070948568
419,Argon,419,5,11,31309.38786880049
716,Blow_Out,716,4,13,9336.082782686379
722,Bernard_Hinault,722,24,16,36691.15387840741
886,Codice_di_avviamento_postale,886,4,4,2745.6202105145107
1273,Campo_elettromagnetico,1273,4,11,2745.1788209921897
1280,Calendario,1280,12,11,97553.82904713739
1303,Curling,1303,4,11,27902.214979925502
1312,Centro_di_massa,1312,4,11,9864.65751184608
1674,Eclittica,1674,5,11,13724.545836530851
1676,Interazione_elettromagnetica,1676,13,11,63105.121063669685
1680,Erminio_Macario,1680,12,13,48791.451956668825
1721,Edmondo_De_Amicis,1721,10,21,84742.25947981446
1784,Elo,1784,1,10,0.0
1900,Fratelli_Marx,1900,4,13,52020.48924719569
1946,Campionato_mondiale_di_Formula_1_2003,1946,24,15,3760.011879655391
2042,Massiccio_del_Gennargentu,2042,5,0,13162.880576409045
2118,Gastropoda,2118,1,8,0.0
2178,Giro_delle_Fiandre,2178,18,16,13731.004864507076
2262,Ingegneria,2262,12,21,64041.10731863836
2348,Isabelle_Huppert,2348,6,13,96658.67110824693
2382,Isola_di_Ponza,2382,4,4,20860.62975856415
2454,Jacques_Anquetil,2454,19,16,9571.38003453439
2517,Linguistica,2517,7,8,20796.403728976635
2529,Lingua_yiddish,2529,9,4,18176.80764265039
2595,Longitudine,2595,4,11,14562.0
2720,Marco_tedesco,2720,10,10,91360.77244553808
2767,Moda_(statistica),2767,1,1,0.0
2911,Montalcino,2911,8,16,89461.47298801852
2941,Magnitudine_apparente,2941,4,11,660.6754830174367
3111,Ortisei,3111,4,13,17840.167462268528
3210,Pininfarina,3210,17,11,161921.5379260508
3235,Primavera,3235,29,4,317249.31798487494
3262,Probabilità,3262,2,21,3044.0988880783516
3308,Provincia_di_Ferrara,3308,10,4,47523.9178329152
3336,Città_metropolitana_di_Messina,3336,17,4,67530.52940364316
3407,Platyhelminthes,3407,3,8,36390.0
3428,Paul_Dirac,3428,3,11,10823.471774286114
3442,Perielio,3442,4,11,1787.7317583959075
3459,Provincia_di_Latina,3459,24,4,226001.57831927208
3464,Provincia_di_Macerata,3464,11,4,55892.1626732564
3484,Campionati_europei_maschili_di_pallacanestro,3484,23,18,21929.19368955284
3511,Libero_consorzio_comunale_di_Caltanissetta,3511,7,4,14978.592758526567
3526,Pietro_Micca,3526,1,13,0.0
3650,Richard_Stallman,3650,2,22,7282.0
3659,Read_Only_Memory,3659,4,11,5536.873492574562
