,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,9,Astronomia,9,20,11,328811.5251217425,Q333
1,315,Agropoli,315,8,4,38324.40240068982,Q80544
2,358,Arcevia,358,2,4,323.9865104733389,Q123540
3,409,Alfredo Binda,409,10,16,1124.7797070948568,Q318051
4,419,Argon,419,5,11,31309.387868800488,Q696
5,716,Blow Out,716,4,13,9336.082782686379,Q885488
6,722,Bernard Hinault,722,24,16,36691.153878407415,Q109255
7,886,Codice di avviamento postale,886,4,4,2745.620210514511,Q2106214
8,1273,Campo elettromagnetico,1273,4,11,2745.1788209921897,Q177625
9,1280,Calendario,1280,12,11,97553.8290471374,Q12132
10,1303,Curling,1303,4,11,27902.214979925502,Q136851
11,1312,Centro di massa,1312,4,11,9864.657511846079,Q2945123
12,1674,Eclittica,1674,5,11,13724.545836530851,Q79852
13,1676,Interazione elettromagnetica,1676,13,11,63105.121063669685,Q849919
14,1680,Erminio Macario,1680,12,13,48791.451956668825,Q556400
15,1721,Edmondo De Amicis,1721,10,21,84742.25947981446,Q240576
16,1784,Elo,1784,1,10,0.0,Q105955
17,1900,Fratelli Marx,1900,4,13,52020.489247195685,Q64450
18,1946,Campionato mondiale di Formula 1 2003,1946,24,15,3760.011879655391,Q69859
19,2042,Massiccio del Gennargentu,2042,5,0,13162.880576409043,Q955286
20,2118,Gastropoda,2118,1,8,0.0,Q4867740
21,2178,Giro delle Fiandre,2178,18,16,13731.004864507075,Q33970
22,2262,Ingegneria,2262,12,21,64041.10731863836,Q11023
23,2348,Isabelle Huppert,2348,6,13,96658.67110824693,Q106365
24,2382,Isola di Ponza,2382,4,4,20860.62975856415,Q1133295
25,2454,Jacques Anquetil,2454,19,16,9571.380034534392,Q221001
26,2517,Linguistica,2517,7,8,20796.403728976635,Q8162
27,2529,Lingua yiddish,2529,9,4,18176.80764265039,Q8641
28,2595,Longitudine,2595,4,11,14562.0,Q36477
29,2720,Marco tedesco,2720,10,10,91360.77244553807,Q16068
30,2767,Moda (statistica),2767,1,1,0.0,Q188224
31,2911,Montalcino,2911,8,16,89461.47298801852,Q91208
32,2941,Magnitudine apparente,2941,4,11,660.6754830174367,Q124313
33,3111,Ortisei,3111,4,13,17840.167462268528,Q255568
34,3210,Pininfarina,3210,17,11,161921.5379260508,Q40987
35,3235,Primavera,3235,29,4,317249.3179848749,Q1312
36,3262,Probabilità,3262,2,21,3044.098888078352,Q9492
37,3308,Provincia di Ferrara,3308,10,4,47523.9178329152,Q16168
38,3336,Città metropolitana di Messina,3336,17,4,67530.52940364316,Q20991250
39,3407,Platyhelminthes,3407,3,8,36390.0,Q124900
40,3428,Paul Dirac,3428,3,11,10823.471774286114,Q47480
41,3442,Perielio,3442,4,11,1787.7317583959075,Q216807
42,3459,Provincia di Latina,3459,24,4,226001.5783192721,Q16196
43,3464,Provincia di Macerata,3464,11,4,55892.1626732564,Q16203
44,3484,Campionati europei maschili di pallacanestro,3484,23,18,21929.19368955284,Q193141
45,3511,Libero consorzio comunale di Caltanissetta,3511,7,4,14978.592758526567,Q26160410
46,3526,Pietro Micca,3526,1,13,0.0,Q723652
47,3650,Richard Stallman,3650,2,22,7282.0,Q7439
48,3659,Read Only Memory,3659,4,11,5536.873492574562,Q160710
49,3777,Radiazione infrarossa,3777,15,11,188558.22364890907,Q11388
50,3886,Sabbioneta,3886,2,4,3688.069335686897,Q43014
51,3891,Sperlonga,3891,9,4,42965.486166809584,Q128217
52,3985,Scherma (sport),3985,4,18,9859.734689420087,Q12100
53,4142,Teresa di Lisieux,4142,9,4,43964.038881965236,Q181715
54,4625,Giochi della XIV Olimpiade,4625,12,18,6805.4548461943505,Q8403
55,4628,Giochi della XVIII Olimpiade,4628,9,18,0.0,Q8420
56,4629,Giochi della XIX Olimpiade,4629,17,18,29832.569082045717,Q8429
57,4630,Giochi della XX Olimpiade,4630,20,18,45851.69607347169,Q8438
58,4631,Giochi della XXI Olimpiade,4631,25,18,288638.0260624934,Q8444
59,4634,Giochi della XXIV Olimpiade,4634,24,18,174585.70603522842,Q8470
60,4654,Zirconio,4654,3,11,7860.911519212681,Q1038
61,8595,Rat-Man,8595,3,14,9109.232689694374,Q15325
62,8823,Finale Ligure,8823,5,0,39221.251209118156,Q270737
63,8825,Leo Ortolani,8825,5,14,18282.65206520599,Q1395
64,8890,Candela (unità di misura),8890,2,4,1158.9727204798635,Q83216
65,8911,Mecha,8911,9,14,38115.00205667733,Q858784
66,8961,Marsciano,8961,6,4,23612.23749620135,Q20467
67,8966,Gualdo Cattaneo,8966,3,4,1907.6628087107206,Q20453
68,8968,Bevagna,8968,3,4,502.62384788702417,Q20144
69,9168,Provincia di Campobasso,9168,16,4,87482.59101549107,Q16151
70,9181,Provincia di Gorizia,9181,11,4,34165.80135288982,Q16184
71,9188,Provincia di Ravenna,9188,9,4,73616.77478301886,Q16252
72,9275,Provincia della Spezia,9275,13,4,51425.55974618167,Q16188
73,9461,Dogi della Repubblica di Venezia,9461,5,4,4.349206349206349,Q534630
74,9464,Cary Grant,9464,34,13,195024.32822926895,Q83410
75,9473,Le invasioni barbariche,9473,1,10,0.0,Q549012
76,9508,Bacoli,9508,5,21,19112.68522874849,Q71832
77,9518,Carolina Invernizio,9518,1,8,0.0,Q1053258
78,9541,Concesio,9541,3,4,7315.521890354827,Q104074
79,9625,Alberobello,9625,13,4,86222.27153829973,Q51812
80,10148,Bandiera del Sudafrica,10148,1,23,0.0,Q160250
81,10326,Antropocentrismo,10326,1,8,0.0,Q191624
82,10357,Torre Eiffel,10357,3,10,14559.0,Q243
83,10400,Isole del Canale,10400,5,23,9660.27855221999,Q42314
84,10406,François Villon,10406,1,10,0.0,Q849
85,10935,Bandiera della Russia,10935,2,11,0.0,Q16611
86,11063,Lana Turner,11063,3,13,250.88581600504426,Q201034
87,11100,Immacolata Concezione,11100,23,4,124374.77578528119,Q185606
88,11278,Boscotrecase,11278,6,19,16886.541844585427,Q71851
89,11445,Zeppelin,11445,3,1,8686.263488236802,Q191413
90,11489,Raggi cosmici,11489,4,11,14164.230224785386,Q11547
91,11545,Megabyte,11545,7,11,38565.3134800107,Q79735
92,11675,Rapace,11675,3,0,14563.0,Q48428
93,11824,Sicherheitsdienst,11824,11,24,5885.26988711882,Q153559
94,11969,Bandiera della Spagna,11969,3,11,3723.7499028816414,Q121688
95,11983,Berlino Ovest,11983,20,12,187932.8091726617,Q56036
96,11987,Berlino Est,11987,11,12,90070.12504777256,Q56037
97,11992,Carl Barks,11992,3,0,29375.854218351997,Q11941
98,12262,Renato Caccioppoli,12262,1,8,0.0,Q983325
99,12360,Antoon van Dyck,12360,2,2,3464.5635687442355,Q150679
100,12375,Lista delle università in Italia,12375,8,8,32045.355417450235,Q508696
101,12511,Bresso,12511,3,4,7543.544019939691,Q42898
102,12546,Sedriano,12546,3,4,0.0,Q42990
103,12702,Tirolo,12702,2,22,2030.274974265416,Q153809
104,13187,Antenna,13187,6,11,29471.12383090652,Q131214
105,14061,Luftwaffe (Bundeswehr),14061,1,17,0.0,Q56013
106,14087,Rosignano Marittimo,14087,5,11,50705.95601495863,Q157871
107,14092,Senigallia,14092,11,4,125236.07550423685,Q124925
108,14761,Ralf Schumacher,14761,14,15,2650.07724299893,Q75825
109,14803,Bandiera del Messico,14803,2,11,7282.0,Q122462
110,15146,Isola di Montecristo,15146,4,4,41623.90433286598,Q203169
111,15164,Edgar Rice Burroughs,15164,3,19,14562.0,Q148234
112,15304,Daniel Bernoulli,15304,3,21,6723.7228036770175,Q122366
113,15305,Luchino Visconti,15305,55,13,1066285.2746139436,Q13888
114,15348,Camillo Sbarbaro,15348,3,8,0.0,Q585401
115,15507,Afrikaner,15507,10,23,3725.7960946793855,Q385799
116,15528,Gioventù hitleriana,15528,1,17,0.0,Q38791
117,15627,Viminale (colle),15627,2,4,6805.541675390146,Q216085
118,15644,Offensiva del Têt,15644,5,17,11955.450609615193,Q82542
119,16086,Cronologia della guerra del Vietnam,16086,4,17,49.71445143646489,Q3698538
120,16319,Fenomenologia,16319,5,8,9192.458721834666,Q179235
121,16629,Mogadiscio,16629,3,2,356.5959619327671,Q2449
122,16684,Ceglie Messapica,16684,10,4,129735.45359226796,Q51861
123,16686,Compact disc,16686,26,19,368761.2560363764,Q34467
124,17057,Coppa del Mondo di rugby,17057,24,23,60925.538123455175,Q16640
125,17083,Papa Urbano VIII,17083,25,4,76287.40510605242,Q131579
126,17231,Cucina giapponese,17231,2,4,14562.0,Q234138
127,17312,Larghezza di banda,17312,2,11,118.54648599184551,Q249998
128,17413,Lega araba,17413,1,12,0.0,Q7172
129,17485,Digitale (informatica),17485,3,1,24179.732552309946,Q173285
130,17554,Blake Edwards,17554,30,13,205850.0907306457,Q56093
131,17562,Konrad Adenauer,17562,10,10,34328.98472176426,Q2492
132,17592,Lubecca,17592,4,4,16303.671767927672,Q2843
133,17745,Nevermind (Nirvana),17745,2,14,1274.7462382624508,Q17444
134,17797,Giovine Italia,17797,2,21,1415.927639657469,Q938903
135,18233,Esercito,18233,12,4,124341.0821603425,Q37726
136,18359,Assia,18359,11,12,37003.848294721334,Q1199
137,18369,Comunità degli Stati Indipendenti,18369,2,12,7282.0,Q7779
138,18508,Madame de Staël,18508,7,19,55556.61659759584,Q123041
139,18554,Onde radio,18554,12,11,67347.21434121153,Q4262
140,18599,Pixel,18599,11,11,153045.62455813962,Q355198
141,18686,Turingia,18686,6,12,11861.45839717113,Q1205
142,18714,Acqua pesante,18714,6,11,30503.228096930718,Q155890
143,18873,Orbita,18873,7,11,35653.933591527006,Q4130
144,19156,Paolo Uccello,19156,5,4,11463.988122659892,Q192488
145,19297,Novalis,19297,5,19,11254.053334404003,Q60684
146,19462,Papa Benedetto XIV,19462,34,4,218623.7394626743,Q126711
147,19590,Ente Italiano per le Audizioni Radiofoniche,19590,8,13,109730.4289665836,Q3726207
148,19681,Trio Lescano,19681,9,13,69143.61109317858,Q1116583
149,19746,Repubblica Ceca,19746,52,10,1200398.386851492,Q213
150,19888,Johannes Brahms,19888,17,19,90650.55131045124,Q7294
151,19929,Evita (film),19929,1,8,0.0,Q245271
152,19952,Locate di Triulzi,19952,1,4,0.0,Q43008
153,19971,Mediglia,19971,3,4,0.0,Q42420
154,19977,Morimondo,19977,4,4,2277.0827477792027,Q42241
155,20125,Arsenale di Venezia,20125,6,4,5478.314703291673,Q1262248
