modularity_class,Subtopic,Percentage,Count
0,Sports,85.7,78
0,Media*,3.3,3
0,Linguistics,2.2,2
0,Education,1.1,1
0,Films,1.1,1
0,Internet_culture,1.1,1
0,Military_and_warfare,1.1,1
0,Music,1.1,1
0,Performing_arts,1.1,1
0,Society,1.1,1
0,Video_games,1.1,1
1,Sports,75.4,353
1,History,3.8,18
1,Media*,2.8,13
1,Linguistics,2.6,12
1,Politics_and_government,2.6,12
1,Business_and_economics,2.1,10
1,Visual_arts*,1.5,7
1,Military_and_warfare,1.3,6
1,Philosophy_and_religion,1.1,5
1,Europe*,0.9,4
1,Geographical,0.9,4
1,Music,0.6,3
1,Television,0.6,3
1,Literature,0.4,2
1,Architecture,0.4,2
1,Transportation,0.4,2
1,Space,0.4,2
1,South_America,0.2,1
1,Technology,0.2,1
1,Africa*,0.2,1
1,Society,0.2,1
1,STEM*,0.2,1
1,Physics,0.2,1
1,Education,0.2,1
1,Comics_and_Anime,0.2,1
1,Chemistry,0.2,1
1,Western_Europe,0.2,1
2,Media*,37.6,241
2,Films,21.4,137
2,History,19.0,122
2,Performing_arts,4.8,31
2,Literature,4.7,30
2,Music,1.6,10
2,Television,1.6,10
2,Visual_arts*,1.4,9
2,Politics_and_government,1.1,7
2,Philosophy_and_religion,1.1,7
2,Sports,0.9,6
2,Military_and_warfare,0.6,4
2,Southern_Europe,0.6,4
2,Business_and_economics,0.5,3
2,Entertainment,0.5,3
2,North_America,0.3,2
2,Physics,0.3,2
2,STEM*,0.3,2
2,Transportation,0.3,2
2,Central_America,0.2,1
2,Medicine_&_Health,0.2,1
2,Linguistics,0.2,1
2,Food_and_drink,0.2,1
2,Society,0.2,1
2,Fashion,0.2,1
2,Earth_and_environment,0.2,1
2,Computing,0.2,1
2,Western_Europe,0.2,1
3,Sports,23.9,33
3,Media*,14.5,20
3,Literature,11.6,16
3,Films,7.2,10
3,Visual_arts*,5.8,8
3,Politics_and_government,5.1,7
3,Philosophy_and_religion,4.3,6
3,Engineering,3.6,5
3,History,2.9,4
3,Music,2.9,4
3,Performing_arts,2.9,4
3,Transportation,2.2,3
3,Europe*,1.4,2
3,Linguistics,1.4,2
3,Computing,1.4,2
3,Southern_Europe,1.4,2
3,Medicine_&_Health,1.4,2
3,Society,1.4,2
3,Military_and_warfare,0.7,1
3,Fashion,0.7,1
3,Books,0.7,1
3,Education,0.7,1
3,Internet_culture,0.7,1
3,Architecture,0.7,1
4,Media*,42.7,207
4,Films,21.6,105
4,Literature,8.9,43
4,Television,6.6,32
4,Music,3.9,19
4,Performing_arts,2.7,13
4,History,2.5,12
4,Business_and_economics,1.2,6
4,North_America,1.2,6
4,Society,1.0,5
4,Politics_and_government,1.0,5
4,Technology,0.6,3
4,Sports,0.6,3
4,Southern_Europe,0.6,3
4,Military_and_warfare,0.4,2
4,Visual_arts*,0.4,2
4,Western_Europe,0.4,2
4,Books,0.4,2
4,Linguistics,0.4,2
4,Fashion,0.4,2
4,Europe*,0.4,2
4,Medicine_&_Health,0.2,1
4,Internet_culture,0.2,1
4,Geographical,0.2,1
4,Food_and_drink,0.2,1
4,Entertainment,0.2,1
4,Engineering,0.2,1
4,Transportation,0.2,1
4,Comics_and_Anime,0.2,1
4,Architecture,0.2,1
5,Music,27.1,45
5,Performing_arts,12.0,20
5,History,10.8,18
5,Media*,10.2,17
5,Southern_Europe,5.4,9
5,Visual_arts*,4.8,8
5,Politics_and_government,4.8,8
5,Philosophy_and_religion,4.8,8
5,Sports,3.6,6
5,STEM*,2.4,4
5,Linguistics,2.4,4
5,Literature,1.8,3
5,Television,1.2,2
5,Architecture,1.2,2
5,Asia*,1.2,2
5,Military_and_warfare,1.2,2
5,Food_and_drink,0.6,1
5,Films,0.6,1
5,Europe*,0.6,1
5,Technology,0.6,1
5,Entertainment,0.6,1
5,Transportation,0.6,1
5,Business_and_economics,0.6,1
5,Western_Europe,0.6,1
6,Media*,40.3,71
6,Music,27.3,48
6,Television,8.0,14
6,Sports,5.7,10
6,Fashion,2.8,5
6,Films,2.8,5
6,Society,2.3,4
6,Visual_arts*,1.7,3
6,Literature,1.7,3
6,Linguistics,1.1,2
6,Business_and_economics,1.1,2
6,Military_and_warfare,0.6,1
6,Europe*,0.6,1
6,Performing_arts,0.6,1
6,Philosophy_and_religion,0.6,1
6,Politics_and_government,0.6,1
6,STEM*,0.6,1
6,History,0.6,1
6,Geographical,0.6,1
6,Transportation,0.6,1
7,Philosophy_and_religion,14.2,88
7,History,12.2,76
7,Southern_Europe,10.3,64
7,Visual_arts*,9.3,58
7,Sports,6.9,43
7,Europe*,6.4,40
7,Politics_and_government,4.5,28
7,Media*,4.2,26
7,Military_and_warfare,4.0,25
7,Architecture,3.5,22
7,Society,3.2,20
7,Biology,2.1,13
7,Medicine_&_Health,1.9,12
7,Music,1.6,10
