,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,15.0,270.0,Augusto Pinochet,0.9802908897399902,Q368,Culture.Biography.Biography*,270.0,136625.26799097794,9.0,26042.0
1,15.0,270.0,Augusto Pinochet,0.38492217659950256,Q368,History_and_Society.Military_and_warfare,270.0,136625.26799097794,9.0,26042.0
2,15.0,270.0,Augusto Pinochet,0.3257217874526977,Q368,Geography.Regions.Americas.South_America,270.0,136625.26799097794,9.0,26042.0
3,15.0,270.0,Augusto Pinochet,0.3140605390071869,Q368,History_and_Society.Politics_and_government,270.0,136625.26799097794,9.0,26042.0
4,15.0,270.0,Augusto Pinochet,0.0,Q368,Geography.Regions.Europe.Europe*,270.0,136625.26799097794,9.0,26042.0
5,15.0,270.0,Augusto Pinochet,0.0,Q368,Geography.Regions.Americas.North_America,270.0,136625.26799097794,9.0,26042.0
6,15.0,270.0,Augusto Pinochet,0.0,Q368,Geography.Regions.Europe.Southern_Europe,270.0,136625.26799097794,9.0,26042.0
7,15.0,409.0,Alfredo Binda,0.9982553720474244,Q318051,Culture.Sports,409.0,12359.110423961318,18.0,2538.0
8,15.0,409.0,Alfredo Binda,0.8634016513824463,Q318051,Culture.Biography.Biography*,409.0,12359.110423961318,18.0,2538.0
9,15.0,409.0,Alfredo Binda,0.4904325475692749,Q318051,Geography.Regions.Europe.Southern_Europe,409.0,12359.110423961318,18.0,2538.0
10,15.0,409.0,Alfredo Binda,0.4687954058647156,Q318051,Geography.Regions.Europe.Europe*,409.0,12359.110423961318,18.0,2538.0
11,6.0,419.0,Argon,0.952584147453308,Q696,STEM.STEM*,419.0,25521.00665619205,12.0,3099.0
12,6.0,419.0,Argon,0.8439050912857056,Q696,STEM.Chemistry,419.0,25521.00665619205,12.0,3099.0
13,6.0,419.0,Argon,0.11280541121959685,Q696,Culture.Food_and_drink,419.0,25521.00665619205,12.0,3099.0
14,4.0,497.0,Anguillara Sabazia,1.0000100135803225,Q241693,Geography.Regions.Europe.Southern_Europe,497.0,0.0,7.0,1804.0
15,4.0,497.0,Anguillara Sabazia,0.9991540908813475,Q241693,Geography.Regions.Europe.Europe*,497.0,0.0,7.0,1804.0
16,2.0,501.0,Air France,0.9019306898117064,Q131005,History_and_Society.Transportation,501.0,4627.323757764104,11.0,1861.0
17,2.0,501.0,Air France,0.8991314172744751,Q131005,STEM.Engineering,501.0,4627.323757764104,11.0,1861.0
18,2.0,501.0,Air France,0.8596737384796143,Q131005,STEM.STEM*,501.0,4627.323757764104,11.0,1861.0
19,2.0,501.0,Air France,0.6001983880996704,Q131005,History_and_Society.Business_and_economics,501.0,4627.323757764104,11.0,1861.0
20,2.0,501.0,Air France,0.3301530351638794,Q131005,Geography.Regions.Europe.Western_Europe,501.0,4627.323757764104,11.0,1861.0
21,2.0,501.0,Air France,0.3257217874526977,Q131005,Geography.Regions.Europe.Europe*,501.0,4627.323757764104,11.0,1861.0
22,3.0,566.0,ARPANET,0.8267217874526978,Q177524,STEM.STEM*,566.0,7109.936786332887,12.0,2731.0
23,3.0,566.0,ARPANET,0.38492217659950256,Q177524,STEM.Technology,566.0,7109.936786332887,12.0,2731.0
24,3.0,566.0,ARPANET,0.2568419873714447,Q177524,History_and_Society.Military_and_warfare,566.0,7109.936786332887,12.0,2731.0
25,3.0,566.0,ARPANET,0.19194278120994568,Q177524,STEM.Computing,566.0,7109.936786332887,12.0,2731.0
26,3.0,566.0,ARPANET,0.0,Q177524,Geography.Regions.Americas.North_America,566.0,7109.936786332887,12.0,2731.0
27,3.0,635.0,Botanica,0.974052667617798,Q441,STEM.Biology,635.0,5953.241053391053,12.0,2579.0
28,3.0,635.0,Botanica,0.9433575868606568,Q441,STEM.STEM*,635.0,5953.241053391053,12.0,2579.0
29,3.0,635.0,Botanica,0.18714269995689392,Q441,History_and_Society.Society,635.0,5953.241053391053,12.0,2579.0
30,3.0,635.0,Botanica,0.15611489117145538,Q441,Culture.Philosophy_and_religion,635.0,5953.241053391053,12.0,2579.0
31,11.0,710.0,Bandiera,0.6001983880996704,Q14660,History_and_Society.History,710.0,64540.50430762152,5.0,2609.0
32,11.0,710.0,Bandiera,0.11597072333097458,Q14660,History_and_Society.Politics_and_government,710.0,64540.50430762152,5.0,2609.0
33,2.0,732.0,Baci rubati,0.991162657737732,Q324933,Culture.Media.Media*,732.0,0.9166666666666664,2.0,2164.0
34,2.0,732.0,Baci rubati,0.9893575310707092,Q324933,Culture.Media.Films,732.0,0.9166666666666664,2.0,2164.0
35,2.0,732.0,Baci rubati,0.3344935646057129,Q324933,Geography.Regions.Europe.Western_Europe,732.0,0.9166666666666664,2.0,2164.0
36,2.0,732.0,Baci rubati,0.08411114120483397,Q324933,Geography.Regions.Europe.Europe*,732.0,0.9166666666666664,2.0,2164.0
37,3.0,803.0,Balilla,1.0,Q1177136,Compilation.List_Disambig,803.0,219.62057857246018,10.0,1461.0
38,3.0,803.0,Balilla,0.275139719247818,Q1177136,History_and_Society.Transportation,803.0,219.62057857246018,10.0,1461.0
39,3.0,803.0,Balilla,0.2069040536880493,Q1177136,STEM.STEM*,803.0,219.62057857246018,10.0,1461.0
40,3.0,803.0,Balilla,0.16452647745609286,Q1177136,History_and_Society.Military_and_warfare,803.0,219.62057857246018,10.0,1461.0
41,3.0,803.0,Balilla,0.16027602553367615,Q1177136,Culture.Visual_arts.Visual_arts*,803.0,219.62057857246018,10.0,1461.0
42,3.0,803.0,Balilla,0.1259327530860901,Q1177136,Culture.Visual_arts.Architecture,803.0,219.62057857246018,10.0,1461.0
43,3.0,803.0,Balilla,0.0,Q1177136,Geography.Regions.Asia.Asia*,803.0,219.62057857246018,10.0,1461.0
44,3.0,803.0,Balilla,0.0,Q1177136,Geography.Geographical,803.0,219.62057857246018,10.0,1461.0
45,3.0,803.0,Balilla,0.0,Q1177136,Geography.Regions.Asia.West_Asia,803.0,219.62057857246018,10.0,1461.0
46,3.0,803.0,Balilla,0.0,Q1177136,Geography.Regions.Europe.Europe*,803.0,219.62057857246018,10.0,1461.0
47,3.0,803.0,Balilla,0.0,Q1177136,Geography.Regions.Americas.North_America,803.0,219.62057857246018,10.0,1461.0
48,20.0,827.0,Comitato olimpico nazionale italiano,0.9579222798347472,Q1114833,Culture.Sports,827.0,373876.9459386968,18.0,3522.0
49,20.0,827.0,Comitato olimpico nazionale italiano,0.3415925204753876,Q1114833,History_and_Society.Politics_and_government,827.0,373876.9459386968,18.0,3522.0
50,20.0,827.0,Comitato olimpico nazionale italiano,0.2942249774932861,Q1114833,History_and_Society.Education,827.0,373876.9459386968,18.0,3522.0
51,20.0,827.0,Comitato olimpico nazionale italiano,0.1968362182378769,Q1114833,History_and_Society.Business_and_economics,827.0,373876.9459386968,18.0,3522.0
52,20.0,827.0,Comitato olimpico nazionale italiano,0.12146936559677125,Q1114833,Geography.Regions.Europe.Europe*,827.0,373876.9459386968,18.0,3522.0
53,20.0,827.0,Comitato olimpico nazionale italiano,0.0,Q1114833,Geography.Regions.Europe.Western_Europe,827.0,373876.9459386968,18.0,3522.0
54,20.0,827.0,Comitato olimpico nazionale italiano,0.0,Q1114833,Geography.Regions.Europe.Southern_Europe,827.0,373876.9459386968,18.0,3522.0
55,3.0,886.0,Codice di avviamento postale,1.0,Q2106214,Compilation.List_Disambig,886.0,14355.196768647495,7.0,3095.0
56,3.0,886.0,Codice di avviamento postale,0.23006861114501956,Q2106214,Geography.Regions.Europe.Southern_Europe,886.0,14355.196768647495,7.0,3095.0
57,3.0,886.0,Codice di avviamento postale,0.14323513412475586,Q2106214,Geography.Regions.Europe.Europe*,886.0,14355.196768647495,7.0,3095.0
58,3.0,886.0,Codice di avviamento postale,0.12253321707248688,Q2106214,Culture.Visual_arts.Visual_arts*,886.0,14355.196768647495,7.0,3095.0
59,4.0,1303.0,Curling,0.9879562258720398,Q136851,Culture.Sports,1303.0,11019.703566317232,7.0,2620.0
