,Cluster,Degree,Id,Label,Probability,Qid,Topic,clustering,modularity_class
0,0.0,15.0,55232472.0,2019 CFL season,0.7248802781105042,Q60526029,Culture.Sports,0.285714,19.0
1,0.0,15.0,55232472.0,2019 CFL season,0.0,Q60526029,Geography.Regions.Europe.Europe*,0.285714,19.0
2,0.0,15.0,55232472.0,2019 CFL season,0.0,Q60526029,Geography.Regions.Oceania,0.285714,19.0
3,0.0,15.0,55232472.0,2019 CFL season,0.0,Q60526029,Geography.Regions.Europe.Northern_Europe,0.285714,19.0
4,5.0,1.0,3946242.0,Eimuntas Nekrošius,0.9921941161155701,Q2525451,Culture.Biography.Biography*,0.0,6.0
5,5.0,1.0,3946242.0,Eimuntas Nekrošius,0.47739468717575073,Q2525451,Geography.Regions.Europe.Europe*,0.0,6.0
6,5.0,1.0,3946242.0,Eimuntas Nekrošius,0.4767238368988037,Q2525451,Geography.Regions.Europe.Northern_Europe,0.0,6.0
7,5.0,1.0,3946242.0,Eimuntas Nekrošius,0.1294127255678177,Q2525451,Culture.Performing_arts,0.0,6.0
8,5.0,1.0,3946242.0,Eimuntas Nekrošius,0.10375863313674927,Q2525451,History_and_Society.Military_and_warfare,0.0,6.0
9,0.0,3.0,8161118.0,Bobby Carpenter (American football),0.997894287109375,Q4845743,Culture.Biography.Biography*,0.333333,19.0
10,0.0,3.0,8161118.0,Bobby Carpenter (American football),0.9971204400062561,Q4845743,Culture.Sports,0.333333,19.0
11,0.0,3.0,8161118.0,Bobby Carpenter (American football),0.0068218579292297354,Q4845743,Geography.Regions.Americas.North_America,0.333333,19.0
12,4.0,5.0,51544610.0,Florence Kasumba,0.9976133108139038,Q1429374,Culture.Biography.Biography*,1.0,2.0
13,4.0,5.0,51544610.0,Florence Kasumba,0.8311530351638794,Q1429374,Culture.Biography.Women,1.0,2.0
14,4.0,5.0,51544610.0,Florence Kasumba,0.10088862478733063,Q1429374,Culture.Media.Media*,1.0,2.0
15,4.0,5.0,51544610.0,Florence Kasumba,0.0,Q1429374,Geography.Regions.Europe.Europe*,1.0,2.0
16,4.0,5.0,51544610.0,Florence Kasumba,0.0,Q1429374,Geography.Regions.Europe.Western_Europe,1.0,2.0
17,14.0,13.0,692976.0,Beorhtwulf of Mercia,0.9980832934379578,Q818588,Culture.Biography.Biography*,0.910256,27.0
18,14.0,13.0,692976.0,Beorhtwulf of Mercia,0.9496793746948242,Q818588,History_and_Society.History,0.910256,27.0
19,14.0,13.0,692976.0,Beorhtwulf of Mercia,0.16442059183120727,Q818588,Geography.Regions.Europe.Europe*,0.910256,27.0
20,14.0,13.0,692976.0,Beorhtwulf of Mercia,0.1294127255678177,Q818588,History_and_Society.Military_and_warfare,0.910256,27.0
21,14.0,13.0,692976.0,Beorhtwulf of Mercia,0.12146936559677124,Q818588,Geography.Regions.Europe.Northern_Europe,0.910256,27.0
22,3.0,1.0,50514830.0,Tammy Abraham,0.9942797422409058,Q24050378,Culture.Biography.Biography*,0.0,15.0
23,3.0,1.0,50514830.0,Tammy Abraham,0.9893575310707092,Q24050378,Culture.Sports,0.0,15.0
24,3.0,1.0,50514830.0,Tammy Abraham,0.09919838809967041,Q24050378,Geography.Regions.Europe.Europe*,0.0,15.0
25,3.0,1.0,50514830.0,Tammy Abraham,0.05348043346405029,Q24050378,Geography.Regions.Europe.Northern_Europe,0.0,15.0
26,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,1.0,Q3206285,Compilation.List_Disambig,0.469697,15.0
27,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.994098961353302,Q3206285,History_and_Society.Military_and_warfare,0.469697,15.0
28,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.9659096002578735,Q3206285,History_and_Society.Transportation,0.469697,15.0
29,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.04574816131591797,Q3206285,Geography.Regions.Europe.Europe*,0.469697,15.0
30,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.0,Q3206285,Geography.Regions.Asia.Asia*,0.469697,15.0
31,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.0,Q3206285,Geography.Regions.Europe.Eastern_Europe,0.469697,15.0
32,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.0,Q3206285,Geography.Regions.Europe.Southern_Europe,0.469697,15.0
33,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.0,Q3206285,Geography.Regions.Asia.North_Asia,0.469697,15.0
34,3.0,12.0,14590846.0,List of active Ukrainian Navy ships,0.0,Q3206285,Geography.Regions.Europe.Western_Europe,0.469697,15.0
35,8.0,19.0,38834392.0,ARA San Juan (S-42),0.9980832934379578,Q5653859,History_and_Society.Transportation,0.157895,26.0
36,8.0,19.0,38834392.0,ARA San Juan (S-42),0.9362950325012207,Q5653859,History_and_Society.Military_and_warfare,0.157895,26.0
37,8.0,19.0,38834392.0,ARA San Juan (S-42),0.20182321965694427,Q5653859,Geography.Regions.Americas.South_America,0.157895,26.0
38,4.0,2.0,57089040.0,American Soul,0.979677677154541,Q55080214,Culture.Media.Television,0.0,2.0
39,4.0,2.0,57089040.0,American Soul,0.9724247455596924,Q55080214,Culture.Media.Media*,0.0,2.0
40,5.0,2.0,2648856.0,Jane Eyre (1943 film),0.9919480085372925,Q1217369,Culture.Media.Media*,0.0,6.0
41,5.0,2.0,2648856.0,Jane Eyre (1943 film),0.9871888160705566,Q1217369,Culture.Media.Films,0.0,6.0
42,2.0,1.0,11977166.0,Ilyushin Il-112,1.0000100135803223,Q1982240,History_and_Society.Transportation,0.0,3.0
43,2.0,1.0,11977166.0,Ilyushin Il-112,1.0000100135803223,Q1982240,STEM.STEM*,0.0,3.0
44,2.0,1.0,11977166.0,Ilyushin Il-112,1.0000100135803223,Q1982240,STEM.Engineering,0.0,3.0
45,2.0,1.0,11977166.0,Ilyushin Il-112,0.9921941161155701,Q1982240,History_and_Society.Society,0.0,3.0
46,2.0,1.0,11977166.0,Ilyushin Il-112,0.9324633479118347,Q1982240,History_and_Society.Military_and_warfare,0.0,3.0
47,2.0,1.0,11977166.0,Ilyushin Il-112,0.0,Q1982240,Geography.Regions.Asia.North_Asia,0.0,3.0
48,0.0,3.0,53748336.0,Jonnu Smith,0.9959398508071899,Q29453129,Culture.Biography.Biography*,0.666667,19.0
49,0.0,3.0,53748336.0,Jonnu Smith,0.91965252161026,Q29453129,Culture.Sports,0.666667,19.0
50,0.0,3.0,53748336.0,Jonnu Smith,0.0,Q29453129,Geography.Regions.Americas.North_America,0.666667,19.0
51,2.0,12.0,332134.0,Bill Fagerbakke,0.9993003606796265,Q591238,Culture.Biography.Biography*,1.0,28.0
52,2.0,12.0,332134.0,Bill Fagerbakke,0.1520422399044037,Q591238,Culture.Media.Media*,1.0,28.0
53,2.0,12.0,332134.0,Bill Fagerbakke,0.0,Q591238,Geography.Regions.Americas.North_America,1.0,28.0
54,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.8354935646057129,Q427777,STEM.STEM*,0.13333299999999998,1.0
55,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.538993239402771,Q427777,History_and_Society.History,0.13333299999999998,1.0
56,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.3923468291759491,Q427777,STEM.Technology,0.13333299999999998,1.0
57,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.23371636867523193,Q427777,Culture.Media.Media*,0.13333299999999998,1.0
58,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.12146936559677124,Q427777,Geography.Regions.Asia.East_Asia,0.13333299999999998,1.0
59,7.0,6.0,10444102.0,Science and technology of the Song dynasty,0.0068218579292297354,Q427777,Geography.Regions.Asia.Asia*,0.13333299999999998,1.0
