,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Weight,Main topic,Subtopic
0,2.0,37.0,Столыпинская аграрная реформа,16.0,0.9732507467269896,Q2221926,History_and_Society.Society,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124,7496.0,1.9465014934539793,History_and_Society,Society
1,3.0,105.0,Урбанизация,11.0,0.3629792034626007,Q161078,History_and_Society.Politics_and_government,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227,5759.0,1.0889376103878021,History_and_Society,Politics_and_government
2,2.0,189.0,Аллитерация,17.0,0.4455395638942719,Q484495,Culture.Philosophy_and_religion,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686,3831.0,0.8910791277885438,Culture,Philosophy_and_religion
3,2.0,193.0,Литература,39.0,0.2814156115055084,Q8242,Culture.Philosophy_and_religion,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705,12077.0,0.5628312230110168,Culture,Philosophy_and_religion
4,2.0,447.0,Оксид титана(IV),41.0,0.9659096002578736,Q193521,STEM.Chemistry,153.0,0.0,95.0,8.0,155.0,11.919192,447.0,-2012.9697,-3158.2908,8666.0,1.9318192005157473,STEM,Chemistry
5,5.0,578.0,"Хонеккер, Эрих",30.0,0.9814634323120116,Q2607,Culture.Biography.Biography*,208.0,42500.52067797921,65.0,10.0,227.0,17.676767,578.0,-1061.3914,200.45667,2246.0,4.907317161560058,Culture,Biography*
6,2.0,580.0,"Бернстайн, Леонард",9.0,0.99745911359787,Q152505,Culture.Biography.Biography*,0.0,3099.0,127.0,13.0,150.0,11.919192,580.0,2507.4246,626.60876,2296.0,1.99491822719574,Culture,Biography*
7,2.0,604.0,День России,21.0,0.9324633479118348,Q1432329,History_and_Society.Society,132.0,0.0,136.0,12.0,0.0,11.919192,604.0,-3413.3333,-645.0188,3049.0,1.8649266958236697,History_and_Society,Society
8,4.0,758.0,Кардинал,12.0,0.9659096002578736,Q45722,Culture.Philosophy_and_religion,192.0,10535.814696786085,192.0,34.0,192.0,15.757576,758.0,1090.547,866.6161,2331.0,3.8636384010314946,Culture,Philosophy_and_religion
9,1.0,911.0,Вычислительная сеть,14.0,0.21734751760959625,Q1301371,STEM.Technology,82.0,0.0,134.0,7.0,0.0,10.0,911.0,-2239.245,-98.58005,3160.0,0.21734751760959625,STEM,Technology
10,7.0,1179.0,"Филозов, Альберт Леонидович",16.0,0.9983615279197692,Q3391400,Culture.Biography.Biography*,18.0,131414.5149270299,125.0,10.0,98.0,21.515152,1179.0,1966.0159,-1545.8068,2550.0,6.988530695438384,Culture,Biography*
11,2.0,1420.0,Путч,14.0,0.8031837940216064,Q3449092,History_and_Society.Military_and_warfare,82.0,9291.0,134.0,7.0,0.0,11.919192,1420.0,-2158.3938,-174.96922,1212.0,1.606367588043213,History_and_Society,Military_and_warfare
12,1.0,1671.0,"Гамзатов, Расул Гамзатович",18.0,0.9883227348327636,Q36878,Culture.Biography.Biography*,233.0,0.0,111.0,10.0,132.0,10.0,1671.0,-1150.4856,3264.8357,10471.0,0.9883227348327636,Culture,Biography*
13,3.0,2490.0,Термодинамика,5.0,0.9284188151359558,Q11473,STEM.Physics,192.0,126045.81756938098,192.0,17.0,192.0,13.838384,2490.0,3391.974,-1254.4481,6471.0,2.7852564454078674,STEM,Physics
14,7.0,2747.0,"Полтавченко, Георгий Сергеевич",18.0,0.9966334104537964,Q983514,Culture.Biography.Biography*,233.0,33365.952333869594,111.0,10.0,132.0,21.515152,2747.0,976.37854,2986.5440000000012,5737.0,6.976433873176575,Culture,Biography*
15,2.0,2768.0,Коморы,26.0,0.9481645226478576,Q970,Geography.Geographical,0.0,9291.0,65.0,2.0,253.0,11.919192,2768.0,-1604.0149,-570.27124,2339.0,1.896329045295715,Geography,Geographical
16,4.0,2854.0,Ниуэ,6.0,0.9814634323120116,Q34020,Geography.Geographical,192.0,431.16666666666674,192.0,23.0,192.0,15.757576,2854.0,-1446.3511,1916.7488,2447.0,3.9258537292480464,Geography,Geographical
17,1.0,3490.0,"Бирон, Эрнст Иоганн",10.0,0.9859463572502136,Q57768,Culture.Biography.Biography*,71.0,0.0,78.0,9.0,195.0,10.0,3490.0,101.96458,-1792.6553,2403.0,0.9859463572502136,Culture,Biography*
18,4.0,3693.0,Государственные символы России,11.0,0.1259327530860901,Q3920566,History_and_Society.History,192.0,47800.204466852556,192.0,5.0,192.0,15.757576,3693.0,1451.5343,-1084.6196,9369.0,0.5037310123443604,History_and_Society,History
19,1.0,3812.0,Ле Корбюзье,18.0,0.9963027834892272,Q4724,Culture.Biography.Biography*,233.0,0.0,111.0,10.0,132.0,10.0,3812.0,11.308062,2398.349,3177.0,0.9963027834892272,Culture,Biography*
20,5.0,4557.0,Роберт Лэнгдон,4.0,0.94500470161438,Q210548,Culture.Literature,192.0,3099.0,192.0,14.0,192.0,17.676767,4557.0,-2423.7110000000002,-917.933,1944.0,4.7250235080719,Culture,Literature
21,2.0,4605.0,Академгородок (Новосибирск),16.0,0.6584275364875793,Q83627,History_and_Society.Society,18.0,3099.0,125.0,0.0,98.0,11.919192,4605.0,1898.862,-1902.0256,2038.0,1.3168550729751587,History_and_Society,Society
